frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;1807.535932;1807.538161;0.000;784142;9802;12546272;12546272;2261.553;2261.553;3011.115;3204.009;3011.115;2.667;2.228;5.548;1.299;10.443;10.443;99.998;78.662;1649;0;1649;52064;0
2;1;1;1;0;0.000;1807.569660;1807.572467;34.307;783406;9793;12534496;12534496;1703.531;1703.531;3008.289;3201.005;3008.289;3.068;2.807;7.358;2.227;13.233;13.233;99.997;78.786;2631;0;2631;82859;0
3;1;1;1;0;0.000;1807.602865;1807.605199;32.732;780200;9753;12483200;12483200;1170.194;1170.194;2995.978;3187.907;2995.978;2.940;2.334;10.668;2.816;15.942;15.942;100.000;85.356;2265;0;2265;72228;0
4;1;1;1;0;0.000;1807.637170;1807.640829;35.630;778467;9731;12455472;12455472;1330.353;1330.353;2989.323;3180.819;2989.323;3.912;3.659;9.363;2.621;16.934;16.934;99.999;78.389;1266;0;1266;39236;0
5;1;1;1;0;0.000;1807.670320;1807.673107;32.278;776427;9706;12422832;12422832;1801.763;1801.763;2981.489;3172.494;2981.489;3.728;2.787;6.895;2.087;13.410;13.410;99.999;79.215;1665;0;1665;52510;0
6;1;1;1;0;0.000;1807.702629;1807.704694;31.587;774893;9687;12398288;12398288;1868.897;1868.897;2975.599;3166.229;2975.599;2.705;2.065;6.634;2.055;11.403;11.403;99.998;81.893;2021;0;2021;64420;0
7;1;1;1;0;0.000;1807.736782;1807.738994;34.300;775949;9700;12415184;12415184;1979.245;1979.245;2979.654;3170.540;2979.654;3.523;2.212;6.273;1.861;12.008;12.008;99.999;81.577;1984;0;1984;62508;0
8;1;1;1;0;0.000;1807.769992;1807.772207;33.213;775463;9694;12407408;12407408;1950.154;1950.154;2977.788;3168.556;2977.788;3.401;2.215;6.362;1.858;11.978;11.978;99.996;81.506;2149;0;2149;68716;0
9;1;1;1;0;0.000;1807.803448;1807.805706;33.499;775698;9697;12411168;12411168;2008.713;2008.713;2978.690;3169.517;2978.690;3.524;2.257;6.179;1.792;11.960;11.960;99.999;81.125;1694;0;1694;53061;0
10;1;1;1;0;0.000;1807.836531;1807.839248;33.542;778020;9726;12448320;12448320;1989.814;1989.814;2987.606;3179.004;2987.606;3.274;2.717;6.256;1.899;12.246;12.247;99.999;77.816;1936;0;1936;61900;0
