frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;1807.535932;1807.598418;1807.735575;784142;142128;146318;108;1829;142128;154656;100.000;150.304;163.451;561.874;603.123;37.117;178911;159140;146318;0.215;0.124;0.078;2.947;1.410;0.089;36.833;35.346;137.135;137.157;135.730;26.855;26.041;1.384;0.190;0.955;62.486;199.642;137.157;0.000;0.000;0.000;0.000;0.022;0.000;56;32.477;132.760;5;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;1807.569660;1807.636273;1807.768608;783406;28952;144182;22;1803;28952;31504;100.000;750.502;814.181;553.671;594.335;7.561;169393;156499;144182;0.211;0.125;0.078;2.029;1.338;0.069;37.386;35.971;116.170;132.335;130.980;28.251;27.463;1.369;0.188;0.058;66.613;198.948;136.856;37.855;4.521;0.283;0.000;16.165;0.000;29;34.020;112.784;1;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;1807.602865;1807.672254;1807.803144;780200;22748;141754;18;1772;22748;24836;100.000;0.650;0.707;544.348;584.312;5.961;164369;153953;141754;0.211;0.125;0.076;2.047;1.561;0.355;37.900;36.263;130.848;130.890;129.310;28.956;28.043;1.386;0.185;0.063;69.390;200.279;138.059;35.981;2.648;0.430;0.000;0.042;0.000;13;34.292;127.221;3;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;1807.637170;1807.707490;1807.837452;778467;22748;139430;18;1743;22748;24836;100.000;0.669;0.728;535.424;574.733;5.961;160176;150044;139430;0.196;0.115;0.070;2.028;1.377;0.075;37.913;36.467;129.904;129.962;128.567;29.173;28.364;1.397;0.182;0.069;70.320;200.282;139.034;35.236;1.903;0.522;0.000;0.058;0.000;17;34.508;126.479;2;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;1807.670320;1807.741722;1807.868571;776427;22184;137802;17;1723;22184;24156;100.000;0.656;0.711;529.172;568.031;5.797;157416;147596;137802;0.200;0.116;0.071;1.989;1.523;0.333;34.522;32.928;126.810;126.849;125.309;27.215;26.278;1.366;0.180;0.057;71.402;198.251;136.820;34.232;0.898;0.546;0.000;0.040;0.000;16;31.010;123.278;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;1807.702629;1807.775800;1807.903698;774893;24440;137230;19;1716;24440;26644;100.000;0.722;0.784;526.976;565.676;6.395;155702;146729;137230;0.200;0.116;0.070;2.030;1.314;0.075;38.636;37.252;127.877;127.898;126.566;30.208;29.433;1.399;0.179;0.067;73.171;201.069;138.613;34.078;0.745;0.558;0.000;0.021;0.000;9;35.292;124.513;4;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;1807.736782;1807.809863;1807.935791;775949;24816;137590;19;1720;24816;27020;100.000;0.772;0.837;528.358;567.149;6.485;155688;147260;137590;0.199;0.116;0.070;1.999;1.548;0.331;35.434;33.817;125.894;125.929;124.362;28.138;27.192;1.378;0.179;0.059;73.081;199.010;137.373;34.063;0.729;0.569;0.000;0.035;0.000;12;31.887;122.327;4;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;1807.769992;1807.842206;1807.968269;775463;26320;137746;20;1722;26320;28640;100.000;918.295;995.909;528.957;567.793;6.874;154960;147284;137746;0.195;0.116;0.070;1.991;1.270;0.070;36.020;34.680;126.029;126.063;124.771;28.573;27.795;1.366;0.180;0.065;72.214;198.277;136.518;32.343;0.990;0.595;0.000;0.034;0.000;20;32.758;122.745;1;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;1807.803448;1807.876816;1808.001462;775698;26320;138024;20;1726;26320;28640;100.000;0.821;0.890;530.025;568.951;6.874;154556;147480;138024;0.189;0.106;0.066;1.970;1.258;0.074;36.448;35.125;124.586;124.646;123.372;29.241;28.470;1.369;0.180;0.061;73.368;198.014;136.378;34.610;1.277;0.638;0.000;0.061;0.000;19;33.220;121.330;2;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;1807.836531;1807.909078;1808.034114;778020;25380;138278;20;1729;25380;27700;100.000;0.781;0.850;531.000;569.994;6.648;153976;146817;138278;0.187;0.108;0.066;1.969;1.358;0.341;35.877;34.454;124.999;125.035;123.661;28.694;27.862;1.374;0.180;0.055;72.547;197.582;135.695;32.262;1.071;0.665;0.000;0.036;0.000;11;32.551;121.655;3;0;0;0;0;0;0;0
