frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;1807.535932;1807.538282;1807.571146;1807.599336;784142;784142;784142;9802;108;12546272;12546312;100.000;919.234;919.234;34.132;37.480;3011.115;10.686;0.000;0.000;12.091;7.017;0.003;29.795;29.795;47.405;61.054;32.863;48.800;90.662;1.610;0.910;0.500;1.392;7.680;2.350;63.404;61.054;0.000;0.000;0.000;0.000;0.015;0.091;12.106;0.363;0;1;34.181;34.182;0.240000;54.340000;0.992905;142128;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;1807.569660;1807.573269;1807.605557;1807.636246;783406;783406;783406;9793;22;12534496;12534536;100.000;808.097;808.097;6.970;7.635;3008.289;2.763;0.000;0.000;4.339;12.365;0.002;19.467;19.467;47.465;62.977;32.288;30.912;60.293;1.471;0.913;0.535;1.394;0.026;3.609;66.586;64.630;34.987;1.653;0.103;1.653;0.009;0.062;10.167;0.305;0;2;42.955;42.957;0.240000;54.280000;0.996176;28952;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;1807.602865;1807.605881;1807.645755;1807.707371;780200;780200;780200;9753;18;12483200;12483240;100.000;593.030;593.030;5.481;6.021;2995.978;3.721;0.000;0.000;4.367;13.933;0.005;22.020;22.020;80.440;101.490;39.874;21.697;55.224;1.496;0.923;0.524;1.395;0.029;3.016;104.506;102.422;32.612;0.721;0.142;0.721;0.002;0.521;8.719;0.262;0;2;40.313;40.316;0.260000;54.020000;0.996908;22748;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;1807.637170;1807.641763;1807.680626;1807.741603;778467;778467;778467;9731;18;12455472;12455512;100.000;670.660;670.660;5.481;6.021;2989.323;3.776;0.000;0.000;5.414;14.278;0.003;23.468;23.468;81.268;99.840;38.863;23.506;60.386;2.462;0.916;0.515;1.495;0.027;4.593;104.433;103.321;35.882;2.548;0.292;2.548;0.002;0.597;7.896;0.237;0;2;41.016;41.019;0.260000;54.030000;0.997277;22748;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;1807.670320;1807.673912;1807.716480;1807.775681;776427;776427;776427;9706;17;12422832;12422872;100.000;665.104;665.104;5.345;5.855;2981.489;3.020;0.000;0.000;5.202;18.056;0.001;26.278;26.278;83.091;101.769;42.568;25.821;61.731;2.310;0.898;0.514;1.449;0.031;3.593;105.361;104.066;32.150;1.183;0.348;1.183;0.002;0.629;5.218;0.157;0;2;43.171;43.174;0.250000;54.090000;0.997544;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;1807.702629;1807.705351;1807.749440;1807.809756;774893;774893;774893;9687;19;12398288;12398328;100.000;714.008;714.008;5.887;6.458;2975.599;2.777;0.000;0.000;6.999;18.943;0.002;28.718;28.718;87.041;104.405;44.089;27.506;65.136;4.095;0.897;0.517;1.454;0.035;2.721;107.127;104.807;31.438;1.895;0.445;1.895;0.003;0.780;5.666;0.170;0;2;45.180;45.182;0.230000;54.520000;0.997854;24440;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;1807.736782;1807.739572;1807.783342;1807.842120;775949;775949;775949;9700;19;12415184;12415224;100.000;738.025;738.025;5.977;6.549;2979.654;2.755;0.000;0.000;7.016;19.780;0.002;29.551;29.551;85.725;102.548;43.770;28.817;67.514;4.125;0.898;0.515;1.440;0.038;2.790;105.338;103.837;34.221;0.888;0.472;0.888;0.003;0.148;6.007;0.180;0;2;46.186;46.190;0.210000;54.850000;0.998111;24816;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;1807.769992;1807.772794;1807.817128;1807.842195;775463;775463;775463;9694;20;12407408;12407448;100.000;744.410;744.410;6.338;6.941;2977.788;2.798;0.000;0.000;7.977;19.489;0.001;30.264;30.264;52.734;69.402;44.334;43.607;68.262;4.812;1.165;0.520;1.443;0.036;2.802;72.203;70.580;33.222;0.112;0.450;0.112;0.002;0.198;6.503;0.195;0;2;44.477;44.478;0.200000;55.040000;0.998287;26320;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;1807.803448;1807.806299;1807.850085;1807.908986;775698;775698;775698;9697;20;12411168;12411208;100.000;769.961;769.961;6.338;6.941;2978.690;2.759;0.000;0.000;6.360;20.274;0.002;29.393;29.393;86.568;102.687;43.787;28.624;67.129;3.034;0.895;0.528;1.871;0.032;2.850;105.537;104.037;33.505;0.172;0.433;0.172;0.002;1.030;6.469;0.194;0;2;46.912;46.914;0.200000;55.090000;0.998357;26320;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;1807.836531;1807.839850;1807.884064;1807.941667;778020;778020;778020;9726;20;12448320;12448360;100.000;740.937;740.937;6.112;6.715;2987.606;2.756;0.000;0.000;7.001;20.285;0.002;30.042;30.042;85.016;101.817;44.213;29.506;67.947;4.196;0.827;0.468;1.474;0.037;3.319;105.135;103.385;33.551;0.218;0.419;0.218;0.003;0.123;6.605;0.198;0;2;45.187;45.206;0.200000;55.160000;0.998364;25380;1;0;0;0;0;0;0
11;1;1;1;IDLE;0.000;0.000;1.000;1807.869967;1807.872768;1807.916803;1807.974891;778554;778554;778554;9732;19;12456864;12456904;100.000;762.260;762.260;5.796;6.368;2989.657;2.671;0.000;0.000;6.355;19.934;0.002;28.959;28.959;85.781;102.124;44.035;28.357;65.764;3.099;0.849;0.489;1.887;0.031;2.800;104.924;103.276;32.917;0.416;0.419;0.416;0.010;1.393;6.544;0.196;0;2;44.791;44.794;0.200000;55.220000;0.998468;24064;1;0;0;0;0;0;0
12;1;1;1;IDLE;0.000;0.000;1.000;1807.903457;1807.906450;1807.950970;1808.007767;779986;779986;779986;9750;20;12479776;12479816;100.000;743.467;743.467;6.157;6.760;2995.156;2.773;0.000;0.000;7.288;20.045;0.002;30.106;30.106;84.531;101.317;44.520;29.714;67.623;4.308;1.005;0.483;1.453;0.039;2.993;104.311;102.819;33.682;0.349;0.415;0.349;0.002;0.398;6.734;0.202;0;2;43.961;43.963;0.200000;55.150000;0.998528;25568;1;0;0;0;0;0;0
13;1;1;1;IDLE;0.000;0.000;1.000;1807.936728;1807.939556;1807.983167;1808.007860;780926;780926;780926;9762;20;12494816;12494856;100.000;729.242;729.242;6.338;6.941;2998.765;2.836;0.000;0.000;7.061;19.170;0.002;29.067;29.067;51.169;68.303;43.611;42.556;66.651;4.231;0.836;0.483;1.472;0.038;2.828;71.131;69.578;33.106;0.227;0.403;0.227;0.002;0.242;6.819;0.205;0;2;43.762;43.765;0.200000;55.110000;0.998610;26320;1;0;0;0;0;0;0
14;1;1;1;IDLE;0.000;0.000;1.000;1807.970034;1807.972832;1808.016476;1808.073852;782770;782770;782770;9785;21;12524320;12524360;100.000;714.423;714.423;6.428;7.062;3005.846;2.825;0.000;0.000;7.281;18.398;0.003;28.503;28.503;83.489;101.020;43.643;28.216;65.310;4.289;1.014;0.484;1.454;0.040;2.799;103.819;102.237;33.276;0.057;0.381;0.057;0.004;0.429;6.938;0.208;0;2;42.641;42.645;0.200000;55.080000;0.998614;26696;1;0;0;0;0;0;0
15;1;1;1;IDLE;0.000;0.000;1.000;1808.003382;1808.006192;1808.049444;1808.108478;784474;784474;784474;9806;21;12551584;12551624;100.000;706.010;706.010;6.518;7.152;3012.390;2.970;0.000;0.000;6.733;18.355;0.002;28.058;28.058;84.508;102.286;43.253;27.431;64.871;4.016;0.777;0.458;1.443;0.039;2.809;105.096;103.529;33.359;0.026;0.359;0.026;0.003;0.382;6.890;0.207;0;2;42.758;42.760;0.200000;55.100000;0.998670;27072;1;0;0;0;0;0;0
16;1;1;1;IDLE;0.000;0.000;1.000;1808.036439;1808.039166;1808.083255;1808.109460;785193;785193;785193;9815;100;12563088;12563128;100.000;682.738;682.738;31.605;34.704;3015.151;2.923;0.000;0.000;6.681;18.042;0.006;27.646;27.646;51.892;70.294;44.089;39.330;62.706;3.981;0.787;0.462;1.419;0.033;2.728;73.021;71.178;32.975;0.359;0.359;0.359;0.002;0.961;6.841;0.205;0;2;43.246;43.249;0.280000;53.630000;0.991970;131600;1;0;0;0;0;0;0
17;1;1;1;IDLE;0.000;0.000;1.000;1808.069798;1808.072512;1808.117267;1808.173562;782720;782720;782720;9784;22;12523520;12523560;100.000;704.275;704.275;6.924;7.590;3005.654;2.945;0.000;0.000;7.076;19.271;0.002;29.293;29.293;83.267;101.049;44.754;28.988;65.452;4.128;1.020;0.457;1.434;0.038;2.714;103.763;101.946;33.346;0.013;0.337;0.013;0.002;0.621;6.903;0.207;0;2;42.948;42.951;0.260000;54.040000;0.996025;28764;1;0;0;0;0;0;0
18;1;1;1;IDLE;0.000;0.000;1.000;1808.102959;1808.105675;1808.149491;1808.206617;781613;781613;781613;9771;18;12505808;12505848;100.000;756.801;756.801;5.571;6.111;3001.404;2.886;0.000;0.000;6.299;19.832;0.002;29.016;29.016;84.417;100.942;43.816;28.745;66.222;3.106;0.782;0.498;1.876;0.037;2.715;103.657;101.668;33.162;0.171;0.327;0.171;0.002;1.157;6.753;0.203;0;2;43.886;43.889;0.260000;53.990000;0.996871;23124;1;0;0;0;0;0;0
19;1;1;1;IDLE;0.000;0.000;1.000;1808.136687;1808.139417;1808.182542;1808.239690;780006;780006;780006;9751;17;12480096;12480136;100.000;686.052;686.052;5.345;5.855;2995.233;2.821;0.000;0.000;6.599;18.183;0.002;27.603;27.603;82.082;100.273;43.126;27.528;64.007;3.880;0.782;0.460;1.444;0.033;2.730;103.003;101.408;33.742;0.409;0.332;0.409;0.002;0.149;6.719;0.202;0;2;42.251;42.254;0.260000;54.060000;0.997278;22184;1;0;0;0;0;0;0
20;1;1;1;IDLE;0.000;0.000;1.000;1808.169852;1808.172601;1808.215643;1808.271710;780302;780302;780302;9754;18;12484832;12484872;100.000;683.257;683.257;5.481;6.021;2996.369;3.008;0.000;0.000;6.616;18.018;0.002;27.642;27.642;80.836;99.109;43.042;27.890;64.220;3.953;0.753;0.452;1.426;0.033;2.749;101.858;100.094;33.184;0.149;0.321;0.149;0.010;0.124;6.696;0.201;0;2;42.049;42.052;0.240000;54.360000;0.997677;22748;1;0;0;0;0;0;0
21;1;1;1;IDLE;0.000;0.000;1.000;1808.203074;1808.205790;1808.249651;1808.303574;779066;779066;779066;9739;19;12465056;12465096;100.000;669.382;669.382;5.977;6.549;2991.623;3.009;0.000;0.000;6.533;18.355;0.002;27.896;27.896;79.162;97.784;43.861;28.529;63.601;3.887;0.756;0.452;1.402;0.035;2.716;100.500;98.625;33.189;0.144;0.310;0.144;0.002;0.349;6.658;0.200;0;2;40.408;40.410;0.220000;54.660000;0.997963;24816;1;0;0;0;0;0;0
22;1;1;1;IDLE;0.000;0.000;1.000;1808.236483;1808.239234;1808.281721;1808.303644;778280;778280;778280;9729;19;12452480;12452520;100.000;673.752;673.752;6.022;6.594;2988.605;2.967;0.000;0.000;6.061;17.891;0.001;26.920;26.920;45.927;64.410;42.487;41.794;63.360;3.406;0.758;0.452;1.408;0.038;2.750;67.160;65.361;33.444;0.110;0.297;0.110;0.002;0.049;6.512;0.195;0;2;39.738;39.740;0.210000;54.920000;0.998187;25004;1;0;0;0;0;0;0
23;1;1;1;IDLE;0.000;0.000;1.000;1808.269670;1808.272451;1808.312013;1808.368419;778907;778907;778907;9737;20;12462512;12462552;100.000;648.095;648.095;6.248;6.851;2991.012;2.978;0.000;0.000;5.454;14.297;0.004;22.729;22.729;76.738;95.967;39.562;23.684;57.452;2.457;0.761;0.454;1.742;0.040;2.782;98.749;96.803;33.218;0.116;0.286;0.116;0.003;0.577;6.251;0.188;0;2;38.680;38.682;0.200000;55.170000;0.998307;25944;1;0;0;0;0;0;0
24;1;1;1;IDLE;0.000;0.000;1.000;1808.302676;1808.305546;1808.348831;1808.404133;779289;779289;779289;9742;19;12468624;12468664;100.000;618.290;618.290;5.751;6.323;2992.479;3.126;0.000;0.000;4.893;18.043;0.003;26.062;26.062;78.420;98.587;43.285;26.436;60.211;2.126;0.857;0.479;1.400;0.031;2.870;101.457;99.184;33.095;0.238;0.283;0.238;0.002;0.179;5.914;0.177;0;2;37.625;37.626;0.200000;55.230000;0.998408;23876;1;0;0;0;0;0;0
25;1;1;1;IDLE;0.000;0.000;1.000;1808.336016;1808.338929;1808.376272;1808.404191;779739;779739;779739;9747;19;12475824;12475864;100.000;615.593;615.593;6.022;6.594;2994.207;3.316;0.000;0.000;4.821;12.179;0.001;20.316;20.316;44.996;65.263;37.344;31.130;54.404;2.095;0.776;0.478;1.441;0.031;2.913;68.175;65.909;33.382;0.049;0.268;0.049;0.002;0.073;5.644;0.169;0;2;40.028;40.038;0.200000;55.160000;0.998476;25004;1;0;0;0;0;0;0
26;1;1;1;IDLE;0.000;0.000;1.000;1808.369491;1808.372401;1808.415665;1808.471143;779364;779364;779364;9743;21;12469824;12469864;100.000;612.978;612.978;6.383;7.017;2992.767;3.442;0.000;0.000;6.020;16.864;0.003;26.325;26.325;78.399;98.742;43.263;26.661;60.848;3.107;0.788;0.453;1.640;0.032;2.911;101.653;99.528;33.473;0.139;0.260;0.139;0.002;0.034;5.742;0.172;0;2;40.312;40.313;0.200000;55.160000;0.998489;26508;1;0;0;0;0;0;0
27;1;1;1;IDLE;0.000;0.000;1.000;1808.402727;1808.405535;1808.448192;1808.503111;780025;780025;780025;9751;20;12480400;12480440;100.000;658.644;658.644;6.338;6.941;2995.306;2.988;0.000;0.000;6.425;17.262;0.002;26.675;26.675;78.627;97.575;42.657;27.338;62.534;3.651;0.847;0.477;1.406;0.044;2.808;100.383;98.162;33.134;0.199;0.256;0.199;0.002;0.018;5.915;0.177;0;2;40.208;40.210;0.200000;55.110000;0.998594;26320;1;0;0;0;0;0;0
28;1;1;1;IDLE;0.000;0.000;1.000;1808.436017;1808.438722;1808.479985;1808.536595;780373;780373;780373;9755;21;12485968;12486008;100.000;668.988;668.988;6.428;7.062;2996.642;3.068;0.000;0.000;6.059;16.499;0.003;25.625;25.625;79.209;97.873;41.263;26.182;62.102;3.399;0.757;0.459;1.401;0.043;2.706;100.579;98.313;33.187;0.146;0.249;0.146;0.003;0.037;5.954;0.179;0;2;39.611;39.623;0.200000;55.120000;0.998636;26696;1;0;0;0;0;0;0
29;1;1;1;IDLE;0.000;0.000;1.000;1808.469377;1808.472175;1808.511777;1808.570359;781651;781651;781651;9771;22;12506416;12506456;100.000;631.474;631.474;6.744;7.409;3001.549;3.003;0.000;0.000;5.179;14.069;0.002;22.251;22.251;78.379;98.184;39.602;22.663;56.188;2.354;0.760;0.473;1.563;0.030;2.798;100.983;98.744;33.453;0.119;0.241;0.119;0.011;0.536;5.763;0.173;0;2;38.883;38.884;0.200000;55.070000;0.998644;28012;1;0;0;0;0;0;0
30;1;1;1;IDLE;0.000;0.000;1.000;1808.502683;1808.505619;1808.545296;1808.604368;781375;781375;781375;9768;21;12502000;12502040;100.000;621.948;621.948;6.428;7.062;3000.490;3.280;0.000;0.000;4.898;14.409;0.002;22.587;22.587;78.647;98.749;39.678;22.873;56.925;2.144;0.839;0.478;1.405;0.032;2.936;101.684;99.419;33.444;0.110;0.233;0.110;0.002;0.266;5.549;0.166;0;2;39.467;39.469;0.200000;55.070000;0.998630;26696;1;0;0;0;0;0;0
31;1;1;1;IDLE;0.000;0.000;1.000;1808.536016;1808.538933;1808.579328;1808.637911;784392;784392;784392;9805;100;12550272;12550312;100.000;621.943;621.943;31.380;34.478;3012.075;3.271;0.000;0.000;4.997;15.034;0.009;23.302;23.302;78.799;98.978;40.396;23.543;57.686;2.174;0.773;0.480;1.536;0.032;2.917;101.895;99.629;33.314;0.019;0.220;0.019;0.002;0.183;5.414;0.162;0;2;40.062;40.066;0.280000;53.700000;0.991803;130660;1;0;0;0;0;0;0
32;1;1;1;IDLE;0.000;0.000;1.000;1808.569349;1808.572205;1808.615109;1808.670330;782671;782671;782671;9784;22;12522736;12522776;100.000;616.851;616.851;6.924;7.590;3005.466;3.110;0.000;0.000;5.843;16.741;0.003;25.694;25.694;77.825;98.126;42.905;26.185;59.886;3.203;0.766;0.441;1.399;0.034;2.856;100.982;98.715;33.272;0.062;0.210;0.062;0.002;0.017;5.524;0.166;0;2;39.537;39.539;0.260000;54.040000;0.995872;28764;1;0;0;0;0;0;0
33;1;1;1;IDLE;0.000;0.000;1.000;1808.602682;1808.605610;1808.646662;1808.703653;776999;776999;776999;9713;18;12431984;12432024;100.000;664.663;664.663;5.706;6.247;2983.686;3.329;0.000;0.000;6.217;15.210;0.002;24.756;24.756;79.338;98.042;41.051;25.250;60.305;3.344;0.759;0.474;1.599;0.041;2.928;100.970;98.704;33.406;0.072;0.201;0.072;0.003;0.916;5.700;0.171;0;2;38.874;38.875;0.260000;53.970000;0.996777;23688;1;0;0;0;0;0;0
34;1;1;1;IDLE;0.000;0.000;1.000;1808.636028;1808.638791;1808.679182;1808.736537;778650;778650;778650;9734;18;12458400;12458440;100.000;637.080;637.080;5.526;6.066;2990.026;2.961;0.000;0.000;5.370;15.297;0.002;23.629;23.629;78.190;97.746;40.391;24.173;58.500;2.393;0.764;0.455;1.726;0.032;2.763;100.509;98.255;33.181;0.152;0.198;0.152;0.002;0.163;5.621;0.169;0;2;39.763;39.767;0.260000;54.060000;0.997324;22936;1;0;0;0;0;0;0
35;1;1;1;IDLE;0.000;0.000;1.000;1808.669324;1808.672227;1808.712567;1808.770184;778007;778007;778007;9726;18;12448112;12448152;100.000;632.538;632.538;5.571;6.111;2987.556;3.131;0.000;0.000;5.149;15.284;0.002;23.564;23.564;78.277;97.957;40.340;24.055;58.413;2.277;0.761;0.473;1.606;0.032;2.903;100.860;98.568;33.436;0.102;0.192;0.102;0.002;0.224;5.505;0.165;0;2;39.250;39.251;0.240000;54.390000;0.997672;23124;1;0;0;0;0;0;0
36;1;1;1;IDLE;0.000;0.000;1.000;1808.702671;1808.705505;1808.745078;1808.803874;776483;776483;776483;9707;19;12423728;12423768;100.000;632.698;632.698;6.022;6.594;2981.704;3.166;0.000;0.000;5.060;14.419;0.003;22.645;22.645;78.732;98.369;39.573;23.021;57.224;2.220;0.793;0.473;1.543;0.031;2.834;101.203;98.925;33.278;0.055;0.184;0.055;0.003;0.455;5.396;0.162;0;2;39.519;39.521;0.220000;54.670000;0.997999;25004;1;0;0;0;0;0;0
37;1;1;1;IDLE;0.000;0.000;1.000;1808.735998;1808.738907;1808.779080;1808.836558;781287;781287;781287;9767;21;12500592;12500632;100.000;610.846;610.846;6.383;7.017;3000.152;3.173;0.000;0.000;6.395;13.234;0.002;22.802;22.802;77.186;97.651;40.172;23.351;56.761;3.231;1.022;0.457;1.651;0.035;2.909;100.560;98.276;33.402;0.069;0.177;0.069;0.011;0.067;5.650;0.169;0;2;38.016;38.026;0.210000;55.010000;0.998152;26508;1;0;0;0;0;0;0
38;1;1;1;IDLE;0.000;0.000;1.000;1808.769398;1808.772302;1808.812835;1808.869534;780329;780329;780329;9755;22;12485264;12485304;100.000;626.103;626.103;6.699;7.364;2996.473;3.210;0.000;0.000;4.931;15.376;0.003;23.517;23.517;77.290;97.232;40.532;24.186;58.020;2.166;0.780;0.475;1.481;0.030;2.905;100.137;97.919;33.395;0.062;0.169;0.062;0.002;0.280;5.474;0.164;0;2;39.094;39.096;0.200000;55.050000;0.998366;27824;1;0;0;0;0;0;0
