frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;1807.535932;1807.538205;1807.551917;784142;784142;784142;9802;9802;12546272;12546312;100.000;1385.245;1385.245;3011.115;3382.797;3011.115;13.696;0.736;9.470;5.648;2.614;13.713;0.000;13.713;69.061;100.000;2.272;13.713;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;1807.569660;1807.573219;1807.588777;783406;783406;783406;9793;9793;12534496;12534536;100.000;1148.119;1148.119;3008.289;3379.630;3008.289;15.539;1.174;10.226;5.840;2.609;36.859;21.301;15.558;65.729;42.210;3.558;17.239;35.014;1.680;0.105;0;0;0;0;0;0;0;0
3;1;1;1;1807.602865;1807.605824;1807.626904;780200;780200;780200;9753;9753;12483200;12483240;100.000;770.232;770.232;2995.978;3365.802;2995.978;21.062;2.205;12.562;6.689;2.776;38.127;17.047;21.080;59.591;55.289;2.959;22.032;32.605;0.728;0.144;0;0;0;0;0;0;0;0
4;1;1;1;1807.637170;1807.641674;1807.660326;778467;778467;778467;9731;9731;12455472;12455512;100.000;906.074;906.074;2989.323;3358.313;2989.323;18.633;1.485;11.353;6.221;2.826;33.422;14.770;18.652;60.869;55.807;4.504;22.121;35.850;2.517;0.292;0;0;0;0;0;0;0;0
5;1;1;1;1807.670320;1807.673840;1807.692574;776427;776427;776427;9706;9706;12422832;12422872;100.000;1079.051;1079.051;2981.489;3349.531;2981.489;18.716;1.036;12.663;7.269;3.751;32.248;13.515;18.734;67.597;58.092;3.521;21.036;32.166;1.167;0.347;0;0;0;0;0;0;0;0
6;1;1;1;1807.702629;1807.705301;1807.722682;774893;774893;774893;9687;9687;12398288;12398328;100.000;1228.138;1228.138;2975.599;3342.920;2975.599;17.364;1.228;12.608;7.040;3.775;30.108;12.727;17.381;72.540;57.728;2.672;17.810;31.461;1.873;0.442;0;0;0;0;0;0;0;0
7;1;1;1;1807.736782;1807.739527;1807.756384;775949;775949;775949;9700;9700;12415184;12415224;100.000;1276.138;1276.138;2979.654;3347.468;2979.654;16.842;0.999;12.182;6.972;3.680;33.702;16.845;16.857;72.267;50.019;2.745;18.180;34.226;0.892;0.470;0;0;0;0;0;0;0;0
8;1;1;1;1807.769992;1807.772740;1807.789420;775463;775463;775463;9694;9694;12407408;12407448;100.000;1251.829;1251.829;2977.788;3345.374;2977.788;16.656;1.195;12.027;7.014;3.300;33.035;16.355;16.680;72.104;50.491;2.748;17.882;33.213;0.120;0.449;0;0;0;0;0;0;0;0
9;1;1;1;1807.803448;1807.806252;1807.822410;775698;775698;775698;9697;9697;12411168;12411208;100.000;1288.218;1288.218;2978.690;3346.391;2978.690;16.142;0.945;11.525;7.002;3.054;32.991;16.832;16.159;71.326;48.980;2.803;17.539;33.512;0.178;0.432;0;0;0;0;0;0;0;0
10;1;1;1;1807.836531;1807.839801;1807.856607;778020;778020;778020;9726;9726;12448320;12448360;100.000;1274.207;1274.207;2987.606;3356.407;2987.606;16.789;0.992;12.097;6.931;3.651;34.196;17.391;16.805;71.984;49.143;3.270;18.402;33.550;0.216;0.418;0;0;0;0;0;0;0;0
11;1;1;1;1807.869967;1807.872720;1807.889097;778554;778554;778554;9732;9732;12456864;12456904;100.000;1262.386;1262.386;2989.657;3358.685;2989.657;16.361;1.278;11.864;7.088;2.981;32.491;16.113;16.377;72.443;50.406;2.753;17.559;32.919;0.415;0.418;0;0;0;0;0;0;0;0
12;1;1;1;1807.903457;1807.906406;1807.923193;779986;779986;779986;9750;9750;12479776;12479816;100.000;1273.724;1273.724;2995.156;3364.866;2995.156;16.771;1.010;12.072;6.838;3.695;34.096;17.309;16.787;71.916;49.234;2.950;18.322;33.686;0.353;0.414;0;0;0;0;0;0;0;0
