frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;1807.535932;1807.734180;1807.735593;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;1659.239;1659.239;561.874;606.635;561.874;1.409;0.625;0.666;1.412;0.000;1.412;47.172;100.000;198.248;1.412;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;1807.569660;1807.767282;1807.768619;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;1728.495;1728.495;553.671;597.796;553.671;1.333;0.571;0.611;33.026;31.689;1.337;45.664;4.048;197.622;1.105;33.101;0.232;0.014;0;0;0;0;0;0;0;0
3;1;1;1;1807.602865;1807.801596;1807.803156;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;1456.533;1456.533;544.348;587.714;544.348;1.556;0.589;0.628;34.537;32.977;1.560;40.218;4.518;198.731;2.309;34.314;0.981;0.075;0;0;0;0;0;0;0;0
4;1;1;1;1807.637170;1807.836089;1807.837461;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;1631.036;1631.036;535.424;578.080;535.424;1.367;0.576;0.614;34.304;32.933;1.372;44.774;3.999;198.919;3.280;34.493;1.159;0.143;0;0;0;0;0;0;0;0
5;1;1;1;1807.670320;1807.867060;1807.868583;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1454.807;1454.807;529.172;571.339;529.172;1.519;0.523;0.560;31.123;29.600;1.523;36.769;4.894;196.740;1.069;30.972;2.362;0.281;0;0;0;0;0;0;0;0
6;1;1;1;1807.702629;1807.902397;1807.903708;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;1683.337;1683.337;526.976;568.971;526.976;1.307;0.552;0.589;35.125;33.814;1.310;44.942;3.731;199.768;2.861;35.337;2.004;0.389;0;0;0;0;0;0;0;0
7;1;1;1;1807.736782;1807.934254;1807.935806;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;1423.945;1423.945;528.358;570.451;528.358;1.548;0.539;0.576;32.098;30.547;1.551;37.157;4.834;197.473;1.625;31.857;1.476;0.457;0;0;0;0;0;0;0;0
8;1;1;1;1807.769992;1807.967012;1807.968281;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;1746.333;1746.333;528.957;571.099;528.957;1.255;0.576;0.616;32.475;31.206;1.270;48.491;3.910;197.020;0.767;32.757;0.576;0.464;0;0;0;0;0;0;0;0
9;1;1;1;1807.803448;1808.000216;1808.001476;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;1764.095;1764.095;530.025;572.265;530.025;1.256;0.571;0.610;33.195;31.934;1.260;48.426;3.797;196.767;0.629;33.204;0.129;0.443;0;0;0;0;0;0;0;0
10;1;1;1;1807.836531;1808.032766;1808.034126;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;1627.342;1627.342;531.000;573.313;531.000;1.357;0.499;0.537;32.650;31.290;1.360;39.456;4.166;196.234;-0.055;32.550;0.783;0.465;0;0;0;0;0;0;0;0
11;1;1;1;1807.869967;1808.066224;1808.067390;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;1914.110;1914.110;534.210;576.768;534.210;1.163;0.505;0.545;33.264;32.098;1.166;46.738;3.505;196.257;-0.124;33.458;0.125;0.443;0;0;0;0;0;0;0;0
12;1;1;1;1807.903457;1808.099336;1808.100717;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;1636.462;1636.462;539.517;582.516;539.517;1.377;0.488;0.525;33.327;31.946;1.380;38.058;4.142;195.879;-0.130;33.112;0.221;0.430;0;0;0;0;0;0;0;0
13;1;1;1;1807.936728;1808.133288;1808.134579;780926;142868;142868;0;0;1786;1786;2285888;2285940;100.000;1779.773;1779.773;548.626;592.334;548.626;1.288;0.579;0.620;33.863;32.571;1.291;47.997;3.813;196.560;0.399;33.952;0.619;0.441;0;0;0;0;0;0;0;0
