frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;1807.535932;1807.598401;1807.599345;784142;0;0;142128;142128;108;108;142128;142216;100.000;151.475;151.475;34.132;37.480;34.132;0.935;0.022;0.025;0.943;0.000;0.943;2.689;100.000;62.469;0.943;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;1807.569660;1807.636255;1807.636269;783406;0;0;28952;28952;22;22;28952;29040;100.000;9390.907;9390.907;6.970;7.635;6.970;0.010;0.010;0.011;36.924;36.910;0.014;79.609;0.038;66.594;4.534;37.853;4.520;0.282;0;0;0;0;0;0;0;0
3;1;1;1;1807.602865;1807.672224;1807.707373;780200;0;0;22748;22748;18;18;22748;22836;100.000;0.650;0.650;5.481;6.021;5.481;35.144;0.013;0.015;71.105;35.956;35.149;0.041;49.433;69.359;42.305;35.970;2.636;0.430;0;0;0;0;0;0;0;0
4;1;1;1;1807.637170;1807.707478;1807.741607;778467;0;0;22748;22748;18;18;22748;22836;100.000;0.669;0.669;5.481;6.021;5.481;34.126;0.009;0.009;34.233;0.104;34.129;0.028;99.695;70.308;43.205;35.254;1.920;0.523;0;0;0;0;0;0;0;0
5;1;1;1;1807.670320;1807.741688;1807.775684;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.655;0.655;5.345;5.855;5.345;33.971;0.007;0.008;34.078;0.081;33.996;0.024;99.762;71.368;43.950;34.210;0.877;0.545;0;0;0;0;0;0;0;0
6;1;1;1;1807.702629;1807.775788;1807.809767;774893;0;0;24440;24440;19;19;24440;24528;100.000;0.722;0.722;5.887;6.458;5.887;33.976;0.007;0.008;34.083;0.104;33.979;0.023;99.695;73.159;44.699;34.100;0.767;0.559;0;0;0;0;0;0;0;0
7;1;1;1;1807.736782;1807.809847;1807.842123;775949;0;0;24816;24816;19;19;24816;24904;100.000;0.772;0.772;5.977;6.549;5.977;32.273;0.011;0.012;32.356;0.079;32.276;0.037;99.755;73.065;43.722;34.058;0.725;0.569;0;0;0;0;0;0;0;0
8;1;1;1;1807.769992;1807.842198;1807.842205;775463;0;0;26320;26320;20;20;26320;26408;100.000;12653.213;12653.213;6.338;6.941;6.338;0.004;0.004;0.005;0.082;0.075;0.007;70.031;8.107;72.206;10.470;32.351;0.982;0.595;0;0;0;0;0;0;0;0
9;1;1;1;1807.803448;1807.876795;1807.908988;775698;0;0;26320;26320;20;20;26320;26408;100.000;0.820;0.820;6.338;6.941;6.338;32.183;0.008;0.017;66.784;34.590;32.193;0.052;48.206;73.347;43.920;34.597;1.263;0.637;0;0;0;0;0;0;0;0
10;1;1;1;1807.836531;1807.909064;1807.941670;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.781;0.781;6.112;6.715;6.112;32.602;0.010;0.011;32.682;0.076;32.605;0.034;99.767;72.533;43.268;32.270;1.064;0.663;0;0;0;0;0;0;0;0
11;1;1;1;1807.869967;1807.941763;1807.974895;778554;0;0;24064;24064;19;19;24064;24152;100.000;0.729;0.729;5.796;6.368;5.796;33.130;0.008;0.010;33.225;0.093;33.132;0.029;99.721;71.795;43.160;32.698;0.635;0.662;0;0;0;0;0;0;0;0
12;1;1;1;1807.903457;1807.974991;1808.007771;779986;0;0;25568;25568;20;20;25568;25656;100.000;0.783;0.783;6.157;6.760;6.157;32.768;0.014;0.015;32.876;0.096;32.780;0.045;99.708;71.534;42.702;33.228;0.105;0.627;0;0;0;0;0;0;0;0
13;1;1;1;1807.936728;1808.007875;1808.007885;780926;0;0;26320;26320;20;20;26320;26408;100.000;10867.490;10867.490;6.338;6.941;6.338;0.007;0.007;0.008;0.114;0.104;0.010;76.346;8.630;71.147;9.483;32.884;0.449;0.616;0;0;0;0;0;0;0;0
14;1;1;1;1807.970034;1808.040827;1808.073856;782770;0;0;26696;26696;21;21;26696;26784;100.000;0.811;0.811;6.428;7.062;6.428;33.025;0.009;0.012;65.971;32.942;33.029;0.035;50.065;70.794;42.121;32.952;0.381;0.601;0;0;0;0;0;0;0;0
