frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;1807.535932;1807.538243;1807.551923;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;917.300;917.300;3011.115;3354.567;3011.115;13.664;2.772;2.979;13.680;0.000;13.680;21.778;100.000;2.311;13.680;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;1807.569660;1807.573250;1807.588779;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;807.211;807.211;3008.289;3351.426;3008.289;15.525;2.760;2.954;36.856;21.327;15.529;19.019;42.135;3.589;17.202;35.006;1.673;0.105;0;0;0;0;0;0;0;0
3;1;1;1;1807.602865;1807.605856;1807.626922;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;592.787;592.787;2995.978;3337.713;2995.978;21.060;5.592;5.883;38.143;17.077;21.066;27.927;55.228;2.991;22.012;32.607;0.727;0.143;0;0;0;0;0;0;0;0
4;1;1;1;1807.637170;1807.641719;1807.660333;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;669.342;669.342;2989.323;3330.288;2989.323;18.607;4.787;5.087;33.411;14.797;18.614;27.331;55.713;4.549;22.090;35.863;2.529;0.293;0;0;0;0;0;0;0;0
5;1;1;1;1807.670320;1807.673879;1807.692587;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;664.241;664.241;2981.489;3321.578;2981.489;18.702;3.615;3.856;32.254;13.546;18.708;20.612;58.003;3.559;21.010;32.160;1.173;0.348;0;0;0;0;0;0;0;0
6;1;1;1;1807.702629;1807.705330;1807.722707;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;713.918;713.918;2975.599;3315.022;2975.599;17.374;2.806;3.005;30.121;12.744;17.377;17.292;57.691;2.701;17.797;31.452;1.882;0.443;0;0;0;0;0;0;0;0
7;1;1;1;1807.736782;1807.739554;1807.756392;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;737.509;737.509;2979.654;3319.532;2979.654;16.835;2.796;2.998;33.685;16.847;16.838;17.804;49.986;2.773;18.149;34.224;0.891;0.471;0;0;0;0;0;0;0;0
8;1;1;1;1807.769992;1807.772775;1807.789451;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;744.669;744.669;2977.788;3317.456;2977.788;16.672;2.764;2.963;33.059;16.383;16.676;17.766;50.443;2.783;17.874;33.221;0.112;0.449;0;0;0;0;0;0;0;0
9;1;1;1;1807.803448;1807.806279;1807.822417;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;769.208;769.208;2978.690;3318.463;2978.690;16.135;2.792;2.989;32.966;16.828;16.138;18.519;48.953;2.830;17.507;33.504;0.170;0.432;0;0;0;0;0;0;0;0
10;1;1;1;1807.836531;1807.839827;1807.856641;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;741.085;741.085;2987.606;3328.396;2987.606;16.810;2.823;3.032;34.225;17.411;16.814;18.032;49.128;3.296;18.398;33.549;0.215;0.418;0;0;0;0;0;0;0;0
11;1;1;1;1807.869967;1807.872747;1807.889107;778554;778554;778554;0;0;9732;9732;12456864;12456904;100.000;761.605;761.605;2989.657;3330.657;2989.657;16.357;2.714;2.912;32.466;16.106;16.360;17.803;50.391;2.780;17.530;32.920;0.413;0.418;0;0;0;0;0;0;0;0
12;1;1;1;1807.903457;1807.906431;1807.923228;779986;779986;779986;0;0;9750;9750;12479776;12479816;100.000;743.647;743.647;2995.156;3336.786;2995.156;16.793;2.783;2.985;34.121;17.324;16.796;17.772;49.226;2.975;18.318;33.684;0.351;0.414;0;0;0;0;0;0;0;0
13;1;1;1;1807.936728;1807.939537;1807.956688;780926;780926;780926;0;0;9762;9762;12494816;12494856;100.000;728.632;728.632;2998.765;3340.816;2998.765;17.148;2.933;3.138;33.460;16.309;17.152;18.298;51.260;2.808;18.445;33.105;0.228;0.402;0;0;0;0;0;0;0;0
14;1;1;1;1807.970034;1807.972813;1807.990352;782770;782770;782770;0;0;9785;9785;12524320;12524360;100.000;714.705;714.705;3005.846;3348.703;3005.846;17.536;2.955;3.173;33.664;16.125;17.539;18.093;52.100;2.780;18.776;33.277;0.056;0.380;0;0;0;0;0;0;0;0
15;1;1;1;1808.003382;1808.006171;1808.023964;784474;784474;784474;0;0;9806;9806;12551584;12551624;100.000;705.816;705.816;3012.390;3355.982;3012.390;17.789;3.303;3.521;33.612;15.819;17.793;19.787;52.937;2.789;19.054;33.358;0.025;0.358;0;0;0;0;0;0;0;0
16;1;1;1;1808.036439;1808.039134;1808.057560;785193;785193;785193;0;0;9815;9815;12563088;12563128;100.000;682.102;682.102;3015.151;3359.059;3015.151;18.414;3.274;3.488;33.596;15.170;18.426;18.927;54.847;2.695;19.317;32.963;0.371;0.359;0;0;0;0;0;0;0;0
17;1;1;1;1808.069798;1808.072493;1808.090286;782720;782720;782720;0;0;9784;9784;12523520;12523560;100.000;704.416;704.416;3005.654;3348.476;3005.654;17.789;3.375;3.593;32.725;14.933;17.792;20.194;54.369;2.695;18.709;33.359;0.026;0.338;0;0;0;0;0;0;0;0
18;1;1;1;1808.102959;1808.105656;1808.122193;781613;781613;781613;0;0;9771;9771;12505808;12505848;100.000;756.614;756.614;3001.404;3343.770;3001.404;16.534;2.898;3.103;31.908;15.370;16.538;18.765;51.829;2.696;17.283;33.162;0.171;0.328;0;0;0;0;0;0;0;0
19;1;1;1;1808.136687;1808.139398;1808.157600;780006;780006;780006;0;0;9751;9751;12480096;12480136;100.000;686.036;686.036;2995.233;3336.898;2995.233;18.198;3.105;3.323;35.407;17.205;18.202;18.259;51.407;2.711;19.356;33.743;0.409;0.333;0;0;0;0;0;0;0;0
20;1;1;1;1808.169852;1808.172582;1808.190866;780302;780302;780302;0;0;9754;9754;12484832;12484872;100.000;683.221;683.221;2996.369;3338.140;2996.369;18.281;3.478;3.702;33.266;14.982;18.284;20.250;54.963;2.730;19.289;33.183;0.150;0.321;0;0;0;0;0;0;0;0
21;1;1;1;1808.203074;1808.205771;1808.224407;779066;779066;779066;0;0;9739;9739;12465056;12465096;100.000;669.043;669.043;2991.623;3332.868;2991.623;18.633;3.539;3.763;33.542;14.905;18.637;20.193;55.562;2.696;19.497;33.189;0.144;0.310;0;0;0;0;0;0;0;0
22;1;1;1;1808.236483;1808.239214;1808.257714;778280;778280;778280;0;0;9729;9729;12452480;12452520;100.000;673.264;673.264;2988.605;3329.499;2988.605;18.496;3.640;3.866;33.307;14.807;18.500;20.896;55.543;2.731;19.471;33.444;0.110;0.298;0;0;0;0;0;0;0;0
23;1;1;1;1808.269670;1808.272431;1808.291677;778907;778907;778907;0;0;9737;9737;12462512;12462552;100.000;647.736;647.736;2991.012;3332.187;2991.012;19.244;3.871;4.115;33.963;14.716;19.246;21.383;56.669;2.761;20.100;33.216;0.117;0.286;0;0;0;0;0;0;0;0
24;1;1;1;1808.302676;1808.305527;1808.325707;779289;779289;779289;0;0;9742;9742;12468624;12468664;100.000;618.077;618.077;2992.479;3333.829;2992.479;20.176;4.254;4.501;34.029;13.850;20.179;22.305;59.299;2.851;20.796;33.097;0.237;0.283;0;0;0;0;0;0;0;0
25;1;1;1;1808.336016;1808.338908;1808.359188;779739;779739;779739;0;0;9747;9747;12475824;12475864;100.000;615.463;615.463;2994.207;3335.733;2994.207;20.277;4.548;4.814;33.481;13.202;20.280;23.736;60.570;2.892;20.944;33.381;0.048;0.269;0;0;0;0;0;0;0;0
