frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;1807.535932;1807.734208;1807.735609;784142;146318;146318;1829;1829;2341088;2341140;100.000;1673.274;1673.274;561.874;603.123;561.874;1.397;0.775;0.826;1.401;0.000;1.401;58.947;100.000;198.276;1.401;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;1807.569660;1807.767301;1807.768633;783406;144182;144182;1803;1803;2306912;2306964;100.000;1736.497;1736.497;553.671;594.335;553.671;1.327;0.667;0.717;33.024;31.692;1.332;53.823;4.034;197.641;1.092;33.093;0.241;0.015;0;0;0;0;0;0;0;0
3;1;1;1;1807.602865;1807.801614;1807.803171;780200;141754;141754;1772;1772;2268064;2268116;100.000;1460.783;1460.783;544.348;584.312;544.348;1.552;0.704;0.753;34.538;32.981;1.557;48.379;4.507;198.750;2.296;34.314;0.980;0.075;0;0;0;0;0;0;0;0
4;1;1;1;1807.637170;1807.836110;1807.837476;778467;139430;139430;1743;1743;2230880;2230932;100.000;1638.661;1638.661;535.424;574.733;535.424;1.361;0.768;0.816;34.305;32.939;1.366;59.738;3.982;198.940;3.268;34.495;1.162;0.143;0;0;0;0;0;0;0;0
5;1;1;1;1807.670320;1807.867090;1807.868594;776427;137802;137802;1723;1723;2204832;2204884;100.000;1473.335;1473.335;529.172;568.031;529.172;1.499;0.669;0.716;31.118;29.614;1.504;47.608;4.832;196.770;1.053;30.981;2.353;0.281;0;0;0;0;0;0;0;0
6;1;1;1;1807.702629;1807.902417;1807.903721;774893;137230;137230;1716;1716;2195680;2195732;100.000;1691.311;1691.311;526.976;565.676;526.976;1.298;0.716;0.763;35.127;33.823;1.304;58.535;3.713;199.788;2.846;35.327;1.993;0.388;0;0;0;0;0;0;0;0
7;1;1;1;1807.736782;1807.934272;1807.935819;775949;137590;137590;1720;1720;2201440;2201492;100.000;1429.295;1429.295;528.358;567.149;528.358;1.541;0.630;0.678;32.098;30.551;1.547;43.862;4.819;197.490;1.611;31.855;1.478;0.456;0;0;0;0;0;0;0;0
8;1;1;1;1807.769992;1807.967040;1807.968295;775463;137746;137746;1722;1722;2203936;2203988;100.000;1770.376;1770.376;528.957;567.793;528.957;1.249;0.740;0.788;32.476;31.222;1.254;62.779;3.863;197.048;0.753;32.768;0.565;0.463;0;0;0;0;0;0;0;0
9;1;1;1;1807.803448;1808.000233;1808.001489;775698;138024;138024;1726;1726;2208384;2208436;100.000;1771.491;1771.491;530.025;568.951;530.025;1.244;0.769;0.817;33.194;31.938;1.256;65.065;3.783;196.785;0.614;33.193;0.141;0.443;0;0;0;0;0;0;0;0
10;1;1;1;1807.836531;1808.032781;1808.034147;778020;138278;138278;1729;1729;2212448;2212500;100.000;1620.591;1620.591;531.000;569.994;531.000;1.361;0.619;0.666;32.658;31.293;1.366;48.746;4.182;196.250;-0.061;32.548;0.785;0.464;0;0;0;0;0;0;0;0
11;1;1;1;1807.869967;1808.066239;1808.067424;778554;139114;139114;1739;1739;2225824;2225876;100.000;1883.849;1883.849;534.210;573.430;534.210;1.180;0.628;0.689;33.277;32.092;1.185;58.151;3.560;196.271;-0.118;33.457;0.124;0.443;0;0;0;0;0;0;0;0
12;1;1;1;1807.903457;1808.099352;1808.100730;779986;140496;140496;1757;1757;2247936;2247988;100.000;1642.541;1642.541;539.517;579.143;539.517;1.373;0.590;0.638;33.306;31.928;1.378;46.296;4.137;195.895;-0.145;33.113;0.220;0.429;0;0;0;0;0;0;0;0
13;1;1;1;1807.936728;1808.133306;1808.134599;780926;142868;142868;1786;1786;2285888;2285940;100.000;1778.767;1778.767;548.626;588.905;548.626;1.289;0.760;0.810;33.869;32.576;1.294;62.596;3.819;196.577;0.391;33.954;0.620;0.441;0;0;0;0;0;0;0;0
14;1;1;1;1807.970034;1808.166215;1808.167730;782770;144928;144928;1812;1812;2318848;2318900;100.000;1536.302;1536.302;556.536;597.402;556.536;1.510;0.732;0.782;33.131;31.616;1.515;51.646;4.573;196.182;0.189;32.909;0.424;0.440;0;0;0;0;0;0;0;0
15;1;1;1;1808.003382;1808.199483;1808.200718;784474;146044;146044;1826;1826;2336704;2336756;100.000;1892.685;1892.685;560.821;602.004;560.821;1.231;0.652;0.702;32.988;31.753;1.235;56.852;3.745;196.101;-0.156;33.268;0.066;0.417;0;0;0;0;0;0;0;0
16;1;1;1;1808.036439;1808.232927;1808.234187;785193;145822;145822;1823;1823;2333152;2333204;100.000;1866.417;1866.417;559.969;601.083;559.969;1.255;0.662;0.712;33.468;32.209;1.260;56.500;3.764;196.488;-0.021;33.444;0.111;0.398;0;0;0;0;0;0;0;0
17;1;1;1;1808.069798;1808.265754;1808.267136;782720;144126;144126;1802;1802;2306016;2306068;100.000;1673.396;1673.396;553.456;594.097;553.456;1.376;0.620;0.669;32.949;31.567;1.381;48.435;4.192;195.956;-0.406;32.827;0.506;0.404;0;0;0;0;0;0;0;0
18;1;1;1;1808.102959;1808.297773;1808.298880;781613;141930;141930;1775;1775;2270880;2270932;100.000;2058.784;2058.784;545.024;585.055;545.024;1.102;0.605;0.654;31.744;30.637;1.107;59.027;3.488;194.813;-1.995;32.018;1.315;0.461;0;0;0;0;0;0;0;0
