frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;1807.535932;1807.734249;1807.735627;784142;178911;159140;146318;146318;1829;2341088;100.000;1698.621;561.874;603.123;22.816;88.949;18.660;0.000;0.000;0.865;1.378;62.758;198.316;199.695;199.695;1.378;0.000;0.000;0.000;0;0.000;0.000;0.000;2.238;4.457167;3.619090;6.985563;128.547282;8.112045;6.586744;12.713724;233.956053
2;1;1;0.000000;0.000000;1.000000;1807.569660;1807.767322;1807.768651;783406;169393;156499;144182;144182;1803;2306912;100.000;1736.108;553.671;594.335;21.623;92.388;18.405;0.000;0.000;0.696;1.329;52.374;197.662;198.991;198.991;1.069;33.073;0.260;0.016;0;0.000;0.000;0.000;2.187;3.943941;3.362951;6.503779;63.513048;7.177972;6.120571;11.836878;115.593747
3;1;1;0.000000;0.000000;1.000000;1807.602865;1807.801644;1807.803191;780200;164369;153953;141754;141754;1772;2268064;100.000;1465.707;544.348;584.312;21.068;93.663;18.169;0.000;0.000;0.660;1.547;42.628;198.779;200.327;200.327;2.276;34.322;0.988;0.077;0;0.000;0.000;0.000;2.142;3.673719;3.298429;6.203451;60.530911;6.686169;6.003140;11.290280;110.166258
4;1;1;0.000000;0.000000;1.000000;1807.637170;1807.836137;1807.837629;778467;160176;150044;139430;139430;1743;2230880;100.000;1495.722;535.424;574.733;20.576;93.674;17.911;0.000;0.000;0.995;1.492;66.719;198.967;200.459;200.459;3.380;34.493;1.160;0.145;0;0.000;0.000;0.000;2.082;3.811841;3.409525;6.458656;67.740997;6.937550;6.205335;11.754754;123.288614
5;1;1;0.000000;0.000000;1.000000;1807.670320;1807.867112;1807.868614;776427;157416;147596;137802;137802;1723;2204832;100.000;1467.756;529.172;568.031;20.274;93.762;17.748;0.000;0.000;0.706;1.502;47.011;196.792;198.294;198.294;1.032;30.975;2.358;0.283;0;0.000;0.000;0.000;2.101;3.514934;3.291736;6.098876;62.005648;6.397181;5.990959;11.099954;112.850280
6;1;1;0.000000;0.000000;1.000000;1807.702629;1807.902443;1807.903741;774893;155702;146729;137230;137230;1716;2195680;100.000;1691.007;526.976;565.676;20.093;94.237;17.710;0.000;0.000;0.659;1.298;50.720;199.813;201.112;201.112;2.826;35.331;1.997;0.390;0;0.000;0.000;0.000;2.083;3.415923;3.271662;6.009079;58.274314;6.216981;5.954425;10.936524;106.059252
7;1;1;0.000000;0.000000;1.000000;1807.736782;1807.934294;1807.935841;775949;155688;147260;137590;137590;1720;2201440;100.000;1423.174;528.358;567.149;20.064;94.587;17.732;0.000;0.000;0.690;1.547;44.609;197.512;199.059;199.059;1.592;31.851;1.482;0.458;0;0.000;0.000;0.000;2.084;3.418507;3.317651;6.064324;66.680490;6.221684;6.038125;11.037070;121.358492
8;1;1;0.000000;0.000000;1.000000;1807.769992;1807.967063;1807.968525;775463;154960;147284;137746;137746;1722;2203936;100.000;1507.356;528.957;567.793;19.983;95.046;17.763;0.000;0.000;1.022;1.462;69.883;197.071;198.533;198.533;0.943;32.769;0.565;0.465;0;0.000;0.000;0.000;2.106;3.332905;3.279545;5.951239;55.066732;6.065887;5.968771;10.831255;100.221453
9;1;1;0.000000;0.000000;1.000000;1807.803448;1808.000262;1808.001515;775698;154556;147480;138024;138024;1726;2208384;100.000;1761.802;530.025;568.951;19.925;95.422;17.794;0.000;0.000;0.851;1.254;67.907;196.813;198.067;198.067;0.600;33.199;0.135;0.444;0;0.000;0.000;0.000;2.110;3.254204;3.243129;5.854560;56.184161;5.922651;5.902494;10.655299;102.255172
10;1;1;0.000000;0.000000;1.000000;1807.836531;1808.032801;1808.034171;778020;153976;146817;138278;138278;1729;2212448;100.000;1615.473;531.000;569.994;19.791;95.351;17.773;0.000;0.000;0.655;1.370;47.847;196.270;197.639;197.639;-0.078;32.540;0.794;0.466;0;0.000;0.000;0.000;2.053;3.227644;3.208786;5.813537;57.142741;5.874312;5.839991;10.580637;103.999788
