frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;5211.108423;5211.110588;0.000;784142;9802;12546272;12546272;2286.268;2286.268;3011.115;3204.009;3011.115;2.869;2.165;5.488;1.263;10.522;10.523;99.998;79.419;1746;0;1746;55168;0
2;1;1;1;0;0.000;5211.142085;5211.144643;34.054;783406;9793;12534496;12534496;1641.544;1641.544;3008.289;3201.005;3008.289;3.197;2.558;7.636;2.263;13.391;13.391;99.997;80.897;2334;0;2334;73603;0
3;1;1;1;0;0.000;5211.175414;5211.179666;35.023;780200;9753;12483200;12483200;1449.469;1449.469;2995.978;3187.907;2995.978;3.193;4.252;8.612;2.510;16.057;16.058;99.995;73.517;0;0;0;0;0
4;1;1;1;0;0.000;5211.211249;5211.215562;35.896;778467;9731;12455472;12455472;1782.809;1782.809;2989.323;3180.819;2989.323;5.693;4.313;6.986;1.957;16.993;16.993;99.999;74.620;454;0;454;13571;0
5;1;1;1;0;0.000;5211.242955;5211.245952;30.391;776427;9706;12422832;12422832;1773.806;1773.806;2981.489;3172.494;2981.489;4.067;2.997;7.004;2.013;14.068;14.068;99.997;78.693;1278;0;1278;40126;0
6;1;1;1;0;0.000;5211.276957;5211.280371;34.419;774893;9687;12398288;12398288;1600.222;1600.222;2975.599;3166.229;2975.599;4.736;3.414;7.748;2.302;15.898;15.899;99.997;78.521;0;0;0;0;0
7;1;1;1;0;0.000;5211.311370;5211.315730;35.359;775949;9700;12415184;12415184;1867.940;1867.940;2979.654;3170.540;2979.654;5.816;4.360;6.646;1.959;16.823;16.823;99.999;74.080;589;0;589;17924;0
8;1;1;1;0;0.000;5211.342151;5211.345260;29.530;775463;9694;12407408;12407408;1207.111;1207.111;2977.788;3168.556;2977.788;3.263;3.109;10.279;2.947;16.651;16.651;99.999;81.327;16;0;16;480;0
9;1;1;1;0;0.000;5211.375548;5211.377987;32.727;775698;9697;12411168;12411168;1103.823;1103.823;2978.690;3169.517;2978.690;3.327;2.439;11.244;3.265;17.010;17.010;99.999;85.659;1161;0;1161;35943;0
10;1;1;1;0;0.000;5211.408819;5211.411214;33.227;778020;9726;12448320;12448320;1085.796;1085.796;2987.606;3179.004;2987.606;3.261;2.395;11.465;3.002;17.121;17.122;99.999;86.008;1599;0;1599;51120;0
11;1;1;1;0;0.000;5211.442520;5211.444862;33.647;778554;9732;12456864;12456864;1038.893;1038.893;2989.657;3181.173;2989.657;3.632;2.341;11.991;3.146;17.964;17.964;99.999;86.966;2122;0;2122;66840;0
12;1;1;1;0;0.000;5211.475918;5211.478229;33.368;779986;9750;12479776;12479776;1071.324;1071.324;2995.156;3187.026;2995.156;3.697;2.311;11.649;3.014;17.658;17.658;99.998;86.908;1893;0;1893;60286;0
13;1;1;1;0;0.000;5211.508803;5211.511106;32.876;780926;9762;12494816;12494816;1094.807;1094.807;2998.765;3190.872;2998.765;3.250;2.302;11.413;3.146;16.964;16.965;99.998;86.428;1300;0;1300;40310;0
14;1;1;1;0;0.000;5211.542855;5211.547028;35.922;782770;9785;12524320;12524320;1232.413;1232.413;3005.846;3198.406;3005.846;3.967;4.173;10.162;2.923;18.303;18.303;99.999;77.199;447;0;447;14122;0
15;1;1;1;0;0.000;5211.576679;5211.580482;33.454;784474;9806;12551584;12551584;1110.535;1110.535;3012.390;3205.362;3012.390;4.458;3.804;11.302;3.215;19.564;19.565;99.999;80.558;2307;0;2307;73824;0
16;1;1;1;0;0.000;5211.608868;5211.611299;30.816;785193;9815;12563088;12563088;1122.464;1122.464;3015.151;3208.300;3015.151;3.314;2.430;11.192;2.987;16.937;16.937;99.998;85.651;1706;0;1706;54331;0
17;1;1;1;0;0.000;5211.642120;5211.646035;34.736;782720;9784;12523520;12523520;1188.323;1188.323;3005.654;3198.194;3005.654;3.232;3.915;10.539;3.050;17.686;17.687;99.997;77.862;0;0;0;0;0
18;1;1;1;0;0.000;5211.677465;5211.681954;35.919;781613;9771;12505808;12505808;1210.604;1210.604;3001.404;3193.687;3001.404;5.244;4.489;10.330;2.978;20.063;20.063;99.997;77.623;172;0;172;5504;0
19;1;1;1;0;0.000;5211.708548;5211.710993;29.039;780006;9751;12480096;12480096;1136.574;1136.574;2995.233;3187.123;2995.233;2.995;2.445;10.980;2.792;16.420;16.420;99.999;85.111;1627;0;1627;51785;0
20;1;1;1;0;0.000;5211.741984;5211.745987;34.994;780302;9754;12484832;12484832;1128.470;1128.470;2996.369;3188.318;2996.369;3.097;4.003;11.064;3.202;18.163;18.163;99.999;77.963;0;0;0;0;0
21;1;1;1;0;0.000;5211.777377;5211.781593;35.607;779066;9739;12465056;12465056;1125.014;1125.014;2991.623;3183.277;2991.623;5.157;4.216;11.080;3.284;20.453;20.453;99.999;79.386;673;0;673;20843;0
22;1;1;1;0;0.000;5211.808551;5211.810961;29.368;778280;9729;12452480;12452480;1116.268;1116.268;2988.605;3180.062;2988.605;2.997;2.410;11.155;2.963;16.563;16.563;99.996;85.447;1564;0;1564;48560;0
23;1;1;1;0;0.000;5211.842041;5211.846132;35.171;778907;9737;12462512;12462512;1140.728;1140.728;2991.012;3182.627;2991.012;3.153;4.091;10.925;3.185;18.170;18.170;99.997;77.480;706;0;706;21787;0
24;1;1;1;0;0.000;5211.875801;5211.879766;33.634;779289;9742;12468624;12468624;1124.085;1124.085;2992.479;3184.192;2992.479;3.580;3.965;11.092;3.076;18.638;18.638;99.998;78.723;1931;0;1931;61126;0
25;1;1;1;0;0.000;5211.908614;5211.911040;31.274;779739;9747;12475824;12475824;1108.420;1108.420;2994.207;3186.019;2994.207;3.060;2.425;11.256;3.221;16.741;16.741;99.999;85.511;1135;0;1135;35956;0
26;1;1;1;0;0.000;5211.941968;5211.945292;34.253;779364;9743;12469824;12469824;1138.359;1138.359;2992.767;3184.500;2992.767;3.081;3.324;10.954;3.329;17.359;17.359;99.999;80.849;1207;0;1207;38063;0
27;1;1;1;0;0.000;5211.975356;5211.977911;32.618;780025;9751;12480400;12480400;1104.982;1104.982;2995.306;3187.196;2995.306;3.135;2.555;11.295;3.212;16.984;16.985;99.999;84.958;1658;0;1658;52795;0
28;1;1;1;0;0.000;5212.008667;5212.011435;33.525;780373;9755;12485968;12485968;1073.859;1073.859;2996.642;3188.611;2996.642;3.112;2.768;11.627;3.264;17.508;17.508;99.997;84.184;1158;0;1158;36976;0
29;1;1;1;0;0.000;5212.041941;5212.044446;33.011;781651;9771;12506416;12506416;1056.928;1056.928;3001.549;3193.833;3001.549;3.054;2.505;11.833;3.338;17.391;17.392;99.998;85.597;1196;0;1196;37495;0
30;1;1;1;0;0.000;5212.075302;5212.077870;33.424;781375;9768;12502000;12502000;1060.079;1060.079;3000.490;3192.714;3000.490;3.081;2.567;11.794;3.253;17.442;17.443;99.999;85.280;1315;0;1315;41312;0
31;1;1;1;0;0.000;5212.108931;5212.111570;33.700;784392;9805;12550272;12550272;998.844;998.844;3012.075;3205.028;3012.075;3.377;2.639;12.565;3.364;18.580;18.580;99.999;85.798;1962;0;1962;62119;0
32;1;1;1;0;0.000;5212.141649;5212.144193;32.624;782671;9784;12522736;12522736;1148.069;1148.069;3005.466;3198.006;3005.466;2.762;2.544;10.908;2.955;16.214;16.214;99.998;84.306;1310;0;1310;41920;0
33;1;1;1;0;0.000;5212.175464;5212.178051;33.858;776999;9713;12431984;12431984;1100.798;1100.798;2983.686;3174.828;2983.686;3.244;2.587;11.294;3.205;17.124;17.124;99.999;84.893;1654;0;1654;52478;0
34;1;1;1;0;0.000;5212.208564;5212.210917;32.866;778650;9734;12458400;12458400;1043.806;1043.806;2990.026;3181.581;2990.026;3.010;2.354;11.936;3.174;17.299;17.299;99.999;86.393;2278;0;2278;71960;0
35;1;1;1;0;0.000;5212.242112;5212.244613;33.696;778007;9726;12448112;12448112;1127.669;1127.669;2987.556;3178.955;2987.556;3.224;2.502;11.039;3.146;16.765;16.765;99.999;85.077;1074;0;1074;34318;0
36;1;1;1;0;0.000;5212.275448;5212.279830;35.217;776483;9707;12423728;12423728;1141.429;1141.429;2981.704;3172.728;2981.704;3.228;4.382;10.884;3.140;18.494;18.494;100.000;76.308;379;0;379;11435;0
