frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;5211.108423;5211.168183;5211.298014;784142;142128;146318;143;1829;142128;158716;100.000;4.309;4.809;561.874;603.123;38.092;178911;159140;146318;0.216;0.126;0.078;2.942;1.568;0.097;31.052;29.406;129.776;129.831;128.248;23.917;22.929;1.385;0.191;0.947;59.760;189.592;129.831;0.000;0.000;0.000;0.000;0.055;0.000;71;26.542;125.249;6;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;5211.142085;5211.201232;5211.333436;783406;28952;144182;29;1803;28952;32316;100.000;0.830;0.924;553.671;594.335;7.756;169393;156499;144182;0.208;0.127;0.081;2.178;1.809;0.100;39.917;38.027;111.520;132.204;130.367;30.194;29.169;1.376;0.299;0.087;59.147;191.351;131.920;33.049;0.284;0.018;0.000;20.684;0.000;35;35.930;107.504;2;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;5211.175414;5211.236259;5211.369156;780200;22936;141754;23;1772;22936;25604;100.000;0.743;0.826;544.348;584.312;6.145;164369;153953;141754;0.209;0.119;0.074;2.413;1.472;0.405;39.699;38.153;131.984;132.897;131.393;29.872;29.038;1.631;0.283;0.097;60.845;193.742;134.306;35.027;1.693;0.123;0.000;0.913;0.001;23;35.814;128.064;2;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;5211.211249;5211.267287;5211.405661;778467;22748;139430;23;1743;22748;25416;100.000;0.814;0.906;535.424;574.733;6.100;160176;150044;139430;0.211;0.119;0.074;4.672;1.227;0.063;40.393;39.092;138.355;138.374;137.121;29.191;28.509;1.644;1.203;1.421;56.039;194.412;137.478;31.029;2.305;0.259;0.000;0.019;0.000;15;34.495;132.428;4;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;5211.242955;5211.295398;5211.439828;776427;22184;137802;23;1723;22184;24852;100.000;0.543;0.606;529.172;568.031;5.964;157416;147596;137802;0.237;0.116;0.071;4.717;1.489;0.382;40.065;38.506;144.411;144.430;142.919;27.740;26.943;1.666;1.199;1.428;52.443;196.873;138.312;28.111;5.223;0.569;0.000;0.019;0.000;14;33.860;138.182;4;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;5211.276957;5211.336469;5211.473599;774893;24440;137230;25;1716;24440;27340;100.000;0.716;0.798;526.976;565.676;6.562;155704;146684;137230;0.210;0.117;0.073;4.668;1.369;0.074;39.968;38.526;137.101;137.131;135.733;29.146;28.383;1.629;1.199;1.441;59.512;196.643;138.750;41.071;7.737;1.017;0.000;0.030;0.000;14;33.930;131.033;3;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;5211.311370;5211.370767;5211.505736;775949;24816;137590;25;1720;24816;27716;100.000;0.732;0.815;528.358;567.149;6.652;155769;147285;137590;0.257;0.118;0.074;3.012;1.095;0.300;38.184;37.016;134.932;134.969;133.859;28.291;27.653;1.367;0.180;1.017;59.398;194.367;137.553;34.299;0.965;1.014;0.000;0.037;0.000;21;34.078;130.809;3;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;5211.342151;5211.404883;5211.540980;775463;26320;137746;27;1722;26320;29452;100.000;0.780;0.870;528.957;567.793;7.068;154945;147291;137746;0.194;0.109;0.067;2.077;1.257;0.072;39.333;38.010;136.070;136.097;134.811;28.900;28.195;1.426;0.186;0.097;62.732;198.829;139.463;34.115;0.782;0.999;0.000;0.027;0.000;14;35.999;132.705;4;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;5211.375548;5211.438774;5211.570152;775698;26320;138024;27;1726;26320;29452;100.000;0.778;0.867;530.025;568.951;7.068;154624;147515;138024;0.199;0.114;0.070;2.207;1.470;0.091;32.496;30.956;131.349;131.379;129.880;24.734;23.834;1.450;0.272;0.103;63.226;194.605;135.302;33.891;0.558;0.972;0.000;0.029;0.000;16;28.818;127.633;3;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;5211.408819;5211.472848;5211.598239;778020;25380;138278;26;1729;25380;28396;100.000;0.806;0.899;531.000;569.994;6.815;153992;146840;138278;0.183;0.108;0.067;2.226;1.313;0.342;31.771;30.392;125.366;125.391;124.060;25.338;24.498;1.604;0.182;0.083;64.030;189.420;130.056;34.075;0.741;0.957;0.000;0.024;0.000;17;28.233;121.808;3;0;0;0;0;0;0;0
11;1;1;1;0.000000;0.000000;1.000000;5211.442520;5211.504483;5211.638365;778554;24064;139114;25;1739;24064;26964;100.000;0.753;0.840;534.210;573.430;6.471;154581;147771;139114;0.187;0.105;0.065;2.434;0.986;0.058;43.657;42.606;133.855;133.882;132.872;32.608;32.065;1.817;0.184;0.077;61.963;195.845;136.848;31.635;1.699;1.004;0.000;0.027;0.000;13;40.236;130.410;4;0;0;0;0;0;0;0
12;1;1;1;0.000000;0.000000;1.000000;5211.475918;5211.536631;5211.670351;779986;25756;140496;26;1757;25756;28772;100.000;0.946;1.053;539.517;579.143;6.905;155588;149026;140496;0.445;0.113;0.070;2.739;1.472;0.408;35.403;33.861;133.611;133.720;132.224;26.475;25.609;1.485;0.293;0.334;60.713;194.433;135.501;32.148;1.185;1.015;0.000;0.109;0.000;26;31.192;129.375;2;0;0;0;0;0;0;0
13;1;1;1;0.000000;0.000000;1.000000;5211.508803;5211.564014;5211.697643;780926;26320;142868;27;1786;26320;29452;100.000;0.643;0.717;548.626;588.905;7.068;157785;151108;142868;0.188;0.104;0.066;2.237;1.103;0.068;31.504;30.336;133.580;133.629;132.507;23.576;22.894;1.584;0.191;0.104;55.210;188.840;129.460;27.383;5.950;1.324;0.000;0.050;0.001;23;28.165;130.219;3;0;0;0;0;0;0;0
14;1;1;1;0.000000;0.000000;1.000000;5211.542855;5211.605141;5211.738341;782770;26696;144928;27;1812;26696;29828;100.000;0.845;0.941;556.536;597.402;7.159;159421;153009;144928;0.198;0.111;0.067;2.764;1.477;0.460;44.031;42.488;133.192;133.199;131.700;33.056;32.261;1.494;0.190;0.704;62.287;195.486;136.824;41.128;7.794;1.728;0.000;0.007;0.000;22;39.790;128.927;3;0;0;0;0;0;0;0
15;1;1;1;0.000000;0.000000;1.000000;5211.576679;5211.636897;5211.769989;784474;27260;146044;28;1826;27260;30508;100.000;0.930;1.038;560.821;602.004;7.322;159965;153314;146044;0.201;0.111;0.070;2.217;1.523;0.090;35.882;34.290;133.050;133.092;131.542;26.960;26.068;1.434;0.291;0.111;60.218;193.310;135.139;31.755;1.578;1.719;0.000;0.041;0.000;18;32.143;129.283;4;0;0;0;0;0;0;0
16;1;1;1;0.000000;0.000000;1.000000;5211.608868;5211.666354;5211.800117;785193;131788;145822;132;1823;131788;147100;100.000;3.340;3.725;559.969;601.083;35.304;177968;156948;145822;0.222;0.109;0.066;2.123;1.202;0.068;33.865;32.598;133.720;133.763;132.535;25.317;24.596;1.439;0.192;0.095;57.485;191.248;131.933;29.457;3.876;1.853;0.000;0.043;0.000;44;30.541;130.368;5;0;0;0;0;0;0;0
17;1;1;1;0.000000;0.000000;1.000000;5211.642120;5211.705923;5211.838203;782720;28764;144126;29;1802;28764;32128;100.000;0.939;1.045;553.456;594.097;7.711;169127;155796;144126;0.196;0.110;0.068;2.697;1.145;0.355;41.415;40.203;132.270;132.279;131.116;31.309;30.662;1.526;0.188;0.611;63.804;196.083;136.686;39.569;6.236;2.127;0.000;0.010;0.000;23;37.573;128.409;3;0;0;0;0;0;0;0
18;1;1;1;0.000000;0.000000;1.000000;5211.677465;5211.736682;5211.871359;781613;23124;141930;24;1775;23124;25908;100.000;0.806;0.899;545.024;585.055;6.218;164376;152343;141930;0.192;0.111;0.072;2.429;1.038;0.057;36.997;35.887;134.647;134.677;133.622;27.471;26.857;1.738;0.208;0.109;59.217;193.894;136.509;30.758;2.575;2.155;0.000;0.030;0.000;18;33.530;131.162;4;0;0;0;0;0;0;0
19;1;1;1;0.000000;0.000000;1.000000;5211.708548;5211.765519;5211.898685;780006;22372;139740;23;1747;22372;25040;100.000;0.557;0.621;536.614;576.014;6.010;160684;150225;139740;0.181;0.106;0.065;1.990;1.321;0.373;30.770;29.384;133.141;133.166;131.819;23.106;22.291;1.375;0.184;0.079;56.971;190.137;130.502;28.837;4.496;2.302;0.000;0.025;0.000;24;27.459;129.792;2;0;0;0;0;0;0;0
20;1;1;1;0.000000;0.000000;1.000000;5211.741984;5211.805880;5211.936024;780302;22936;138346;23;1730;22936;25604;100.000;0.743;0.827;531.261;570.277;6.145;157894;148300;138346;0.191;0.109;0.068;2.317;1.101;0.069;40.655;39.487;130.109;130.145;129.027;31.238;30.603;1.638;0.205;0.107;63.896;194.040;134.508;40.361;7.028;2.597;0.000;0.035;0.000;17;37.237;126.672;4;0;0;0;0;0;0;0
21;1;1;1;0.000000;0.000000;1.000000;5211.777377;5211.836895;5211.969229;779066;24816;137844;25;1724;24816;27716;100.000;0.864;0.962;529.333;568.214;6.652;156303;147479;137844;0.229;0.108;0.067;2.239;1.777;0.438;36.603;34.759;132.293;132.333;130.522;27.660;26.631;1.449;0.280;0.107;59.518;191.852;134.379;31.015;2.318;2.580;0.000;0.041;0.000;23;32.587;128.241;3;0;0;0;0;0;0;0
22;1;1;1;0.000000;0.000000;1.000000;5211.808551;5211.865760;5212.002636;778280;24816;138092;25;1727;24816;27716;100.000;0.638;0.710;530.286;569.234;6.652;156434;148303;138092;0.229;0.108;0.067;2.501;0.919;0.058;37.429;36.443;136.788;136.876;135.931;27.345;26.810;1.716;0.283;0.099;57.209;194.085;134.453;28.864;4.469;2.698;0.000;0.088;0.000;25;34.008;133.340;2;0;0;0;0;0;0;0
23;1;1;1;0.000000;0.000000;1.000000;5211.842041;5211.904825;5212.035982;778907;25944;138240;26;1728;25944;28960;100.000;0.796;0.886;530.854;569.825;6.950;155826;148511;138240;0.194;0.109;0.067;2.353;1.274;0.080;36.767;35.427;131.126;131.157;129.861;28.033;27.280;1.619;0.278;0.086;62.784;193.942;134.466;39.065;5.732;2.887;0.000;0.031;0.000;17;33.140;127.476;4;0;0;0;0;0;0;0
24;1;1;1;0.000000;0.000000;1.000000;5211.875801;5211.937567;5212.070151;779289;24252;138556;25;1732;24252;27152;100.000;0.719;0.802;532.068;571.129;6.516;155133;147900;138556;0.190;0.109;0.067;2.412;1.227;0.359;37.797;36.503;132.558;132.584;131.338;28.508;27.793;1.682;0.253;0.112;61.766;194.351;135.301;32.742;0.591;2.744;0.000;0.026;0.001;13;34.158;128.898;4;0;0;0;0;0;0;0
25;1;1;1;0.000000;0.000000;1.000000;5211.908614;5211.971463;5212.106298;779739;25004;138952;26;1737;25004;28020;100.000;0.762;0.850;533.588;572.762;6.725;154951;148061;138952;0.218;0.103;0.063;4.522;1.191;0.070;39.782;38.527;134.818;134.836;133.625;29.504;28.832;1.637;1.208;1.291;62.848;197.684;138.115;33.896;0.562;2.607;0.000;0.018;0.001;15;34.069;129.084;4;0;0;0;0;0;0;0
26;1;1;1;0.000000;0.000000;1.000000;5211.941968;5212.004460;5212.137809;779364;26508;139454;27;1744;26508;29640;100.000;0.790;0.881;535.516;574.848;7.114;155091;148214;139454;0.237;0.111;0.069;2.468;1.414;0.361;37.219;35.737;133.313;133.349;131.916;27.911;27.090;1.648;0.295;0.109;62.492;195.841;136.293;32.997;0.336;2.465;0.000;0.036;0.001;13;33.337;129.410;4;0;0;0;0;0;0;0
27;1;1;1;0.000000;0.000000;1.000000;5211.975356;5212.038160;5212.171562;780025;26320;140520;27;1757;26320;29452;100.000;0.791;0.882;539.609;579.235;7.068;155666;148911;140520;0.198;0.110;0.068;2.653;1.010;0.059;37.627;36.549;133.373;133.402;132.368;28.206;27.612;1.545;0.190;0.543;62.804;196.206;136.712;33.700;0.367;2.334;0.000;0.029;0.000;13;33.963;129.684;4;0;0;0;0;0;0;0
