frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;5211.108423;5211.110714;5211.144421;5211.201182;784142;784142;784142;9802;143;12546272;12546312;100.000;924.414;924.414;34.132;38.572;3011.115;10.492;0.000;0.000;13.580;6.489;0.004;30.561;30.561;76.895;90.467;33.707;33.781;90.667;1.633;0.916;0.505;1.396;9.130;2.292;92.759;90.467;0.000;0.000;0.000;0.000;0.012;0.052;13.595;0.408;0;1;30.173;30.175;nan;nan;nan;142128;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;5211.142085;5211.145504;5211.175236;5211.236206;783406;783406;783406;9793;29;12534496;12534536;100.000;843.116;843.116;6.970;7.853;3008.289;2.799;0.000;0.000;4.313;10.241;0.001;17.352;17.352;75.834;90.701;29.732;19.131;58.362;1.466;0.916;0.506;1.398;0.026;3.420;94.121;92.158;34.790;1.457;0.091;1.457;0.011;0.299;11.277;0.338;0;2;36.184;36.185;nan;nan;nan;28952;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;5211.175414;5211.180805;5211.209461;5211.267237;780200;780200;780200;9753;23;12483200;12483240;100.000;779.789;779.789;5.526;6.222;2995.978;3.923;0.000;0.000;4.349;7.378;0.002;15.651;15.651;70.424;86.432;28.656;18.108;54.616;1.485;0.924;0.521;1.393;0.027;5.391;91.823;89.856;35.301;1.967;0.208;1.967;0.002;0.917;9.548;0.286;0;2;34.120;34.121;nan;nan;nan;22936;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;5211.211249;5211.216239;5211.244430;5211.295348;778467;778467;778467;9731;23;12455472;12455512;100.000;857.598;857.598;5.481;6.177;2989.323;3.396;0.000;0.000;5.424;7.265;0.002;16.086;16.086;64.585;79.109;28.191;20.334;57.060;2.452;0.897;0.507;1.452;0.116;4.990;84.099;84.633;35.434;2.101;0.327;2.101;0.002;0.975;8.519;0.256;0;2;30.069;30.070;nan;nan;nan;22748;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;5211.242955;5211.246753;5211.273306;5211.336416;776427;776427;776427;9706;23;12422832;12422872;100.000;798.827;798.827;5.345;6.042;2981.489;3.000;0.000;0.000;4.905;6.070;0.001;13.975;13.975;74.111;89.663;26.553;15.586;52.630;2.023;0.910;0.500;1.441;0.032;3.798;93.461;92.368;30.515;2.819;0.482;2.819;0.002;0.024;4.917;0.148;0;2;28.107;28.108;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;5211.276957;5211.281140;5211.309588;5211.370714;774893;774893;774893;9687;25;12398288;12398328;100.000;789.316;789.316;5.887;6.646;2975.599;3.606;0.000;0.000;5.010;7.271;0.001;15.887;15.887;73.866;89.574;28.448;17.736;55.846;2.153;0.912;0.521;1.394;0.029;4.183;93.757;93.333;34.387;1.053;0.518;1.053;0.003;0.456;4.943;0.148;0;1;34.096;34.097;nan;nan;nan;24440;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;5211.311370;5211.316332;5211.343889;5211.404788;775949;775949;775949;9700;25;12415184;12415224;100.000;844.723;844.723;5.977;6.736;2979.654;3.201;0.000;0.000;5.367;6.490;0.001;15.058;15.058;73.758;88.455;27.557;17.023;54.642;2.547;0.903;0.496;1.397;0.025;4.962;93.418;94.073;35.192;1.859;0.602;1.859;0.002;1.000;5.052;0.152;0;2;33.312;33.313;nan;nan;nan;24816;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;5211.342151;5211.346504;5211.378495;5211.438706;775463;775463;775463;9694;27;12407408;12407448;100.000;678.965;678.965;6.338;7.159;2977.788;3.999;0.000;0.000;5.914;7.017;0.001;16.929;16.929;73.928;92.203;31.991;18.361;52.918;3.196;0.823;0.469;1.391;0.034;4.353;96.556;94.659;30.171;3.162;0.762;3.162;0.002;0.783;5.271;0.158;0;2;33.306;33.307;nan;nan;nan;26320;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;5211.375548;5211.379221;5211.413579;5211.472718;775698;775698;775698;9697;27;12411168;12411208;100.000;642.468;642.468;6.338;7.159;2978.690;3.914;0.000;0.000;6.225;8.016;0.002;18.155;18.155;74.178;93.497;34.358;19.418;52.841;3.237;0.880;0.471;1.604;0.033;3.674;97.170;95.337;32.718;0.616;0.753;0.616;0.002;0.795;5.512;0.165;0;2;33.140;33.141;nan;nan;nan;26320;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;5211.408819;5211.411940;5211.446795;5211.504431;778020;778020;778020;9726;26;12448320;12448360;100.000;618.356;618.356;6.112;6.902;2987.606;3.995;0.000;0.000;6.614;7.151;0.003;17.760;17.760;72.359;92.491;34.855;19.202;50.955;3.277;1.229;0.467;1.608;0.032;3.121;95.612;93.716;32.718;0.615;0.744;0.615;0.003;0.955;5.791;0.174;0;2;33.061;33.072;nan;nan;nan;25380;1;0;0;0;0;0;0
