frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;5211.108423;5211.110634;5211.124270;784142;784142;784142;9802;9802;12546272;12546312;100.000;1394.742;1394.742;3011.115;3382.797;3011.115;13.620;0.733;9.439;5.615;2.619;13.636;0.000;13.636;69.221;100.000;2.211;13.636;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;5211.142085;5211.145436;5211.160366;783406;783406;783406;9793;9793;12534496;12534536;100.000;1217.353;1217.353;3008.289;3379.630;3008.289;14.905;0.849;9.848;5.871;2.601;36.096;21.166;14.930;65.962;41.363;3.351;16.399;34.802;1.469;0.092;0;0;0;0;0;0;0;0
3;1;1;1;5211.175414;5211.180715;5211.196788;780200;780200;780200;9753;9753;12483200;12483240;100.000;1099.587;1099.587;2995.978;3365.802;2995.978;16.055;1.477;10.356;5.670;2.636;36.422;20.349;16.073;64.432;44.129;5.302;19.487;35.279;1.946;0.208;0;0;0;0;0;0;0;0
4;1;1;1;5211.211249;5211.216171;5211.230755;778467;778467;778467;9731;9731;12455472;12455512;100.000;1261.793;1261.793;2989.323;3358.313;2989.323;14.568;0.862;9.673;5.677;2.597;33.967;19.383;14.584;66.325;42.936;4.922;20.121;35.455;2.122;0.327;0;0;0;0;0;0;0;0
5;1;1;1;5211.242955;5211.246693;5211.262288;776427;776427;776427;9706;9706;12422832;12422872;100.000;1152.493;1152.493;2981.489;3349.531;2981.489;15.573;1.011;10.014;5.739;2.703;31.533;15.939;15.595;64.212;49.455;3.738;18.320;30.522;2.811;0.483;0;0;0;0;0;0;0;0
6;1;1;1;5211.276957;5211.281072;5211.296812;774893;774893;774893;9687;9687;12398288;12398328;100.000;1124.142;1124.142;2975.599;3342.920;2975.599;15.723;1.348;10.188;5.654;2.611;34.524;18.784;15.740;64.726;45.590;4.115;19.511;34.379;1.046;0.518;0;0;0;0;0;0;0;0
7;1;1;1;5211.311370;5211.316276;5211.331022;775949;775949;775949;9700;9700;12415184;12415224;100.000;1238.569;1238.569;2979.654;3347.468;2979.654;14.729;0.938;9.739;5.601;2.666;34.210;19.464;14.746;66.046;43.103;4.906;20.387;35.204;1.871;0.602;0;0;0;0;0;0;0;0
8;1;1;1;5211.342151;5211.346380;5211.364741;775463;775463;775463;9694;9694;12407408;12407448;100.000;910.462;910.462;2977.788;3345.374;2977.788;18.315;1.758;11.099;5.988;2.656;33.720;15.359;18.361;60.449;54.452;4.229;20.774;30.104;3.229;0.766;0;0;0;0;0;0;0;0
9;1;1;1;5211.375548;5211.379102;5211.398524;775698;775698;775698;9697;9697;12411168;12411208;100.000;847.267;847.267;2978.690;3346.391;2978.690;19.391;1.294;11.410;6.677;2.663;33.783;14.360;19.423;58.747;57.492;3.554;21.224;32.722;0.612;0.757;0;0;0;0;0;0;0;0
10;1;1;1;5211.408819;5211.411885;5211.432038;778020;778020;778020;9726;9726;12448320;12448360;100.000;810.066;810.066;2987.606;3356.407;2987.606;20.136;1.529;11.775;6.759;2.664;33.513;13.361;20.152;58.430;60.132;3.067;21.404;32.784;0.550;0.744;0;0;0;0;0;0;0;0
