frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;5211.108423;5211.296455;5211.298030;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;1487.702;1487.702;561.874;606.635;561.874;1.573;0.669;0.714;1.575;0.000;1.575;45.350;100.000;188.033;1.575;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;5211.142085;5211.331637;5211.333447;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;1277.270;1277.270;553.671;597.796;553.671;1.808;0.701;0.741;35.417;33.607;1.810;40.954;5.111;189.552;3.659;35.182;1.848;0.116;0;0;0;0;0;0;0;0
3;1;1;1;5211.175414;5211.367698;5211.369162;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;1551.320;1551.320;544.348;587.714;544.348;1.461;0.434;0.472;35.715;34.251;1.464;32.240;4.100;192.284;6.040;36.061;2.728;0.279;0;0;0;0;0;0;0;0
4;1;1;1;5211.211249;5211.404448;5211.405670;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;1832.241;1832.241;535.424;578.080;535.424;1.218;0.462;0.504;36.507;35.286;1.222;41.284;3.346;193.199;9.214;36.750;3.417;0.475;0;0;0;0;0;0;0;0
5;1;1;1;5211.242955;5211.438351;5211.439839;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1488.197;1488.197;529.172;571.339;529.172;1.484;0.538;0.580;34.170;32.682;1.488;38.991;4.355;195.396;10.051;33.903;0.570;0.481;0;0;0;0;0;0;0;0
6;1;1;1;5211.276957;5211.472247;5211.473610;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;1617.505;1617.505;526.976;568.971;526.976;1.358;0.620;0.664;33.771;32.408;1.363;48.708;4.035;195.290;10.488;33.896;0.563;0.486;0;0;0;0;0;0;0;0
7;1;1;1;5211.311370;5211.504650;5211.505752;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;2006.683;2006.683;528.358;570.451;528.358;1.099;0.434;0.473;32.142;31.040;1.103;42.939;3.430;193.280;9.297;32.402;0.931;0.514;0;0;0;0;0;0;0;0
8;1;1;1;5211.342151;5211.539738;5211.540992;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;1767.611;1767.611;528.957;571.099;528.957;1.243;0.584;0.623;35.240;33.985;1.254;49.698;3.560;197.587;11.203;35.088;1.755;0.591;0;0;0;0;0;0;0;0
9;1;1;1;5211.375548;5211.568698;5211.570164;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;1513.266;1513.266;530.025;572.265;530.025;1.462;0.633;0.676;29.172;27.706;1.466;46.079;5.025;193.150;7.042;28.960;4.373;0.828;0;0;0;0;0;0;0;0
10;1;1;1;5211.408819;5211.596933;5211.598251;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;1679.189;1679.189;531.000;573.313;531.000;1.315;0.492;0.529;28.087;26.769;1.318;40.103;4.692;188.114;1.796;28.235;5.098;1.095;0;0;0;0;0;0;0;0
11;1;1;1;5211.442520;5211.637386;5211.638375;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;2257.042;2257.042;534.210;576.768;534.210;0.986;0.434;0.473;40.124;39.135;0.989;47.836;2.464;194.866;8.586;40.453;7.120;1.471;0;0;0;0;0;0;0;0
12;1;1;1;5211.475918;5211.668891;5211.670362;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;1535.458;1535.458;539.517;582.516;539.517;1.466;0.477;0.515;31.987;30.517;1.470;35.034;4.596;192.974;7.240;31.505;1.828;1.493;0;0;0;0;0;0;0;0
