frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;5211.108423;5211.168165;5211.201184;784142;0;0;142128;142128;143;143;142128;142216;100.000;4.307;4.307;34.132;38.572;34.132;33.010;0.029;0.033;33.018;0.000;33.018;0.100;100.000;59.743;33.018;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;5211.142085;5211.201224;5211.236210;783406;0;0;28952;28952;29;29;28952;29040;100.000;0.830;0.830;6.970;7.853;6.970;34.985;0.006;0.007;35.027;0.040;34.987;0.019;99.886;59.139;34.712;33.059;0.275;0.017;0;0;0;0;0;0;0;0
3;1;1;1;5211.175414;5211.236247;5211.267243;780200;0;0;22936;22936;23;23;22936;23024;100.000;0.743;0.743;5.526;6.222;5.526;30.993;0.009;0.010;31.033;0.036;30.996;0.033;99.883;60.833;32.411;35.023;1.690;0.122;0;0;0;0;0;0;0;0
4;1;1;1;5211.211249;5211.267277;5211.295353;778467;0;0;22748;22748;23;23;22748;22836;100.000;0.813;0.813;5.481;6.177;5.481;28.073;0.008;0.009;28.110;0.034;28.076;0.032;99.880;56.028;27.188;31.030;2.303;0.258;0;0;0;0;0;0;0;0
5;1;1;1;5211.242955;5211.295387;5211.336419;776427;0;0;22184;22184;23;23;22184;22272;100.000;0.543;0.543;5.345;6.042;5.345;41.029;0.006;0.007;41.066;0.034;41.032;0.018;99.917;52.432;34.920;28.110;5.223;0.568;0;0;0;0;0;0;0;0
6;1;1;1;5211.276957;5211.336458;5211.370716;774893;0;0;24440;24440;25;25;24440;24528;100.000;0.716;0.716;5.887;6.646;5.887;34.255;0.006;0.007;34.297;0.039;34.258;0.021;99.885;59.501;35.884;41.072;7.738;1.017;0;0;0;0;0;0;0;0
7;1;1;1;5211.311370;5211.370757;5211.404790;775949;0;0;24816;24816;25;25;24816;24904;100.000;0.732;0.732;5.977;6.736;5.977;34.030;0.006;0.007;34.074;0.041;34.033;0.022;99.879;59.388;36.625;34.299;0.966;1.013;0;0;0;0;0;0;0;0
8;1;1;1;5211.342151;5211.404841;5211.438720;775463;0;0;26320;26320;27;27;26320;26408;100.000;0.780;0.780;6.338;7.159;6.338;33.861;0.005;0.006;33.930;0.051;33.880;0.019;99.851;62.690;37.222;34.083;0.750;0.997;0;0;0;0;0;0;0;0
9;1;1;1;5211.375548;5211.438748;5211.472722;775698;0;0;26320;26320;27;27;26320;26408;100.000;0.777;0.777;6.338;7.159;6.338;33.971;0.009;0.011;34.001;0.028;33.973;0.031;99.919;63.200;37.890;33.907;0.574;0.970;0;0;0;0;0;0;0;0
10;1;1;1;5211.408819;5211.472803;5211.504436;778020;0;0;25380;25380;26;26;25380;25468;100.000;0.805;0.805;6.112;6.902;6.112;31.598;0.009;0.010;31.715;0.081;31.634;0.031;99.745;63.984;36.271;34.054;0.721;0.955;0;0;0;0;0;0;0;0
11;1;1;1;5211.442520;5211.504471;5211.536569;778554;0;0;24064;24064;25;25;24064;24152;100.000;0.753;0.753;5.796;6.555;5.796;32.095;0.009;0.010;32.133;0.035;32.098;0.031;99.891;61.951;35.071;31.669;1.665;0.999;0;0;0;0;0;0;0;0
12;1;1;1;5211.475918;5211.536608;5211.563953;779986;0;0;25756;25756;26;26;25756;25844;100.000;0.945;0.945;6.203;6.993;6.203;27.332;0.011;0.013;27.384;0.038;27.345;0.047;99.860;60.690;29.121;32.137;1.197;1.012;0;0;0;0;0;0;0;0
13;1;1;1;5211.508803;5211.563994;5211.605090;780926;0;0;26320;26320;27;27;26320;26408;100.000;0.643;0.643;6.338;7.159;6.338;41.092;0.008;0.009;41.137;0.041;41.096;0.022;99.901;55.191;36.925;27.386;5.947;1.320;0;0;0;0;0;0;0;0
