frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;5211.108423;5211.110674;5211.124277;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;922.482;922.482;3011.115;3354.567;3011.115;13.588;2.750;2.960;13.603;0.000;13.603;21.761;100.000;2.252;13.603;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;5211.142085;5211.145476;5211.160370;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;841.729;841.729;3008.289;3351.426;3008.289;14.889;2.818;3.015;36.092;21.199;14.893;20.246;41.265;3.391;16.362;34.802;1.469;0.092;0;0;0;0;0;0;0;0
3;1;1;1;5211.175414;5211.180760;5211.196804;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;778.368;778.368;2995.978;3337.713;2995.978;16.037;5.155;5.458;36.435;20.391;16.044;34.017;44.035;5.346;19.463;35.284;1.951;0.208;0;0;0;0;0;0;0;0
4;1;1;1;5211.211249;5211.216206;5211.230761;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;855.893;855.893;2989.323;3330.288;2989.323;14.549;3.765;4.034;33.957;19.402;14.555;27.719;42.864;4.957;20.087;35.446;2.112;0.327;0;0;0;0;0;0;0;0
5;1;1;1;5211.242955;5211.246729;5211.262301;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;798.050;798.050;2981.489;3321.578;2981.489;15.568;3.965;4.204;31.540;15.968;15.571;26.999;49.371;3.774;18.293;30.523;2.810;0.482;0;0;0;0;0;0;0;0
6;1;1;1;5211.276957;5211.281107;5211.296838;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;788.573;788.573;2975.599;3315.022;2975.599;15.725;4.924;5.263;34.537;18.806;15.731;33.457;45.547;4.150;19.497;34.378;1.045;0.517;0;0;0;0;0;0;0;0
7;1;1;1;5211.311370;5211.316308;5211.331028;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;843.597;843.597;2979.654;3319.532;2979.654;14.714;4.274;4.613;34.190;19.471;14.719;31.337;43.052;4.938;20.353;35.201;1.868;0.602;0;0;0;0;0;0;0;0
8;1;1;1;5211.342151;5211.346453;5211.364769;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;677.855;677.855;2977.788;3317.456;2977.788;18.308;5.703;6.003;33.741;15.426;18.316;32.775;54.282;4.303;20.761;30.145;3.188;0.763;0;0;0;0;0;0;0;0
9;1;1;1;5211.375548;5211.379182;5211.398542;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;641.548;641.548;2978.690;3318.463;2978.690;19.354;5.611;5.903;33.774;14.413;19.361;30.489;57.325;3.634;21.201;32.728;0.605;0.754;0;0;0;0;0;0;0;0
10;1;1;1;5211.408819;5211.411916;5211.432062;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;618.237;618.237;2987.606;3328.396;2987.606;20.142;5.736;6.027;33.519;13.374;20.146;29.919;60.101;3.098;21.387;32.735;0.599;0.744;0;0;0;0;0;0;0;0
