frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;5211.108423;5211.296479;5211.298049;784142;146318;146318;1829;1829;2341088;2341140;100.000;1492.747;1492.747;561.874;603.123;561.874;1.567;0.788;0.841;1.570;0.000;1.570;53.548;100.000;188.057;1.570;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;5211.142085;5211.331658;5211.333467;783406;144182;144182;1803;1803;2306912;2306964;100.000;1277.800;1277.800;553.671;594.335;553.671;1.805;0.863;0.913;35.418;33.608;1.810;50.456;5.110;189.573;3.655;35.178;1.845;0.115;0;0;0;0;0;0;0;0
3;1;1;1;5211.175414;5211.367718;5211.369176;780200;141754;141754;1772;1772;2268064;2268116;100.000;1560.100;1560.100;544.348;584.312;544.348;1.453;0.563;0.616;35.708;34.251;1.457;42.255;4.081;192.304;6.030;36.061;2.727;0.279;0;0;0;0;0;0;0;0
4;1;1;1;5211.211249;5211.404468;5211.421120;778467;139430;139430;1743;1743;2230880;2230932;100.000;134.103;134.103;535.424;574.733;535.424;16.647;15.977;16.025;51.945;35.293;16.652;96.236;32.057;193.219;24.641;36.750;3.417;0.475;0;0;0;0;0;0;0;0
5;1;1;1;5211.242955;5211.438371;5211.455556;776427;137802;137802;1723;1723;2204832;2204884;100.000;128.438;128.438;529.172;568.031;529.172;17.179;16.344;16.390;34.436;17.251;17.185;95.374;49.903;195.416;25.743;33.903;0.570;0.481;0;0;0;0;0;0;0;0
6;1;1;1;5211.276957;5211.472274;5211.489879;774893;137230;137230;1716;1716;2195680;2195732;100.000;124.838;124.838;526.976;565.676;526.976;17.598;1.609;1.652;34.323;16.719;17.605;9.385;51.290;195.318;26.733;33.903;0.570;0.486;0;0;0;0;0;0;0;0
7;1;1;1;5211.311370;5211.504665;5211.521141;775949;137590;137590;1720;1720;2201440;2201492;100.000;133.779;133.779;528.358;567.149;528.358;16.472;15.832;15.873;31.262;14.786;16.476;96.343;52.703;193.295;24.662;32.391;0.943;0.515;0;0;0;0;0;0;0;0
8;1;1;1;5211.342151;5211.548923;5211.551576;775463;137746;137746;1722;1722;2203936;2203988;100.000;839.243;839.243;528.957;567.793;528.957;2.647;1.957;1.995;30.435;27.782;2.653;75.212;8.716;206.772;21.763;44.258;10.925;1.165;0;0;0;0;0;0;0;0
9;1;1;1;5211.375548;5211.568720;5211.570178;775698;138024;138024;1726;1726;2208384;2208436;100.000;1522.863;1522.863;530.025;568.951;530.025;1.442;0.862;0.910;18.602;17.144;1.459;62.378;7.841;193.172;7.032;19.796;13.537;1.939;0;0;0;0;0;0;0;0
10;1;1;1;5211.408819;5211.596949;5211.598264;778020;138278;138278;1729;1729;2212448;2212500;100.000;1682.571;1682.571;531.000;569.994;531.000;1.311;0.656;0.714;28.086;26.771;1.315;54.246;4.683;188.130;1.785;28.229;5.104;2.136;0;0;0;0;0;0;0;0
