frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;5211.108423;5211.296512;5211.298070;784142;178911;159140;146318;146318;1829;2341088;100.000;1503.777;561.874;603.123;22.816;88.949;18.660;0.000;222.828;0.770;1.558;49.406;188.090;189.648;189.647;1.558;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;5211.142085;5211.331902;5211.340762;783406;169393;156499;144182;144182;1803;2306912;100.000;260.393;553.671;594.335;21.623;92.388;18.405;0.000;0.000;1.270;8.860;14.332;189.817;198.677;198.676;10.916;35.389;2.056;0.128;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;5211.175414;5211.372496;5211.374142;780200;164369;153953;141754;141754;1772;2268064;100.000;1379.625;544.348;584.312;21.068;93.663;18.169;0.000;0.000;1.063;1.645;64.622;197.083;198.728;198.727;10.963;40.595;7.262;0.574;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;5211.211249;5211.409590;5211.423847;778467;160176;150044;139430;139430;1743;2230880;100.000;156.503;535.424;574.733;20.576;93.674;17.911;0.000;0.000;1.123;14.257;7.876;198.341;212.598;212.596;27.334;37.094;3.760;0.773;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;5211.242955;5211.448707;5211.462962;776427;157416;147596;137802;137802;1723;2204832;100.000;154.676;529.172;568.031;20.274;93.762;17.748;0.000;0.000;5.707;14.256;40.031;205.752;220.007;220.007;33.117;39.117;5.784;1.087;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;5211.276957;5211.478759;5211.495243;774893;155704;146684;137230;137230;1716;2195680;100.000;133.218;526.976;565.676;20.094;94.207;17.710;0.000;0.000;4.704;16.484;28.536;201.802;218.286;218.285;32.064;30.052;3.281;1.224;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;5211.311370;5211.504686;5211.523431;775949;155769;147285;137590;137590;1720;2201440;100.000;117.451;528.358;567.149;20.075;94.553;17.732;0.000;90.929;1.730;18.746;9.227;193.316;212.061;212.060;26.919;25.926;7.407;1.610;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;5211.342151;5211.549941;5211.562310;775463;154945;147291;137746;137746;1722;2203936;100.000;178.187;528.957;567.793;19.981;95.060;17.763;0.000;0.000;7.293;12.370;58.957;207.790;220.159;220.159;32.464;45.255;11.922;2.255;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;5211.375548;5211.580378;5211.583755;775698;154624;147515;138024;138024;1726;2208384;100.000;654.331;530.025;568.951;19.934;95.402;17.794;0.000;0.000;2.303;3.377;68.200;204.830;208.207;208.205;20.576;30.437;2.896;2.295;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;0.000000;0.000000;1.000000;5211.408819;5211.598078;5211.599390;778020;153992;146840;138278;138278;1729;2212448;100.000;1686.798;531.000;569.994;19.793;95.356;17.773;0.000;100.667;0.905;1.313;68.951;189.259;190.572;190.571;2.878;17.700;15.634;3.128;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
