frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;3281.212826;3281.214983;0.000;784142;9802;12546272;12546272;2244.859;2244.859;3011.115;3204.009;3011.115;3.021;2.157;5.589;1.127;10.767;10.767;99.998;79.964;0;0;0;0;0
2;1;1;1;0;0.000;3281.245481;3281.247004;32.020;783406;9793;12534496;12534496;2163.943;2163.943;3008.289;3201.005;3008.289;2.351;1.522;5.792;1.552;9.665;9.665;99.993;84.249;0;0;0;0;0
3;1;1;1;0;0.000;3281.279164;3281.281250;34.247;780200;9753;12483200;12483200;2266.906;2266.906;2995.978;3187.907;2995.978;2.701;2.086;5.507;1.487;10.294;10.295;99.997;79.732;0;0;0;0;0
4;1;1;1;0;0.000;3281.314226;3281.316815;35.564;778467;9731;12455472;12455472;1922.581;1922.581;2989.323;3180.819;2989.323;4.429;2.589;6.479;1.741;13.496;13.496;99.999;80.816;0;0;0;0;0
5;1;1;1;0;0.000;3281.346533;3281.349586;32.771;776427;9706;12422832;12422832;1412.870;1412.870;2981.489;3172.494;2981.489;3.404;3.052;8.793;2.651;15.249;15.249;99.999;79.982;0;0;0;0;0
6;1;1;1;0;0.000;3281.379289;3281.381545;31.959;774893;9687;12398288;12398288;1470.953;1470.953;2975.599;3166.229;2975.599;2.826;2.256;8.429;2.209;13.511;13.511;99.997;83.301;0;0;0;0;0
7;1;1;1;0;0.000;3281.414169;3281.416774;35.229;775949;9700;12415184;12415184;1585.184;1585.184;2979.654;3170.540;2979.654;4.372;2.605;7.832;2.016;14.809;14.809;100.000;82.410;0;0;0;0;0
8;1;1;1;0;0.000;3281.447114;3281.449685;32.912;775463;9694;12407408;12407408;1499.734;1499.734;2977.788;3168.556;2977.788;3.985;2.571;8.273;2.203;14.829;14.829;99.999;82.662;0;0;0;0;0
9;1;1;1;0;0.000;3281.480010;3281.482555;32.869;775698;9697;12411168;12411168;1706.371;1706.371;2978.690;3169.517;2978.690;3.547;2.544;7.273;1.920;13.364;13.365;99.995;80.961;0;0;0;0;0
10;1;1;1;0;0.000;3281.513265;3281.515707;33.152;778020;9726;12448320;12448320;1733.828;1733.828;2987.606;3179.004;2987.606;3.467;2.442;7.180;1.832;13.089;13.089;99.999;81.343;0;0;0;0;0
11;1;1;1;0;0.000;3281.546568;3281.548920;33.214;778554;9732;12456864;12456864;1685.935;1685.935;2989.657;3181.173;2989.657;3.439;2.352;7.389;2.101;13.179;13.180;99.998;82.152;0;0;0;0;0
12;1;1;1;0;0.000;3281.580009;3281.582179;33.258;779986;9750;12479776;12479776;2031.492;2031.492;2995.156;3187.026;2995.156;3.546;2.169;6.143;1.770;11.859;11.859;100.000;81.706;0;0;0;0;0
13;1;1;1;0;0.000;3281.613333;3281.615507;33.328;780926;9762;12494816;12494816;2238.876;2238.876;2998.765;3190.872;2998.765;3.537;2.174;5.581;1.672;11.291;11.292;99.999;80.747;0;0;0;0;0
14;1;1;1;0;0.000;3281.646797;3281.649699;34.192;782770;9785;12524320;12524320;1472.826;1472.826;3005.846;3198.406;3005.846;3.667;2.903;8.504;2.389;15.073;15.073;99.999;80.742;0;0;0;0;0
15;1;1;1;0;0.000;3281.679959;3281.682316;32.616;784474;9806;12551584;12551584;1650.633;1650.633;3012.390;3205.362;3012.390;3.497;2.356;7.604;2.136;13.457;13.457;99.997;82.488;0;0;0;0;0
16;1;1;1;0;0.000;3281.712538;3281.714763;32.448;785193;9815;12563088;12563088;1919.284;1919.284;3015.151;3208.300;3015.151;2.742;2.225;6.546;1.960;11.513;11.513;99.997;80.671;0;0;0;0;0
