frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;3281.212826;3281.289040;3281.427005;784142;142128;146318;108;1829;142128;154656;100.000;12.532;13.628;561.874;603.123;37.117;178911;159140;146318;0.208;0.125;0.077;3.822;1.128;0.070;27.261;26.055;137.939;137.965;136.810;19.759;19.045;2.014;0.258;1.139;76.214;214.179;137.965;0.000;0.000;0.000;0.000;0.026;0.000;59;22.311;132.960;8;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;3281.245481;3281.339100;3281.456186;783406;28764;144182;22;1803;28764;31316;100.000;0.854;0.927;553.671;594.335;7.516;169393;156499;144182;0.191;0.116;0.071;2.893;1.512;0.086;34.117;32.535;117.051;117.086;115.538;29.139;28.159;2.098;0.300;0.117;93.619;210.705;133.813;50.060;16.727;1.045;0.000;0.035;0.000;20;29.712;112.607;3;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;3281.279164;3281.372956;3281.487259;780200;22748;141754;18;1772;22748;24836;100.000;1.291;1.405;544.348;584.312;5.961;164369;153953;141754;0.203;0.117;0.072;2.449;1.983;0.328;35.477;33.422;114.294;114.303;112.287;31.037;29.764;1.670;0.296;0.091;93.792;208.095;131.552;33.855;0.522;1.013;0.000;0.009;0.000;14;31.044;109.827;3;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;3281.314226;3281.392430;3281.519481;778467;22560;139430;18;1743;22560;24648;100.000;0.769;0.837;535.424;574.733;5.916;160176;150044;139430;0.199;0.115;0.071;2.132;2.450;0.622;36.650;34.129;126.920;127.052;124.566;28.846;27.398;1.386;0.281;0.080;78.204;205.256;130.442;19.474;13.859;1.816;0.000;0.132;0.000;17;32.068;122.300;2;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;3281.346533;3281.427302;3281.550714;776427;22184;137802;17;1723;22184;24156;100.000;0.867;0.940;529.172;568.031;5.797;157416;147596;137802;0.202;0.115;0.071;2.023;1.490;0.081;35.831;34.270;123.373;123.412;121.905;29.033;28.112;1.399;0.179;0.058;80.769;204.181;128.341;34.873;1.539;1.798;0.000;0.039;0.000;16;32.318;119.841;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;3281.379289;3281.459573;3281.579039;774893;24628;137230;19;1716;24628;26832;100.000;0.769;0.835;526.976;565.676;6.440;155704;146684;137230;0.203;0.115;0.071;2.005;1.557;0.351;31.834;30.206;119.439;119.466;117.891;26.647;25.622;1.377;0.179;0.060;80.285;199.750;123.332;32.271;1.063;1.752;0.000;0.026;0.000;9;28.272;115.858;3;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;3281.414169;3281.491889;3281.612176;775949;24816;137590;19;1720;24816;27020;100.000;0.753;0.817;528.358;567.149;6.485;155769;147285;137590;0.186;0.108;0.065;1.976;1.298;0.073;36.696;35.334;120.251;120.287;118.971;30.507;29.699;1.380;0.179;0.059;77.720;198.007;123.136;32.316;1.017;1.706;0.000;0.036;0.000;16;33.422;116.958;3;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;3281.447114;3281.525027;3281.653560;775463;26508;137746;21;1722;26508;28944;100.000;1.018;1.108;528.957;567.793;6.947;154945;147291;137746;0.189;0.110;0.067;2.308;1.544;0.174;44.642;43.031;128.502;128.533;126.958;34.732;33.894;1.561;0.281;0.101;77.913;206.446;131.187;33.138;0.195;1.612;0.000;0.031;0.001;17;40.790;124.617;4;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;3281.480010;3281.552271;3281.678579;775698;26132;138024;20;1726;26132;28452;100.000;0.799;0.867;530.025;568.951;6.828;154624;147515;138024;0.189;0.106;0.065;2.406;1.540;0.347;28.874;27.270;126.264;126.308;124.752;22.860;21.859;1.808;0.180;0.058;72.261;198.568;122.872;27.244;6.090;1.892;0.000;0.044;0.000;10;24.928;122.292;3;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;3281.513265;3281.585212;3281.708449;778020;25380;138278;20;1729;25380;27700;100.000;0.577;0.627;531.000;569.994;6.648;153992;146840;138278;0.198;0.111;0.066;2.350;1.061;0.057;33.814;32.688;123.186;123.237;122.160;27.438;26.758;1.744;0.180;0.052;71.947;195.184;119.409;32.941;0.393;1.798;0.000;0.051;0.000;19;30.403;119.758;2;0;0;0;0;0;0;0
