frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;3281.212826;3281.215096;3281.257116;3281.300375;784142;784142;784142;9802;108;12546272;12546312;100.000;979.556;979.556;34.132;37.480;3011.115;11.220;4.190;2.202;13.388;8.877;0.003;39.877;33.485;72.471;85.279;42.020;46.760;79.688;2.113;0.934;0.504;1.442;8.395;2.270;87.549;85.279;0.000;0.000;0.000;0.000;0.017;0.537;19.810;0.594;0;1;40.683;40.685;0.240000;54.350000;0.992859;142128;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;3281.245481;3281.247802;3281.307477;3281.372887;783406;783406;783406;9793;22;12534496;12534536;100.000;1702.791;1702.791;6.924;7.590;3008.289;3.353;4.417;2.329;4.630;40.435;0.002;55.164;48.418;117.724;125.085;59.675;44.101;81.136;1.572;0.907;0.524;1.602;0.025;2.321;127.406;124.458;32.706;0.627;0.039;0.627;0.013;0.489;17.703;0.531;0;2;71.984;71.985;0.250000;54.230000;0.996095;28764;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;3281.279164;3281.281823;3281.339395;3281.390564;780200;780200;780200;9753;18;12483200;12483240;100.000;1759.563;1759.563;5.481;6.021;2995.978;5.141;4.170;2.192;4.439;21.088;0.001;37.030;30.667;101.647;108.741;57.572;34.053;53.268;1.423;0.905;0.507;1.576;0.028;2.659;111.400;108.801;34.020;0.687;0.080;0.687;0.137;18.450;15.979;0.479;0;2;54.575;54.576;0.260000;53.990000;0.996809;22748;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;3281.314226;3281.317427;3281.368163;3281.421736;778467;778467;778467;9731;18;12455472;12455512;100.000;1366.120;1366.120;5.436;5.976;2989.323;6.067;4.797;2.343;5.328;19.527;0.001;38.061;30.921;95.192;104.310;50.737;36.488;60.944;2.490;0.903;0.507;1.393;0.035;3.201;107.511;106.640;35.604;2.271;0.217;2.271;0.002;9.622;15.103;0.453;0;3;24.258;41.924;0.260000;54.040000;0.997307;22560;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;3281.346533;3281.350877;3281.397955;3281.452852;776427;776427;776427;9706;17;12422832;12422872;100.000;1195.569;1195.569;5.345;5.855;2981.489;3.655;4.497;2.282;4.820;20.367;0.002;35.621;28.842;91.584;101.975;47.078;34.931;61.263;1.966;0.902;0.509;1.412;0.030;4.344;106.319;104.423;33.451;0.117;0.210;0.117;0.002;4.718;11.606;0.348;0;3;44.141;44.145;0.250000;54.110000;0.997552;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;3281.379289;3281.382158;3281.430404;3281.491710;774893;774893;774893;9687;19;12398288;12398328;100.000;1208.103;1208.103;5.932;6.504;2975.599;4.009;5.197;2.468;4.912;22.551;0.002;39.136;31.471;99.289;109.552;48.247;35.724;65.230;2.018;0.905;0.513;1.443;0.033;2.869;112.421;109.947;31.280;2.053;0.326;2.053;0.004;2.852;11.850;0.356;0;2;44.976;44.980;0.230000;54.540000;0.997883;24628;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;3281.414169;3281.417297;3281.462176;3281.524967;775949;775949;775949;9700;19;12415184;12415224;100.000;1243.788;1243.788;5.977;6.549;2979.654;5.670;4.509;2.314;5.644;21.182;0.001;39.319;32.496;97.688;107.670;44.879;36.519;72.407;2.611;0.942;0.493;1.566;0.032;3.128;110.798;109.871;35.139;1.806;0.418;1.806;0.006;1.241;12.006;0.360;0;2;50.705;50.707;0.210000;54.830000;0.998100;24816;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;3281.447114;3281.450810;3281.494903;3281.551038;775463;775463;775463;9694;21;12407408;12407448;100.000;1416.274;1416.274;6.383;7.017;2977.788;3.900;4.470;2.332;8.461;19.497;0.001;38.661;31.858;91.467;100.228;44.093;38.573;72.252;4.988;1.094;0.479;1.863;0.036;3.696;103.923;102.608;33.513;0.180;0.403;0.180;0.002;0.570;12.824;0.385;0;2;49.550;49.551;0.200000;55.050000;0.998260;26508;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;3281.480010;3281.483669;3281.527512;3281.585064;775698;775698;775698;9697;20;12411168;12411208;100.000;1429.629;1429.629;6.293;6.896;2978.690;6.025;4.548;2.311;8.317;19.694;0.002;40.895;34.036;92.714;101.395;43.843;40.332;77.631;4.898;1.020;0.487;1.824;0.089;3.658;105.054;103.301;32.859;0.475;0.408;0.475;0.002;0.289;13.415;0.402;0;2;43.213;43.216;0.200000;55.120000;0.998353;26132;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;3281.513265;3281.516342;3281.560940;3281.629352;778020;778020;778020;9726;20;12448320;12448360;100.000;1445.706;1445.706;6.112;6.715;2987.606;6.148;4.402;2.357;7.979;21.050;0.002;41.937;35.177;104.400;113.010;44.598;37.109;78.876;4.694;0.998;0.493;1.760;0.034;3.077;116.087;114.256;32.673;0.660;0.423;0.660;0.062;0.137;13.749;0.412;0;2;45.156;45.160;0.200000;55.160000;0.998387;25380;1;0;0;0;0;0;0
