frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3281.212826;3281.215029;3281.221184;784142;784142;784142;9802;9802;12546272;12546312;100.000;2038.904;2038.904;3011.115;3382.797;3011.115;6.151;0.739;0.999;0.000;0.000;6.155;0.000;6.155;16.224;100.000;2.203;6.155;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3281.245481;3281.247349;3281.255143;783406;783406;783406;9793;9793;12534496;12534536;100.000;1608.326;1608.326;3008.289;3379.630;3008.289;7.790;1.377;1.610;0.000;0.000;33.959;26.166;7.794;20.658;22.950;1.868;6.781;32.321;1.013;0.063;0;0;0;0;0;0;0;0
3;1;1;1;3281.279164;3281.281791;3281.288025;780200;780200;780200;9753;9753;12483200;12483240;100.000;2002.560;2002.560;2995.978;3365.802;2995.978;6.232;0.869;1.117;0.000;0.000;32.882;26.648;6.234;17.913;18.960;2.627;6.330;34.442;1.108;0.129;0;0;0;0;0;0;0;0
4;1;1;1;3281.314226;3281.317389;3281.325228;778467;778467;778467;9731;9731;12455472;12455512;100.000;1589.102;1589.102;2989.323;3358.313;2989.323;7.834;1.178;1.437;0.000;0.000;37.203;29.364;7.839;18.337;21.070;3.164;10.199;35.599;2.265;0.262;0;0;0;0;0;0;0;0
5;1;1;1;3281.346533;3281.350373;3281.358394;776427;776427;776427;9706;9706;12422832;12422872;100.000;1549.068;1549.068;2981.489;3349.531;2981.489;8.017;1.508;1.759;0.000;0.000;33.166;25.145;8.021;21.935;24.185;3.840;10.032;32.983;0.350;0.268;0;0;0;0;0;0;0;0
6;1;1;1;3281.379289;3281.381587;3281.389990;774893;774893;774893;9687;9687;12398288;12398328;100.000;1476.139;1476.139;2975.599;3342.920;2975.599;8.397;1.546;1.801;0.000;0.000;31.596;23.193;8.403;21.436;26.596;2.298;8.295;31.214;2.119;0.383;0;0;0;0;0;0;0;0
7;1;1;1;3281.414169;3281.416806;3281.425779;775949;775949;775949;9700;9700;12415184;12415224;100.000;1383.703;1383.703;2979.654;3347.468;2979.654;8.969;1.693;1.952;0.000;0.000;35.789;26.816;8.973;21.755;25.072;2.637;10.750;35.220;1.886;0.477;0;0;0;0;0;0;0;0
8;1;1;1;3281.447114;3281.450294;3281.459303;775463;775463;775463;9694;9694;12407408;12407448;100.000;1378.094;1378.094;2977.788;3345.374;2977.788;8.989;1.563;1.801;0.000;0.000;33.524;24.515;9.009;19.989;26.873;3.180;10.941;33.488;0.155;0.457;0;0;0;0;0;0;0;0
9;1;1;1;3281.480010;3281.483192;3281.492328;775698;775698;775698;9697;9697;12411168;12411208;100.000;1358.471;1358.471;2978.690;3346.391;2978.690;9.131;1.793;2.033;0.000;0.000;33.025;23.888;9.136;22.256;27.665;3.181;10.633;32.898;0.436;0.456;0;0;0;0;0;0;0;0
10;1;1;1;3281.513265;3281.516307;3281.524193;778020;778020;778020;9726;9726;12448320;12448360;100.000;1579.568;1579.568;2987.606;3356.407;2987.606;7.882;1.333;1.574;0.000;0.000;31.865;23.979;7.886;19.964;24.747;3.042;9.164;33.116;0.218;0.441;0;0;0;0;0;0;0;0
