frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3281.212826;3281.425893;3281.427294;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;1672.189;1672.189;561.874;606.635;561.874;1.397;0.502;0.541;1.401;0.000;1.401;38.631;100.000;213.067;1.401;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3281.245481;3281.454706;3281.457332;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;879.846;879.846;553.671;597.796;553.671;2.622;0.642;0.688;30.038;27.412;2.625;26.199;8.741;209.225;-1.895;28.813;4.520;0.283;0;0;0;0;0;0;0;0
3;1;1;1;3281.279164;3281.485283;3281.488218;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;773.928;773.928;544.348;587.714;544.348;2.932;0.687;0.725;30.887;27.951;2.935;24.711;9.503;206.119;-4.341;30.577;2.757;0.437;0;0;0;0;0;0;0;0
4;1;1;1;3281.314226;3281.517574;3281.520507;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;762.045;762.045;535.424;578.080;535.424;2.929;0.695;0.734;32.289;29.356;2.933;25.039;9.083;203.349;-5.386;32.291;1.042;0.475;0;0;0;0;0;0;0;0
5;1;1;1;3281.346533;3281.549236;3281.550859;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1365.773;1365.773;529.172;571.339;529.172;1.619;0.602;0.640;30.352;28.729;1.623;39.397;5.348;202.703;-8.367;31.662;1.672;0.550;0;0;0;0;0;0;0;0
6;1;1;1;3281.379289;3281.577495;3281.579047;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;1418.658;1418.658;526.976;568.971;526.976;1.549;0.556;0.596;28.188;26.635;1.553;38.349;5.509;198.206;-13.512;28.258;5.075;0.833;0;0;0;0;0;0;0;0
7;1;1;1;3281.414169;3281.610890;3281.612188;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;1705.346;1705.346;528.358;570.451;528.358;1.294;0.544;0.581;33.140;31.842;1.298;44.791;3.917;196.721;-13.705;33.395;0.062;0.784;0;0;0;0;0;0;0;0
8;1;1;1;3281.447114;3281.652023;3281.654672;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;835.014;835.014;528.957;571.099;528.957;2.633;0.662;0.700;42.484;39.835;2.649;26.412;6.235;204.909;-4.554;41.133;7.800;1.223;0;0;0;0;0;0;0;0
9;1;1;1;3281.480010;3281.677327;3281.678592;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;1756.470;1756.470;530.025;572.265;530.025;1.261;0.577;0.615;23.920;22.655;1.265;48.637;5.289;197.317;-13.968;25.304;8.030;1.648;0;0;0;0;0;0;0;0
10;1;1;1;3281.513265;3281.707399;3281.708459;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;2087.761;2087.761;531.000;573.313;531.000;1.057;0.480;0.517;29.867;28.807;1.060;48.816;3.549;194.134;-17.434;30.072;3.261;1.749;0;0;0;0;0;0;0;0
