frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3281.212826;3281.289018;3281.300382;784142;0;0;142128;142128;108;108;142128;142216;100.000;12.518;12.518;34.132;37.480;34.132;11.351;0.024;0.027;11.364;0.000;11.364;0.241;100.000;76.192;11.364;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3281.245481;3281.339089;3281.372897;783406;0;0;28764;28764;22;22;28764;28852;100.000;0.854;0.854;6.924;7.590;6.924;33.805;0.010;0.012;72.515;38.708;33.807;0.035;46.621;93.608;50.545;50.072;16.738;1.046;0;0;0;0;0;0;0;0
3;1;1;1;3281.279164;3281.372944;3281.390635;780200;0;0;22748;22748;18;18;22748;22836;100.000;1.294;1.294;5.481;6.021;5.481;17.688;0.008;0.009;17.738;0.047;17.691;0.052;99.735;93.780;34.950;33.854;0.521;1.013;0;0;0;0;0;0;0;0
4;1;1;1;3281.314226;3281.390633;3281.421875;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.727;0.727;5.436;5.976;5.436;29.461;0.015;0.018;31.240;0.000;31.242;0.056;100.007;76.407;32.857;17.689;15.644;1.928;0;0;0;0;0;0;0;0
5;1;1;1;3281.346533;3281.421872;3281.452984;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.719;0.719;5.345;5.855;5.345;25.689;0.008;0.010;31.108;0.000;31.112;0.031;100.011;75.339;30.633;31.239;2.094;1.938;0;0;0;0;0;0;0;0
6;1;1;1;3281.379289;3281.452981;3281.491712;774893;0;0;24628;24628;19;19;24628;24716;100.000;0.638;0.638;5.932;6.504;5.932;32.150;0.008;0.009;38.729;0.000;38.731;0.024;100.006;73.693;36.028;31.109;2.224;1.956;0;0;0;0;0;0;0;0
7;1;1;1;3281.414169;3281.491783;3281.524970;775949;0;0;24816;24816;19;19;24816;24904;100.000;0.750;0.750;5.977;6.549;5.977;33.089;0.006;0.007;33.257;0.071;33.187;0.021;99.787;77.614;35.952;38.802;5.468;2.176;0;0;0;0;0;0;0;0
8;1;1;1;3281.447114;3281.525017;3281.551150;775463;0;0;26508;26508;21;21;26508;26596;100.000;1.022;1.022;6.383;7.017;6.383;26.130;0.007;0.008;26.180;0.048;26.132;0.029;99.818;77.903;28.799;33.234;0.099;2.046;0;0;0;0;0;0;0;0
9;1;1;1;3281.480010;3281.551148;3281.585075;775698;0;0;26132;26132;20;20;26132;26220;100.000;0.773;0.773;6.293;6.896;6.293;32.822;0.012;0.014;33.926;0.000;33.927;0.040;100.004;71.138;29.391;26.131;7.202;2.368;0;0;0;0;0;0;0;0
10;1;1;1;3281.513265;3281.585159;3281.629357;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.576;0.576;6.112;6.715;6.112;44.153;0.007;0.008;44.281;0.083;44.198;0.019;99.812;71.894;40.339;34.011;0.677;2.262;0;0;0;0;0;0;0;0
