frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3281.212826;3281.215055;3281.223494;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;1491.316;1491.316;3011.115;3354.567;3011.115;8.422;3.026;5.379;8.440;0.000;8.440;63.738;100.000;2.229;8.440;0.000;0.000;0.000;0;0;0;0;4214;0;4214;133924
2;1;1;1;3281.245481;3281.247781;3281.255155;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;1700.018;1700.018;3008.289;3351.426;3008.289;7.370;3.206;3.399;31.660;24.287;7.374;46.101;23.290;2.300;6.767;32.727;0.607;0.038;0;0;0;0;0;0;0;0
3;1;1;1;3281.279164;3281.281804;3281.288036;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;2004.752;2004.752;2995.978;3337.713;2995.978;6.229;3.217;3.408;32.881;26.649;6.232;54.682;18.953;2.640;6.315;34.023;0.690;0.079;0;0;0;0;0;0;0;0
4;1;1;1;3281.314226;3281.317406;3281.326537;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;1364.387;1364.387;2989.323;3330.288;2989.323;9.127;4.306;4.544;38.501;29.370;9.131;49.761;23.716;3.181;11.483;35.602;2.269;0.216;0;0;0;0;0;0;0;0
5;1;1;1;3281.346533;3281.350839;3281.361262;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;1192.273;1192.273;2981.489;3321.578;2981.489;10.417;4.683;5.016;34.725;24.302;10.423;48.129;30.016;4.306;12.874;33.433;0.100;0.208;0;0;0;0;0;0;0;0
6;1;1;1;3281.379289;3281.382113;3281.392413;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;1204.839;1204.839;2975.599;3315.022;2975.599;10.292;5.175;5.474;31.151;20.851;10.300;53.145;33.064;2.825;10.692;31.274;2.059;0.324;0;0;0;0;0;0;0;0
7;1;1;1;3281.414169;3281.417266;3281.426555;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;1336.781;1336.781;2979.654;3319.532;2979.654;9.282;4.073;4.331;34.142;24.853;9.289;46.621;27.207;3.098;11.501;35.153;1.819;0.417;0;0;0;0;0;0;0;0
8;1;1;1;3281.447114;3281.450779;3281.459562;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;1413.827;1413.827;2977.788;3317.456;2977.788;8.777;3.463;3.662;33.007;24.224;8.783;41.690;26.609;3.665;11.174;33.513;0.180;0.403;0;0;0;0;0;0;0;0
9;1;1;1;3281.480010;3281.483639;3281.492340;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;1426.459;1426.459;2978.690;3318.463;2978.690;8.697;3.525;3.723;32.778;24.077;8.701;42.792;26.545;3.629;10.619;32.860;0.473;0.407;0;0;0;0;0;0;0;0
10;1;1;1;3281.513265;3281.516322;3281.524266;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;1568.526;1568.526;2987.606;3328.396;2987.606;7.941;3.422;3.625;31.925;23.982;7.944;45.628;24.882;3.057;9.211;32.683;0.651;0.422;0;0;0;0;0;0;0;0
