frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3281.212826;3281.441031;3281.442295;784142;146318;146318;1829;1829;2341088;2341140;100.000;1856.760;1856.760;561.874;603.123;561.874;1.260;0.919;0.968;1.263;0.000;1.263;76.620;100.000;228.205;1.263;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3281.245481;3281.473477;3281.475072;783406;144182;144182;1803;1803;2306912;2306964;100.000;1451.162;1451.162;553.671;594.335;553.671;1.590;1.174;1.222;32.778;31.182;1.595;76.603;4.867;227.996;0.708;32.446;0.888;0.055;0;0;0;0;0;0;0;0
3;1;1;1;3281.279164;3281.485309;3281.507615;780200;141754;141754;1772;1772;2268064;2268116;100.000;101.708;101.708;544.348;584.312;544.348;22.301;1.255;1.301;32.543;10.236;22.307;5.834;68.545;206.145;-0.082;11.832;21.502;1.396;0;0;0;0;0;0;0;0
4;1;1;1;3281.314226;3281.517625;3281.539560;778467;139430;139430;1743;1743;2230880;2230932;100.000;101.751;101.751;535.424;574.733;535.424;21.931;21.097;21.142;31.945;10.009;21.936;96.383;68.667;203.399;-1.471;32.316;1.017;1.372;0;0;0;0;0;0;0;0
5;1;1;1;3281.346533;3281.549252;3281.550881;776427;137802;137802;1723;1723;2204832;2204884;100.000;1368.303;1368.303;529.172;568.031;529.172;1.624;0.836;0.876;11.320;9.691;1.629;53.747;14.390;202.718;-23.484;31.627;1.706;1.393;0;0;0;0;0;0;0;0
6;1;1;1;3281.379289;3281.577514;3281.579063;774893;137230;137230;1716;1716;2195680;2195732;100.000;1422.459;1422.459;526.976;565.676;526.976;1.545;0.699;0.747;28.182;26.633;1.549;48.230;5.497;198.225;-28.635;28.262;5.071;1.623;0;0;0;0;0;0;0;0
7;1;1;1;3281.414169;3281.610908;3281.612199;775949;137590;137590;1720;1720;2201440;2201492;100.000;1713.517;1713.517;528.358;567.149;528.358;1.287;0.616;0.663;33.137;31.845;1.292;51.352;3.898;196.739;-28.832;33.394;0.061;1.525;0;0;0;0;0;0;0;0
8;1;1;1;3281.447114;3281.669432;3281.670765;775463;137746;137746;1722;1722;2203936;2203988;100.000;1669.706;1669.706;528.957;567.793;528.957;1.330;0.940;1.012;58.566;57.232;1.334;75.920;2.277;222.317;-3.599;58.524;25.191;3.004;0;0;0;0;0;0;0;0
9;1;1;1;3281.480010;3281.677343;3281.678606;775698;138024;138024;1726;1726;2208384;2208436;100.000;1763.193;1763.193;530.025;568.951;530.025;1.250;0.748;0.797;7.841;6.578;1.263;63.095;16.103;197.333;-29.092;7.912;25.422;4.405;0;0;0;0;0;0;0;0
10;1;1;1;3281.513265;3281.707415;3281.708471;778020;138278;138278;1729;1729;2212448;2212500;100.000;2096.194;2096.194;531.000;569.994;531.000;1.052;0.593;0.641;29.865;28.809;1.056;60.672;3.535;194.150;-32.560;30.072;3.261;4.334;0;0;0;0;0;0;0;0
11;1;1;1;3281.546568;3281.741594;3281.742846;778554;139114;139114;1739;1739;2225824;2225876;100.000;1781.496;1781.496;534.210;573.430;534.210;1.248;0.529;0.577;34.375;33.123;1.252;46.097;3.643;195.025;-31.519;34.178;0.845;4.116;0;0;0;0;0;0;0;0
12;1;1;1;3281.580009;3281.773654;3281.774710;779986;140496;140496;1757;1757;2247936;2247988;100.000;2146.212;2146.212;539.517;579.143;539.517;1.051;0.556;0.605;31.864;30.808;1.055;57.328;3.312;193.645;-32.988;32.061;1.273;3.938;0;0;0;0;0;0;0;0
13;1;1;1;3281.613333;3281.808615;3281.809817;780926;142868;142868;1786;1786;2285888;2285940;100.000;1913.549;1913.549;548.626;588.905;548.626;1.197;0.660;0.709;35.107;33.906;1.202;59.017;3.423;195.282;-31.214;34.961;1.628;3.794;0;0;0;0;0;0;0;0
14;1;1;1;3281.646797;3281.847425;3281.848611;782770;144928;144928;1812;1812;2318848;2318900;100.000;1964.159;1964.159;556.536;597.402;556.536;1.181;0.763;0.813;38.794;37.608;1.186;68.511;3.058;200.628;-25.753;38.810;5.476;3.899;0;0;0;0;0;0;0;0
15;1;1;1;3281.679959;3281.877444;3281.879064;784474;146044;146044;1826;1826;2336704;2336756;100.000;1443.251;1443.251;560.821;602.004;560.821;1.615;0.710;0.769;30.453;28.833;1.620;47.480;5.320;197.485;-28.634;30.019;3.314;3.862;0;0;0;0;0;0;0;0
16;1;1;1;3281.712538;3281.912558;3281.913940;785193;145822;145822;1823;1823;2333152;2333204;100.000;1700.418;1700.418;559.969;601.083;559.969;1.375;0.718;0.768;34.876;33.495;1.381;55.634;3.960;200.020;-27.092;35.115;1.781;3.732;0;0;0;0;0;0;0;0
17;1;1;1;3281.745907;3281.941880;3281.943001;782720;144126;144126;1802;1802;2306016;2306068;100.000;2062.737;2062.737;553.456;594.097;553.456;1.117;0.594;0.644;29.062;27.941;1.121;57.491;3.857;195.974;-31.363;29.322;4.011;3.750;0;0;0;0;0;0;0;0
18;1;1;1;3281.779182;3281.976087;3281.977526;781613;141930;141930;1775;1775;2270880;2270932;100.000;1584.271;1584.271;545.024;585.055;545.024;1.434;0.719;0.768;34.525;33.086;1.439;53.378;4.167;196.905;-30.172;34.207;0.874;3.570;0;0;0;0;0;0;0;0
19;1;1;1;3281.812560;3282.007513;3282.008598;780006;139740;139740;1747;1747;2235840;2235892;100.000;2070.303;2070.303;536.614;576.014;536.614;1.081;0.620;0.668;31.072;29.987;1.085;61.531;3.492;194.953;-32.434;31.425;1.908;3.466;0;0;0;0;0;0;0;0
20;1;1;1;3281.846391;3282.040234;3282.041519;780302;138346;138346;1730;1730;2213536;2213588;100.000;1722.635;1722.635;531.261;570.277;531.261;1.282;0.529;0.576;32.922;31.636;1.286;44.806;3.905;193.843;-32.845;32.721;0.612;3.288;0;0;0;0;0;0;0;0
21;1;1;1;3281.879960;3282.074804;3282.075840;779066;137844;137844;1724;1724;2205504;2205556;100.000;2144.249;2144.249;529.333;568.214;529.333;1.031;0.541;0.589;34.320;33.285;1.035;56.861;3.016;194.844;-31.858;34.571;1.237;3.160;0;0;0;0;0;0;0;0
22;1;1;1;3281.913155;3282.108533;3282.109812;778280;138092;138092;1727;1727;2209472;2209524;100.000;1739.088;1739.088;530.286;569.234;530.286;1.275;0.597;0.645;33.973;32.693;1.279;50.386;3.765;195.378;-31.219;33.729;0.395;2.987;0;0;0;0;0;0;0;0
23;1;1;1;3281.945912;3282.140505;3282.141569;778907;138240;138240;1728;1728;2211840;2211892;100.000;2094.990;2094.990;530.854;569.825;530.854;1.060;0.591;0.643;31.757;30.693;1.064;60.461;3.351;194.593;-32.795;31.972;1.361;2.885;0;0;0;0;0;0;0;0
24;1;1;1;3281.979690;3282.174723;3282.175754;779289;138556;138556;1732;1732;2216896;2216948;100.000;2153.854;2153.854;532.068;571.129;532.068;1.027;0.589;0.635;34.185;33.154;1.031;61.662;3.015;195.033;-31.944;34.218;0.885;2.760;0;0;0;0;0;0;0;0
25;1;1;1;3282.012519;3282.206835;3282.208096;779739;138952;138952;1737;1737;2223232;2223284;100.000;1766.566;1766.566;533.588;572.762;533.588;1.247;0.543;0.591;32.342;31.081;1.261;46.869;3.899;194.315;-32.936;32.111;1.222;2.664;0;0;0;0;0;0;0;0
