frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;3281.212826;3281.441077;3281.443031;784142;178911;159140;146318;146318;1829;2341088;100.000;1197.605;561.874;603.123;22.816;88.949;18.660;0.000;0.000;1.320;1.955;67.503;228.250;230.205;230.205;1.955;0.000;0.000;0.000;0;0.000;0.000;0.000;2.406;4.409839;3.589844;6.925683;139.407313;8.025908;6.533517;12.604743;253.721310
2;1;1;0.000000;0.000000;1.000000;3281.245481;3281.473769;3281.475941;783406;169393;156499;144182;144182;1803;2306912;100.000;1062.341;553.671;594.335;21.623;92.388;18.405;0.000;0.000;1.446;2.172;66.593;228.288;230.459;230.459;1.531;32.693;0.641;0.040;0;0.000;0.000;0.000;2.054;3.940103;3.362550;6.504605;57.682235;7.170987;6.119840;11.838380;104.981668
3;1;1;0.000000;0.000000;1.000000;3281.279164;3281.485345;3281.507634;780200;164369;153953;141754;141754;1772;2268064;100.000;101.761;544.348;584.312;21.068;93.663;18.169;0.000;0.000;1.111;22.289;4.985;206.181;228.470;228.470;-0.110;11.576;21.757;1.397;0;0.000;0.000;0.000;2.132;3.907059;3.446188;6.569171;66.027375;7.110848;6.272062;11.955892;120.169822
4;1;1;0.000000;0.000000;1.000000;3281.314226;3281.517664;3281.539579;778467;160176;150044;139430;139430;1743;2230880;100.000;101.799;535.424;574.733;20.576;93.674;17.911;0.000;0.000;1.135;21.915;5.181;203.438;225.353;225.353;-1.498;32.319;1.015;1.373;0;0.000;0.000;0.000;2.209;3.703998;3.373471;6.331357;57.444137;6.741277;6.139716;11.523070;104.548329
5;1;1;0.000000;0.000000;1.000000;3281.346533;3281.549273;3281.551133;776427;157416;147596;137802;137802;1723;2204832;100.000;1185.559;529.172;568.031;20.274;93.762;17.748;0.000;0.000;1.315;1.860;70.712;202.740;204.599;204.599;-23.277;31.609;1.724;1.395;0;0.000;0.000;0.000;2.738;3.611553;3.351698;6.251248;71.641938;6.573026;6.100091;11.377271;130.388327
6;1;1;0.000000;0.000000;1.000000;3281.379289;3281.577536;3281.579084;774893;155704;146684;137230;137230;1716;2195680;100.000;1418.794;526.976;565.676;20.094;94.207;17.710;0.000;0.000;0.665;1.548;42.975;198.248;199.795;199.795;-28.659;28.263;5.070;1.625;0;0.000;0.000;0.000;2.183;3.520240;3.299888;6.151192;59.848874;6.406836;6.005797;11.195169;108.924951
7;1;1;0.000000;0.000000;1.000000;3281.414169;3281.610931;3281.612220;775949;155769;147285;137590;137590;1720;2201440;100.000;1708.579;528.358;567.149;20.075;94.553;17.732;0.000;0.000;0.658;1.288;51.054;196.763;198.051;198.051;-28.857;33.395;0.062;1.527;0;0.000;0.000;0.000;2.183;3.357704;3.262700;5.963396;53.081272;6.111021;5.938113;10.853380;96.607915
8;1;1;0.000000;0.000000;1.000000;3281.447114;3281.669455;3281.671034;775463;154945;147291;137746;137746;1722;2203936;100.000;1396.182;528.957;567.793;19.981;95.060;17.763;0.000;0.000;1.063;1.579;67.331;222.341;223.919;223.919;-3.376;58.524;25.190;3.006;0;0.000;0.000;0.000;2.361;3.341800;3.231772;5.934926;56.559329;6.082076;5.881825;10.801565;102.937980
9;1;1;0.000000;0.000000;1.000000;3281.480010;3281.677373;3281.678785;775698;154624;147515;138024;138024;1726;2208384;100.000;1563.964;530.025;568.951;19.934;95.402;17.794;0.000;0.000;0.967;1.412;68.512;197.362;198.774;198.774;-28.959;7.918;25.416;4.407;0;0.000;0.000;0.000;2.168;3.281837;3.185275;5.856862;56.578942;5.972943;5.797200;10.659488;102.973675
10;1;1;0.000000;0.000000;1.000000;3281.513265;3281.707434;3281.708644;778020;153992;146840;138278;138278;1729;2212448;100.000;1827.789;531.000;569.994;19.793;95.356;17.773;0.000;0.000;0.828;1.210;68.426;194.169;195.379;195.379;-32.432;30.061;3.272;4.336;0;0.000;0.000;0.000;2.323;3.246801;3.191745;5.829147;61.368016;5.909177;5.808977;10.609048;111.689788
