frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;2721.266847;2721.268983;0.000;784142;9802;12546272;12546272;2357.439;2357.439;3011.115;3204.009;3011.115;3.017;2.136;5.322;1.016;10.475;10.475;99.999;79.607;0;0;0;0;0
2;1;1;1;0;0.000;2721.299910;2721.301428;32.445;783406;9793;12534496;12534496;2216.525;2216.525;3008.289;3201.005;3008.289;2.758;1.518;5.655;1.488;9.931;9.931;99.997;84.711;0;0;0;0;0
3;1;1;1;0;0.000;2721.333117;2721.335207;33.779;780200;9753;12483200;12483200;2296.437;2296.437;2995.978;3187.907;2995.978;2.632;2.089;5.436;1.477;10.157;10.157;99.995;79.430;0;0;0;0;0
4;1;1;1;0;0.000;2721.368457;2721.371681;36.474;778467;9731;12455472;12455472;1326.691;1326.691;2989.323;3180.819;2989.323;4.637;3.224;9.388;2.688;17.250;17.250;99.997;81.308;0;0;0;0;0
5;1;1;1;0;0.000;2721.400785;2721.403144;31.463;776427;9706;12422832;12422832;2013.123;2013.123;2981.489;3172.494;2981.489;3.632;2.359;6.171;1.851;12.163;12.163;99.998;80.599;0;0;0;0;0
6;1;1;1;0;0.000;2721.433254;2721.435568;32.424;774893;9687;12398288;12398288;1863.386;1863.386;2975.599;3166.229;2975.599;2.768;2.314;6.654;1.976;11.736;11.736;100.000;80.281;0;0;0;0;0
7;1;1;1;0;0.000;2721.466716;2721.468926;33.358;775949;9700;12415184;12415184;1722.686;1722.686;2979.654;3170.540;2979.654;2.897;2.210;7.207;2.089;12.314;12.315;99.999;82.051;0;0;0;0;0
8;1;1;1;0;0.000;2721.499983;2721.502189;33.262;775463;9694;12407408;12407408;1866.250;1866.250;2977.788;3168.556;2977.788;2.831;2.206;6.648;1.921;11.685;11.685;99.999;81.120;0;0;0;0;0
9;1;1;1;0;0.000;2721.533899;2721.536510;34.322;775698;9697;12411168;12411168;1650.118;1650.118;2978.690;3169.517;2978.690;3.414;2.611;7.521;1.963;13.546;13.546;99.998;80.726;0;0;0;0;0
10;1;1;1;0;0.000;2721.567542;2721.569943;33.433;778020;9726;12448320;12448320;1917.649;1917.649;2987.606;3179.004;2987.606;3.724;2.401;6.491;1.771;12.616;12.616;100.000;80.968;0;0;0;0;0
