frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2721.266847;2721.269027;2721.274890;784142;784142;784142;9802;9802;12546272;12546312;100.000;2140.639;2140.639;3011.115;3382.797;3011.115;5.859;0.724;0.976;0.000;0.000;5.862;0.000;5.862;16.647;100.000;2.181;5.862;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2721.299910;2721.301758;2721.307821;783406;783406;783406;9793;9793;12534496;12534536;100.000;2067.682;2067.682;3008.289;3379.630;3008.289;6.059;1.067;1.320;0.000;0.000;32.931;26.869;6.062;21.775;18.409;1.848;5.460;32.731;0.602;0.038;0;0;0;0;0;0;0;0
3;1;1;1;2721.333117;2721.335741;2721.342333;780200;780200;780200;9753;9753;12483200;12483240;100.000;1893.916;1893.916;2995.978;3365.802;2995.978;6.589;1.114;1.364;0.000;0.000;34.512;27.920;6.592;20.693;19.101;2.623;6.639;33.982;0.649;0.076;0;0;0;0;0;0;0;0
4;1;1;1;2721.368457;2721.372618;2721.382246;778467;778467;778467;9731;9731;12455472;12455512;100.000;1293.799;1293.799;2989.323;3358.313;2989.323;9.621;1.358;1.610;0.000;0.000;39.913;30.286;9.628;16.723;24.121;4.162;13.219;36.878;3.544;0.293;0;0;0;0;0;0;0;0
5;1;1;1;2721.400785;2721.403696;2721.412011;776427;776427;776427;9706;9706;12422832;12422872;100.000;1494.272;1494.272;2981.489;3349.531;2981.489;8.311;1.563;1.794;0.000;0.000;29.765;21.450;8.315;21.572;27.934;2.911;9.650;31.078;2.255;0.415;0;0;0;0;0;0;0;0
6;1;1;1;2721.433254;2721.436141;2721.445516;774893;774893;774893;9687;9687;12398288;12398328;100.000;1322.610;1322.610;2975.599;3342.920;2975.599;9.371;1.275;1.492;0.000;0.000;33.505;24.130;9.375;15.913;27.981;2.887;9.822;32.444;0.889;0.445;0;0;0;0;0;0;0;0
7;1;1;1;2721.466716;2721.469479;2721.477819;775949;775949;775949;9700;9700;12415184;12415224;100.000;1488.861;1488.861;2979.654;3347.468;2979.654;8.337;1.303;1.552;0.000;0.000;32.303;23.963;8.340;18.608;25.817;2.763;8.791;33.338;0.005;0.417;0;0;0;0;0;0;0;0
8;1;1;1;2721.499983;2721.502757;2721.509799;775463;775463;775463;9694;9694;12407408;12407448;100.000;1762.969;1762.969;2977.788;3345.374;2977.788;7.031;1.351;1.590;0.000;0.000;31.980;24.938;7.042;22.580;22.021;2.774;7.439;33.278;0.056;0.395;0;0;0;0;0;0;0;0
9;1;1;1;2721.533899;2721.537098;2721.545408;775698;775698;775698;9697;9697;12411168;12411208;100.000;1493.718;1493.718;2978.690;3346.391;2978.690;8.305;1.560;1.810;0.000;0.000;35.609;27.299;8.309;21.781;23.335;3.199;9.714;34.342;1.008;0.433;0;0;0;0;0;0;0;0
10;1;1;1;2721.567542;2721.570619;2721.578365;778020;778020;778020;9726;9726;12448320;12448360;100.000;1607.269;1607.269;2987.606;3356.407;2987.606;7.742;1.526;1.762;0.000;0.000;32.957;25.212;7.746;22.751;23.503;3.077;9.338;33.521;0.187;0.418;0;0;0;0;0;0;0;0
