frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2721.266847;2721.494769;2721.495914;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;2046.937;2046.937;561.874;606.635;561.874;1.142;0.489;0.529;1.145;0.000;1.145;46.204;100.000;227.922;1.145;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2721.299910;2721.537217;2721.539580;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;978.357;978.357;553.671;597.796;553.671;2.359;0.675;0.715;43.666;41.303;2.363;30.233;5.412;237.307;11.478;42.448;9.115;0.570;0;0;0;0;0;0;0;0
3;1;1;1;2721.333117;2721.569787;2721.571242;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;1562.734;1562.734;544.348;587.714;544.348;1.452;0.557;0.598;31.662;30.207;1.455;41.077;4.596;236.670;9.807;32.570;0.763;0.582;0;0;0;0;0;0;0;0
4;1;1;1;2721.368457;2721.605773;2721.608706;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;762.131;762.131;535.424;578.080;535.424;2.928;0.694;0.732;37.464;34.531;2.933;24.978;7.828;237.317;13.937;35.986;2.653;0.711;0;0;0;0;0;0;0;0
5;1;1;1;2721.400785;2721.642192;2721.644849;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;832.855;832.855;529.172;571.339;529.172;2.653;0.638;0.674;36.143;33.487;2.657;25.384;7.351;241.407;16.747;36.419;3.086;0.860;0;0;0;0;0;0;0;0
6;1;1;1;2721.433254;2721.674452;2721.677221;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;794.884;794.884;526.976;568.971;526.976;2.764;0.666;0.710;32.372;29.603;2.769;25.639;8.555;241.198;15.785;32.259;1.074;0.873;0;0;0;0;0;0;0;0
7;1;1;1;2721.466716;2721.707348;2721.710213;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;770.972;770.972;528.358;570.451;528.358;2.861;0.652;0.689;32.991;30.127;2.864;24.051;8.682;240.632;15.444;32.896;0.437;0.846;0;0;0;0;0;0;0;0
8;1;1;1;2721.499983;2721.745311;2721.747823;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;879.419;879.419;528.957;571.099;528.957;2.489;0.597;0.634;37.611;35.098;2.512;25.249;6.680;245.328;19.721;37.963;4.629;1.082;0;0;0;0;0;0;0;0
9;1;1;1;2721.533899;2721.777120;2721.779676;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;867.104;867.104;530.025;572.265;530.025;2.552;0.604;0.641;31.853;29.297;2.556;25.070;8.024;243.221;18.241;31.810;1.524;1.110;0;0;0;0;0;0;0;0
10;1;1;1;2721.567542;2721.809618;2721.812526;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;760.988;760.988;531.000;573.313;531.000;2.901;0.687;0.728;32.849;29.942;2.908;25.039;8.852;242.076;17.757;32.498;0.836;1.093;0;0;0;0;0;0;0;0
11;1;1;1;2721.600871;2721.841716;2721.844774;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;729.126;729.126;534.210;576.768;534.210;3.054;0.743;0.782;32.248;29.190;3.058;25.588;9.482;240.845;16.671;32.098;1.236;1.102;0;0;0;0;0;0;0;0
12;1;1;1;2721.634612;2721.874920;2721.877285;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;954.241;954.241;539.517;582.516;539.517;2.361;0.662;0.709;32.511;30.147;2.365;29.973;7.273;240.308;15.849;33.205;0.129;1.041;0;0;0;0;0;0;0;0
13;1;1;1;2721.667613;2721.900671;2721.901864;780926;142868;142868;0;0;1786;1786;2285888;2285940;100.000;1928.532;1928.532;548.626;592.334;548.626;1.189;0.560;0.598;24.579;23.386;1.193;50.120;4.854;233.058;7.095;25.751;7.583;1.450;0;0;0;0;0;0;0;0
14;1;1;1;2721.701559;2721.938522;2721.941719;782770;144928;144928;0;0;1812;1812;2318848;2318900;100.000;727.273;727.273;556.536;600.881;556.536;3.193;0.758;0.800;39.855;36.659;3.196;25.041;8.020;236.964;13.616;37.851;4.518;1.641;0;0;0;0;0;0;0;0
15;1;1;1;2721.735505;2721.971872;2721.974775;784474;146044;146044;0;0;1826;1826;2336704;2336756;100.000;805.249;805.249;560.821;605.509;560.821;2.900;0.740;0.784;33.056;30.153;2.903;27.003;8.782;236.367;13.339;33.349;0.016;1.540;0;0;0;0;0;0;0;0
