frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2721.266847;2721.269057;2721.277359;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;1516.197;1516.197;3011.115;3354.567;3011.115;8.281;2.946;5.323;8.301;0.000;8.301;64.121;100.000;2.211;8.301;0.000;0.000;0.000;0;0;0;0;4279;0;4279;135982
2;1;1;1;2721.299910;2721.302220;2721.310470;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;1524.441;1524.441;3008.289;3351.426;3008.289;8.245;3.216;5.716;33.111;24.861;8.250;69.289;24.915;2.310;8.079;33.163;0.171;0.011;0;0;0;0;4536;0;4536;143695
3;1;1;1;2721.333117;2721.336075;2721.342345;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;1992.772;1992.772;2995.978;3337.713;2995.978;6.265;3.187;3.376;31.875;25.606;6.269;53.849;19.668;2.958;6.620;33.855;0.522;0.043;0;0;0;0;0;0;0;0
4;1;1;1;2721.368457;2721.372650;2721.382457;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;1270.208;1270.208;2989.323;3330.288;2989.323;9.799;4.704;4.962;40.112;30.306;9.807;50.601;24.448;4.194;13.400;36.575;3.242;0.243;0;0;0;0;0;0;0;0
5;1;1;1;2721.400785;2721.404126;2721.412349;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;1511.822;1511.822;2981.489;3321.578;2981.489;8.219;3.874;4.088;29.892;21.669;8.223;49.719;27.508;3.341;9.958;31.476;1.858;0.344;0;0;0;0;0;0;0;0
6;1;1;1;2721.433254;2721.436157;2721.445535;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;1323.603;1323.603;2975.599;3315.022;2975.599;9.376;4.156;4.376;33.187;23.808;9.379;46.661;28.260;2.902;9.811;32.031;1.303;0.403;0;0;0;0;0;0;0;0
7;1;1;1;2721.466716;2721.469493;2721.478688;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;1350.625;1350.625;2979.654;3319.532;2979.654;9.192;4.173;4.409;33.153;23.958;9.195;47.946;27.736;2.777;9.631;33.336;0.003;0.378;0;0;0;0;0;0;0;0
8;1;1;1;2721.499983;2721.503125;2721.510748;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;1628.870;1628.870;2977.788;3317.456;2977.788;7.617;3.526;3.791;32.060;24.437;7.623;49.728;23.777;3.143;8.357;33.632;0.299;0.373;0;0;0;0;0;0;0;0
9;1;1;1;2721.533899;2721.537644;2721.545645;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;1551.311;1551.311;2978.690;3318.463;2978.690;7.998;3.235;3.425;34.896;26.896;8.001;42.812;22.928;3.744;9.921;34.518;1.185;0.424;0;0;0;0;0;0;0;0
10;1;1;1;2721.567542;2721.571187;2721.578379;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;1733.089;1733.089;2987.606;3328.396;2987.606;7.188;3.481;3.675;32.734;25.543;7.191;51.100;21.968;3.645;9.321;33.544;0.210;0.411;0;0;0;0;0;0;0;0
