frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;2721.266847;2721.494827;2721.495997;784142;178911;159140;146318;146318;1829;2341088;100.000;2001.499;561.874;603.123;22.816;88.949;18.660;0.000;123.850;0.819;1.170;69.974;227.980;229.150;229.150;1.170;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;2721.299910;2721.539522;2721.549571;783406;169393;156499;144182;144182;1803;2306912;100.000;229.581;553.671;594.335;21.623;92.388;18.405;0.000;0.000;9.327;10.049;92.813;239.612;249.662;249.661;21.412;44.696;11.362;0.710;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;2721.333117;2721.579656;2721.584464;780200;164369;153953;141754;141754;1772;2268064;100.000;471.853;544.348;584.312;21.068;93.663;18.169;0.000;0.000;4.298;4.808;89.391;246.539;251.347;251.346;22.971;40.134;6.801;1.091;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;2721.368457;2721.607744;2721.615137;778467;160176;150044;139430;139430;1743;2230880;100.000;301.796;535.424;574.733;20.576;93.674;17.911;0.000;109.472;4.922;7.393;66.575;239.287;246.680;246.679;20.310;28.087;5.246;1.351;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;2721.400785;2721.654907;2721.664782;776427;157416;147596;137802;137802;1723;2204832;100.000;223.295;529.172;568.031;20.274;93.762;17.748;0.000;0.000;8.905;9.875;90.178;254.122;263.997;263.996;36.622;47.163;13.830;2.130;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;2721.433254;2721.697998;2721.700447;774893;155704;146684;137230;137230;1716;2195680;100.000;896.840;526.976;565.676;20.094;94.207;17.710;0.000;0.000;1.839;2.449;75.124;264.744;267.192;267.192;38.953;43.091;9.758;2.607;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;2721.466716;2721.715985;2721.717377;775949;155769;147285;137590;137590;1720;2201440;100.000;1583.276;528.358;567.149;20.075;94.553;17.732;0.000;92.494;0.918;1.391;65.947;249.269;250.661;250.660;22.550;17.987;15.346;3.403;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;2721.499983;2721.745390;2721.767128;775463;154945;147291;137746;137746;1722;2203936;100.000;101.393;528.957;567.793;19.981;95.060;17.763;0.000;0.000;4.879;21.738;22.446;245.407;267.145;267.144;38.968;29.404;3.929;3.436;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;2721.533899;2721.799066;2721.800627;775698;154624;147515;138024;138024;1726;2208384;100.000;1415.093;530.025;568.951;19.934;95.402;17.794;0.000;0.000;0.994;1.561;63.663;265.166;266.727;266.727;39.134;53.676;20.342;4.493;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;0.000000;0.000000;1.000000;2721.567542;2721.809683;2721.838753;778020;153992;146840;138278;138278;1729;2212448;100.000;76.114;531.000;569.994;19.793;95.356;17.773;0.000;0.000;1.433;29.069;4.929;242.141;271.210;271.209;43.926;10.618;22.716;5.632;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;0.000000;0.000000;1.000000;2721.600871;2721.841775;2721.844884;778554;154581;147771;139114;139114;1739;2225824;100.000;716.696;534.210;573.430;19.855;95.595;17.868;0.001;59.027;1.388;3.109;44.637;240.904;244.014;244.010;16.724;32.091;1.242;5.357;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;0.000000;0.000000;1.000000;2721.634612;2721.903660;2721.912370;779986;155588;149026;140496;140496;1757;2247936;100.000;258.094;539.517;579.143;19.948;95.782;18.013;0.000;0.000;1.234;8.711;14.169;269.048;277.758;277.758;50.877;61.885;28.551;6.807;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
13;1;1;0.000000;0.000000;1.000000;2721.667613;2721.912523;2721.921750;780926;157785;151108;142868;142868;1786;2285888;100.000;247.813;548.626;588.905;20.205;95.768;18.295;0.000;0.000;1.528;9.226;16.558;244.910;254.137;254.135;26.923;8.864;24.470;7.911;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
14;1;1;0.000000;0.000000;1.000000;2721.701559;2721.939512;2721.948125;782770;159421;153009;144928;144928;1812;2318848;100.000;269.269;556.536;597.402;20.366;95.978;18.515;0.000;0.000;7.807;8.613;90.643;237.954;246.567;246.566;19.966;26.989;6.344;7.813;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;0.000000;0.000000;1.000000;2721.735505;2721.995778;2722.002355;784474;159965;153314;146044;146044;1826;2336704;100.000;355.339;560.821;602.004;20.391;95.842;18.617;0.000;0.000;5.972;6.577;90.806;260.273;266.849;266.849;40.861;56.265;22.932;8.758;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;0.000000;0.000000;1.000000;2721.767637;2722.002508;2722.003881;785193;177968;156948;145822;145822;1823;2333152;100.000;1699.736;559.969;601.083;22.666;88.189;18.571;0.000;0.000;0.947;1.373;68.958;234.871;236.244;236.244;9.054;6.730;26.603;9.873;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
17;1;1;0.000000;0.000000;1.000000;2721.801909;2722.053411;2722.055580;782720;169127;155796;144126;144126;1802;2306016;100.000;1064.342;553.456;594.097;21.608;92.118;18.413;0.000;0.000;1.468;2.168;67.697;251.502;253.671;253.669;27.420;50.903;17.570;10.354;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
18;1;1;0.000000;0.000000;1.000000;2721.835649;2722.092502;2722.094314;781613;164376;152343;141930;141930;1775;2270880;100.000;1253.356;545.024;585.055;21.030;92.680;18.159;0.000;0.000;1.218;1.813;67.183;256.852;258.665;258.664;32.821;39.091;5.757;10.067;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
19;1;1;0.000000;0.000000;1.000000;2721.867427;2722.099039;2722.100541;780006;160684;150225;139740;139740;1747;2235840;100.000;1488.816;536.614;576.014;20.600;93.491;17.915;0.000;0.000;1.022;1.502;67.996;231.611;233.114;233.113;5.715;6.537;26.796;11.113;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
20;1;1;0.000000;0.000000;1.000000;2721.901483;2722.134319;2722.135840;780302;157894;148300;138346;138346;1730;2213536;100.000;1456.642;531.261;570.277;20.235;93.924;17.730;0.000;0.000;0.618;1.520;40.621;232.836;234.356;234.356;7.680;35.281;1.947;10.540;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
21;1;1;0.000000;0.000000;1.000000;2721.934388;2722.199368;2722.201032;779066;156303;147479;137844;137844;1724;2205504;100.000;1326.651;529.333;568.214;20.063;94.355;17.693;0.000;0.000;0.872;1.663;52.410;264.980;266.644;266.643;39.539;65.049;31.716;11.863;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
22;1;1;0.000000;0.000000;1.000000;2721.967434;2722.201156;2722.202503;778280;156434;148303;138092;138092;1727;2209472;100.000;1640.754;530.286;569.234;20.100;94.802;17.743;0.000;0.000;0.913;1.347;67.768;233.722;235.069;235.068;7.677;1.788;31.546;13.093;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
23;1;1;-0.087266;0.000000;1.000000;2722.000892;2722.233635;2722.234895;778907;155826;148511;138240;138240;1728;2211840;100.000;1755.701;530.854;569.825;20.006;95.306;17.748;0.000;0.000;0.642;1.261;50.956;232.742;234.003;234.002;6.735;32.478;0.855;12.328;1;1.463;35.326;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
24;1;1;-0.087266;0.000000;1.000000;2722.034588;2722.291504;2722.293058;779289;155133;147900;138556;138556;1732;2216896;100.000;1427.576;532.068;571.129;19.907;95.338;17.780;0.000;0.000;1.095;1.554;70.499;256.916;258.470;258.469;31.565;57.870;24.536;13.091;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
25;1;1;-0.087266;0.000000;1.000000;2722.067363;2722.295607;2722.296862;779739;154951;148061;138952;138952;1737;2223232;100.000;1771.330;533.588;572.762;19.872;95.553;17.820;0.000;0.000;0.588;1.256;46.837;228.243;229.499;229.498;2.036;4.102;29.231;14.100;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
26;1;1;-0.087266;0.000000;1.000000;2722.100386;2722.333937;2722.335195;779364;155091;148214;139454;139454;1744;2231264;100.000;1774.342;535.516;574.848;19.900;95.566;17.893;0.000;0.000;0.667;1.258;53.004;233.551;234.810;234.809;7.035;38.331;4.997;13.531;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
27;1;1;-0.087266;0.000000;1.000000;2722.133800;2722.364855;2722.367058;780025;155666;148911;140520;140520;1757;2248320;100.000;1021.167;539.609;579.235;19.957;95.661;18.015;0.000;0.000;1.713;2.203;77.752;231.055;233.258;233.257;5.565;30.918;2.415;12.837;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
28;1;1;-0.087266;0.000000;1.000000;2722.167235;2722.394020;2722.395263;780373;156450;150058;141820;141820;1773;2269120;100.000;1827.376;544.601;584.588;20.048;95.914;18.173;0.000;0.000;0.670;1.243;53.916;226.786;228.029;228.028;0.437;29.165;4.168;12.295;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
29;1;1;-0.087266;0.000000;1.000000;2722.200022;2722.433686;2722.435246;781651;158178;151821;143812;143812;1798;2300992;100.000;1476.040;552.251;592.801;20.236;95.981;18.398;0.000;0.000;0.665;1.560;42.667;233.664;235.223;235.223;7.086;39.666;6.332;11.922;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
30;1;1;-0.087266;0.000000;1.000000;2722.233915;2722.491195;2722.492643;781375;158959;152458;144756;144756;1810;2316096;100.000;1599.533;555.876;596.697;20.343;95.910;18.526;0.000;0.000;0.965;1.449;66.625;257.279;258.728;258.727;31.150;57.509;24.175;12.688;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
