frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;3115.809072;3115.896086;3116.025782;784142;142128;146318;108;1829;142128;154656;100.000;377.130;410.119;561.874;603.123;37.117;178911;159140;146318;0.215;0.125;0.079;3.659;1.316;0.082;28.879;27.485;129.651;129.697;128.354;22.267;21.413;1.876;0.236;1.128;87.014;216.711;129.697;0.000;0.000;0.000;0.000;0.046;0.000;59;23.904;124.647;6;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;3115.842167;3115.922932;3116.056684;783406;28764;144182;22;1803;28764;31316;100.000;0.930;1.010;553.671;594.335;7.516;169393;156499;144182;0.212;0.125;0.077;2.763;1.055;0.056;35.858;34.726;111.907;133.752;132.655;26.809;26.178;1.923;0.275;0.151;80.765;214.517;127.266;26.847;6.487;0.405;0.000;21.845;0.001;31;32.039;108.044;2;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;3115.875410;3115.953991;3116.079798;780200;22936;141754;18;1772;22936;25024;100.000;0.865;0.940;544.348;584.312;6.006;164369;153953;141754;0.212;0.125;0.077;2.217;1.519;0.487;26.946;25.350;125.227;125.806;124.264;21.419;20.400;1.518;0.193;0.093;78.582;204.388;117.045;31.059;2.274;0.522;0.000;0.579;0.000;18;23.209;121.466;2;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;3115.910324;3115.990171;3116.107888;778467;22560;139430;18;1743;22560;24648;100.000;1.034;1.125;535.424;574.733;5.916;160176;150044;139430;0.212;0.124;0.076;3.053;1.175;0.069;31.824;30.573;117.346;117.716;116.519;27.034;26.239;1.355;0.183;1.103;79.847;197.563;111.802;36.180;2.847;0.667;0.000;0.371;0.000;17;27.596;113.093;2;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;3115.942900;3116.012133;3116.138931;776427;22184;137802;17;1723;22184;24156;100.000;0.683;0.741;529.172;568.031;5.797;157416;147596;137802;0.203;0.115;0.071;2.009;1.261;0.320;35.272;33.940;126.748;126.798;125.517;27.818;27.041;1.369;0.180;0.071;69.234;196.031;109.512;21.962;11.371;1.336;0.000;0.050;0.000;17;32.002;123.458;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;3115.975485;3116.044793;3116.175674;774893;24440;137230;19;1716;24440;26644;100.000;0.771;0.838;526.976;565.676;6.395;155704;146684;137230;0.236;0.113;0.070;2.339;1.329;0.070;40.004;38.605;127.800;130.881;129.525;30.565;29.805;1.622;0.192;0.107;69.308;200.189;112.921;32.660;0.674;1.295;0.000;3.081;0.000;19;36.335;124.104;2;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;3116.010196;3116.076662;3116.207170;775949;24816;137590;19;1720;24816;27020;100.000;0.746;0.809;528.358;567.149;6.485;155769;147285;137590;0.261;0.118;0.073;2.498;1.614;0.478;35.166;33.480;130.470;130.508;128.873;26.946;25.979;1.621;0.181;0.245;66.466;196.974;111.084;31.869;1.465;1.306;0.000;0.038;0.000;9;31.054;126.334;3;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;3116.042324;3116.110118;3116.238711;775463;26320;137746;20;1722;26320;28640;100.000;742.743;805.519;528.957;567.793;6.874;154945;147291;137746;0.211;0.120;0.073;2.876;0.910;0.059;35.655;34.672;128.575;128.593;127.665;27.727;27.159;1.435;0.181;0.856;67.794;196.387;109.292;33.456;0.123;1.232;0.000;0.018;0.000;15;31.869;124.770;2;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;3116.076247;3116.141693;3116.274000;775698;26508;138024;21;1726;26508;28944;100.000;0.822;0.895;530.025;568.951;6.947;154624;147515;138024;0.210;0.117;0.072;3.019;0.934;0.063;39.053;38.047;132.273;132.307;131.346;29.517;28.967;1.394;0.221;1.005;65.447;197.754;111.248;31.575;1.758;1.265;0.000;0.034;0.000;11;35.099;128.280;5;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;3116.109444;3116.174137;3116.308978;778020;25568;138278;20;1729;25568;27888;100.000;0.778;0.846;531.000;569.994;6.693;153992;146840;138278;0.196;0.111;0.068;4.705;1.862;0.517;38.930;37.001;134.797;134.842;132.955;28.871;27.829;1.784;1.202;1.345;64.692;199.534;112.893;32.443;0.890;1.241;0.000;0.044;0.000;17;32.363;128.203;3;0;0;0;0;0;0;0
11;1;1;1;0.000000;0.000000;1.000000;3116.142406;3116.207116;3116.339376;778554;24064;139114;19;1739;24064;26268;100.000;0.760;0.826;534.210;573.430;6.304;154581;147771;139114;0.241;0.111;0.068;2.834;1.079;0.065;36.965;35.818;132.211;132.260;131.158;27.949;27.309;1.462;0.183;0.769;64.710;196.970;109.957;32.980;0.353;1.186;0.000;0.049;0.000;18;33.053;128.275;2;0;0;0;0;0;0;0
12;1;1;1;0.000000;0.000000;1.000000;3116.176575;3116.238963;3116.372723;779986;25568;140496;20;1757;25568;27888;100.000;0.758;0.824;539.517;579.143;6.693;155588;149026;140496;0.231;0.111;0.069;3.065;1.369;0.432;37.254;35.816;133.720;133.760;132.366;27.851;27.059;1.442;0.185;1.028;62.388;196.147;109.970;31.846;1.487;1.205;0.000;0.040;0.000;19;32.820;129.259;2;0;0;0;0;0;0;0
13;1;1;1;0.000000;0.000000;1.000000;3116.209640;3116.272913;3116.406310;780926;26132;142868;20;1786;26132;28452;100.000;0.755;0.819;548.626;588.905;6.828;157785;151108;142868;1.217;0.113;0.070;4.139;0.962;0.058;38.020;36.988;133.367;133.397;132.412;28.501;27.934;1.482;0.188;1.070;63.274;196.670;110.225;33.950;0.617;1.168;0.000;0.030;0.001;13;32.919;128.241;3;0;0;0;0;0;0;0
14;1;1;1;0.000000;0.000000;1.000000;3116.242600;3116.308167;3116.438252;782770;26696;144928;21;1812;26696;29132;100.000;0.836;0.910;556.536;597.402;6.992;159421;153009;144928;0.192;0.113;0.070;2.387;1.323;0.315;37.045;35.653;130.071;130.085;128.746;28.478;27.693;1.639;0.261;0.113;65.567;195.652;108.833;35.253;1.920;1.215;0.000;0.015;0.000;11;33.336;126.343;5;0;0;0;0;0;0;0
