frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;3115.809072;3115.811347;3115.864246;3115.896427;784142;784142;784142;9802;108;12546272;12546312;100.000;993.761;993.761;34.132;37.480;3011.115;11.043;4.201;2.210;26.309;7.015;0.002;50.779;44.367;72.454;85.080;52.899;59.684;83.871;2.413;0.951;0.496;1.641;20.808;2.275;87.355;85.080;0.000;0.000;0.000;0.000;0.017;0.521;32.738;0.982;1;1;38.770;38.771;nan;nan;nan;142128;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;3115.842167;3115.844499;3115.903336;3115.953942;783406;783406;783406;9793;22;12534496;12534536;100.000;1027.375;1027.375;6.924;7.590;3008.289;10.663;4.352;2.251;5.365;34.603;0.002;57.234;50.631;97.242;109.443;58.837;52.296;86.053;2.312;0.892;0.500;1.629;0.032;2.331;111.774;109.261;33.152;0.182;0.011;0.182;0.038;0.027;27.548;0.826;0;2;53.137;53.138;nan;nan;nan;28764;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;3115.875410;3115.878390;3115.928247;3115.980516;780200;780200;780200;9753;18;12483200;12483240;100.000;1768.825;1768.825;5.526;6.066;2995.978;5.160;4.173;2.187;4.180;24.910;0.002;40.610;34.250;95.068;102.125;49.856;39.765;68.697;1.370;0.883;0.506;1.394;0.026;2.981;105.106;102.502;33.892;0.559;0.046;0.559;0.005;7.343;23.297;0.699;0;3;50.598;50.601;nan;nan;nan;22936;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;3115.910324;3115.913701;3115.959050;3116.012059;778467;778467;778467;9731;18;12455472;12455512;100.000;1349.498;1349.498;5.436;5.976;2989.323;3.786;5.019;2.233;7.829;20.904;0.003;39.772;32.519;89.128;98.358;45.349;40.436;71.710;4.907;0.894;0.522;1.466;0.041;3.377;101.735;100.712;35.311;1.978;0.166;1.978;0.002;0.129;21.246;0.637;0;2;42.362;42.365;nan;nan;nan;22560;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;3115.942900;3115.946225;3115.991129;3116.044725;776427;776427;776427;9706;17;12422832;12422872;100.000;1612.801;1612.801;5.345;5.855;2981.489;5.535;6.353;3.301;5.778;21.638;0.003;42.606;32.951;90.797;98.500;44.904;43.254;73.381;2.916;0.893;0.511;1.422;0.036;3.325;101.825;100.045;32.523;0.810;0.207;0.810;0.049;0.080;15.448;0.463;0;2;42.562;42.565;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;3115.975485;3115.978679;3116.023614;3116.076577;774893;774893;774893;9687;19;12398288;12398328;100.000;1079.990;1079.990;5.887;6.458;2975.599;4.398;4.958;2.835;4.246;21.194;0.004;37.632;29.838;86.418;97.898;44.935;38.440;66.403;1.402;0.903;0.521;1.393;0.027;3.194;101.092;98.564;32.454;0.879;0.249;0.879;0.003;0.216;14.599;0.438;0;2;42.299;42.301;nan;nan;nan;24440;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;3116.010196;3116.014357;3116.056686;3116.110049;775949;775949;775949;9700;19;12415184;12415224;100.000;1264.482;1264.482;5.977;6.549;2979.654;3.990;5.027;2.642;4.455;20.089;0.003;36.202;28.534;85.874;95.692;42.330;37.832;67.408;1.545;0.901;0.512;1.472;0.025;4.161;99.853;98.702;35.677;2.344;0.380;2.344;0.002;0.296;13.983;0.419;0;2;39.972;39.975;nan;nan;nan;24816;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;3116.042324;3116.046026;3116.086482;3116.110098;775463;775463;775463;9694;20;12407408;12407448;100.000;1210.319;1210.319;6.338;6.941;2977.788;4.170;5.377;2.814;5.474;16.402;0.001;34.237;26.046;53.821;64.072;40.456;53.436;64.380;2.559;0.899;0.512;1.474;0.030;3.702;67.774;65.418;31.669;1.664;0.460;1.664;0.003;0.132;13.907;0.417;0;2;39.963;39.965;nan;nan;nan;26320;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;3116.076247;3116.080357;3116.120834;3116.174028;775698;775698;775698;9697;21;12411168;12411208;100.000;1175.785;1175.785;6.383;7.017;2978.690;3.862;6.279;2.485;5.004;16.039;0.005;33.669;24.905;83.116;93.672;40.478;35.943;61.527;2.119;0.895;0.537;1.420;0.032;4.110;97.781;96.014;34.331;0.997;0.493;0.997;0.002;0.111;13.875;0.416;0;2;36.817;36.819;nan;nan;nan;26508;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;3116.109444;3116.112441;3116.151905;3116.206809;778020;778020;778020;9726;20;12448320;12448360;100.000;1327.782;1327.782;6.157;6.760;2987.606;3.639;6.040;2.680;4.899;16.034;0.003;33.292;24.572;84.992;94.368;39.464;35.279;62.264;2.094;0.832;0.477;1.464;0.032;2.997;97.365;95.462;32.085;1.248;0.541;1.248;0.002;0.432;13.815;0.414;0;2;38.150;38.154;nan;nan;nan;25568;1;0;0;0;0;0;0
11;1;1;1;IDLE;0.000;0.000;1.000;3116.142406;3116.145389;3116.182975;3116.238905;778554;778554;778554;9732;19;12456864;12456904;100.000;1027.863;1027.863;5.796;6.368;2989.657;3.973;5.115;2.392;4.524;13.050;0.002;29.053;21.546;81.397;93.517;37.587;31.067;57.324;1.786;0.830;0.489;1.390;0.029;2.982;96.499;94.225;32.947;0.386;0.531;0.386;0.019;0.366;13.372;0.401;0;2;36.876;36.879;nan;nan;nan;24064;1;0;0;0;0;0;0
12;1;1;1;IDLE;0.000;0.000;1.000;3116.176575;3116.179685;3116.214225;3116.272805;779986;779986;779986;9750;20;12479776;12479816;100.000;939.276;939.276;6.157;6.760;2995.156;4.351;4.894;2.380;5.070;8.546;0.002;25.241;17.967;79.833;93.120;34.540;27.106;52.017;2.080;0.839;0.524;1.596;0.030;3.110;96.230;94.791;34.297;0.963;0.558;0.963;0.003;0.359;13.118;0.394;0;2;33.222;33.224;nan;nan;nan;25568;1;0;0;0;0;0;0
13;1;1;1;IDLE;0.000;0.000;1.000;3116.209640;3116.212628;3116.245512;3116.307634;780926;780926;780926;9762;20;12494816;12494856;100.000;956.773;956.773;6.293;6.896;2998.765;4.064;4.699;2.360;4.818;7.742;0.003;23.682;16.624;81.947;95.006;32.884;24.927;50.553;1.985;0.842;0.509;1.453;0.029;2.988;97.995;96.287;32.943;0.390;0.547;0.390;0.003;0.202;12.810;0.384;0;2;35.028;35.030;nan;nan;nan;26132;1;0;0;0;0;0;0
14;1;1;1;IDLE;0.000;0.000;1.000;3116.242600;3116.245883;3116.279988;3116.340191;782770;782770;782770;9785;21;12524320;12524360;100.000;864.130;864.130;6.428;7.062;3005.846;4.167;4.837;2.339;5.218;6.861;0.002;23.423;16.246;79.814;94.308;34.105;24.837;47.637;2.429;0.844;0.490;1.418;0.036;3.283;97.591;95.511;33.255;0.078;0.518;0.078;0.003;0.351;12.711;0.381;0;2;34.501;34.503;nan;nan;nan;26696;1;0;0;0;0;0;0
15;1;1;1;IDLE;0.000;0.000;1.000;3116.276740;3116.280640;3116.317108;3116.373183;784474;784474;784474;9806;21;12551584;12551624;100.000;917.766;917.766;6.564;7.198;3012.390;4.234;4.595;2.425;6.250;8.842;0.003;26.345;19.326;78.866;92.543;36.468;28.468;52.993;3.269;0.767;0.444;1.735;0.035;3.900;96.443;95.169;34.757;1.424;0.575;1.424;0.003;0.676;12.858;0.386;0;2;31.919;31.921;nan;nan;nan;27260;1;0;0;0;0;0;0
16;1;1;1;IDLE;0.000;0.000;1.000;3116.309264;3116.312803;3116.348493;3116.405115;785193;785193;785193;9815;101;12563088;12563128;100.000;1017.289;1017.289;31.650;34.780;3015.151;4.006;5.355;2.396;5.145;10.355;0.010;27.257;19.506;79.962;92.312;35.690;29.527;54.654;2.375;0.784;0.487;1.468;0.030;3.540;95.852;93.769;32.163;1.170;0.612;1.170;0.003;0.084;12.871;0.386;0;2;35.038;35.041;nan;nan;nan;131788;1;0;0;0;0;0;0
17;1;1;1;IDLE;0.000;0.000;1.000;3116.342687;3116.346076;3116.382435;3116.439602;782720;782720;782720;9784;22;12523520;12523560;100.000;947.508;947.508;6.924;7.590;3005.654;4.593;4.690;2.361;4.752;11.030;0.001;27.426;20.375;80.309;93.526;36.359;29.324;56.038;1.995;0.855;0.466;1.407;0.030;3.389;96.915;94.922;33.273;0.060;0.578;0.060;0.003;0.304;12.607;0.378;0;2;33.708;33.709;nan;nan;nan;28764;1;0;0;0;0;0;0
18;1;1;1;IDLE;0.000;0.000;1.000;3116.376052;3116.379029;3116.412170;3116.472528;781613;781613;781613;9771;18;12505808;12505848;100.000;953.523;953.523;5.571;6.111;3001.404;4.468;4.664;2.386;5.901;6.684;0.002;24.103;17.053;80.384;93.499;33.141;25.779;51.457;3.216;0.792;0.463;1.397;0.034;2.977;96.476;94.515;32.953;0.380;0.565;0.380;0.003;0.386;12.695;0.381;0;2;34.112;34.114;nan;nan;nan;23124;1;0;0;0;0;0;0
19;1;1;1;IDLE;0.000;0.000;1.000;3116.409221;3116.412425;3116.448765;3116.506082;780006;780006;780006;9751;17;12480096;12480136;100.000;884.238;884.238;5.345;5.855;2995.233;4.412;4.819;2.371;5.843;8.197;0.002;25.642;18.453;79.543;93.657;36.340;27.379;50.779;3.158;0.799;0.453;1.401;0.034;3.204;96.861;94.735;33.396;0.062;0.534;0.062;0.002;0.992;12.785;0.384;0;2;31.958;31.958;nan;nan;nan;22184;1;0;0;0;0;0;0
