frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3115.809072;3115.896069;3115.896436;784142;0;0;142128;142128;108;108;142128;142216;100.000;392.512;392.512;34.132;37.480;34.132;0.359;0.021;0.024;0.367;0.000;0.367;6.461;100.000;86.997;0.367;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3115.842167;3115.921917;3115.953948;783406;0;0;28764;28764;22;22;28764;28852;100.000;0.901;0.901;6.924;7.590;6.924;31.026;0.009;0.011;57.512;25.481;32.030;0.035;55.693;79.750;24.546;25.849;7.484;0.468;0;0;0;0;0;0;0;0
3;1;1;1;3115.875410;3115.953980;3115.980601;780200;0;0;22936;22936;18;18;22936;23024;100.000;0.867;0.867;5.526;6.066;5.526;26.618;0.008;0.009;26.654;0.032;26.621;0.034;99.879;78.570;17.866;32.062;1.271;0.518;0;0;0;0;0;0;0;0
4;1;1;1;3115.910324;3115.980599;3116.012072;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.720;0.720;5.436;5.976;5.436;21.919;0.019;0.021;31.471;0.000;31.473;0.067;100.008;70.275;16.004;26.619;6.714;0.905;0;0;0;0;0;0;0;0
5;1;1;1;3115.942900;3116.012120;3116.044737;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.683;0.683;5.345;5.855;5.345;32.614;0.013;0.015;32.665;0.047;32.618;0.045;99.855;69.220;15.335;31.521;1.813;0.962;0;0;0;0;0;0;0;0
6;1;1;1;3115.975485;3116.044781;3116.076589;774893;0;0;24440;24440;19;19;24440;24528;100.000;0.771;0.771;5.887;6.458;5.887;31.804;0.011;0.013;31.851;0.043;31.808;0.040;99.865;69.296;13.853;32.661;0.672;0.944;0;0;0;0;0;0;0;0
7;1;1;1;3116.010196;3116.076646;3116.110055;775949;0;0;24816;24816;19;19;24816;24904;100.000;0.746;0.746;5.977;6.549;5.977;33.404;0.009;0.010;33.466;0.058;33.408;0.030;99.827;66.451;13.986;31.866;1.467;0.977;0;0;0;0;0;0;0;0
8;1;1;1;3116.042324;3116.110104;3116.110116;775463;0;0;26320;26320;20;20;26320;26408;100.000;9197.623;9197.623;6.338;6.941;6.338;0.008;0.008;0.009;0.061;0.050;0.012;76.092;18.836;67.781;-19.286;33.458;0.125;0.923;0;0;0;0;0;0;0;0
9;1;1;1;3116.076247;3116.141681;3116.174035;775698;0;0;26508;26508;21;21;26508;26596;100.000;0.822;0.822;6.383;7.017;6.383;32.351;0.009;0.010;63.919;31.565;32.354;0.031;50.618;65.434;11.300;31.576;1.757;0.975;0;0;0;0;0;0;0;0
10;1;1;1;3116.109444;3116.174090;3116.206814;778020;0;0;25568;25568;20;20;25568;25656;100.000;0.784;0.784;6.157;6.760;6.157;32.721;0.006;0.007;32.778;0.055;32.723;0.022;99.831;64.646;10.745;32.410;0.924;0.972;0;0;0;0;0;0;0;0
