frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3115.809072;3116.027062;3116.028240;784142;146318;146318;1829;1829;2341088;2341140;100.000;1991.960;1991.960;561.874;603.123;561.874;1.175;0.853;0.902;1.178;0.000;1.178;76.596;100.000;217.990;1.178;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3115.842167;3116.059479;3116.060477;783406;144182;144182;1803;1803;2306912;2306964;100.000;2321.286;2321.286;553.671;594.335;553.671;0.994;0.722;0.771;32.237;31.239;0.998;77.250;3.095;217.312;0.082;32.417;0.916;0.057;0;0;0;0;0;0;0;0
3;1;1;1;3115.875410;3116.092987;3116.094662;780200;141754;141754;1772;1772;2268064;2268116;100.000;1359.185;1359.185;544.348;584.312;544.348;1.670;1.208;1.256;34.185;32.510;1.675;74.953;4.900;217.577;0.934;33.508;0.174;0.065;0;0;0;0;0;0;0;0
4;1;1;1;3115.910324;3116.106743;3116.107923;778467;139430;139430;1743;1743;2230880;2230932;100.000;1899.205;1899.205;535.424;574.733;535.424;1.175;0.744;0.793;13.261;12.081;1.179;67.205;8.894;196.419;-19.139;13.756;19.577;1.284;0;0;0;0;0;0;0;0
5;1;1;1;3115.942900;3116.137696;3116.138953;776427;137802;137802;1723;1723;2204832;2204884;100.000;1764.037;1764.037;529.172;568.031;529.172;1.252;0.528;0.576;31.030;29.773;1.257;45.812;4.050;194.797;-21.442;30.953;2.381;1.353;0;0;0;0;0;0;0;0
6;1;1;1;3115.975485;3116.190775;3116.193093;774893;137230;137230;1716;1716;2195680;2195732;100.000;950.869;950.869;526.976;565.676;526.976;2.311;1.726;1.767;54.140;51.822;2.318;76.196;4.282;215.290;-0.635;53.079;19.745;2.502;0;0;0;0;0;0;0;0
7;1;1;1;3116.010196;3116.205582;3116.223007;775949;137590;137590;1720;1720;2201440;2201492;100.000;126.550;126.550;528.358;567.149;528.358;17.420;0.619;0.667;29.914;12.489;17.424;3.827;58.249;195.387;-4.055;14.808;18.526;3.504;0;0;0;0;0;0;0;0
8;1;1;1;3116.042324;3116.237833;3116.238735;775463;137746;137746;1722;1722;2203936;2203988;100.000;2462.548;2462.548;528.957;567.793;528.957;0.898;0.608;0.655;15.728;14.826;0.902;72.665;5.735;195.509;-21.660;32.251;1.083;3.352;0;0;0;0;0;0;0;0
9;1;1;1;3116.076247;3116.273104;3116.291544;775698;138024;138024;1726;1726;2208384;2208436;100.000;119.914;119.914;530.025;568.951;530.025;2.660;2.006;2.044;52.809;34.369;18.440;11.083;34.918;196.857;-2.185;35.271;1.938;3.264;0;0;0;0;0;0;0;0
10;1;1;1;3116.109444;3116.307160;3116.326377;778020;138278;138278;1729;1729;2212448;2212500;100.000;115.141;115.141;531.000;569.994;531.000;19.210;18.202;18.250;34.833;15.617;19.216;94.971;55.167;197.716;-0.685;34.056;0.723;3.105;0;0;0;0;0;0;0;0
11;1;1;1;3116.142406;3116.338328;3116.339397;778554;139114;139114;1739;1739;2225824;2225876;100.000;2086.212;2086.212;534.210;573.430;534.210;1.066;0.539;0.587;13.021;11.951;1.070;54.887;8.215;195.921;-20.998;31.167;2.166;3.046;0;0;0;0;0;0;0;0
12;1;1;1;3116.176575;3116.371380;3116.372748;779986;140496;140496;1757;1757;2247936;2247988;100.000;1652.222;1652.222;539.517;579.143;539.517;1.364;0.473;0.521;33.351;31.983;1.368;38.091;4.102;194.805;-20.981;33.052;0.281;2.874;0;0;0;0;0;0;0;0
13;1;1;1;3116.209640;3116.405373;3116.424002;780926;142868;142868;1786;1786;2285888;2285940;100.000;122.855;122.855;548.626;588.905;548.626;18.625;17.940;17.979;51.254;32.624;18.629;96.512;36.347;195.733;-3.060;33.992;0.659;2.735;0;0;0;0;0;0;0;0
14;1;1;1;3116.242600;3116.436961;3116.438286;782770;144928;144928;1812;1812;2318848;2318900;100.000;1757.288;1757.288;556.536;597.402;556.536;1.322;0.639;0.688;14.285;12.959;1.326;51.929;9.280;194.361;-22.109;31.588;1.745;2.673;0;0;0;0;0;0;0;0
15;1;1;1;3116.276740;3116.472222;3116.490857;784474;146044;146044;1826;1826;2336704;2336756;100.000;125.409;125.409;560.821;602.004;560.821;18.631;1.325;1.364;52.571;33.936;18.635;7.320;35.448;195.482;-2.871;35.261;1.928;2.627;0;0;0;0;0;0;0;0
16;1;1;1;3116.309264;3116.506332;3116.524938;785193;145822;145822;1823;1823;2333152;2333204;100.000;125.569;125.569;559.969;601.083;559.969;18.601;18.035;18.074;34.081;15.475;18.606;97.143;54.594;197.068;-2.124;34.110;0.776;2.511;0;0;0;0;0;0;0;0
17;1;1;1;3116.342687;3116.537487;3116.538906;782720;144126;144126;1802;1802;2306016;2306068;100.000;1628.484;1628.484;553.456;594.097;553.456;1.415;0.585;0.634;13.968;12.549;1.419;44.686;10.161;194.800;-21.489;31.155;2.178;2.490;0;0;0;0;0;0;0;0
18;1;1;1;3116.376052;3116.570394;3116.571502;781613;141930;141930;1775;1775;2270880;2270932;100.000;2057.851;2057.851;545.024;585.055;545.024;1.104;0.662;0.710;32.596;31.488;1.108;64.111;3.399;194.342;-22.227;32.907;0.426;2.361;0;0;0;0;0;0;0;0
19;1;1;1;3116.409221;3116.602026;3116.603508;780006;139740;139740;1747;1747;2235840;2235892;100.000;1513.661;1513.661;536.614;576.014;536.614;1.479;0.706;0.754;32.007;30.525;1.482;50.867;4.630;192.806;-23.554;31.633;1.701;2.320;0;0;0;0;0;0;0;0
20;1;1;1;3116.442428;3116.636278;3116.638084;780302;138346;138346;1730;1730;2213536;2213588;100.000;1226.186;1226.186;531.261;570.277;531.261;1.802;0.986;1.035;34.576;32.770;1.806;57.289;5.223;193.851;-22.311;34.252;0.919;2.232;0;0;0;0;0;0;0;0
