frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;3107.256263;3107.258524;0.000;784142;9802;12546272;12546272;2294.048;2294.048;3011.115;3204.009;3011.115;2.715;2.261;5.469;1.330;10.445;10.445;99.998;78.355;1830;0;1830;57790;0
2;1;1;1;0;0.000;3107.289922;3107.292962;34.438;783406;9793;12534496;12534496;1969.138;1969.138;3008.289;3201.005;3008.289;3.040;3.039;6.365;1.882;12.444;12.445;99.997;75.575;1587;0;1587;49730;0
3;1;1;1;0;0.000;3107.323620;3107.327766;34.805;780200;9753;12483200;12483200;1530.526;1530.526;2995.978;3187.907;2995.978;3.404;4.146;8.156;2.309;15.707;15.707;100.000;73.602;0;0;0;0;0
4;1;1;1;0;0.000;3107.359077;3107.363113;35.346;778467;9731;12455472;12455472;1784.394;1784.394;2989.323;3180.819;2989.323;5.527;4.036;6.980;1.952;16.543;16.543;99.999;75.604;1043;0;1043;32448;0
5;1;1;1;0;0.000;3107.390764;3107.393682;30.570;776427;9706;12422832;12422832;1812.518;1812.518;2981.489;3172.494;2981.489;3.881;2.919;6.854;1.987;13.654;13.654;99.999;78.622;707;0;707;21876;0
6;1;1;1;0;0.000;3107.424831;3107.428836;35.154;774893;9687;12398288;12398288;1561.532;1561.532;2975.599;3166.229;2975.599;4.615;4.005;7.940;2.227;16.560;16.561;99.998;75.814;0;0;0;0;0
7;1;1;1;0;0.000;3107.457623;3107.462438;33.602;775949;9700;12415184;12415184;1588.818;1588.818;2979.654;3170.540;2979.654;4.074;4.815;7.814;2.507;16.704;16.704;99.999;71.171;0;0;0;0;0
8;1;1;1;0;0.000;3107.490032;3107.493102;30.664;775463;9694;12407408;12407408;1137.729;1137.729;2977.788;3168.556;2977.788;3.150;3.070;10.905;3.161;17.125;17.125;100.000;82.071;422;0;422;13460;0
9;1;1;1;0;0.000;3107.523326;3107.525667;32.566;775698;9697;12411168;12411168;1071.147;1071.147;2978.690;3169.517;2978.690;3.110;2.341;11.587;2.971;17.038;17.038;99.998;86.259;1825;0;1825;57098;0
10;1;1;1;0;0.000;3107.556806;3107.559130;33.462;778020;9726;12448320;12448320;1098.742;1098.742;2987.606;3179.004;2987.606;3.255;2.324;11.330;3.098;16.909;16.909;99.995;86.254;1500;0;1500;47946;0
11;1;1;1;0;0.000;3107.590084;3107.592526;33.397;778554;9732;12456864;12456864;1047.409;1047.409;2989.657;3181.173;2989.657;3.202;2.442;11.893;3.074;17.537;17.537;99.999;86.073;1321;0;1321;41264;0
12;1;1;1;0;0.000;3107.624270;3107.626987;34.461;779986;9750;12479776;12479776;1135.504;1135.504;2995.156;3187.026;2995.156;4.054;2.717;10.991;2.947;17.762;17.762;99.999;84.703;634;0;634;20028;0
13;1;1;1;0;0.000;3107.657162;3107.661565;34.578;780926;9762;12494816;12494816;1141.334;1141.334;2998.765;3190.872;2998.765;3.613;4.403;10.948;3.052;18.964;18.964;99.999;76.783;719;0;719;23008;0
