frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;3107.256263;3107.258650;3107.291307;3107.316452;784142;784142;784142;9802;108;12546272;12546312;100.000;921.876;921.876;34.132;37.480;3011.115;10.399;0.000;0.000;11.952;7.018;0.003;29.369;29.369;44.192;57.801;32.657;50.810;89.931;1.625;0.912;0.509;1.387;7.519;2.387;60.189;57.801;0.000;0.000;0.000;0.000;0.012;0.064;11.967;0.359;0;1;31.555;31.556;nan;nan;nan;142128;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;3107.289922;3107.293646;3107.322452;3107.348694;783406;783406;783406;9793;22;12534496;12534536;100.000;910.613;910.613;6.970;7.635;3008.289;2.815;0.000;0.000;4.270;10.096;0.001;17.181;17.181;41.282;55.047;28.806;31.211;59.643;1.437;0.903;0.512;1.392;0.027;3.724;58.771;56.710;34.996;1.663;0.104;1.663;0.011;0.663;10.046;0.301;0;2;36.299;36.300;nan;nan;nan;28952;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;3107.323620;3107.328663;3107.356879;3107.414705;780200;780200;780200;9753;18;12483200;12483240;100.000;796.495;796.495;5.571;6.111;2995.978;3.912;0.000;0.000;4.305;7.436;0.002;15.653;15.653;70.369;86.042;28.215;18.192;55.478;1.466;0.914;0.510;1.387;0.027;5.043;91.085;89.389;35.017;1.683;0.203;1.683;0.002;0.799;8.613;0.258;0;2;34.475;34.476;nan;nan;nan;23124;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;3107.359077;3107.363773;3107.391442;3107.443707;778467;778467;778467;9731;18;12455472;12455512;100.000;846.196;846.196;5.481;6.021;2989.323;3.287;0.000;0.000;5.407;6.918;0.001;15.612;15.612;65.214;79.934;27.669;19.531;56.424;2.527;0.886;0.515;1.448;0.031;4.696;84.630;85.057;35.109;1.776;0.301;1.776;0.002;0.622;7.814;0.234;0;2;30.177;30.179;nan;nan;nan;22748;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;3107.390764;3107.394439;3107.421645;3107.485002;776427;776427;776427;9706;17;12422832;12422872;100.000;808.993;808.993;5.345;5.855;2981.489;3.159;0.000;0.000;4.889;6.047;0.001;14.095;14.095;75.207;90.563;27.207;15.564;51.807;2.068;0.883;0.498;1.411;0.029;3.675;94.238;93.018;30.666;2.667;0.449;2.667;0.002;0.911;4.900;0.147;0;2;28.105;28.106;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;3107.424831;3107.429655;3107.458949;3107.519159;774893;774893;774893;9687;19;12398288;12398328;100.000;797.283;797.283;5.932;6.504;2975.599;3.648;0.000;0.000;5.718;7.266;0.001;16.632;16.632;73.954;89.505;29.294;18.582;56.776;2.946;0.838;0.509;1.395;0.031;4.824;94.328;93.843;35.216;1.883;0.538;1.883;0.003;0.756;5.108;0.153;0;1;33.315;33.316;nan;nan;nan;24628;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;3107.457623;3107.463668;3107.491993;3107.519198;775949;775949;775949;9700;19;12415184;12415224;100.000;824.047;824.047;6.022;6.594;2979.654;3.626;0.000;0.000;6.235;6.521;0.001;16.382;16.382;40.463;55.530;28.325;29.501;57.835;3.262;0.866;0.471;1.603;0.032;6.045;61.575;60.548;34.013;0.680;0.547;0.680;0.009;0.492;5.393;0.162;0;2;33.684;33.686;nan;nan;nan;25004;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;3107.490032;3107.494361;3107.526424;3107.553161;775463;775463;775463;9694;20;12407408;12407448;100.000;653.795;653.795;6.338;6.941;2977.788;4.026;0.000;0.000;5.799;6.582;0.002;16.407;16.407;39.823;58.801;32.064;27.903;51.171;3.076;0.829;0.472;1.389;0.033;4.329;63.130;61.178;30.692;2.641;0.678;2.641;0.003;0.701;5.498;0.165;0;2;33.274;33.275;nan;nan;nan;26320;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;3107.523326;3107.526389;3107.561276;3107.618803;775698;775698;775698;9697;21;12411168;12411208;100.000;616.177;616.177;6.383;7.017;2978.690;3.954;0.000;0.000;6.565;7.348;0.003;17.868;17.868;72.271;92.414;34.886;19.335;51.217;3.282;1.160;0.469;1.620;0.034;3.063;95.477;93.486;32.029;1.305;0.717;1.305;0.002;0.827;5.768;0.173;0;2;32.149;32.150;nan;nan;nan;26508;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;3107.556806;3107.559806;3107.594237;3107.646835;778020;778020;778020;9726;20;12448320;12448360;100.000;614.139;614.139;6.157;6.760;2987.606;4.038;0.000;0.000;5.984;7.233;0.002;17.256;17.256;66.759;87.028;34.430;19.828;50.118;3.225;0.858;0.476;1.394;0.031;3.001;90.029;88.184;33.417;0.084;0.678;0.084;0.002;0.940;5.824;0.175;0;2;31.792;31.797;nan;nan;nan;25568;1;0;0;0;0;0;0
