frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3107.256263;3107.447593;3107.448900;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;1793.224;1793.224;561.874;606.635;561.874;1.304;0.540;0.582;1.307;0.000;1.307;44.510;100.000;191.330;1.307;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3107.289922;3107.484666;3107.485940;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;1813.746;1813.746;553.671;597.796;553.671;1.270;0.458;0.502;37.040;35.766;1.274;39.375;3.440;194.743;5.013;37.072;3.739;0.234;0;0;0;0;0;0;0;0
3;1;1;1;3107.323620;3107.516252;3107.517752;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;1515.787;1515.787;544.348;587.714;544.348;1.495;0.390;0.429;31.812;30.312;1.499;28.610;4.713;192.632;3.491;31.587;1.747;0.328;0;0;0;0;0;0;0;0
4;1;1;1;3107.359077;3107.552754;3107.553857;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;2029.200;2029.200;535.424;578.080;535.424;1.098;0.526;0.569;36.105;35.002;1.103;51.600;3.054;193.677;6.263;36.502;3.168;0.506;0;0;0;0;0;0;0;0
5;1;1;1;3107.390764;3107.586302;3107.587572;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1744.505;1744.505;529.172;571.339;529.172;1.267;0.458;0.498;33.716;32.445;1.270;39.180;3.768;195.538;6.646;33.548;0.215;0.488;0;0;0;0;0;0;0;0
6;1;1;1;3107.424831;3107.623303;3107.624559;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;1753.855;1753.855;526.976;568.971;526.976;1.252;0.532;0.571;36.987;35.731;1.256;45.439;3.397;198.472;10.299;37.001;3.668;0.686;0;0;0;0;0;0;0;0
7;1;1;1;3107.457623;3107.652673;3107.654111;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;1536.544;1536.544;528.358;570.451;528.358;1.434;0.436;0.475;29.552;28.113;1.438;33.004;4.866;195.050;6.517;29.370;3.964;0.891;0;0;0;0;0;0;0;0
8;1;1;1;3107.490032;3107.680889;3107.681958;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;2086.524;2086.524;528.957;571.099;528.957;1.058;0.501;0.538;27.847;26.778;1.069;50.339;3.839;190.857;1.031;28.216;5.117;1.155;0;0;0;0;0;0;0;0
9;1;1;1;3107.523326;3107.720077;3107.721484;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;1579.883;1579.883;530.025;572.265;530.025;1.402;0.626;0.669;39.526;38.119;1.406;47.586;3.558;196.751;7.224;39.188;5.855;1.449;0;0;0;0;0;0;0;0
10;1;1;1;3107.556806;3107.754004;3107.755579;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;1404.646;1404.646;531.000;573.313;531.000;1.571;0.520;0.562;34.096;32.520;1.576;35.689;4.621;197.198;7.986;33.927;0.593;1.396;0;0;0;0;0;0;0;0
11;1;1;1;3107.590084;3107.787918;3107.789743;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;1221.837;1221.837;534.210;576.768;534.210;1.819;0.907;0.980;34.164;32.338;1.826;53.691;5.344;197.834;8.817;33.914;0.580;1.345;0;0;0;0;0;0;0;0
12;1;1;1;3107.624270;3107.819561;3107.821236;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;1347.544;1347.544;539.517;582.516;539.517;1.671;0.474;0.516;31.493;29.818;1.675;30.833;5.319;195.292;6.976;31.644;1.690;1.366;0;0;0;0;0;0;0;0
13;1;1;1;3107.657162;3107.853949;3107.855184;780926;142868;142868;0;0;1786;1786;2285888;2285940;100.000;1861.000;1861.000;548.626;592.334;548.626;1.231;0.656;0.705;33.948;32.713;1.235;57.065;3.639;196.787;7.591;34.388;1.054;1.347;0;0;0;0;0;0;0;0
14;1;1;1;3107.690312;3107.885272;3107.886606;782770;144928;144928;0;0;1812;1812;2318848;2318900;100.000;1750.123;1750.123;556.536;600.881;556.536;1.330;0.442;0.487;31.421;30.087;1.334;36.480;4.245;194.959;5.679;31.323;2.011;1.388;0;0;0;0;0;0;0;0
15;1;1;1;3107.723756;3107.918541;3107.919562;784474;146044;146044;0;0;1826;1826;2336704;2336756;100.000;2290.657;2290.657;560.821;605.509;560.821;1.017;0.522;0.573;32.956;31.935;1.021;56.184;3.097;194.785;5.301;33.269;0.064;1.305;0;0;0;0;0;0;0;0
16;1;1;1;3107.757123;3107.952813;3107.953808;785193;145822;145822;0;0;1823;1823;2333152;2333204;100.000;2365.441;2365.441;559.969;604.584;559.969;0.992;0.464;0.504;34.246;33.252;0.994;50.734;2.903;195.691;6.214;34.273;0.939;1.283;0;0;0;0;0;0;0;0
17;1;1;1;3107.790679;3107.983070;3107.984584;782720;144126;144126;0;0;1802;1802;2306016;2306068;100.000;1525.129;1525.129;553.456;597.557;553.456;1.510;0.526;0.567;30.776;29.262;1.514;37.466;4.920;192.391;3.657;30.256;3.077;1.395;0;0;0;0;0;0;0;0
18;1;1;1;3107.823419;3108.016599;3108.017556;781613;141930;141930;0;0;1775;1775;2270880;2270932;100.000;2380.102;2380.102;545.024;588.463;545.024;0.954;0.476;0.517;32.972;32.015;0.957;54.056;2.902;193.180;3.296;33.529;0.196;1.320;0;0;0;0;0;0;0;0
19;1;1;1;3107.857269;3108.048716;3108.050283;780006;139740;139740;0;0;1747;1747;2235840;2235892;100.000;1430.692;1430.692;536.614;579.368;536.614;1.562;0.561;0.601;32.727;31.160;1.567;38.363;4.787;191.447;2.689;32.117;1.216;1.313;0;0;0;0;0;0;0;0
20;1;1;1;3107.889625;3108.082532;3108.084012;780302;138346;138346;0;0;1730;1730;2213536;2213588;100.000;1496.496;1496.496;531.261;573.599;531.261;1.475;0.626;0.666;33.729;32.250;1.480;45.008;4.387;192.907;3.085;33.816;0.483;1.261;0;0;0;0;0;0;0;0
21;1;1;1;3107.923343;3108.119522;3108.120881;779066;137844;137844;0;0;1724;1724;2205504;2205556;100.000;1630.053;1630.053;529.333;571.524;529.333;1.356;0.463;0.510;36.869;35.510;1.360;37.520;3.688;196.178;6.621;36.989;3.656;1.411;0;0;0;0;0;0;0;0
22;1;1;1;3107.956740;3108.149775;3108.150912;778280;138092;138092;0;0;1727;1727;2209472;2209524;100.000;1954.976;1954.976;530.286;572.550;530.286;1.133;0.519;0.557;30.031;28.893;1.138;48.911;3.789;193.035;3.319;30.253;3.080;1.515;0;0;0;0;0;0;0;0
23;1;1;1;3107.989990;3108.182573;3108.183938;778907;138240;138240;0;0;1728;1728;2211840;2211892;100.000;1627.254;1627.254;530.854;573.143;530.854;1.362;0.599;0.636;33.026;31.661;1.365;46.600;4.134;192.584;3.012;32.798;0.535;1.454;0;0;0;0;0;0;0;0
24;1;1;1;3108.023433;3108.219273;3108.220635;779289;138556;138556;0;0;1732;1732;2216896;2216948;100.000;1628.258;1628.258;532.068;574.454;532.068;1.349;0.488;0.532;36.697;35.335;1.363;39.067;3.713;195.840;6.375;36.700;3.367;1.574;0;0;0;0;0;0;0;0
25;1;1;1;3108.056765;3108.250476;3108.251448;779739;138952;138952;0;0;1737;1737;2223232;2223284;100.000;2291.581;2291.581;533.588;576.097;533.588;0.967;0.437;0.475;30.812;29.840;0.972;48.874;3.154;193.710;3.854;31.203;2.131;1.608;0;0;0;0;0;0;0;0
26;1;1;1;3108.089913;3108.283805;3108.285096;779364;139454;139454;0;0;1744;1744;2231264;2231316;100.000;1732.744;1732.744;535.516;578.196;535.516;1.286;0.446;0.485;33.649;32.358;1.291;37.584;3.837;193.892;4.170;33.329;0.004;1.508;0;0;0;0;0;0;0;0
27;1;1;1;3108.123456;3108.319563;3108.320786;780025;140520;140520;0;0;1757;1757;2248320;2248372;100.000;1850.736;1850.736;539.609;582.608;539.609;1.219;0.546;0.591;35.690;34.467;1.223;48.321;3.426;196.107;6.526;35.758;2.425;1.565;0;0;0;0;0;0;0;0
28;1;1;1;3108.156750;3108.350721;3108.352037;780373;141820;141820;0;0;1773;1773;2269120;2269172;100.000;1729.873;1729.873;544.601;587.992;544.601;1.311;0.518;0.559;31.250;29.935;1.315;42.502;4.209;193.971;4.443;31.158;2.175;1.604;0;0;0;0;0;0;0;0
29;1;1;1;3108.190095;3108.385726;3108.386953;781651;143812;143812;0;0;1798;1798;2300992;2301044;100.000;1877.760;1877.760;552.251;596.253;552.251;1.223;0.623;0.681;34.916;33.689;1.227;55.497;3.514;195.631;6.026;35.005;1.671;1.608;0;0;0;0;0;0;0;0
30;1;1;1;3108.223563;3108.417336;3108.418396;781375;144756;144756;0;0;1810;1810;2316096;2316148;100.000;2193.736;2193.736;555.876;600.172;555.876;1.057;0.431;0.469;31.443;30.383;1.060;44.281;3.371;193.773;4.136;31.610;1.723;1.615;0;0;0;0;0;0;0;0
31;1;1;1;3108.256712;3108.451887;3108.453285;784392;143948;143948;0;0;1800;1800;2303168;2303220;100.000;1649.350;1649.350;552.773;596.824;552.773;1.394;0.484;0.528;34.889;33.492;1.398;37.792;4.007;195.175;5.692;34.552;1.218;1.590;0;0;0;0;0;0;0;0
