frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3107.256263;3107.258608;3107.272248;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;920.006;920.006;3011.115;3354.567;3011.115;13.623;2.762;2.964;13.640;0.000;13.640;21.734;100.000;2.345;13.640;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3107.289922;3107.293627;3107.307411;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;909.450;909.450;3008.289;3351.426;3008.289;13.781;2.826;3.025;35.163;21.379;13.784;21.949;39.201;3.704;15.469;35.019;1.685;0.105;0;0;0;0;0;0;0;0
3;1;1;1;3107.323620;3107.328632;3107.344327;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;795.696;795.696;2995.978;3337.713;2995.978;15.689;5.028;5.338;36.916;21.221;15.695;34.009;42.516;5.012;19.052;35.005;1.672;0.203;0;0;0;0;0;0;0;0
4;1;1;1;3107.359077;3107.363735;3107.378490;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;844.309;844.309;2989.323;3330.288;2989.323;14.748;3.526;3.777;34.163;19.408;14.755;25.600;43.189;4.658;19.882;35.103;1.770;0.301;0;0;0;0;0;0;0;0
5;1;1;1;3107.390764;3107.394408;3107.409791;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;807.861;807.861;2981.489;3321.578;2981.489;15.377;4.176;4.426;31.301;15.918;15.383;28.773;49.144;3.644;17.849;30.673;2.660;0.449;0;0;0;0;0;0;0;0
6;1;1;1;3107.424831;3107.429612;3107.445198;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;795.800;795.800;2975.599;3315.022;2975.599;15.580;4.663;4.984;35.408;19.821;15.586;31.979;44.020;4.781;19.924;35.204;1.871;0.537;0;0;0;0;0;0;0;0
7;1;1;1;3107.457623;3107.463613;3107.478732;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;821.396;821.396;2979.654;3319.532;2979.654;15.108;4.797;5.129;33.533;18.414;15.119;33.921;45.086;5.990;20.124;34.001;0.668;0.546;0;0;0;0;0;0;0;0
8;1;1;1;3107.490032;3107.494322;3107.513329;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;653.189;653.189;2977.788;3317.456;2977.788;19.001;5.662;5.963;34.597;15.590;19.007;31.371;54.938;4.290;21.388;30.709;2.624;0.676;0;0;0;0;0;0;0;0
9;1;1;1;3107.523326;3107.526358;3107.546531;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;615.384;615.384;2978.690;3318.463;2978.690;20.168;5.732;6.019;33.202;13.029;20.173;29.838;60.759;3.032;21.256;32.036;1.297;0.714;0;0;0;0;0;0;0;0
10;1;1;1;3107.556806;3107.559785;3107.580066;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;614.092;614.092;2987.606;3328.396;2987.606;20.277;5.842;6.131;33.535;13.254;20.281;30.231;60.476;2.980;21.458;33.428;0.094;0.676;0;0;0;0;0;0;0;0
11;1;1;1;3107.590084;3107.593216;3107.613822;778554;778554;778554;0;0;9732;9732;12456864;12456904;100.000;604.636;604.636;2989.657;3330.657;2989.657;20.602;6.137;6.424;33.756;13.150;20.606;31.177;61.045;3.132;21.881;33.431;0.097;0.639;0;0;0;0;0;0;0;0
12;1;1;1;3107.624270;3107.627892;3107.647530;779986;779986;779986;0;0;9750;9750;12479776;12479816;100.000;635.771;635.771;2995.156;3336.786;2995.156;19.632;5.713;6.004;33.708;14.070;19.638;30.571;58.260;3.622;22.256;34.676;1.343;0.683;0;0;0;0;0;0;0;0
13;1;1;1;3107.657162;3107.662615;3107.681595;780926;780926;780926;0;0;9762;9762;12494816;12494856;100.000;658.382;658.382;2998.765;3340.816;2998.765;18.972;5.597;5.913;34.064;15.084;18.980;31.153;55.718;5.452;22.987;34.723;1.390;0.728;0;0;0;0;0;0;0;0
14;1;1;1;3107.690312;3107.693751;3107.714214;782770;782770;782770;0;0;9785;9785;12524320;12524360;100.000;612.365;612.365;3005.846;3348.703;3005.846;20.454;5.848;6.153;32.619;12.157;20.462;30.072;62.732;3.439;22.272;31.136;2.197;0.819;0;0;0;0;0;0;0;0
15;1;1;1;3107.723756;3107.726890;3107.747711;784474;784474;784474;0;0;9806;9806;12551584;12551624;100.000;603.067;603.067;3012.390;3355.982;3012.390;20.816;6.130;6.440;33.497;12.677;20.820;30.931;62.156;3.135;22.436;33.139;0.194;0.780;0;0;0;0;0;0;0;0
16;1;1;1;3107.757123;3107.760316;3107.781479;785193;785193;785193;0;0;9815;9815;12563088;12563128;100.000;593.930;593.930;3015.151;3359.059;3015.151;21.148;6.094;6.386;33.768;12.605;21.163;30.176;62.672;3.193;22.871;33.426;0.092;0.737;0;0;0;0;0;0;0;0
17;1;1;1;3107.790679;3107.793731;3107.814336;782720;782720;782720;0;0;9784;9784;12523520;12523560;100.000;608.078;608.078;3005.654;3348.476;3005.654;20.600;5.470;5.753;32.856;12.252;20.604;27.919;62.711;3.052;22.394;33.415;0.082;0.696;0;0;0;0;0;0;0;0
18;1;1;1;3107.823419;3107.826420;3107.847343;781613;781613;781613;0;0;9771;9771;12505808;12505848;100.000;597.934;597.934;3001.404;3343.770;3001.404;20.918;5.778;6.086;33.007;12.085;20.923;29.088;63.388;3.001;22.068;32.689;0.644;0.693;0;0;0;0;0;0;0;0
19;1;1;1;3107.857269;3107.860311;3107.881618;780006;780006;780006;0;0;9751;9751;12480096;12480136;100.000;585.968;585.968;2995.233;3336.898;2995.233;21.304;5.799;6.088;34.275;12.968;21.307;28.572;62.165;3.042;23.010;33.891;0.557;0.685;0;0;0;0;0;0;0;0
20;1;1;1;3107.889625;3107.892638;3107.913181;780302;780302;780302;0;0;9754;9754;12484832;12484872;100.000;608.104;608.104;2996.369;3338.140;2996.369;20.540;5.633;5.912;31.563;11.019;20.544;28.778;65.088;3.012;21.240;32.326;1.007;0.705;0;0;0;0;0;0;0;0
21;1;1;1;3107.923343;3107.928167;3107.947167;779066;779066;779066;0;0;9739;9739;12465056;12465096;100.000;656.261;656.261;2991.623;3332.868;2991.623;18.991;5.495;5.796;33.986;14.985;19.000;30.507;55.907;4.823;21.892;35.529;2.196;0.798;0;0;0;0;0;0;0;0
22;1;1;1;3107.956740;3107.960264;3107.980665;778280;778280;778280;0;0;9729;9729;12452480;12452520;100.000;610.524;610.524;2988.605;3329.499;2988.605;20.392;5.847;6.150;33.498;13.097;20.401;30.144;60.903;3.524;22.057;32.097;1.236;0.825;0;0;0;0;0;0;0;0
23;1;1;1;3107.989990;3107.993237;3108.013325;778907;778907;778907;0;0;9737;9737;12462512;12462552;100.000;620.556;620.556;2991.012;3332.187;2991.012;20.082;5.750;6.065;32.660;12.572;20.088;30.192;61.507;3.247;21.383;32.973;0.361;0.796;0;0;0;0;0;0;0;0
24;1;1;1;3108.023433;3108.027221;3108.046854;779289;779289;779289;0;0;9742;9742;12468624;12468664;100.000;635.270;635.270;2992.479;3333.829;2992.479;19.625;5.621;5.931;33.529;13.896;19.633;30.207;58.555;3.788;21.579;33.984;0.651;0.787;0;0;0;0;0;0;0;0
25;1;1;1;3108.056765;3108.060718;3108.080638;779739;779739;779739;0;0;9747;9747;12475824;12475864;100.000;626.477;626.477;2994.207;3335.733;2994.207;19.914;5.669;5.977;33.784;13.864;19.920;30.004;58.964;3.953;22.030;33.497;0.164;0.748;0;0;0;0;0;0;0;0
26;1;1;1;3108.089913;3108.092925;3108.113267;779364;779364;779364;0;0;9743;9743;12469824;12469864;100.000;613.261;613.261;2992.767;3334.152;2992.767;20.337;5.847;6.142;32.629;12.286;20.342;30.196;62.345;3.012;21.326;32.207;1.126;0.772;0;0;0;0;0;0;0;0
27;1;1;1;3108.123456;3108.126992;3108.147054;780025;780025;780025;0;0;9751;9751;12480400;12480440;100.000;622.373;622.373;2995.306;3336.971;2995.306;20.055;5.772;6.084;33.787;13.725;20.062;30.325;59.377;3.536;21.779;34.067;0.734;0.770;0;0;0;0;0;0;0;0
28;1;1;1;3108.156750;3108.160324;3108.180539;780373;780373;780373;0;0;9755;9755;12485968;12486008;100.000;617.962;617.962;2996.642;3338.448;2996.642;20.197;5.731;6.038;33.485;13.270;20.215;29.870;60.370;3.574;21.931;33.332;0.001;0.722;0;0;0;0;0;0;0;0
29;1;1;1;3108.190095;3108.193396;3108.213688;781651;781651;781651;0;0;9771;9771;12506416;12506456;100.000;616.509;616.509;3001.549;3343.916;3001.549;20.285;5.842;6.144;33.149;12.857;20.292;30.279;61.214;3.301;21.746;33.072;0.262;0.693;0;0;0;0;0;0;0;0
30;1;1;1;3108.223563;3108.226750;3108.247169;781375;781375;781375;0;0;9768;9768;12502000;12502040;100.000;612.437;612.437;3000.490;3342.751;3000.490;20.413;5.953;6.259;33.481;13.062;20.419;30.655;60.986;3.187;21.894;33.354;0.021;0.651;0;0;0;0;0;0;0;0
31;1;1;1;3108.256712;3108.259970;3108.280773;784392;784392;784392;0;0;9805;9805;12550272;12550312;100.000;603.481;603.481;3012.075;3355.632;3012.075;20.797;5.700;6.014;33.605;12.801;20.804;28.909;61.907;3.258;22.165;33.220;0.113;0.617;0;0;0;0;0;0;0;0
32;1;1;1;3108.290035;3108.293074;3108.313397;782671;782671;782671;0;0;9784;9784;12522736;12522776;100.000;616.507;616.507;3005.466;3348.288;3005.466;20.301;5.851;6.146;32.624;12.301;20.323;30.243;62.294;3.039;21.456;33.105;0.229;0.593;0;0;0;0;0;0;0;0
33;1;1;1;3108.323545;3108.326676;3108.347530;776999;776999;776999;0;0;9713;9713;12431984;12432024;100.000;596.412;596.412;2983.686;3324.020;2983.686;20.847;5.706;5.998;34.132;13.279;20.853;28.761;61.095;3.131;22.255;33.602;0.269;0.573;0;0;0;0;0;0;0;0
34;1;1;1;3108.356549;3108.359416;3108.379456;778650;778650;778650;0;0;9734;9734;12458400;12458440;100.000;621.783;621.783;2990.026;3331.095;2990.026;20.035;5.579;5.868;31.927;11.887;20.040;29.282;62.769;2.867;20.848;32.740;0.594;0.574;0;0;0;0;0;0;0;0
35;1;1;1;3108.390127;3108.393516;3108.413721;778007;778007;778007;0;0;9726;9726;12448112;12448152;100.000;616.430;616.430;2987.556;3328.346;2987.556;20.199;5.715;6.018;34.265;14.059;20.205;29.783;58.968;3.389;21.780;34.099;0.766;0.586;0;0;0;0;0;0;0;0
36;1;1;1;3108.423431;3108.426543;3108.446832;776483;776483;776483;0;0;9707;9707;12423728;12423768;100.000;612.496;612.496;2981.704;3321.828;2981.704;20.283;5.561;5.861;33.111;12.822;20.289;28.890;61.276;3.112;21.557;33.027;0.306;0.568;0;0;0;0;0;0;0;0
37;1;1;1;3108.456645;3108.461978;3108.480979;781287;781287;781287;0;0;9767;9767;12500592;12500632;100.000;657.984;657.984;3000.152;3342.378;3000.152;18.993;5.907;6.219;34.147;15.146;19.001;32.732;55.646;5.333;22.371;35.435;2.101;0.664;0;0;0;0;0;0;0;0
38;1;1;1;3108.492432;3108.497639;3108.516316;780329;780329;780329;0;0;9755;9755;12485264;12485304;100.000;668.849;668.849;2996.473;3338.279;2996.473;18.670;4.942;5.222;35.337;16.660;18.677;27.959;52.853;5.207;24.375;35.662;2.328;0.768;0;0;0;0;0;0;0;0
39;1;1;1;3108.523289;3108.528925;3108.548656;780785;780785;780785;0;0;9760;9760;12492560;12492600;100.000;633.360;633.360;2998.224;3340.205;2998.224;19.724;5.766;6.080;32.340;12.609;19.731;30.816;61.012;5.636;23.381;31.286;2.048;0.848;0;0;0;0;0;0;0;0
40;1;1;1;3108.556548;3108.559686;3108.580164;785430;785430;785430;0;0;9818;9818;12566880;12566920;100.000;613.975;613.975;3016.061;3360.074;3016.061;20.472;6.064;6.373;31.508;11.030;20.478;31.121;64.994;3.138;21.556;30.761;2.572;0.956;0;0;0;0;0;0;0;0
41;1;1;1;3108.590093;3108.593767;3108.614456;789479;789479;789479;0;0;9869;9869;12631664;12631704;100.000;610.814;610.814;3031.609;3377.409;3031.609;20.682;6.046;6.357;34.291;13.603;20.688;30.729;60.331;3.675;22.514;34.082;0.748;0.943;0;0;0;0;0;0;0;0
42;1;1;1;3108.623885;3108.628063;3108.648745;789348;789348;789348;0;0;9867;9867;12629568;12629608;100.000;610.822;610.822;3031.106;3376.836;3031.106;20.676;6.176;6.479;34.290;13.607;20.683;31.326;60.317;4.177;23.471;34.295;0.962;0.944;0;0;0;0;0;0;0;0
43;1;1;1;3108.657479;3108.662446;3108.682162;792714;792714;792714;0;0;9909;9909;12683424;12683464;100.000;643.452;643.452;3044.031;3391.233;3044.031;19.708;5.857;6.167;33.417;13.701;19.716;31.281;59.000;4.967;23.554;34.384;1.050;0.951;0;0;0;0;0;0;0;0
44;1;1;1;3108.689889;3108.692829;3108.712755;790865;790865;790865;0;0;9886;9886;12653840;12653880;100.000;635.416;635.416;3036.931;3383.327;3036.931;19.921;5.632;5.925;30.593;10.666;19.927;29.733;65.135;2.940;20.814;30.382;2.951;1.076;0;0;0;0;0;0;0;0
45;1;1;1;3108.723622;3108.728664;3108.747479;787976;787976;787976;0;0;9850;9850;12607616;12607656;100.000;670.382;670.382;3025.837;3370.972;3025.837;18.809;6.015;6.324;34.724;15.909;18.815;33.610;54.184;5.043;22.205;35.836;2.503;1.165;0;0;0;0;0;0;0;0
46;1;1;1;3108.759292;3108.764567;3108.783212;789717;789717;789717;0;0;9872;9872;12635472;12635512;100.000;677.862;677.862;3032.523;3378.428;3032.523;18.636;5.303;5.576;35.732;17.088;18.645;29.905;52.179;5.275;24.604;35.903;2.569;1.253;0;0;0;0;0;0;0;0
47;1;1;1;3108.789512;3108.792488;3108.812930;784950;784950;784950;0;0;9812;9812;12559200;12559240;100.000;614.738;614.738;3014.218;3358.020;3014.218;20.437;5.424;5.704;29.718;9.277;20.442;27.903;68.785;2.976;20.989;27.921;5.412;1.513;0;0;0;0;0;0;0;0
48;1;1;1;3108.823262;3108.827303;3108.847703;781130;781130;781130;0;0;9765;9765;12498080;12498120;100.000;612.785;612.785;2999.549;3341.705;2999.549;20.376;6.064;6.367;34.772;14.373;20.399;31.212;58.665;4.042;22.428;34.815;1.482;1.511;0;0;0;0;0;0;0;0
49;1;1;1;3108.857581;3108.862835;3108.882207;780468;780468;780468;0;0;9756;9756;12487488;12487528;100.000;644.899;644.899;2997.007;3338.847;2997.007;19.364;5.776;6.098;34.505;15.132;19.373;31.479;56.145;5.254;23.599;35.531;2.198;1.554;0;0;0;0;0;0;0;0
