frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3107.256263;3107.447626;3107.448915;784142;146318;146318;1829;1829;2341088;2341140;100.000;1818.211;1818.211;561.874;603.123;561.874;1.286;0.686;0.737;1.289;0.000;1.289;57.170;100.000;191.363;1.289;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3107.289922;3107.484686;3107.500117;783406;144182;144182;1803;1803;2306912;2306964;100.000;149.619;149.619;553.671;594.335;553.671;15.427;14.730;14.775;51.202;35.771;15.431;95.746;30.137;194.764;19.158;37.060;3.727;0.233;0;0;0;0;0;0;0;0
3;1;1;1;3107.323620;3107.516276;3107.517767;780200;141754;141754;1772;1772;2268064;2268116;100.000;1525.719;1525.719;544.348;584.312;544.348;1.485;0.522;0.570;17.650;16.159;1.490;38.263;8.444;192.656;3.474;31.590;1.743;0.327;0;0;0;0;0;0;0;0
4;1;1;1;3107.359077;3107.552776;3107.553871;778467;139430;139430;1743;1743;2230880;2230932;100.000;2044.054;2044.054;535.424;574.733;535.424;1.091;0.638;0.687;36.105;35.009;1.096;62.652;3.035;193.699;6.246;36.499;3.166;0.505;0;0;0;0;0;0;0;0
5;1;1;1;3107.390764;3107.586321;3107.603739;776427;137802;137802;1723;1723;2204832;2204884;100.000;126.768;126.768;529.172;568.031;529.172;17.414;1.183;1.227;49.868;32.450;17.418;7.042;34.929;195.557;22.780;33.546;0.212;0.486;0;0;0;0;0;0;0;0
6;1;1;1;3107.424831;3107.631856;3107.634613;774893;137230;137230;1716;1716;2195680;2195732;100.000;801.720;801.720;526.976;565.676;526.976;2.748;2.043;2.083;30.874;28.117;2.757;75.534;8.930;207.025;20.321;45.535;12.202;1.219;0;0;0;0;0;0;0;0
7;1;1;1;3107.457623;3107.652688;3107.669318;775949;137590;137590;1720;1720;2201440;2201492;100.000;132.598;132.598;528.358;567.149;528.358;16.625;16.022;16.062;34.705;18.075;16.630;96.585;47.918;195.066;21.692;20.832;12.501;1.924;0;0;0;0;0;0;0;0
8;1;1;1;3107.490032;3107.680913;3107.681977;775463;137746;137746;1722;1722;2203936;2203988;100.000;2092.330;2092.330;528.957;567.793;528.957;1.060;0.688;0.739;12.659;11.594;1.064;69.482;8.406;190.881;1.018;28.224;5.109;2.123;0;0;0;0;0;0;0;0
9;1;1;1;3107.523326;3107.720097;3107.737874;775698;138024;138024;1726;1726;2208384;2208436;100.000;124.514;124.514;530.025;568.951;530.025;17.764;17.158;17.205;55.897;38.121;17.776;96.788;31.802;196.771;23.581;39.185;5.852;2.356;0;0;0;0;0;0;0;0
10;1;1;1;3107.556806;3107.754023;3107.772190;778020;138278;138278;1729;1729;2212448;2212500;100.000;121.790;121.790;531.000;569.994;531.000;18.163;17.479;17.523;34.316;16.149;18.167;96.454;52.940;197.217;24.564;33.925;0.592;2.246;0;0;0;0;0;0;0;0
11;1;1;1;3107.590084;3107.787958;3107.805879;778554;139114;139114;1739;1739;2225824;2225876;100.000;124.267;124.267;534.210;573.430;534.210;17.917;1.104;1.152;33.689;15.768;17.922;6.430;53.197;197.874;24.920;33.935;0.602;2.143;0;0;0;0;0;0;0;0
12;1;1;1;3107.624270;3107.819578;3107.837284;779986;140496;140496;1757;1757;2247936;2247988;100.000;127.209;127.209;539.517;579.143;539.517;17.703;1.067;1.114;31.405;13.698;17.707;6.290;56.382;195.308;22.992;31.620;1.713;2.116;0;0;0;0;0;0;0;0
13;1;1;1;3107.657162;3107.868944;3107.871604;780926;142868;142868;1786;1786;2285888;2285940;100.000;864.585;864.585;548.626;588.905;548.626;2.651;1.985;2.025;34.319;31.660;2.659;76.141;7.748;211.782;23.978;49.367;16.033;2.986;0;0;0;0;0;0;0;0
14;1;1;1;3107.690312;3107.885288;3107.886618;782770;144928;144928;1812;1812;2318848;2318900;100.000;1752.891;1752.891;556.536;597.402;556.536;1.326;0.594;0.643;15.014;13.684;1.330;48.328;8.860;194.975;5.659;16.343;16.990;3.861;0;0;0;0;0;0;0;0
