frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;3107.256263;3107.447680;3107.448933;784142;178911;159140;146318;146318;1829;2341088;100.000;1869.650;561.874;603.123;22.816;88.949;18.660;0.000;143.470;0.718;1.253;57.281;191.417;192.670;192.669;1.253;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;3107.289922;3107.489802;3107.500146;783406;169393;156499;144182;144182;1803;2306912;100.000;223.055;553.671;594.335;21.623;92.388;18.405;0.000;0.000;1.138;10.344;11.001;199.880;210.224;210.222;19.133;42.122;8.789;0.549;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;3107.323620;3107.520862;3107.525559;780200;164369;153953;141754;141754;1772;2268064;100.000;482.926;544.348;584.312;21.068;93.663;18.169;0.000;0.000;4.131;4.697;87.946;197.242;201.939;201.939;11.213;31.060;2.273;0.657;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;3107.359077;3107.555023;3107.560373;778467;160176;150044;139430;139430;1743;2230880;100.000;417.058;535.424;574.733;20.576;93.674;17.911;0.000;0.000;4.728;5.351;88.366;195.946;201.297;201.295;12.694;34.161;0.827;0.668;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;3107.390764;3107.591511;3107.607971;776427;157416;147596;137802;137802;1723;2204832;100.000;133.965;529.172;568.031;20.274;93.762;17.748;0.001;75.090;1.317;16.461;8.001;200.747;217.207;217.206;26.958;36.488;3.155;0.823;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;3107.424831;3107.638151;3107.647017;774893;155545;146606;137230;137230;1716;2195680;100.000;247.673;526.976;565.676;20.073;94.253;17.710;0.000;0.000;8.141;8.866;91.817;213.320;222.186;222.185;32.670;46.640;13.307;1.603;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;3107.457623;3107.653428;3107.671017;775949;155762;147503;137590;137590;1720;2201440;100.000;125.186;528.358;567.149;20.074;94.698;17.732;0.001;0.000;1.670;17.589;9.492;195.805;213.394;213.391;23.337;15.277;18.056;2.632;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;3107.490032;3107.682821;3107.686416;775463;154878;147295;137746;137746;1722;2203936;100.000;613.162;528.957;567.793;19.972;95.104;17.763;0.000;78.359;3.013;3.595;83.812;192.789;196.384;196.384;5.403;29.393;3.941;2.713;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;3107.523326;3107.720133;3107.743949;775698;154529;147441;138024;138024;1726;2208384;100.000;92.729;530.025;568.951;19.921;95.413;17.794;0.000;0.000;18.856;23.817;79.172;196.806;220.623;220.623;29.603;37.312;3.978;2.793;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;0.000000;0.000000;1.000000;3107.556806;3107.763851;3107.783536;778020;153994;146824;138278;138278;1729;2212448;100.000;112.401;531.000;569.994;19.793;95.344;17.773;0.000;66.867;13.554;19.686;68.854;207.045;226.731;226.729;35.857;43.718;10.385;3.267;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
