frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;2913.753569;2913.811025;2913.939672;784142;142316;146318;109;1829;142316;154960;100.000;5.237;5.699;561.874;603.123;37.190;178911;159140;146318;0.214;0.125;0.078;3.183;1.305;0.078;30.273;28.890;128.611;128.647;127.320;23.532;22.691;1.521;0.214;1.031;57.456;186.103;128.647;0.000;0.000;0.000;0.000;0.035;0.000;54;25.785;124.100;8;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;2913.787258;2913.838258;2913.974485;783406;28952;144182;22;1803;28952;31504;100.000;1530.079;1659.904;553.671;594.335;7.561;169393;156499;144182;0.213;0.124;0.078;2.376;1.191;0.068;39.298;38.029;113.462;136.227;135.014;28.847;28.167;1.627;0.225;0.109;51.000;187.227;130.126;27.233;6.101;0.381;0.000;22.765;0.000;28;35.731;109.872;1;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;2913.822943;2913.879741;2914.017100;780200;22936;141754;18;1772;22936;25024;100.000;0.852;0.926;544.348;584.312;6.006;164369;153953;141754;0.224;0.125;0.076;4.735;1.385;0.344;46.181;44.720;137.317;137.359;135.954;33.620;32.893;1.598;1.202;1.510;56.798;194.157;139.408;41.483;8.150;0.867;0.000;0.041;0.000;15;40.060;131.176;4;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;2913.855668;2913.906800;2914.049668;778467;22748;139430;18;1743;22748;24836;100.000;0.671;0.730;535.424;574.733;5.961;160176;150044;139430;0.366;0.125;0.078;3.150;0.912;0.053;38.685;37.695;142.341;142.868;141.936;27.078;26.558;1.396;0.184;1.001;51.132;194.000;138.643;27.059;6.274;1.205;0.000;0.528;0.000;17;34.624;138.258;2;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;2913.887390;2913.940882;2914.085749;776427;22184;137802;17;1723;22184;24156;100.000;0.539;0.585;529.172;568.031;5.797;157416;147596;137802;0.200;0.115;0.071;2.043;1.661;0.498;40.131;38.399;142.320;144.867;143.177;27.702;26.819;1.391;0.182;0.084;53.492;198.360;141.391;34.082;0.749;1.176;0.000;2.548;0.000;17;36.427;138.586;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;2913.924054;2913.982233;2914.114875;774893;24628;137230;19;1716;24628;26832;100.000;0.724;0.786;526.976;565.676;6.440;155545;146606;137230;0.214;0.119;0.073;2.247;1.445;0.090;32.832;31.314;132.604;132.643;131.173;24.752;23.872;1.436;0.309;0.097;58.179;190.821;137.183;41.351;8.018;1.604;0.000;0.039;0.000;18;29.140;128.886;2;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;2913.956094;2914.016364;2914.143858;775949;24816;137590;19;1720;24816;27020;100.000;0.774;0.839;528.358;567.149;6.485;155762;147503;137590;0.196;0.115;0.070;2.181;1.656;0.412;32.676;30.951;127.447;127.494;125.818;25.630;24.600;1.537;0.181;0.082;60.270;187.764;132.833;34.131;0.798;1.553;0.000;0.046;0.000;18;28.839;123.589;2;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;2913.987345;2914.048587;2914.183727;775463;26320;137746;20;1722;26320;28640;100.000;773.534;838.913;528.957;567.793;6.874;154878;147295;137746;0.252;0.118;0.073;3.022;1.001;0.058;43.704;42.630;135.113;135.140;134.119;32.340;31.785;1.368;0.181;1.031;61.243;196.382;139.368;32.223;1.110;1.526;0.000;0.027;0.000;10;39.681;131.069;3;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;2914.020690;2914.076836;2914.215666;775698;26320;138024;20;1726;26320;28640;100.000;0.757;0.821;530.025;568.951;6.874;154529;147441;138024;0.197;0.110;0.069;2.467;1.041;0.061;35.942;34.833;138.802;138.830;137.762;25.889;25.285;1.722;0.266;0.104;56.146;194.976;137.974;28.249;5.084;1.748;0.000;0.027;0.000;8;32.434;135.256;5;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;2914.053985;2914.111753;2914.251399;778020;25380;138278;20;1729;25380;27700;100.000;0.660;0.718;531.000;569.994;6.648;153994;146824;138278;0.184;0.105;0.065;2.452;1.448;0.428;39.248;37.736;139.625;139.646;138.181;28.105;27.309;1.847;0.182;0.069;57.769;197.415;140.374;34.917;1.584;1.738;0.000;0.021;0.001;15;35.348;135.706;3;0;0;0;0;0;0;0
