frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3366.725032;3366.727225;3366.741034;784142;784142;784142;9802;9802;12546272;12546312;100.000;1377.312;1377.312;3011.115;3382.797;3011.115;13.794;0.747;9.524;5.682;2.622;13.810;0.000;13.810;68.969;100.000;2.193;13.810;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3366.758706;3366.762427;3366.776338;783406;783406;783406;9793;9793;12534496;12534536;100.000;1351.201;1351.201;3008.289;3379.630;3008.289;13.895;0.864;9.537;5.578;2.614;35.304;21.393;13.911;68.553;39.404;3.722;15.781;35.203;1.869;0.117;0;0;0;0;0;0;0;0
3;1;1;1;3366.791888;3366.795680;3366.814718;780200;780200;780200;9753;9753;12483200;12483240;100.000;876.911;876.911;2995.978;3365.802;2995.978;19.022;1.978;11.549;6.082;2.784;38.379;19.341;19.038;60.665;49.604;3.792;20.827;33.253;0.081;0.115;0;0;0;0;0;0;0;0
4;1;1;1;3366.826496;3366.830075;3366.846559;778467;778467;778467;9731;9731;12455472;12455512;100.000;1171.828;1171.828;2989.323;3358.313;2989.323;16.468;1.026;11.024;7.000;2.400;31.842;15.357;16.484;66.875;51.769;3.580;19.335;34.395;1.062;0.174;0;0;0;0;0;0;0;0
5;1;1;1;3366.859097;3366.861883;3366.876659;776427;776427;776427;9706;9706;12422832;12422872;100.000;1343.044;1343.044;2981.489;3349.531;2981.489;14.759;0.862;10.463;6.608;2.502;30.099;15.324;14.775;70.816;49.088;2.787;16.101;31.808;1.525;0.258;0;0;0;0;0;0;0;0
6;1;1;1;3366.892011;3366.894604;3366.908974;774893;774893;774893;9687;9687;12398288;12398328;100.000;1321.280;1321.280;2975.599;3342.920;2975.599;14.355;1.142;9.956;5.651;2.670;32.316;17.945;14.370;69.280;44.469;2.593;15.083;32.720;0.613;0.280;0;0;0;0;0;0;0;0
7;1;1;1;3366.925117;3366.928115;3366.942388;775949;775949;775949;9700;9700;12415184;12415224;100.000;1261.850;1261.850;2979.654;3347.468;2979.654;14.256;0.924;9.395;5.499;2.415;33.414;19.141;14.273;65.824;42.715;2.998;15.164;33.512;0.178;0.274;0;0;0;0;0;0;0;0
8;1;1;1;3366.959173;3366.962339;3366.977190;775463;775463;775463;9694;9694;12407408;12407448;100.000;1253.495;1253.495;2977.788;3345.374;2977.788;14.828;1.214;10.219;5.993;2.514;34.802;19.951;14.851;68.807;42.673;3.166;16.632;34.224;0.890;0.313;0;0;0;0;0;0;0;0
9;1;1;1;3366.992421;3366.995419;3367.010941;775698;775698;775698;9697;9697;12411168;12411208;100.000;1210.780;1210.780;2978.690;3346.391;2978.690;15.505;0.901;10.129;5.833;2.810;33.751;18.229;15.522;65.257;45.989;2.998;17.050;33.080;0.253;0.309;0;0;0;0;0;0;0;0
10;1;1;1;3367.025946;3367.028628;3367.042320;778020;778020;778020;9726;9726;12448320;12448360;100.000;1340.061;1340.061;2987.606;3356.407;2987.606;13.676;0.857;9.279;5.526;2.404;31.379;17.687;13.692;67.771;43.635;2.682;15.096;33.208;0.125;0.297;0;0;0;0;0;0;0;0
11;1;1;1;3367.059179;3367.062531;3367.080070;778554;778554;778554;9732;9732;12456864;12456904;100.000;1047.432;1047.432;2989.657;3358.685;2989.657;17.523;1.493;11.340;6.703;2.525;37.750;20.211;17.539;64.655;46.462;3.352;19.512;33.903;0.570;0.314;0;0;0;0;0;0;0;0
12;1;1;1;3367.092588;3367.095982;3367.111544;779986;779986;779986;9750;9750;12479776;12479816;100.000;1172.430;1172.430;2995.156;3364.866;2995.156;15.545;1.201;10.132;5.863;2.490;31.474;15.911;15.563;65.102;49.446;3.394;17.653;33.451;0.117;0.302;0;0;0;0;0;0;0;0
13;1;1;1;3367.126540;3367.129830;3367.143671;780926;780926;780926;9762;9762;12494816;12494856;100.000;1331.449;1331.449;2998.765;3368.931;2998.765;13.825;0.859;9.368;5.585;2.427;32.127;18.286;13.841;67.683;43.083;3.290;16.447;33.849;0.515;0.315;0;0;0;0;0;0;0;0
14;1;1;1;3367.160412;3367.163859;3367.179638;782770;782770;782770;9785;9785;12524320;12524360;100.000;1172.063;1172.063;3005.846;3376.884;3005.846;15.764;1.095;10.365;6.156;2.530;35.967;20.188;15.779;65.690;43.871;3.447;19.081;34.029;0.696;0.339;0;0;0;0;0;0;0;0
15;1;1;1;3367.192446;3367.195730;3367.212153;784474;784474;784474;9806;9806;12551584;12551624;100.000;1109.540;1109.540;3012.390;3384.224;3012.390;16.406;1.612;10.762;6.052;2.498;32.515;16.091;16.423;65.530;50.510;3.284;18.262;31.870;1.463;0.409;0;0;0;0;0;0;0;0
16;1;1;1;3367.226885;3367.230413;3367.245477;785193;785193;785193;9815;9815;12563088;12563128;100.000;1219.107;1219.107;3015.151;3387.326;3015.151;15.048;0.934;9.820;5.892;2.423;33.324;18.260;15.064;65.191;45.204;3.528;18.252;34.683;1.350;0.468;0;0;0;0;0;0;0;0
17;1;1;1;3367.259900;3367.263198;3367.278218;782720;782720;782720;9784;9784;12523520;12523560;100.000;1292.107;1292.107;3005.654;3376.654;3005.654;14.991;0.869;10.318;6.374;2.536;32.741;17.721;15.020;68.692;45.875;3.298;17.660;32.785;0.548;0.473;0;0;0;0;0;0;0;0
18;1;1;1;3367.292608;3367.295908;3367.313159;781613;781613;781613;9771;9771;12505808;12505848;100.000;1005.765;1005.765;3001.404;3371.910;3001.404;17.235;1.820;10.784;5.587;2.703;34.941;17.690;17.251;62.513;49.371;3.301;19.268;32.710;0.623;0.483;0;0;0;0;0;0;0;0
19;1;1;1;3367.326322;3367.329753;3367.343321;780006;780006;780006;9751;9751;12480096;12480136;100.000;1364.252;1364.252;2995.233;3364.981;2995.233;13.552;0.898;9.379;5.588;2.411;30.162;16.594;13.568;69.123;44.984;3.430;16.096;33.844;0.511;0.484;0;0;0;0;0;0;0;0
20;1;1;1;3367.360359;3367.363729;3367.381197;780302;780302;780302;9754;9754;12484832;12484872;100.000;1115.543;1115.543;2996.369;3366.231;2996.369;17.452;1.540;11.989;7.341;2.522;37.876;20.408;17.468;68.636;46.118;3.370;20.639;33.976;0.643;0.494;0;0;0;0;0;0;0;0
21;1;1;1;3367.392916;3367.396155;3367.413042;779066;779066;779066;9739;9739;12465056;12465096;100.000;1071.166;1071.166;2991.623;3360.916;2991.623;16.870;0.966;10.290;5.811;2.883;31.846;14.959;16.887;60.933;53.027;3.239;19.151;32.427;0.907;0.520;0;0;0;0;0;0;0;0
22;1;1;1;3367.427108;3367.429933;3367.443794;778280;778280;778280;9729;9729;12452480;12452520;100.000;1338.930;1338.930;2988.605;3357.519;2988.605;13.845;0.865;9.487;5.716;2.420;30.751;16.891;13.861;68.447;45.074;2.825;16.569;33.777;0.444;0.515;0;0;0;0;0;0;0;0
23;1;1;1;3367.460339;3367.463454;3367.479519;778907;778907;778907;9737;9737;12462512;12462552;100.000;1157.287;1157.287;2991.012;3360.230;2991.012;16.049;1.467;10.897;6.355;2.516;35.725;19.660;16.065;67.831;44.969;3.115;18.961;33.521;0.187;0.495;0;0;0;0;0;0;0;0
24;1;1;1;3367.492389;3367.495708;3367.511555;779289;779289;779289;9742;9742;12468624;12468664;100.000;1153.955;1153.955;2992.479;3361.886;2992.479;15.816;1.205;10.247;5.753;2.685;32.036;16.189;15.847;64.661;49.466;3.319;17.664;32.254;1.079;0.531;0;0;0;0;0;0;0;0
25;1;1;1;3367.526162;3367.529470;3367.543300;779739;779739;779739;9747;9747;12475824;12475864;100.000;1326.177;1326.177;2994.207;3363.804;2994.207;13.814;0.912;9.385;5.553;2.412;31.745;17.915;13.830;67.856;43.566;3.308;16.075;33.762;0.429;0.525;0;0;0;0;0;0;0;0
26;1;1;1;3367.559502;3367.562991;3367.579384;779364;779364;779364;9743;9743;12469824;12469864;100.000;1273.996;1273.996;2992.767;3362.212;2992.767;16.377;1.711;11.642;6.881;2.514;36.085;19.691;16.393;71.019;45.431;3.489;18.827;33.521;0.188;0.504;0;0;0;0;0;0;0;0
27;1;1;1;3367.592456;3367.595769;3367.611616;780025;780025;780025;9751;9751;12480400;12480440;100.000;1192.812;1192.812;2995.306;3365.054;2995.306;15.830;1.172;10.553;6.037;2.779;32.232;16.385;15.847;66.593;49.167;3.313;17.725;32.778;0.555;0.507;0;0;0;0;0;0;0;0
28;1;1;1;3367.625657;3367.628461;3367.642485;780373;780373;780373;9755;9755;12485968;12486008;100.000;1312.131;1312.131;2996.642;3366.542;2996.642;14.009;0.936;9.505;5.592;2.458;30.869;16.844;14.025;67.771;45.433;2.804;15.261;32.692;0.642;0.515;0;0;0;0;0;0;0;0
29;1;1;1;3367.659195;3367.662297;3367.679244;781651;781651;781651;9771;9771;12506416;12506456;100.000;1208.636;1208.636;3001.549;3372.056;3001.549;16.931;1.339;12.073;7.631;2.525;36.759;19.812;16.947;71.240;46.103;3.102;18.686;33.836;0.503;0.515;0;0;0;0;0;0;0;0
30;1;1;1;3367.692568;3367.696105;3367.712122;781375;781375;781375;9768;9768;12502000;12502040;100.000;1151.797;1151.797;3000.490;3370.883;3000.490;16.001;1.204;10.421;5.840;2.769;32.878;16.861;16.017;65.061;48.717;3.537;18.231;33.808;0.475;0.512;0;0;0;0;0;0;0;0
31;1;1;1;3367.725364;3367.728050;3367.742262;784392;784392;784392;9805;9805;12550272;12550312;100.000;1295.130;1295.130;3012.075;3383.871;3012.075;14.196;0.984;9.570;5.631;2.443;30.140;15.927;14.212;67.334;47.155;2.686;15.037;31.945;1.389;0.567;0;0;0;0;0;0;0;0
32;1;1;1;3367.759069;3367.762352;3367.781164;782671;782671;782671;9784;9784;12522736;12522776;100.000;1082.913;1082.913;3005.466;3376.466;3005.466;18.795;1.567;13.065;7.585;3.297;38.902;20.090;18.812;69.452;48.357;3.284;20.606;34.303;0.969;0.592;0;0;0;0;0;0;0;0
33;1;1;1;3367.792274;3367.795626;3367.811663;776999;776999;776999;9713;9713;12431984;12432024;100.000;1149.054;1149.054;2983.686;3351.993;2983.686;16.021;1.170;10.403;5.857;2.793;30.499;14.462;16.037;64.867;52.582;3.353;17.772;33.274;0.059;0.559;0;0;0;0;0;0;0;0
34;1;1;1;3367.825274;3367.827976;3367.842096;778650;778650;778650;9734;9734;12458400;12458440;100.000;1306.472;1306.472;2990.026;3359.129;2990.026;14.105;1.235;9.837;5.678;2.410;30.433;16.313;14.121;69.663;46.398;2.702;14.872;32.350;0.984;0.585;0;0;0;0;0;0;0;0
35;1;1;1;3367.859041;3367.862251;3367.879397;778007;778007;778007;9726;9726;12448112;12448152;100.000;1231.660;1231.660;2987.556;3356.357;2987.556;17.129;1.030;12.199;7.991;2.631;37.300;20.155;17.145;71.149;45.966;3.211;18.839;34.275;0.942;0.608;0;0;0;0;0;0;0;0
36;1;1;1;3367.892365;3367.895743;3367.912204;776483;776483;776483;9707;9707;12423728;12423768;100.000;1084.115;1084.115;2981.704;3349.784;2981.704;16.447;1.288;10.426;5.800;2.702;32.807;16.347;16.461;63.339;50.174;3.378;18.312;33.492;0.159;0.580;0;0;0;0;0;0;0;0
37;1;1;1;3367.925065;3367.927747;3367.942377;781287;781287;781287;9767;9767;12500592;12500632;100.000;1269.740;1269.740;3000.152;3370.507;3000.152;14.614;1.270;10.102;5.896;2.423;30.173;15.543;14.630;69.048;48.487;2.682;15.152;32.003;1.330;0.626;0;0;0;0;0;0;0;0
38;1;1;1;3367.959166;3367.962241;3367.979437;780329;780329;780329;9755;9755;12485264;12485304;100.000;1261.312;1261.312;2996.473;3366.373;2996.473;17.180;0.981;12.431;8.118;2.800;37.061;19.864;17.196;72.289;46.401;3.074;18.879;34.494;1.161;0.660;0;0;0;0;0;0;0;0
39;1;1;1;3367.992337;3367.995578;3368.012243;780785;780785;780785;9760;9760;12492560;12492600;100.000;1077.971;1077.971;2998.224;3368.314;2998.224;16.642;1.256;10.586;5.830;2.820;32.806;16.141;16.665;63.522;50.798;3.241;18.352;33.338;0.004;0.619;0;0;0;0;0;0;0;0
40;1;1;1;3368.025360;3368.028098;3368.042753;785430;785430;785430;9818;9818;12566880;12566920;100.000;1276.033;1276.033;3016.061;3388.350;3016.061;14.638;1.301;10.175;5.925;2.434;30.510;15.855;14.655;69.433;48.033;2.738;15.529;32.520;0.813;0.631;0;0;0;0;0;0;0;0
41;1;1;1;3368.059348;3368.062150;3368.079465;789479;789479;789479;9869;9869;12631664;12631704;100.000;1269.772;1269.772;3031.609;3405.832;3031.609;17.300;0.989;12.576;8.133;2.912;36.712;19.397;17.316;72.626;47.166;2.801;18.907;34.051;0.718;0.636;0;0;0;0;0;0;0;0
42;1;1;1;3368.092323;3368.095583;3368.113190;789348;789348;789348;9867;9867;12629568;12629608;100.000;1007.628;1007.628;3031.106;3405.253;3031.106;17.592;1.816;11.220;5.929;2.783;33.725;16.118;17.607;63.728;52.207;3.261;19.299;33.434;0.100;0.603;0;0;0;0;0;0;0;0
43;1;1;1;3368.125307;3368.128210;3368.142860;792714;792714;792714;9909;9909;12683424;12683464;100.000;1295.672;1295.672;3044.031;3419.771;3044.031;14.635;1.061;10.062;5.991;2.482;29.670;15.019;14.651;68.681;49.378;2.902;15.636;32.626;0.707;0.609;0;0;0;0;0;0;0;0
44;1;1;1;3368.158991;3368.162365;3368.180105;790865;790865;790865;9886;9886;12653840;12653880;100.000;1273.880;1273.880;3036.931;3411.799;3036.931;17.724;1.689;13.002;8.080;2.695;37.245;19.505;17.740;73.294;47.631;3.374;19.547;34.155;0.822;0.623;0;0;0;0;0;0;0;0
45;1;1;1;3368.192207;3368.195577;3368.212616;787976;787976;787976;9850;9850;12607616;12607656;100.000;1082.162;1082.162;3025.837;3399.340;3025.837;17.024;1.219;10.916;5.959;3.083;32.511;15.471;17.039;64.062;52.411;3.369;18.725;33.212;0.122;0.591;0;0;0;0;0;0;0;0
46;1;1;1;3368.225710;3368.228411;3368.242984;789717;789717;789717;9872;9872;12635472;12635512;100.000;1327.227;1327.227;3032.523;3406.860;3032.523;14.557;0.959;10.110;6.194;2.437;30.368;15.795;14.573;69.378;47.987;2.701;15.759;32.835;0.499;0.586;0;0;0;0;0;0;0;0
