frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;3366.725032;3366.784289;3366.785209;784142;0;0;142128;142128;108;108;142128;142216;100.000;155.295;155.295;34.132;37.480;34.132;0.911;0.022;0.025;0.920;0.000;0.920;2.672;100.000;59.258;0.920;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;3366.758706;3366.827325;3366.827344;783406;0;0;28952;28952;22;22;28952;29040;100.000;6518.949;6518.949;6.970;7.635;6.970;0.014;0.014;0.015;42.135;42.116;0.020;77.495;0.047;68.619;9.721;43.035;9.702;0.606;0;0;0;0;0;0;0;0
3;1;1;1;3366.791888;3366.867380;3366.896414;780200;0;0;22936;22936;18;18;22936;23024;100.000;0.793;0.793;5.526;6.066;5.526;29.032;0.007;0.008;69.070;40.036;29.034;0.029;42.036;75.492;45.458;40.056;6.722;0.989;0;0;0;0;0;0;0;0
4;1;1;1;3366.826496;3366.896460;3366.934535;778467;0;0;22748;22748;18;18;22748;22836;100.000;0.600;0.600;5.481;6.021;5.481;38.025;0.009;0.010;38.120;0.046;38.074;0.026;99.879;69.965;50.245;29.080;4.253;1.193;0;0;0;0;0;0;0;0
5;1;1;1;3366.859097;3366.934590;3366.934650;776427;0;0;22372;22372;17;17;22372;22460;100.000;7163.602;7163.602;5.390;5.900;5.390;0.006;0.006;0.006;0.115;0.055;0.060;10.087;52.359;75.493;17.028;38.129;4.796;1.418;0;0;0;0;0;0;0;0
6;1;1;1;3366.892011;3366.969648;3366.998075;774893;0;0;24252;24252;19;19;24252;24340;100.000;0.859;0.859;5.842;6.413;5.842;28.424;0.008;0.010;63.425;34.997;28.427;0.034;44.820;77.637;47.119;35.058;1.725;1.437;0;0;0;0;0;0;0;0
7;1;1;1;3366.925117;3366.998073;3367.036704;775949;0;0;24628;24628;19;19;24628;24716;100.000;0.640;0.640;5.932;6.504;5.932;37.730;0.011;0.013;38.629;0.000;38.631;0.033;100.004;72.956;52.415;28.426;4.908;1.654;0;0;0;0;0;0;0;0
8;1;1;1;3366.959173;3367.036767;3367.070946;775463;0;0;26508;26508;21;21;26508;26596;100.000;0.779;0.779;6.383;7.017;6.383;34.177;0.008;0.009;34.242;0.062;34.180;0.027;99.818;77.594;53.324;38.693;5.360;1.886;0;0;0;0;0;0;0;0
9;1;1;1;3366.992421;3367.070945;3367.099885;775698;0;0;26320;26320;20;20;26320;26408;100.000;0.916;0.916;6.338;6.941;6.338;28.593;0.008;0.010;28.939;0.000;28.940;0.033;100.004;78.524;48.929;34.179;0.845;1.821;0;0;0;0;0;0;0;0
10;1;1;1;3367.025946;3367.099883;3367.137854;778020;0;0;25568;25568;20;20;25568;25656;100.000;0.676;0.676;6.157;6.760;6.157;36.094;0.013;0.015;37.968;0.000;37.970;0.040;100.005;73.938;53.564;28.938;4.395;1.981;0;0;0;0;0;0;0;0
11;1;1;1;3367.059179;3367.137888;3367.172103;778554;0;0;23876;23876;19;19;23876;23964;100.000;0.700;0.700;5.751;6.323;5.751;34.187;0.008;0.009;34.249;0.034;34.215;0.026;99.901;78.709;54.480;38.004;4.671;2.150;0;0;0;0;0;0;0;0
12;1;1;1;3367.092588;3367.172136;3367.199889;779986;0;0;25756;25756;20;20;25756;25844;100.000;0.935;0.935;6.203;6.805;6.203;27.716;0.008;0.010;27.786;0.033;27.753;0.036;99.880;79.548;48.933;34.248;0.915;2.072;0;0;0;0;0;0;0;0
13;1;1;1;3367.126540;3367.199887;3367.237249;780926;0;0;26132;26132;20;20;26132;26220;100.000;0.702;0.702;6.293;6.896;6.293;34.690;0.009;0.010;37.360;0.000;37.362;0.028;100.005;73.347;52.960;27.751;5.582;2.292;0;0;0;0;0;0;0;0
