frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;2622.445918;2622.448016;0.000;784142;9802;12546272;12546272;2294.786;2294.786;3011.115;3204.009;3011.115;130.153;2.098;5.467;1.306;137.718;137.718;100.000;98.477;1900;0;1900;60052;0
2;1;1;1;0;0.000;2622.579142;2622.581253;133.237;783406;9793;12534496;12534496;2164.143;2164.143;3008.289;3201.005;3008.289;125.657;2.111;5.792;1.785;133.560;133.560;100.000;98.419;1742;0;1742;54659;0
3;1;1;1;0;0.000;2622.702878;2622.704973;123.719;780200;9753;12483200;12483200;2107.458;2107.458;2995.978;3187.907;2995.978;115.832;2.095;5.923;1.795;123.850;123.850;100.000;98.309;1951;0;1951;62264;0
4;1;1;1;0;0.000;2622.827700;2622.830005;125.032;778467;9731;12455472;12455472;2183.719;2183.719;2989.323;3180.819;2989.323;116.803;2.304;5.704;1.766;124.811;124.812;100.000;98.153;1632;0;1632;51267;0
5;1;1;1;0;0.000;2622.960760;2622.962870;132.865;776427;9706;12422832;12422832;2129.719;2129.719;2981.489;3172.494;2981.489;125.051;2.110;5.833;1.760;132.993;132.994;100.000;98.414;1734;0;1734;54850;0
6;1;1;1;0;0.000;2623.088219;2623.090341;127.472;774893;9687;12398288;12398288;2038.548;2038.548;2975.599;3166.229;2975.599;119.515;2.123;6.082;1.815;127.719;127.720;100.000;98.338;1886;0;1886;60136;0
7;1;1;1;0;0.000;2623.210300;2623.212413;122.071;775949;9700;12415184;12415184;2120.287;2120.287;2979.654;3170.540;2979.654;113.876;2.111;5.855;1.768;121.843;121.844;99.999;98.266;1616;0;1616;50844;0
8;1;1;1;0;0.000;2623.335171;2623.337329;124.916;775463;9694;12407408;12407408;1921.301;1921.301;2977.788;3168.556;2977.788;116.902;2.157;6.458;1.898;125.516;125.517;99.999;98.281;1322;0;1322;42260;0
9;1;1;1;0;0.000;2623.455137;2623.457262;119.933;775698;9697;12411168;12411168;2120.820;2120.820;2978.690;3169.517;2978.690;111.350;2.125;5.852;1.794;119.326;119.327;100.000;98.219;1550;0;1550;48577;0
10;1;1;1;0;0.000;2623.577032;2623.579233;121.971;778020;9726;12448320;12448320;2146.063;2146.063;2987.606;3179.004;2987.606;113.905;2.201;5.801;1.839;121.906;121.906;100.000;98.195;1912;0;1912;61138;0
11;1;1;1;0;0.000;2623.697201;2623.699379;120.146;778554;9732;12456864;12456864;1990.963;1990.963;2989.657;3181.173;2989.657;112.167;2.178;6.257;1.891;120.601;120.602;100.000;98.194;1658;0;1658;52132;0
12;1;1;1;0;0.000;2623.820591;2623.822757;123.378;779986;9750;12479776;12479776;1946.510;1946.510;2995.156;3187.026;2995.156;114.954;2.166;6.411;1.959;123.531;123.532;100.000;98.246;1091;0;1091;34662;0
13;1;1;1;0;0.000;2623.951332;2623.953658;130.900;780926;9762;12494816;12494816;2103.639;2103.639;2998.765;3190.872;2998.765;122.162;2.326;5.940;1.832;130.427;130.428;100.000;98.217;1714;0;1714;53828;0
14;1;1;1;0;0.000;2624.081009;2624.083164;129.506;782770;9785;12524320;12524320;1913.611;1913.611;3005.846;3198.406;3005.846;121.410;2.155;6.545;2.224;130.110;130.110;100.000;98.344;1833;0;1833;58495;0
15;1;1;1;0;0.000;2624.213710;2624.215855;132.691;784474;9806;12551584;12551584;2122.471;2122.471;3012.390;3205.362;3012.390;124.000;2.144;5.914;1.856;132.059;132.059;100.000;98.376;1722;0;1722;54564;0
16;1;1;1;0;0.000;2624.339405;2624.341568;125.713;785193;9815;12563088;12563088;2033.886;2033.886;3015.151;3208.300;3015.151;117.636;2.163;6.177;1.943;125.976;125.976;100.000;98.283;2023;0;2023;64511;0
17;1;1;1;0;0.000;2624.458559;2624.460722;119.154;782720;9784;12523520;12523520;2104.732;2104.732;3005.654;3198.194;3005.654;110.813;2.162;5.950;1.848;118.926;118.927;100.000;98.181;1477;0;1477;47080;0
18;1;1;1;0;0.000;2624.587295;2624.589506;128.785;781613;9771;12505808;12505808;2097.086;2097.086;3001.404;3193.687;3001.404;120.622;2.211;5.963;1.917;128.797;128.797;100.000;98.283;1646;0;1646;52042;0
19;1;1;1;0;0.000;2624.711550;2624.713703;124.197;780006;9751;12480096;12480096;1954.970;1954.970;2995.233;3187.123;2995.233;116.079;2.153;6.384;1.918;124.616;124.616;100.000;98.272;1826;0;1826;58207;0
20;1;1;1;0;0.000;2624.834006;2624.836227;122.524;780302;9754;12484832;12484832;1961.825;1961.825;2996.369;3188.318;2996.369;113.918;2.221;6.364;1.963;122.503;122.503;100.000;98.187;1079;0;1079;34384;0
21;1;1;1;0;0.000;2624.955531;2624.957720;121.493;779066;9739;12465056;12465056;2051.916;2051.916;2991.623;3183.277;2991.623;112.939;2.188;6.075;1.895;121.203;121.203;100.000;98.194;2010;0;2010;63795;0
22;1;1;1;0;0.000;2625.081574;2625.083703;125.983;778280;9729;12452480;12452480;2112.830;2112.830;2988.605;3180.062;2988.605;117.779;2.129;5.894;1.793;125.801;125.801;100.000;98.308;1304;0;1304;40705;0
