frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;2622.445918;2622.493368;2622.893124;784142;142128;146318;108;1829;142128;154656;100.000;145.109;157.802;561.874;603.123;37.117;178911;159140;146318;0.182;0.105;0.065;2.985;1.040;0.070;121.755;120.651;399.725;399.756;398.698;30.457;30.261;1.407;0.192;1.035;47.449;447.206;399.756;0.000;0.000;0.000;0.000;0.031;0.000;60;117.730;395.680;8;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;2622.579142;2622.628630;2623.032883;783406;28952;144182;22;1803;28952;31504;100.000;689.228;747.708;553.671;594.335;7.561;169393;156499;144182;0.177;0.103;0.065;2.109;1.159;0.063;143.780;142.556;404.230;404.253;403.073;35.567;35.367;1.498;0.189;0.078;49.488;453.741;506.182;135.262;101.929;6.371;0.000;0.023;0.000;11;140.512;400.939;2;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;2622.702878;2622.752896;2623.161493;780200;22936;141754;18;1772;22936;25024;100.000;0.195;0.212;544.348;584.312;6.006;164369;153953;141754;0.178;0.103;0.065;1.982;1.393;0.420;131.876;130.419;408.570;408.596;407.184;32.275;32.029;1.376;0.187;0.074;50.018;458.615;601.458;124.266;90.933;11.656;0.000;0.026;0.000;12;128.501;405.174;3;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;2622.827700;2622.871167;2623.275601;778467;22748;139430;18;1743;22748;24836;100.000;0.164;0.178;535.424;574.733;5.961;160176;150044;139430;0.184;0.103;0.063;1.978;1.108;0.059;117.483;116.312;404.405;404.435;403.310;29.049;28.839;1.379;0.184;0.065;43.466;447.901;682.233;118.270;84.937;16.236;0.000;0.029;0.001;14;114.397;401.301;4;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;2622.960760;2623.010758;2623.407888;776427;21996;137802;17;1723;21996;23968;100.000;0.172;0.187;529.172;568.031;5.752;157416;147596;137802;0.175;0.104;0.063;1.968;1.310;0.327;135.371;133.997;397.106;397.131;395.803;34.087;33.854;1.368;0.183;0.075;49.997;447.128;781.187;139.591;106.258;21.862;0.000;0.025;0.000;8;132.092;393.809;4;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;2623.088219;2623.139114;2623.527611;774893;24440;137230;19;1716;24440;26644;100.000;0.215;0.234;526.976;565.676;6.395;155704;146684;137230;0.174;0.103;0.062;1.984;0.968;0.056;122.998;121.967;388.485;388.498;387.511;31.660;31.475;1.383;0.183;0.077;50.895;439.393;867.577;128.356;95.023;26.435;0.000;0.013;0.000;15;120.046;385.513;3;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;2623.210300;2623.253058;2623.642256;775949;25004;137590;19;1720;25004;27208;100.000;466.430;505.764;528.358;567.149;6.530;155769;147285;137590;0.220;0.102;0.063;2.094;1.276;0.352;117.591;116.252;389.160;389.198;387.901;30.214;29.969;1.371;0.179;0.159;42.758;431.955;948.888;113.944;80.611;29.821;0.000;0.038;0.000;15;114.221;385.767;3;0;0;0;0;0;0;0
8;1;1;1;-0.087266;0.000000;1.000000;2623.335171;2623.386336;2623.770605;775463;26320;137746;20;1722;26320;28640;100.000;720.130;780.995;528.957;567.793;6.874;154945;147291;137746;0.220;0.102;0.063;2.126;0.916;0.055;131.719;130.739;384.254;384.269;383.334;34.278;34.106;1.374;0.182;0.184;51.165;435.434;1043.904;133.278;99.944;34.203;38.069;0.015;0.000;16;128.677;381.192;2;0;0;0;0;0;0;0
9;1;1;1;-0.087266;0.000000;1.000000;2623.455137;2623.505894;2623.893354;775698;26320;138024;20;1726;26320;28640;100.000;0.232;0.251;530.025;568.951;6.874;154624;147515;138024;0.175;0.102;0.063;2.007;0.927;0.059;125.777;124.787;387.432;387.461;386.515;32.462;32.285;1.386;0.184;0.095;50.757;438.217;1133.320;119.558;86.225;37.455;0.000;0.029;0.001;10;122.844;384.466;3;0;0;0;0;0;0;0
10;1;1;1;-0.087266;0.000000;1.000000;2623.577032;2623.619874;2624.017593;778020;25192;138278;20;1729;25192;27512;100.000;0.196;0.213;531.000;569.994;6.603;153992;146840;138278;0.211;0.101;0.063;2.029;1.460;0.431;127.164;125.641;397.696;397.720;396.235;31.973;31.709;1.387;0.184;0.083;42.841;440.561;1224.226;113.980;80.647;40.154;0.000;0.024;0.000;14;123.676;394.182;3;0;0;0;0;0;0;0
