frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;WARMUP;0.000;0.000;1.000;2622.445918;2622.448139;2622.475131;2622.494321;784142;784142;784142;9802;108;12546272;12546312;100.000;902.929;902.929;34.132;37.480;3011.115;10.496;0.000;0.000;6.748;5.954;0.003;23.198;23.198;32.287;46.182;26.992;50.231;85.943;1.460;0.748;0.436;1.405;2.699;2.220;48.403;46.182;0.000;0.000;0.000;0.000;0.011;0.384;6.761;0.203;0;1;24.099;24.100;nan;nan;nan;142128;1;0;0;0;0;0;0
2;1;1;1;WARMUP;0.000;0.000;1.000;2622.579142;2622.581811;2622.612456;2622.628613;783406;783406;783406;9793;22;12534496;12534536;100.000;924.873;924.873;6.970;7.635;3008.289;2.876;0.000;0.000;4.023;12.984;0.001;19.883;19.883;33.249;46.802;30.645;42.482;64.881;1.413;0.742;0.436;1.404;0.028;2.669;49.471;147.141;133.672;100.339;6.271;100.339;0.012;0.074;6.079;0.182;0;1;29.102;29.104;nan;nan;nan;28952;1;0;0;0;0;0;0
3;1;1;1;WARMUP;0.000;0.000;1.000;2622.702878;2622.705538;2622.736784;2622.871125;780200;780200;780200;9753;18;12483200;12483240;100.000;909.445;909.445;5.526;6.066;2995.978;2.902;0.000;0.000;4.014;13.031;0.002;19.947;19.947;151.861;165.587;31.246;12.046;63.836;1.393;0.744;0.459;1.392;0.026;2.660;168.247;356.319;123.727;90.393;11.529;90.393;0.002;0.473;5.565;0.167;0;1;29.098;29.100;nan;nan;nan;22936;1;0;0;0;0;0;0
4;1;1;1;WARMUP;0.000;0.000;1.000;2622.827700;2622.830557;2622.855033;2623.010718;778467;778467;778467;9731;18;12455472;12455512;100.000;922.143;922.143;5.481;6.021;2989.323;2.909;0.000;0.000;3.993;5.997;0.001;12.899;12.899;166.654;180.162;24.476;7.160;52.701;1.400;0.742;0.432;1.394;0.025;2.857;183.018;462.580;125.019;91.686;16.539;91.686;0.002;0.976;5.174;0.155;0;1;22.086;22.087;nan;nan;nan;22748;1;0;0;0;0;0;0
5;1;1;1;WARMUP;0.000;0.000;1.000;2622.960760;2622.963449;2622.994352;2623.139068;776427;776427;776427;9706;17;12422832;12422872;100.000;906.444;906.444;5.300;5.809;2981.489;2.887;0.000;0.000;4.119;13.005;0.001;20.011;20.011;161.914;175.619;30.903;11.395;64.754;1.492;0.734;0.429;1.437;0.027;2.688;178.307;557.595;132.892;99.559;21.727;99.559;0.002;0.072;4.156;0.125;0;1;29.368;29.370;nan;nan;nan;21996;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;2623.088219;2623.090946;2623.122736;2623.253003;774893;774893;774893;9687;19;12398288;12398328;100.000;893.095;893.095;5.887;6.458;2975.599;2.877;0.000;0.000;4.066;13.112;0.002;20.055;20.055;148.174;162.057;31.790;12.375;63.087;1.462;0.745;0.444;1.390;0.026;2.728;164.784;638.198;127.498;94.164;26.255;94.164;0.002;0.727;4.136;0.124;0;1;29.440;29.441;nan;nan;nan;24440;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;2623.210300;2623.212976;2623.236881;2623.253040;775949;775949;775949;9700;19;12415184;12415224;100.000;906.720;906.720;6.022;6.594;2979.654;2.851;0.000;0.000;4.039;5.983;0.001;12.873;12.873;26.372;40.065;23.906;32.132;53.851;1.449;0.737;0.433;1.393;0.027;2.675;42.740;604.901;122.029;88.696;30.157;88.696;0.002;0.188;4.114;0.123;0;1;22.100;22.102;nan;nan;nan;25004;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;2623.335171;2623.337913;2623.370258;2623.386320;775463;775463;775463;9694;20;12407408;12407448;100.000;859.798;859.798;6.338;6.941;2977.788;3.013;0.000;0.000;4.154;13.076;0.001;20.243;20.243;33.975;48.406;32.345;41.818;62.584;1.533;0.740;0.439;1.413;0.028;2.742;51.148;704.847;124.938;91.605;33.998;91.605;0.010;0.674;4.126;0.124;0;1;29.101;29.102;nan;nan;nan;26320;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;2623.455137;2623.457838;2623.489497;2623.619830;775698;775698;775698;9697;20;12411168;12411208;100.000;903.686;903.686;6.338;6.941;2978.690;2.920;0.000;0.000;4.003;13.042;0.002;19.965;19.965;148.257;161.991;31.659;12.325;63.062;1.401;0.743;0.438;1.396;0.025;2.701;164.693;905.024;119.925;86.591;37.285;86.591;0.002;0.878;4.097;0.123;0;1;29.390;29.391;nan;nan;nan;26320;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;2623.577032;2623.579838;2623.603767;2623.748743;778020;778020;778020;9726;20;12448320;12448360;100.000;908.529;908.529;6.067;6.670;2987.606;2.904;0.000;0.000;4.039;6.041;0.001;12.983;12.983;155.203;168.905;23.929;7.687;54.257;1.442;0.741;0.434;1.395;0.026;2.805;171.711;1000.604;121.999;88.666;40.496;88.666;0.002;0.146;4.085;0.123;0;1;22.099;22.102;nan;nan;nan;25192;1;0;0;0;0;0;0
11;1;1;1;IDLE;0.000;0.000;1.000;2623.697201;2623.699963;2623.732333;2623.871399;778554;778554;778554;9732;19;12456864;12456904;100.000;887.862;887.862;5.796;6.368;2989.657;2.931;0.000;0.000;4.111;13.331;0.002;20.372;20.372;157.405;171.436;32.370;11.883;62.936;1.505;0.737;0.436;1.403;0.029;2.762;174.198;1089.927;120.125;86.792;43.390;86.792;0.007;0.890;4.094;0.123;0;1;29.738;29.739;nan;nan;nan;24064;1;0;0;0;0;0;0
12;1;1;1;IDLE;0.000;0.000;1.000;2623.820591;2623.823381;2623.855244;2623.995007;779986;779986;779986;9750;20;12479776;12479816;100.000;873.276;873.276;6.157;6.760;2995.156;3.128;0.000;0.000;4.020;13.157;0.002;20.306;20.306;157.335;171.626;31.863;11.831;63.727;1.413;0.745;0.435;1.400;0.026;2.790;174.416;1180.201;123.418;90.085;46.308;90.085;0.002;0.392;4.080;0.122;0;1;29.308;29.310;nan;nan;nan;25568;1;0;0;0;0;0;0
