frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2622.445918;2622.448059;2622.462021;784142;784142;784142;9802;9802;12546272;12546312;100.000;1353.789;1353.789;3011.115;3382.797;3011.115;13.946;0.776;9.552;5.650;2.653;13.962;0.000;13.962;68.412;100.000;2.140;13.962;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2622.579142;2622.581761;2622.595361;783406;783406;783406;9793;9793;12534496;12534536;100.000;1399.454;1399.454;3008.289;3379.630;3008.289;13.584;0.792;9.502;5.625;2.614;133.340;119.740;13.600;69.872;10.199;2.619;113.969;133.703;100.369;6.273;0;0;0;0;0;0;0;0
3;1;1;1;2622.702878;2622.705489;2622.719244;780200;780200;780200;9753;9753;12483200;12483240;100.000;1367.452;1367.452;2995.978;3365.802;2995.978;13.739;1.035;9.721;5.607;2.606;123.883;110.128;13.755;70.671;11.104;2.611;204.519;123.727;90.394;11.531;0;0;0;0;0;0;0;0
4;1;1;1;2622.827700;2622.830510;2622.844059;778467;778467;778467;9731;9731;12455472;12455512;100.000;1395.106;1395.106;2989.323;3358.313;2989.323;13.534;0.799;9.506;5.617;2.601;124.815;111.266;13.550;70.160;10.856;2.809;296.000;125.021;91.688;16.540;0;0;0;0;0;0;0;0
5;1;1;1;2622.960760;2622.963401;2622.977144;776427;776427;776427;9706;9706;12422832;12422872;100.000;1359.607;1359.607;2981.489;3349.531;2981.489;13.727;0.839;9.485;5.593;2.592;133.085;119.342;13.743;69.019;10.327;2.640;395.752;132.891;99.558;21.729;0;0;0;0;0;0;0;0
6;1;1;1;2623.088219;2623.090884;2623.104810;774893;774893;774893;9687;9687;12398288;12398328;100.000;1328.587;1328.587;2975.599;3342.920;2975.599;13.910;1.108;9.746;5.564;2.577;127.666;113.740;13.927;69.980;10.909;2.665;490.085;127.483;94.150;26.255;0;0;0;0;0;0;0;0
7;1;1;1;2623.210300;2623.212927;2623.226663;775949;775949;775949;9700;9700;12415184;12415224;100.000;1356.896;1356.896;2979.654;3347.468;2979.654;13.719;0.865;9.519;5.591;2.586;121.853;108.117;13.736;69.297;11.273;2.627;578.605;122.044;88.710;30.159;0;0;0;0;0;0;0;0
8;1;1;1;2623.335171;2623.337857;2623.352312;775463;775463;775463;9694;9694;12407408;12407448;100.000;1263.244;1263.244;2977.788;3345.374;2977.788;14.432;1.120;9.821;5.592;2.607;125.649;111.194;14.455;67.942;11.504;2.686;670.920;124.930;91.596;33.999;0;0;0;0;0;0;0;0
9;1;1;1;2623.455137;2623.457790;2623.471568;775698;775698;775698;9697;9697;12411168;12411208;100.000;1351.944;1351.944;2978.690;3346.391;2978.690;13.762;0.849;9.520;5.593;2.582;119.256;105.478;13.778;69.096;11.553;2.653;756.843;119.933;86.600;37.286;0;0;0;0;0;0;0;0
10;1;1;1;2623.577032;2623.579789;2623.593516;778020;778020;778020;9726;9726;12448320;12448360;100.000;1365.046;1365.046;2987.606;3356.407;2987.606;13.711;0.855;9.519;5.604;2.588;121.947;108.221;13.727;69.345;11.256;2.757;845.457;121.999;88.665;40.497;0;0;0;0;0;0;0;0
