frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2622.445918;2622.892099;2622.893145;784142;146318;146318;0;0;1829;1829;2341088;2341140;100.000;2239.292;2239.292;561.874;606.635;561.874;1.043;0.466;0.507;1.046;0.000;1.046;48.477;100.000;446.180;1.046;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2622.579142;2623.031735;2623.032894;783406;144182;144182;0;0;1803;1803;2306912;2306964;100.000;1995.527;1995.527;553.671;597.796;553.671;1.156;0.402;0.441;139.749;138.590;1.159;38.045;0.830;452.593;107.462;139.636;106.303;6.644;0;0;0;0;0;0;0;0
3;1;1;1;2622.702878;2623.160115;2623.161500;780200;141754;141754;0;0;1772;1772;2268064;2268116;100.000;1639.503;1639.503;544.348;587.714;544.348;1.381;0.365;0.404;128.606;127.220;1.386;29.142;1.077;457.237;202.735;128.380;95.046;12.169;0;0;0;0;0;0;0;0
4;1;1;1;2622.827700;2623.274504;2623.275610;778467;139430;139430;0;0;1743;1743;2230880;2230932;100.000;2022.573;2022.573;535.424;578.080;535.424;1.103;0.507;0.550;114.109;113.003;1.106;49.734;0.969;446.803;283.511;114.389;81.055;16.474;0;0;0;0;0;0;0;0
5;1;1;1;2622.960760;2623.406588;2623.407899;776427;137802;137802;0;0;1723;1723;2204832;2204884;100.000;1690.446;1690.446;529.172;571.339;529.172;1.307;0.483;0.526;132.289;130.979;1.310;40.113;0.991;445.828;382.467;132.085;98.752;21.617;0;0;0;0;0;0;0;0
6;1;1;1;2623.088219;2623.526655;2623.527623;774893;137230;137230;0;0;1716;1716;2195680;2195732;100.000;2281.452;2281.452;526.976;568.971;526.976;0.964;0.399;0.437;119.724;118.757;0.968;45.192;0.808;438.437;468.858;120.067;86.734;25.687;0;0;0;0;0;0;0;0
7;1;1;1;2623.210300;2623.640990;2623.642267;775949;137590;137590;0;0;1720;1720;2201440;2201492;100.000;1731.648;1731.648;528.358;570.451;528.358;1.273;0.461;0.507;114.643;113.367;1.276;39.752;1.113;430.690;550.168;114.335;81.001;29.144;0;0;0;0;0;0;0;0
8;1;1;1;2623.335171;2623.769700;2623.770614;775463;137746;137746;0;0;1722;1722;2203936;2203988;100.000;2423.477;2423.477;528.957;571.099;528.957;0.905;0.424;0.461;128.348;127.433;0.915;50.386;0.713;434.529;645.182;128.710;95.376;33.283;0;0;0;0;0;0;0;0
9;1;1;1;2623.455137;2623.892438;2623.893366;775698;138024;138024;0;0;1726;1726;2208384;2208436;100.000;2396.741;2396.741;530.025;572.265;530.025;0.925;0.466;0.505;122.752;121.824;0.928;54.358;0.756;437.301;734.601;122.738;89.405;36.791;0;0;0;0;0;0;0;0
10;1;1;1;2623.577032;2624.016145;2624.017606;778020;138278;138278;0;0;1729;1729;2212448;2212500;100.000;1514.411;1514.411;531.000;573.313;531.000;1.458;0.444;0.486;124.240;122.778;1.461;33.278;1.176;439.112;825.507;123.707;90.373;40.140;0;0;0;0;0;0;0;0
11;1;1;1;2623.697201;2624.153407;2624.154403;778554;139114;139114;0;0;1739;1739;2225824;2225876;100.000;2241.017;2241.017;534.210;576.768;534.210;0.992;0.438;0.478;136.797;135.801;0.996;48.002;0.728;456.206;928.971;137.263;103.929;44.127;0;0;0;0;0;0;0;0
12;1;1;1;2623.820591;2624.285208;2624.286315;779986;140496;140496;0;0;1757;1757;2247936;2247988;100.000;2041.690;2041.690;539.517;582.516;539.517;1.103;0.441;0.479;131.911;130.805;1.107;43.244;0.839;464.617;1027.549;131.801;98.467;47.523;0;0;0;0;0;0;0;0
13;1;1;1;2623.951332;2624.405191;2624.406263;780926;142868;142868;0;0;1786;1786;2285888;2285940;100.000;2145.137;2145.137;548.626;592.334;548.626;1.068;0.518;0.560;119.948;118.877;1.072;52.227;0.893;453.860;1114.164;119.983;86.650;49.968;0;0;0;0;0;0;0;0
14;1;1;1;2624.081009;2624.530092;2624.531238;782770;144928;144928;0;0;1812;1812;2318848;2318900;100.000;2031.829;2031.829;556.536;600.881;556.536;1.142;0.451;0.490;124.975;123.829;1.146;42.777;0.917;449.083;1205.805;124.901;91.567;52.568;0;0;0;0;0;0;0;0
15;1;1;1;2624.213710;2624.658870;2624.659978;784474;146044;146044;0;0;1826;1826;2336704;2336756;100.000;2111.127;2111.127;560.821;605.509;560.821;1.104;0.479;0.518;128.740;127.632;1.108;46.791;0.860;445.160;1301.212;128.778;95.445;55.248;0;0;0;0;0;0;0;0
16;1;1;1;2624.339405;2624.776593;2624.777719;785193;145822;145822;0;0;1823;1823;2333152;2333204;100.000;2090.093;2090.093;559.969;604.584;559.969;1.122;0.470;0.512;117.741;116.616;1.125;45.492;0.956;437.189;1385.620;117.723;84.390;57.069;0;0;0;0;0;0;0;0
17;1;1;1;2624.458559;2624.905218;2624.906522;782720;144126;144126;0;0;1802;1802;2306016;2306068;100.000;1772.608;1772.608;553.456;597.557;553.456;1.300;0.451;0.490;128.803;127.500;1.303;37.578;1.012;446.660;1481.089;128.625;95.292;59.458;0;0;0;0;0;0;0;0
18;1;1;1;2624.587295;2625.026350;2625.027436;781613;141930;141930;0;0;1775;1775;2270880;2270932;100.000;2097.611;2097.611;545.024;588.463;545.024;1.082;0.454;0.492;120.914;119.828;1.086;45.352;0.898;439.055;1568.670;121.131;87.798;61.230;0;0;0;0;0;0;0;0
19;1;1;1;2624.711550;2625.145269;2625.146411;780006;139740;139740;0;0;1747;1747;2235840;2235892;100.000;1966.003;1966.003;536.614;579.368;536.614;1.138;0.413;0.450;118.975;117.834;1.141;39.452;0.959;433.720;1654.312;118.920;85.586;62.752;0;0;0;0;0;0;0;0
20;1;1;1;2624.834006;2625.273464;2625.274471;780302;138346;138346;0;0;1730;1730;2213536;2213588;100.000;2199.681;2199.681;531.261;573.599;531.261;1.003;0.387;0.424;128.060;127.053;1.007;42.126;0.786;439.458;1749.039;128.195;94.861;64.759;0;0;0;0;0;0;0;0
21;1;1;1;2624.955531;2625.401652;2625.402770;779066;137844;137844;0;0;1724;1724;2205504;2205556;100.000;1981.002;1981.002;529.333;571.524;529.333;1.115;0.376;0.413;128.300;127.181;1.119;36.896;0.872;446.121;1844.005;128.188;94.855;66.640;0;0;0;0;0;0;0;0
22;1;1;1;2625.081574;2625.560122;2625.561191;778280;138092;138092;0;0;1727;1727;2209472;2209524;100.000;2079.567;2079.567;530.286;572.550;530.286;1.065;0.426;0.464;158.420;157.352;1.068;43.446;0.674;478.548;1969.092;158.470;125.137;70.296;0;0;0;0;0;0;0;0
23;1;1;1;2625.202815;2625.709438;2625.710403;778907;138240;138240;0;0;1728;1728;2211840;2211892;100.000;2307.817;2307.817;530.854;573.143;530.854;0.962;0.426;0.464;149.212;148.247;0.965;48.027;0.647;506.623;2084.971;149.316;115.982;73.151;0;0;0;0;0;0;0;0
24;1;1;1;2625.330284;2625.850647;2625.851976;779289;138556;138556;0;0;1732;1732;2216896;2216948;100.000;1669.004;1669.004;532.068;574.454;532.068;1.318;0.383;0.426;141.573;140.244;1.329;32.046;0.939;520.363;2193.211;141.209;107.876;75.321;0;0;0;0;0;0;0;0
25;1;1;1;2625.495249;2625.964042;2625.965112;779739;138952;138952;0;0;1737;1737;2223232;2223284;100.000;2082.680;2082.680;533.588;576.097;533.588;1.066;0.485;0.525;113.135;112.066;1.069;49.121;0.945;468.793;2273.013;113.395;80.062;75.618;0;0;0;0;0;0;0;0
26;1;1;1;2625.636396;2626.091797;2626.093053;779364;139454;139454;0;0;1744;1744;2231264;2231316;100.000;1781.527;1781.527;535.516;578.196;535.516;1.253;0.441;0.478;127.941;126.686;1.256;38.054;0.982;455.401;2367.621;127.755;94.421;76.793;0;0;0;0;0;0;0;0
27;1;1;1;2625.778738;2626.211151;2626.212200;780025;140520;140520;0;0;1757;1757;2248320;2248372;100.000;2157.201;2157.201;539.609;582.608;539.609;1.045;0.455;0.493;119.147;118.098;1.049;47.012;0.880;432.413;2453.434;119.354;86.020;77.370;0;0;0;0;0;0;0;0
28;1;1;1;2625.898276;2626.324127;2626.325437;780373;141820;141820;0;0;1773;1773;2269120;2269172;100.000;1735.841;1735.841;544.601;587.992;544.601;1.306;0.472;0.511;113.237;111.927;1.310;38.988;1.157;425.851;2533.338;112.976;79.643;77.512;0;0;0;0;0;0;0;0
29;1;1;1;2626.020611;2626.441139;2626.442204;781651;143812;143812;0;0;1798;1798;2300992;2301044;100.000;2163.132;2163.132;552.251;596.253;552.251;1.057;0.492;0.534;116.768;115.702;1.066;50.087;0.913;420.527;2616.772;117.012;83.679;77.897;0;0;0;0;0;0;0;0
30;1;1;1;2626.139523;2626.554751;2626.555850;781375;144756;144756;0;0;1810;1810;2316096;2316148;100.000;2117.162;2117.162;555.876;600.172;555.876;1.095;0.473;0.512;113.645;112.547;1.098;46.609;0.967;415.228;2697.084;113.613;80.279;78.046;0;0;0;0;0;0;0;0
31;1;1;1;2626.259442;2626.674563;2626.675890;784392;143948;143948;0;0;1800;1800;2303168;2303220;100.000;1738.674;1738.674;552.773;596.824;552.773;1.323;0.464;0.503;120.040;118.714;1.326;37.909;1.105;415.121;2783.791;119.812;86.479;78.573;0;0;0;0;0;0;0;0
32;1;1;1;2626.368681;2626.800198;2626.801280;782671;141972;141972;0;0;1775;1775;2271552;2271604;100.000;2106.789;2106.789;545.185;588.624;545.185;1.078;0.470;0.509;125.390;124.309;1.081;47.088;0.862;431.517;2875.847;125.635;92.302;79.431;0;0;0;0;0;0;0;0
33;1;1;1;2626.483562;2626.913295;2626.914579;776999;139814;139814;0;0;1748;1748;2237024;2237076;100.000;1750.581;1750.581;536.898;579.677;536.898;1.281;0.468;0.508;113.299;112.015;1.284;39.583;1.133;429.733;2955.813;113.097;79.763;79.452;0;0;0;0;0;0;0;0
34;1;1;1;2626.611553;2627.039002;2627.040052;778650;137648;137648;0;0;1721;1721;2202368;2202420;100.000;2108.225;2108.225;528.581;570.698;528.581;1.047;0.444;0.482;125.474;124.424;1.050;45.915;0.837;427.449;3047.954;125.707;92.374;80.260;0;0;0;0;0;0;0;0
35;1;1;1;2626.730012;2627.170036;2627.171326;778007;137154;137154;0;0;1715;1715;2194464;2194516;100.000;1707.534;1707.534;526.684;568.655;526.684;1.286;0.447;0.485;131.273;129.984;1.290;37.621;0.982;440.024;3145.893;131.034;97.700;81.350;0;0;0;0;0;0;0;0
36;1;1;1;2626.842483;2627.289285;2627.290345;776483;138046;138046;0;0;1726;1726;2208736;2208788;100.000;2095.234;2095.234;530.109;572.349;530.109;1.057;0.460;0.497;119.019;117.959;1.060;46.878;0.891;446.801;3231.579;119.249;85.915;81.635;0;0;0;0;0;0;0;0
