frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2622.445918;2622.493349;2622.494329;784142;0;0;142128;142128;108;108;142128;142216;100.000;145.832;145.832;34.132;37.480;34.132;0.971;0.024;0.027;0.979;0.000;0.979;2.734;100.000;47.431;0.979;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2622.579142;2622.628619;2622.628627;783406;0;0;28952;28952;22;22;28952;29040;100.000;13816.961;13816.961;6.970;7.635;6.970;0.006;0.006;0.006;134.299;134.290;0.008;76.165;0.006;49.477;101.945;135.270;101.936;6.371;0;0;0;0;0;0;0;0
3;1;1;1;2622.702878;2622.752887;2622.871131;780200;0;0;22936;22936;18;18;22936;23024;100.000;0.195;0.195;5.526;6.066;5.526;118.242;0.006;0.008;242.504;124.260;118.244;0.007;48.760;50.009;311.115;124.268;90.935;11.656;0;0;0;0;0;0;0;0
4;1;1;1;2622.827700;2622.871158;2623.010725;778467;0;0;22748;22748;18;18;22748;22836;100.000;0.164;0.164;5.481;6.021;5.481;139.564;0.006;0.007;139.594;0.027;139.567;0.005;99.981;43.458;417.375;118.271;84.937;16.236;0;0;0;0;0;0;0;0
5;1;1;1;2622.960760;2623.010750;2623.139074;776427;0;0;21996;21996;17;17;21996;22084;100.000;0.172;0.172;5.300;5.809;5.300;128.321;0.006;0.006;128.349;0.026;128.323;0.005;99.980;49.990;512.391;139.592;106.259;21.863;0;0;0;0;0;0;0;0
6;1;1;1;2623.088219;2623.139104;2623.253012;774893;0;0;24440;24440;19;19;24440;24528;100.000;0.215;0.215;5.887;6.458;5.887;113.905;0.007;0.008;113.938;0.031;113.907;0.007;99.973;50.885;592.996;128.354;95.021;26.435;0;0;0;0;0;0;0;0
7;1;1;1;2623.210300;2623.253046;2623.253055;775949;0;0;25004;25004;19;19;25004;25092;100.000;11835.849;11835.849;6.022;6.594;6.022;0.006;0.006;0.007;0.044;0.035;0.009;78.243;20.387;42.746;559.706;113.942;80.609;29.821;0;0;0;0;0;0;0;0
8;1;1;1;2623.335171;2623.386325;2623.386333;775463;0;0;26320;26320;20;20;26320;26408;100.000;11981.212;11981.212;6.338;6.941;6.338;0.005;0.005;0.005;133.278;133.270;0.007;72.788;0.006;51.154;659.650;133.279;99.946;34.204;0;0;0;0;0;0;0;0
9;1;1;1;2623.455137;2623.505884;2623.619835;775698;0;0;26320;26320;20;20;26320;26408;100.000;0.232;0.232;6.338;6.941;6.338;113.949;0.007;0.008;233.502;119.551;113.951;0.007;48.801;50.747;859.819;119.559;86.225;37.455;0;0;0;0;0;0;0;0
10;1;1;1;2623.577032;2623.619865;2623.748749;778020;0;0;25192;25192;20;20;25192;25280;100.000;0.196;0.196;6.067;6.670;6.067;128.882;0.007;0.008;128.914;0.030;128.884;0.006;99.977;42.833;955.400;113.981;80.648;40.155;0;0;0;0;0;0;0;0
