frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2622.445918;2622.448099;2622.462027;784142;784142;784142;0;0;9802;9802;12546272;12546312;100.000;900.918;900.918;3011.115;3354.567;3011.115;13.913;2.853;3.056;13.929;0.000;13.929;21.939;100.000;2.180;13.929;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2622.579142;2622.581790;2622.595363;783406;783406;783406;0;0;9793;9793;12534496;12534536;100.000;923.565;923.565;3008.289;3351.426;3008.289;13.569;2.660;2.859;133.336;119.763;13.573;21.060;10.179;2.648;113.931;133.691;100.358;6.272;0;0;0;0;0;0;0;0
3;1;1;1;2622.702878;2622.705516;2622.719256;780200;780200;780200;0;0;9753;9753;12483200;12483240;100.000;908.855;908.855;2995.978;3337.713;2995.978;13.737;2.646;2.855;123.893;110.153;13.740;20.778;11.090;2.638;204.491;123.726;90.393;11.530;0;0;0;0;0;0;0;0
4;1;1;1;2622.827700;2622.830538;2622.844062;778467;778467;778467;0;0;9731;9731;12455472;12455512;100.000;921.037;921.037;2989.323;3330.288;2989.323;13.521;2.658;2.855;124.806;111.281;13.525;21.109;10.836;2.838;295.964;125.022;91.688;16.540;0;0;0;0;0;0;0;0
5;1;1;1;2622.960760;2622.963429;2622.977150;776427;776427;776427;0;0;9706;9706;12422832;12422872;100.000;905.553;905.553;2981.489;3321.578;2981.489;13.718;2.769;2.964;133.088;119.367;13.721;21.602;10.310;2.669;395.718;132.891;99.558;21.728;0;0;0;0;0;0;0;0
6;1;1;1;2623.088219;2623.090917;2623.104823;774893;774893;774893;0;0;9687;9687;12398288;12398328;100.000;891.901;891.901;2975.599;3315.022;2975.599;13.900;2.750;2.956;127.673;113.767;13.906;21.256;10.892;2.698;490.058;127.488;94.155;26.255;0;0;0;0;0;0;0;0
7;1;1;1;2623.210300;2623.212956;2623.226667;775949;775949;775949;0;0;9700;9700;12415184;12415224;100.000;905.599;905.599;2979.654;3319.532;2979.654;13.707;2.730;2.930;121.844;108.133;13.711;21.367;11.253;2.656;578.568;122.039;88.706;30.158;0;0;0;0;0;0;0;0
8;1;1;1;2623.335171;2623.337893;2623.352331;775463;775463;775463;0;0;9694;9694;12407408;12407448;100.000;859.882;859.882;2977.788;3317.456;2977.788;14.435;3.018;3.218;125.664;111.226;14.438;22.285;11.489;2.722;670.899;124.937;91.604;33.999;0;0;0;0;0;0;0;0
9;1;1;1;2623.455137;2623.457819;2623.471571;775698;775698;775698;0;0;9697;9697;12411168;12411208;100.000;902.601;902.601;2978.690;3318.463;2978.690;13.749;2.790;2.990;119.240;105.488;13.752;21.738;11.533;2.682;756.806;119.926;86.593;37.286;0;0;0;0;0;0;0;0
10;1;1;1;2623.577032;2623.579818;2623.593531;778020;778020;778020;0;0;9726;9726;12448320;12448360;100.000;908.213;908.213;2987.606;3328.396;2987.606;13.709;2.745;2.952;121.960;108.247;13.713;21.525;11.244;2.786;845.432;121.999;88.666;40.497;0;0;0;0;0;0;0;0
11;1;1;1;2623.697201;2623.699938;2623.713991;778554;778554;778554;0;0;9732;9732;12456864;12456904;100.000;886.527;886.527;2989.657;3330.657;2989.657;14.050;2.834;3.037;120.460;106.407;14.053;21.608;11.666;2.737;932.559;120.120;86.787;43.390;0;0;0;0;0;0;0;0
12;1;1;1;2623.820591;2623.823359;2623.837664;779986;779986;779986;0;0;9750;9750;12479776;12479816;100.000;872.645;872.645;2995.156;3336.786;2995.156;14.302;3.228;3.449;123.673;109.368;14.306;24.109;11.567;2.768;1022.899;123.421;90.088;46.309;0;0;0;0;0;0;0;0
13;1;1;1;2623.951332;2623.954235;2623.967997;780926;780926;780926;0;0;9762;9762;12494816;12494856;100.000;908.006;908.006;2998.765;3340.816;2998.765;13.759;2.747;2.958;130.333;116.570;13.763;21.491;10.560;2.903;1119.899;130.876;97.543;49.511;0;0;0;0;0;0;0;0
14;1;1;1;2624.081009;2624.083937;2624.098375;782770;782770;782770;0;0;9785;9785;12524320;12524360;100.000;867.772;867.772;3005.846;3348.703;3005.846;14.432;2.984;3.191;130.378;115.940;14.438;22.103;11.074;2.928;1216.943;129.702;96.369;52.439;0;0;0;0;0;0;0;0
15;1;1;1;2624.213710;2624.216427;2624.230272;784474;784474;784474;0;0;9806;9806;12551584;12551624;100.000;906.814;906.814;3012.390;3355.982;3012.390;13.842;2.771;2.969;131.897;118.052;13.845;21.445;10.497;2.717;1315.507;132.490;99.157;55.359;0;0;0;0;0;0;0;0
16;1;1;1;2624.339405;2624.342134;2624.356264;785193;785193;785193;0;0;9815;9815;12563088;12563128;100.000;889.440;889.440;3015.151;3359.059;3015.151;14.119;2.751;2.949;125.991;111.862;14.130;20.870;11.215;2.729;1408.165;125.707;92.373;57.673;0;0;0;0;0;0;0;0
17;1;1;1;2624.458559;2624.461277;2624.475110;782720;782720;782720;0;0;9784;9784;12523520;12523560;100.000;905.748;905.748;3005.654;3348.476;3005.654;13.830;2.767;2.968;118.846;105.013;13.833;21.458;11.639;2.718;1493.678;119.143;85.810;59.431;0;0;0;0;0;0;0;0
18;1;1;1;2624.587295;2624.590088;2624.604066;781613;781613;781613;0;0;9771;9771;12505808;12505848;100.000;894.939;894.939;3001.404;3343.770;3001.404;13.974;2.833;3.030;128.956;114.979;13.978;21.680;10.839;2.793;1589.301;128.811;95.478;61.684;0;0;0;0;0;0;0;0
19;1;1;1;2624.711550;2624.714269;2624.728545;780006;780006;780006;0;0;9751;9751;12480096;12480136;100.000;874.536;874.536;2995.233;3336.898;2995.233;14.273;2.865;3.065;124.479;110.203;14.276;21.467;11.469;2.719;1680.446;124.180;90.847;63.507;0;0;0;0;0;0;0;0
20;1;1;1;2624.834006;2624.836809;2624.851173;780302;780302;780302;0;0;9754;9754;12484832;12484872;100.000;869.543;869.543;2996.369;3338.140;2996.369;14.360;3.084;3.286;122.628;108.265;14.363;22.877;11.713;2.803;1769.741;122.541;89.207;65.113;0;0;0;0;0;0;0;0
