frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2622.445918;2622.892131;2622.893159;784142;146318;146318;1829;1829;2341088;2341140;100.000;2281.410;2281.410;561.874;603.123;561.874;1.024;0.564;0.615;1.028;0.000;1.028;59.845;100.000;446.213;1.028;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2622.579142;2623.031752;2623.032906;783406;144182;144182;1803;1803;2306912;2306964;100.000;2005.740;2005.740;553.671;594.335;553.671;1.149;0.503;0.553;139.747;138.593;1.154;47.911;0.826;452.609;107.441;139.620;106.287;6.643;0;0;0;0;0;0;0;0
3;1;1;1;2622.702878;2623.160135;2623.161515;780200;141754;141754;1772;1772;2268064;2268116;100.000;1648.552;1648.552;544.348;584.312;544.348;1.374;0.491;0.540;128.609;127.230;1.379;39.157;1.073;457.257;202.717;128.384;95.050;12.168;0;0;0;0;0;0;0;0
4;1;1;1;2622.827700;2623.274519;2623.275623;778467;139430;139430;1743;1743;2230880;2230932;100.000;2029.482;2029.482;535.424;574.733;535.424;1.099;0.606;0.654;114.108;113.005;1.104;59.284;0.967;446.819;283.492;114.384;81.051;16.474;0;0;0;0;0;0;0;0
5;1;1;1;2622.960760;2623.406604;2623.407909;776427;137802;137802;1723;1723;2204832;2204884;100.000;1697.678;1697.678;529.172;568.031;529.172;1.300;0.560;0.607;132.286;130.981;1.305;46.520;0.987;445.843;382.444;132.084;98.751;21.616;0;0;0;0;0;0;0;0
6;1;1;1;2623.088219;2623.526672;2623.527631;774893;137230;137230;1716;1716;2195680;2195732;100.000;2299.057;2299.057;526.976;565.676;526.976;0.955;0.480;0.528;119.723;118.763;0.960;54.980;0.802;438.453;468.833;120.068;86.735;25.686;0;0;0;0;0;0;0;0
7;1;1;1;2623.210300;2623.641006;2623.642280;775949;137590;137590;1720;1720;2201440;2201492;100.000;1736.934;1736.934;528.358;567.149;528.358;1.270;0.529;0.576;114.649;113.374;1.274;45.220;1.112;430.705;550.149;114.334;81.001;29.143;0;0;0;0;0;0;0;0
8;1;1;1;2623.335171;2623.769723;2623.770625;775463;137746;137746;1722;1722;2203936;2203988;100.000;2462.270;2462.270;528.957;567.793;528.957;0.898;0.557;0.604;128.345;127.442;0.902;66.914;0.703;434.552;645.160;128.717;95.384;33.283;0;0;0;0;0;0;0;0
9;1;1;1;2623.455137;2623.892454;2623.893379;775698;138024;138024;1726;1726;2208384;2208436;100.000;2408.812;2408.812;530.025;568.951;530.025;0.912;0.615;0.662;122.754;121.829;0.925;71.604;0.754;437.317;734.581;122.732;89.398;36.790;0;0;0;0;0;0;0;0
10;1;1;1;2623.577032;2624.016161;2624.017620;778020;138278;138278;1729;1729;2212448;2212500;100.000;1516.858;1516.858;531.000;569.994;531.000;1.454;0.541;0.588;124.240;122.781;1.459;40.314;1.174;439.128;825.488;123.706;90.373;40.139;0;0;0;0;0;0;0;0
11;1;1;1;2623.697201;2624.153424;2624.154413;778554;139114;139114;1739;1739;2225824;2225876;100.000;2255.571;2255.571;534.210;573.430;534.210;0.985;0.512;0.560;136.794;135.804;0.990;56.585;0.723;456.223;928.949;137.263;103.930;44.126;0;0;0;0;0;0;0;0
12;1;1;1;2623.820591;2624.285224;2624.286334;779986;140496;140496;1757;1757;2247936;2247988;100.000;2041.211;2041.211;539.517;579.143;539.517;1.105;0.560;0.620;131.920;130.811;1.109;55.896;0.841;464.633;1027.536;131.800;98.467;47.522;0;0;0;0;0;0;0;0
13;1;1;1;2623.951332;2624.405207;2624.406274;780926;142868;142868;1786;1786;2285888;2285940;100.000;2157.031;2157.031;548.626;588.905;548.626;1.063;0.639;0.688;119.941;118.873;1.068;64.430;0.890;453.875;1114.143;119.983;86.649;49.968;0;0;0;0;0;0;0;0
14;1;1;1;2624.081009;2624.530107;2624.531252;782770;144928;144928;1812;1812;2318848;2318900;100.000;2035.830;2035.830;556.536;597.402;556.536;1.140;0.639;0.689;124.978;123.833;1.145;60.173;0.916;449.099;1205.788;124.901;91.567;52.568;0;0;0;0;0;0;0;0
15;1;1;1;2624.213710;2624.658887;2624.660012;784474;146044;146044;1826;1826;2336704;2336756;100.000;2077.888;2077.888;560.821;602.004;560.821;1.121;0.565;0.623;128.760;127.634;1.125;55.328;0.874;445.177;1301.214;128.779;95.446;55.248;0;0;0;0;0;0;0;0
16;1;1;1;2624.339405;2624.776609;2624.777730;785193;145822;145822;1823;1823;2333152;2333204;100.000;2096.939;2096.939;559.969;601.083;559.969;1.116;0.550;0.601;117.718;116.597;1.121;53.612;0.952;437.205;1385.599;117.723;84.389;57.069;0;0;0;0;0;0;0;0
17;1;1;1;2624.458559;2624.905235;2624.906534;782720;144126;144126;1802;1802;2306016;2306068;100.000;1778.795;1778.795;553.456;594.097;553.456;1.295;0.567;0.616;128.804;127.505;1.299;47.409;1.009;446.676;1481.070;128.626;95.292;59.458;0;0;0;0;0;0;0;0
18;1;1;1;2624.587295;2625.026366;2625.027449;781613;141930;141930;1775;1775;2270880;2270932;100.000;2104.995;2104.995;545.024;585.055;545.024;1.079;0.578;0.627;120.915;119.831;1.084;57.887;0.896;439.071;1568.651;121.130;87.797;61.229;0;0;0;0;0;0;0;0
19;1;1;1;2624.711550;2625.145286;2625.146423;780006;139740;139740;1747;1747;2235840;2235892;100.000;1974.313;1974.313;536.614;576.014;536.614;1.133;0.551;0.607;118.974;117.836;1.137;53.405;0.956;433.736;1654.291;118.920;85.587;62.752;0;0;0;0;0;0;0;0
20;1;1;1;2624.834006;2625.273479;2625.274482;780302;138346;138346;1730;1730;2213536;2213588;100.000;2209.275;2209.275;531.261;570.277;531.261;0.998;0.479;0.527;128.059;127.057;1.003;52.518;0.783;439.473;1749.017;128.194;94.860;64.758;0;0;0;0;0;0;0;0
21;1;1;1;2624.955531;2625.401667;2625.402784;779066;137844;137844;1724;1724;2205504;2205556;100.000;1987.254;1987.254;529.333;568.214;529.333;1.112;0.484;0.531;128.302;127.185;1.117;47.578;0.870;446.136;1843.986;128.188;94.855;66.639;0;0;0;0;0;0;0;0
