frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;2622.445918;2622.894496;2622.895829;784142;178911;159140;146318;146318;1829;2341088;100.000;1757.208;561.874;603.123;22.816;88.949;18.660;0.000;127.749;0.881;1.333;66.107;448.578;449.911;449.910;1.333;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;2622.579142;2623.034204;2623.036513;783406;169393;156499;144182;144182;1803;2306912;100.000;999.335;553.671;594.335;21.623;92.388;18.405;0.000;110.792;1.845;2.309;79.919;455.062;457.371;457.370;108.683;139.708;106.374;6.648;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;2622.702878;2623.162755;2623.164144;780200;164369;153953;141754;141754;1772;2268064;100.000;1633.937;544.348;584.312;21.068;93.663;18.169;0.000;92.534;0.922;1.389;66.368;459.877;461.266;461.265;202.981;128.551;95.218;12.184;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;1;1;0.000000;0.000000;1.000000;2622.827700;2623.274539;2623.275642;778467;160176;150044;139430;139430;1743;2230880;100.000;2022.153;535.424;574.733;20.576;93.674;17.911;0.000;61.074;0.731;1.104;66.209;446.838;447.942;447.942;281.146;111.784;78.450;16.326;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;2622.960760;2623.406623;2623.407931;776427;157416;147596;137802;137802;1723;2204832;100.000;1686.222;529.172;568.031;20.274;93.762;17.748;0.000;250.153;0.750;1.308;57.314;445.863;447.171;447.170;380.102;132.084;98.751;21.477;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;2623.088219;2623.531211;2623.532492;774893;155704;146684;137230;137230;1716;2195680;100.000;1716.047;526.976;565.676;20.094;94.207;17.710;0.000;0.000;0.829;1.280;64.774;442.993;444.273;444.272;471.329;124.589;91.255;25.838;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;2623.210300;2623.642842;2623.646415;775949;155769;147285;137590;137590;1720;2201440;100.000;616.317;528.358;567.149;20.075;94.553;17.732;0.000;178.250;3.121;3.573;87.362;432.542;436.115;436.114;551.919;111.631;78.297;29.117;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;-0.087266;0.000000;1.000000;2623.335171;2623.776143;2623.781302;775463;154945;147291;137746;137746;1722;2203936;100.000;427.296;528.957;567.793;19.981;95.060;17.763;0.000;200.095;3.658;5.159;70.900;440.972;446.131;446.130;653.473;133.301;99.968;33.545;1;50.027;50.027;308.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;-0.087266;0.000000;1.000000;2623.455137;2623.897417;2623.902457;775698;154624;147515;138024;138024;1726;2208384;100.000;438.259;530.025;568.951;19.934;95.402;17.794;0.000;180.818;3.414;5.040;67.746;442.280;447.320;447.319;741.294;121.274;87.941;36.945;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;1;1;-0.087266;0.000000;1.000000;2623.577032;2624.017117;2624.019566;778020;153992;146840;138278;138278;1729;2212448;100.000;903.469;531.000;569.994;19.793;95.356;17.773;0.000;166.701;2.005;2.450;81.848;440.085;442.534;442.533;825.070;119.699;86.366;40.034;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;-0.087266;0.000000;1.000000;2623.697201;2624.156010;2624.157302;778554;154581;147771;139114;139114;1739;2225824;100.000;1724.524;534.210;573.430;19.855;95.595;17.868;0.000;132.277;0.831;1.292;64.348;458.809;460.101;460.100;929.473;138.893;105.560;44.129;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;-0.087266;0.000000;1.000000;2623.820591;2624.289394;2624.290742;779986;155588;149026;140496;140496;1757;2247936;100.000;1667.355;539.517;579.143;19.948;95.782;18.013;0.000;105.004;0.874;1.349;64.828;468.803;470.151;470.151;1029.579;133.383;100.050;47.624;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
13;1;1;-0.087266;0.000000;1.000000;2623.951332;2624.405226;2624.406417;780926;157785;151108;142868;142868;1786;2285888;100.000;1921.057;548.626;588.905;20.205;95.768;18.295;0.000;133.646;0.818;1.191;68.713;453.895;455.085;455.084;1111.921;115.832;82.499;49.804;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
14;1;1;-0.087266;0.087266;1.000000;2624.081009;2624.532853;2624.537597;782770;159421;153009;144928;144928;1812;2318848;100.000;488.941;556.536;597.402;20.366;95.978;18.515;0.000;69.069;4.256;4.744;89.726;451.845;456.589;456.588;1209.768;127.627;94.294;52.585;2;72.425;72.425;161.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;-0.087266;0.087266;1.000000;2624.213710;2624.658907;2624.660030;784474;159965;153314;146044;146044;1826;2336704;100.000;2082.268;560.821;602.004;20.391;95.842;18.617;0.000;66.095;0.691;1.123;61.525;445.197;446.320;446.319;1298.867;126.054;92.720;55.093;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;-0.087266;0.087266;1.000000;2624.339405;2624.776628;2624.777750;785193;177968;156948;145822;145822;1823;2333152;100.000;2080.795;559.969;601.083;22.666;88.189;18.571;0.000;66.250;0.643;1.122;57.353;437.223;438.345;438.345;1383.254;117.721;84.388;56.924;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
