frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;2201.442829;2201.444983;0.000;784142;19604;12546272;12546272;1244.545;1244.545;3011.115;3396.912;3011.115;3.106;2.154;10.081;3.892;15.341;15.341;99.997;85.959;6839;0;6839;218632;0
2;1;1;1;0;0.000;2201.474786;2201.476867;31.884;783406;19586;12534496;12534496;973.111;973.111;3008.289;3393.732;3008.289;1.730;2.081;12.881;4.968;16.692;16.692;99.998;87.532;7756;0;7756;247592;0
3;1;1;1;0;0.000;2201.509188;2201.511328;34.461;780200;19505;12483200;12483200;902.023;902.023;2995.978;3379.826;2995.978;2.798;2.140;13.839;5.519;18.777;18.778;99.998;88.603;6734;0;6734;215233;0
4;1;1;1;0;0.000;2201.543289;2201.546205;34.877;778467;19462;12455472;12455472;942.642;942.642;2989.323;3372.325;2989.323;3.566;2.915;13.213;5.422;19.695;19.695;99.998;85.195;4816;0;4816;153384;0
5;1;1;1;0;0.000;2201.576904;2201.579462;33.258;776427;19411;12422832;12422832;1056.344;1056.344;2981.489;3363.488;2981.489;3.848;2.558;11.760;4.660;18.166;18.166;100.000;85.918;6258;0;6258;199983;0
6;1;1;1;0;0.000;2201.609740;2201.611857;32.395;774893;19373;12398288;12398288;1173.420;1173.420;2975.599;3356.850;2975.599;3.350;2.117;10.566;4.261;16.033;16.033;99.997;86.794;6490;0;6490;207262;0
7;1;1;1;0;0.000;2201.643676;2201.645968;34.112;775949;19399;12415184;12415184;1125.127;1125.127;2979.654;3361.416;2979.654;3.952;2.293;11.035;4.637;17.279;17.280;99.998;86.731;6163;0;6163;196641;0
8;1;1;1;0;0.000;2201.677328;2201.679888;33.920;775463;19387;12407408;12407408;1100.367;1100.367;2977.788;3359.314;2977.788;4.270;2.560;11.276;4.714;18.105;18.106;99.998;85.860;4717;0;4717;150864;0
9;1;1;1;0;0.000;2201.710386;2201.713050;33.162;775698;19393;12411168;12411168;1015.401;1015.401;2978.690;3360.335;2978.690;3.995;2.664;12.223;4.940;18.882;18.882;99.998;85.889;5753;0;5753;183321;0
10;1;1;1;0;0.000;2201.745372;2201.747983;34.933;778020;19451;12448320;12448320;1076.460;1076.460;2987.606;3370.392;2987.606;5.648;2.610;11.564;4.693;19.822;19.822;99.999;86.832;3864;0;3864;123573;0
