frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2201.442829;2201.445023;2201.461822;784142;784142;784142;19604;19604;12546272;12546312;100.000;1001.468;1001.468;3011.115;3754.489;3011.115;16.788;1.596;10.546;5.922;2.168;16.799;0.000;16.799;62.778;100.000;2.194;16.799;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2201.474786;2201.477431;2201.496389;783406;783406;783406;19586;19586;12534496;12534536;100.000;850.896;850.896;3008.289;3750.980;3008.289;18.947;2.281;11.234;5.912;2.131;34.566;15.609;18.957;59.258;54.843;2.645;18.032;32.408;0.925;0.058;0;0;0;0;0;0;0;0
3;1;1;1;2201.509188;2201.511871;2201.534554;780200;780200;780200;19505;19505;12483200;12483240;100.000;712.333;712.333;2995.978;3735.598;2995.978;22.674;3.227;13.093;5.755;3.005;38.166;15.482;22.684;57.721;59.435;2.683;22.865;34.439;1.106;0.123;0;0;0;0;0;0;0;0
4;1;1;1;2201.543289;2201.546925;2201.566916;778467;778467;778467;19462;19462;12455472;12455512;100.000;819.994;819.994;2989.323;3727.312;2989.323;19.979;2.662;12.016;6.177;2.157;32.361;12.370;19.991;60.109;61.774;3.636;21.893;35.054;1.721;0.223;0;0;0;0;0;0;0;0
5;1;1;1;2201.576904;2201.580092;2201.601132;776427;776427;776427;19411;19411;12422832;12422872;100.000;833.168;833.168;2981.489;3717.545;2981.489;21.029;2.264;13.108;6.109;3.770;34.217;13.177;21.040;62.302;61.490;3.188;22.776;33.168;0.166;0.220;0;0;0;0;0;0;0;0
6;1;1;1;2201.609740;2201.612403;2201.630680;774893;774893;774893;19373;19373;12398288;12398328;100.000;918.765;918.765;2975.599;3710.213;2975.599;18.261;2.331;11.436;5.727;2.493;29.547;11.270;18.277;62.569;61.857;2.663;18.990;32.310;1.023;0.270;0;0;0;0;0;0;0;0
7;1;1;1;2201.643676;2201.646532;2201.664287;775949;775949;775949;19399;19399;12415184;12415224;100.000;941.854;941.854;2979.654;3715.254;2979.654;17.741;2.112;11.194;6.013;2.158;33.607;15.852;17.755;63.049;52.830;2.856;19.264;34.130;0.796;0.303;0;0;0;0;0;0;0;0
8;1;1;1;2201.677328;2201.680488;2201.698912;775463;775463;775463;19387;19387;12407408;12407448;100.000;900.560;900.560;2977.788;3712.933;2977.788;18.402;1.967;11.162;5.972;2.277;34.625;16.201;18.424;60.582;53.211;3.160;20.556;33.956;0.622;0.323;0;0;0;0;0;0;0;0
9;1;1;1;2201.710386;2201.713689;2201.732548;775698;775698;775698;19393;19393;12411168;12411208;100.000;869.456;869.456;2978.690;3714.063;2978.690;18.846;2.532;11.538;5.907;2.152;33.636;14.777;18.859;61.177;56.069;3.303;20.859;33.201;0.132;0.311;0;0;0;0;0;0;0;0
10;1;1;1;2201.745372;2201.748638;2201.766669;778020;778020;778020;19451;19451;12448320;12448360;100.000;912.023;912.023;2987.606;3725.179;2987.606;18.017;2.393;10.659;5.191;2.167;34.121;16.090;18.030;59.118;52.843;3.266;21.646;34.949;1.616;0.392;0;0;0;0;0;0;0;0
11;1;1;1;2201.779672;2201.783089;2201.803924;778554;778554;778554;19464;19464;12456864;12456904;100.000;816.703;816.703;2989.657;3727.722;2989.657;20.822;2.582;12.838;6.940;2.306;37.256;16.420;20.835;61.616;55.925;3.417;25.568;34.451;1.117;0.438;0;0;0;0;0;0;0;0
12;1;1;1;2201.809233;2201.812850;2201.833022;779986;779986;779986;19500;19500;12479776;12479816;100.000;822.702;822.702;2995.156;3734.586;2995.156;20.161;3.103;12.391;5.705;2.538;29.098;8.926;20.173;61.423;69.326;3.617;21.333;29.761;3.573;0.634;0;0;0;0;0;0;0;0
13;1;1;1;2201.846604;2201.850230;2201.870134;780926;780926;780926;19524;19524;12494816;12494856;100.000;822.292;822.292;2998.765;3739.106;2998.765;19.889;2.652;11.516;5.671;2.188;37.112;17.208;19.904;57.857;53.632;3.626;25.111;37.380;4.047;0.847;0;0;0;0;0;0;0;0
14;1;1;1;2201.877573;2201.884044;2201.904804;782770;782770;782770;19570;19570;12524320;12524360;100.000;797.723;797.723;3005.846;3747.931;3005.846;20.749;2.218;12.121;6.449;2.392;34.670;13.910;20.760;58.384;59.879;6.471;26.448;33.813;0.480;0.824;0;0;0;0;0;0;0;0
15;1;1;1;2201.912050;2201.916704;2201.938143;784474;784474;784474;19612;19612;12551584;12551624;100.000;766.921;766.921;3012.390;3756.067;3012.390;21.425;3.050;12.796;6.058;2.608;33.339;11.900;21.439;59.686;64.305;4.655;26.453;32.661;0.673;0.815;0;0;0;0;0;0;0;0
16;1;1;1;2201.943673;2201.948456;2201.967892;785193;785193;785193;19630;19630;12563088;12563128;100.000;819.322;819.322;3015.151;3759.511;3015.151;19.417;2.606;10.802;5.241;2.042;29.749;10.313;19.436;55.577;65.333;4.783;22.869;31.752;1.582;0.862;0;0;0;0;0;0;0;0
17;1;1;1;2201.977743;2201.981914;2202.004631;782720;782720;782720;19568;19568;12523520;12523560;100.000;679.906;679.906;3005.654;3747.663;3005.654;22.699;2.660;12.281;6.371;2.150;36.739;14.022;22.717;54.060;61.833;4.171;26.274;33.458;0.124;0.816;0;0;0;0;0;0;0;0
18;1;1;1;2202.008687;2202.013934;2202.035171;781613;781613;781613;19541;19541;12505808;12505848;100.000;758.263;758.263;3001.404;3742.389;3001.404;21.222;3.224;12.583;5.996;2.284;30.541;9.304;21.237;59.248;69.537;5.248;23.482;32.021;1.313;0.847;0;0;0;0;0;0;0;0
19;1;1;1;2202.044035;2202.048159;2202.071361;780006;780006;780006;19501;19501;12480096;12480136;100.000;633.006;633.006;2995.233;3734.701;2995.233;23.188;3.534;12.175;5.664;1.818;36.190;12.988;23.202;52.473;64.112;4.124;26.338;34.225;0.891;0.850;0;0;0;0;0;0;0;0
20;1;1;1;2202.075244;2202.078154;2202.101561;780302;780302;780302;19508;19508;12484832;12484872;100.000;658.908;658.908;2996.369;3736.103;2996.369;23.397;2.935;12.599;6.200;2.302;30.199;6.792;23.407;53.826;77.508;2.910;23.204;29.994;3.339;1.006;0;0;0;0;0;0;0;0
21;1;1;1;2202.109339;2202.112548;2202.136745;779066;779066;779066;19477;19477;12465056;12465096;100.000;647.908;647.908;2991.623;3730.181;2991.623;24.185;3.655;13.598;6.517;2.276;35.184;10.988;24.197;56.196;68.771;3.209;25.055;34.395;1.061;1.009;0;0;0;0;0;0;0;0
22;1;1;1;2202.142811;2202.146070;2202.170631;778280;778280;778280;19457;19457;12452480;12452520;100.000;661.931;661.931;2988.605;3726.405;2988.605;24.549;2.816;13.612;6.231;3.383;33.886;9.325;24.561;55.424;72.480;3.260;25.608;33.522;0.189;0.958;0;0;0;0;0;0;0;0
23;1;1;1;2202.176579;2202.179318;2202.201588;778907;778907;778907;19473;19473;12462512;12462552;100.000;777.633;777.633;2991.012;3729.419;2991.012;22.259;2.678;13.544;6.905;2.872;30.957;8.687;22.270;60.816;71.938;2.739;23.232;33.248;0.085;0.903;0;0;0;0;0;0;0;0
24;1;1;1;2202.209915;2202.212832;2202.235991;779289;779289;779289;19483;19483;12468624;12468664;100.000;673.787;673.787;2992.479;3731.265;2992.479;23.140;3.124;12.993;6.262;2.496;34.403;11.244;23.159;56.105;67.316;2.917;24.301;33.514;0.181;0.858;0;0;0;0;0;0;0;0
