frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2201.442829;2201.445055;2201.461831;784142;784142;784142;0;0;19604;19604;12546272;12546312;100.000;748.041;748.041;3011.115;3698.029;3011.115;16.758;3.764;4.163;16.776;0.000;16.776;24.815;100.000;2.227;16.776;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2201.474786;2201.477451;2201.496391;783406;783406;783406;0;0;19586;19586;12534496;12534536;100.000;661.848;661.848;3008.289;3694.572;3008.289;18.936;3.846;4.243;34.560;15.620;18.940;22.403;54.802;2.666;18.003;32.396;0.937;0.059;0;0;0;0;0;0;0;0
3;1;1;1;2201.509188;2201.511889;2201.534565;780200;780200;780200;0;0;19505;19505;12483200;12483240;100.000;550.614;550.614;2995.978;3679.423;2995.978;22.673;6.628;7.205;38.174;15.498;22.676;31.772;59.402;2.701;22.843;34.438;1.104;0.124;0;0;0;0;0;0;0;0
4;1;1;1;2201.543289;2201.546955;2201.566921;778467;778467;778467;0;0;19462;19462;12455472;12455512;100.000;623.893;623.893;2989.323;3671.262;2989.323;19.960;6.208;6.795;32.356;12.389;19.966;34.032;61.709;3.666;21.866;35.065;1.732;0.224;0;0;0;0;0;0;0;0
5;1;1;1;2201.576904;2201.580118;2201.601149;776427;776427;776427;0;0;19411;19411;12422832;12422872;100.000;590.908;590.908;2981.489;3661.641;2981.489;21.025;4.576;5.034;34.228;13.197;21.031;23.936;61.444;3.214;22.760;33.163;0.170;0.221;0;0;0;0;0;0;0;0
6;1;1;1;2201.609740;2201.612428;2201.630697;774893;774893;774893;0;0;19373;19373;12398288;12398328;100.000;678.884;678.884;2975.599;3654.419;2975.599;18.267;4.096;4.522;29.549;11.279;18.270;24.753;61.830;2.688;18.975;32.310;1.023;0.271;0;0;0;0;0;0;0;0
7;1;1;1;2201.643676;2201.646558;2201.664299;775949;775949;775949;0;0;19399;19399;12415184;12415224;100.000;700.015;700.015;2979.654;3659.385;2979.654;17.736;4.937;5.536;33.602;15.861;17.741;31.206;52.798;2.882;19.244;34.130;0.797;0.304;0;0;0;0;0;0;0;0
8;1;1;1;2201.677328;2201.680527;2201.698933;775463;775463;775463;0;0;19387;19387;12407408;12407448;100.000;674.413;674.413;2977.788;3657.098;2977.788;18.400;3.909;4.301;34.633;16.228;18.405;23.370;53.143;3.199;20.544;33.969;0.636;0.325;0;0;0;0;0;0;0;0
9;1;1;1;2201.710386;2201.713718;2201.732560;775698;775698;775698;0;0;19393;19393;12411168;12411208;100.000;658.941;658.941;2978.690;3658.211;2978.690;18.836;4.363;4.785;33.628;14.786;18.842;25.395;56.031;3.332;20.838;33.191;0.142;0.313;0;0;0;0;0;0;0;0
10;1;1;1;2201.745372;2201.748667;2201.766700;778020;778020;778020;0;0;19451;19451;12448320;12448360;100.000;690.943;690.943;2987.606;3669.160;2987.606;18.029;3.962;4.353;34.140;16.107;18.033;24.140;52.822;3.294;21.645;34.949;1.615;0.395;0;0;0;0;0;0;0;0
11;1;1;1;2201.779672;2201.783118;2201.803942;778554;778554;778554;0;0;19464;19464;12456864;12456904;100.000;598.404;598.404;2989.657;3671.666;2989.657;20.817;4.569;4.986;37.241;16.417;20.824;23.945;55.916;3.445;25.553;34.451;1.117;0.440;0;0;0;0;0;0;0;0
12;1;1;1;2201.809233;2201.812875;2201.833029;779986;779986;779986;0;0;19500;19500;12479776;12479816;100.000;619.295;619.295;2995.156;3678.426;2995.156;20.148;6.944;7.570;29.087;8.933;20.154;37.559;69.289;3.641;21.307;29.757;3.577;0.636;0;0;0;0;0;0;0;0
13;1;1;1;2201.846604;2201.850260;2201.870145;780926;780926;780926;0;0;19524;19524;12494816;12494856;100.000;628.504;628.504;2998.765;3682.877;2998.765;19.878;5.496;5.986;37.116;17.231;19.885;30.101;53.574;3.656;25.089;37.386;4.052;0.849;0;0;0;0;0;0;0;0
14;1;1;1;2201.877573;2201.884067;2201.904842;782770;782770;782770;0;0;19570;19570;12524320;12524360;100.000;603.200;603.200;3005.846;3691.570;3005.846;20.769;6.374;6.955;34.697;13.923;20.775;33.478;59.874;6.495;26.454;33.807;0.474;0.826;0;0;0;0;0;0;0;0
15;1;1;1;2201.912050;2201.916741;2201.938174;784474;784474;784474;0;0;19612;19612;12551584;12551624;100.000;585.947;585.947;3012.390;3699.585;3012.390;21.425;6.134;6.687;33.332;11.898;21.433;31.200;64.303;4.691;26.452;32.673;0.660;0.816;0;0;0;0;0;0;0;0
16;1;1;1;2201.943673;2201.948493;2201.967899;785193;785193;785193;0;0;19630;19630;12563088;12563128;100.000;647.505;647.505;3015.151;3702.976;3015.151;19.375;4.670;5.102;29.725;10.319;19.405;26.293;65.283;4.821;22.843;31.753;1.581;0.863;0;0;0;0;0;0;0;0
17;1;1;1;2201.977743;2201.981954;2202.004640;782720;782720;782720;0;0;19568;19568;12523520;12523560;100.000;552.122;552.122;3005.654;3691.308;3005.654;22.678;6.345;6.873;36.742;14.056;22.686;30.298;61.745;4.211;26.251;33.461;0.127;0.817;0;0;0;0;0;0;0;0
18;1;1;1;2202.008687;2202.013965;2202.035189;781613;781613;781613;0;0;19541;19541;12505808;12505848;100.000;589.413;589.413;3001.404;3686.111;3001.404;21.216;7.299;7.929;30.549;9.325;21.224;37.359;69.475;5.278;23.467;32.011;1.322;0.849;0;0;0;0;0;0;0;0
19;1;1;1;2202.044035;2202.048193;2202.071368;780006;780006;780006;0;0;19501;19501;12480096;12480136;100.000;538.579;538.579;2995.233;3678.538;2995.233;23.168;7.046;7.562;36.179;13.004;23.175;32.630;64.057;4.158;26.312;34.228;0.894;0.852;0;0;0;0;0;0;0;0
20;1;1;1;2202.075244;2202.078173;2202.101580;780302;780302;780302;0;0;19508;19508;12484832;12484872;100.000;533.545;533.545;2996.369;3679.920;2996.369;23.404;7.049;7.579;30.212;6.805;23.407;32.380;77.476;2.929;23.191;29.980;3.353;1.008;0;0;0;0;0;0;0;0
21;1;1;1;2202.109339;2202.112570;2202.136767;779066;779066;779066;0;0;19477;19477;12465056;12465096;100.000;515.332;515.332;2991.623;3674.088;2991.623;24.193;6.806;7.328;35.187;10.991;24.197;30.285;68.765;3.231;25.045;34.398;1.064;1.012;0;0;0;0;0;0;0;0
22;1;1;1;2202.142811;2202.146093;2202.170638;778280;778280;778280;0;0;19457;19457;12452480;12452520;100.000;507.421;507.421;2988.605;3670.368;2988.605;24.541;7.492;8.056;33.871;9.326;24.545;32.820;72.466;3.283;25.583;33.523;0.190;0.960;0;0;0;0;0;0;0;0
23;1;1;1;2202.176579;2202.179337;2202.201608;778907;778907;778907;0;0;19473;19473;12462512;12462552;100.000;559.765;559.765;2991.012;3673.337;2991.012;22.267;5.634;6.113;30.970;8.699;22.271;27.450;71.912;2.758;23.220;33.244;0.090;0.906;0;0;0;0;0;0;0;0
24;1;1;1;2202.209915;2202.212859;2202.236015;779289;779289;779289;0;0;19483;19483;12468624;12468664;100.000;538.708;538.708;2992.479;3675.154;2992.479;23.151;5.835;6.316;34.406;11.251;23.155;27.277;67.300;2.944;24.293;33.522;0.189;0.861;0;0;0;0;0;0;0;0
25;1;1;1;2202.242764;2202.246276;2202.269495;779739;779739;779739;0;0;19494;19494;12475824;12475864;100.000;537.424;537.424;2994.207;3677.268;2994.207;23.217;6.498;7.033;33.481;10.261;23.220;30.290;69.352;3.512;24.440;33.416;0.083;0.812;0;0;0;0;0;0;0;0
26;1;1;1;2202.274991;2202.278306;2202.298049;779364;779364;779364;0;0;19485;19485;12469824;12469864;100.000;632.071;632.071;2992.767;3675.512;2992.767;19.740;4.794;5.221;28.554;8.811;19.743;26.445;69.144;3.315;19.660;32.030;1.303;0.843;0;0;0;0;0;0;0;0
