frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
1;1;1;0.000000;0.000000;1.000000;2201.442829;2201.641534;2201.643357;784142;178911;159140;146318;146318;3658;2341088;100.000;1284.597;561.874;644.386;22.816;88.949;18.660;0.000;123.502;0.674;1.823;36.993;198.705;200.528;200.527;1.823;0.000;0.000;0.000;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
2;1;1;0.000000;0.000000;1.000000;2201.474786;2201.681333;2201.693117;783406;169393;156499;144182;144182;3605;2306912;100.000;195.808;553.671;634.988;21.623;92.388;18.405;0.000;0.000;10.321;11.784;87.591;206.547;218.331;218.329;18.250;39.799;6.466;0.404;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
3;1;1;0.000000;0.000000;1.000000;2201.509188;2201.753510;2201.762489;780200;164369;153953;141754;141754;3544;2268064;100.000;252.615;544.348;624.288;21.068;93.663;18.169;0.000;0.000;7.695;8.979;85.701;244.322;253.301;253.300;54.289;72.177;38.843;2.807;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
4;0;1;0.000000;0.000000;1.000000;2201.543289;2201.765801;2201.780982;778467;160176;150044;139430;137190;3430;2195040;98.393;144.600;526.822;604.190;20.576;93.674;17.911;0.000;0.000;1.627;15.180;10.716;222.512;237.693;237.693;39.448;12.292;21.042;3.946;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
5;1;1;0.000000;0.000000;1.000000;2201.576904;2201.796721;2201.799058;776427;157416;147596;137802;137802;3446;2204832;100.000;943.917;529.172;606.901;20.274;93.762;17.748;0.000;82.904;1.223;2.336;52.352;219.817;222.154;222.153;24.191;30.920;2.413;3.850;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
6;1;1;0.000000;0.000000;1.000000;2201.609740;2201.850753;2201.853687;774893;155704;146684;137230;137230;3431;2195680;100.000;748.552;526.976;604.367;20.094;94.207;17.710;0.000;0.000;1.644;2.934;56.014;241.013;243.947;243.946;45.487;54.031;20.698;4.903;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
7;1;1;0.000000;0.000000;1.000000;2201.643676;2201.872381;2201.883483;775949;155769;147285;137590;137590;3440;2201440;100.000;198.321;528.358;605.952;20.075;94.553;17.732;0.000;111.208;2.309;11.102;20.801;228.705;239.808;239.806;41.950;21.629;11.705;5.328;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
8;1;1;0.000000;0.000000;1.000000;2201.677328;2201.916894;2201.919705;775463;154945;147291;137746;137746;3444;2203936;100.000;784.416;528.957;606.641;19.981;95.060;17.763;0.000;0.000;1.524;2.811;54.235;239.566;242.377;242.376;44.838;44.513;11.180;5.694;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
9;1;1;0.000000;0.000000;1.000000;2201.710386;2201.956323;2201.964972;775698;154624;147515;138024;138024;3451;2208384;100.000;255.360;530.025;607.867;19.934;95.402;17.794;0.000;0.000;1.398;8.649;16.160;245.937;254.586;254.585;56.772;39.429;6.095;5.719;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
10;0;1;0.000000;0.000000;1.000000;2201.745372;2201.965120;2201.966747;778020;153992;146840;138278;134638;3366;2154208;97.368;1324.422;517.022;592.947;19.793;95.356;17.773;0.000;0.000;0.911;1.627;55.990;219.748;221.374;221.374;25.213;8.797;24.536;6.895;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
11;1;1;0.000000;0.000000;1.000000;2201.779672;2201.995080;2202.011009;778554;154581;147771;139114;139114;3478;2225824;100.000;139.770;534.210;612.661;19.855;95.595;17.868;0.001;135.261;1.032;15.928;6.477;215.408;231.336;231.333;36.142;29.960;3.373;6.675;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
12;1;1;0.000000;0.000000;1.000000;2201.809233;2202.060479;2202.074903;779986;155588;149026;140496;140496;3513;2247936;100.000;155.852;539.517;618.758;19.948;95.782;18.013;0.000;0.000;1.857;14.425;12.873;251.245;265.670;265.669;66.703;65.398;32.065;8.262;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
13;0;1;0.000000;0.000000;1.000000;2201.846604;2202.075154;2202.096547;780926;157785;151108;142868;138028;3451;2208448;96.612;103.235;530.040;607.882;20.205;95.768;18.295;0.000;0.000;6.710;21.393;31.367;228.550;249.943;249.943;55.014;14.676;18.658;8.912;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
14;1;1;0.000000;0.000000;1.000000;2201.877573;2202.116280;2202.132800;782770;159421;153009;144928;144928;3624;2318848;100.000;140.386;556.536;638.281;20.366;95.978;18.515;0.000;160.653;12.199;16.519;73.848;238.707;255.227;255.226;57.933;41.126;7.793;8.842;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
15;1;1;0.000000;0.000000;1.000000;2201.912050;2202.168465;2202.174514;784474;159965;153314;146044;146044;3652;2336704;100.000;386.313;560.821;643.198;20.391;95.842;18.617;0.000;0.000;1.181;6.049;19.526;256.415;262.464;262.464;66.314;52.184;18.851;9.467;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
16;1;1;0.000000;0.000000;1.000000;2201.943673;2202.174591;2202.187309;785193;177968;156948;145822;145822;3646;2333152;100.000;183.484;559.969;642.210;22.666;88.189;18.571;0.001;0.000;5.542;12.718;43.575;230.918;243.636;243.634;45.775;6.126;27.207;10.576;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
17;1;1;0.000000;0.000000;1.000000;2201.977743;2202.209532;2202.214470;782720;169127;155796;144126;144126;3604;2306016;100.000;467.120;553.456;634.750;21.608;92.118;18.413;0.000;0.000;2.189;4.938;44.326;231.789;236.727;236.726;39.603;34.941;1.608;10.016;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
18;1;1;0.000000;0.000000;1.000000;2202.008687;2202.257650;2202.278811;781613;164376;152343;141930;141930;3549;2270880;100.000;107.321;545.024;625.077;21.030;92.680;18.159;0.000;0.000;2.743;21.161;12.963;248.963;270.124;270.123;70.611;48.117;14.784;10.314;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
19;1;1;0.000000;0.000000;1.000000;2202.044035;2202.278992;2202.293599;780006;160684;150225;139740;139740;3494;2235840;100.000;153.072;536.614;615.426;20.600;93.491;17.915;0.000;160.330;1.574;14.608;10.774;234.957;249.564;249.564;52.066;21.342;11.991;10.418;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
20;1;1;0.000000;0.000000;1.000000;2202.075244;2202.318790;2202.324315;780302;157894;148300;138346;138346;3459;2213536;100.000;400.770;531.261;609.284;20.235;93.924;17.730;0.000;0.000;4.354;5.525;78.801;243.546;249.071;249.070;49.448;39.798;6.465;10.171;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
21;1;1;0.000000;0.000000;1.000000;2202.109339;2202.345577;2202.372353;779066;156303;147479;137844;137844;3447;2205504;100.000;82.373;529.333;607.085;20.063;94.355;17.693;0.000;0.000;0.678;26.776;2.533;236.238;263.014;263.013;64.153;26.787;6.546;9.945;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
22;1;1;0.000000;0.000000;1.000000;2202.142811;2202.377558;2202.385678;778280;156434;148303;138092;138092;3453;2209472;100.000;272.152;530.286;608.173;20.100;94.802;17.743;0.000;0.000;4.075;8.120;50.185;234.747;242.867;242.866;44.144;31.981;1.353;9.408;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
23;1;1;0.000000;0.000000;1.000000;2202.176579;2202.417810;2202.424350;778907;155826;148511;138240;138240;3456;2211840;100.000;338.323;530.854;608.809;20.006;95.306;17.748;0.000;110.952;5.378;6.540;82.234;241.231;247.771;247.769;49.483;40.253;6.919;9.252;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
24;1;1;0.000000;0.000000;1.000000;2202.209915;2202.453940;2202.481168;779289;155133;147900;138556;138556;3464;2216896;100.000;81.427;532.068;610.203;19.907;95.338;17.780;0.000;0.000;9.880;27.228;36.288;244.025;271.253;271.251;72.968;36.130;2.797;8.849;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
25;1;1;0.000000;0.000000;1.000000;2202.242764;2202.481309;2202.493962;779739;154951;148061;138952;138952;3474;2223232;100.000;175.717;533.588;611.949;19.872;95.553;17.820;0.000;0.000;11.496;12.653;90.854;238.545;251.198;251.197;52.428;27.368;5.965;8.669;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
26;1;1;0.000000;0.000000;1.000000;2202.274991;2202.513229;2202.521159;779364;155091;148214;139454;139454;3487;2231264;100.000;281.386;535.516;614.170;19.900;95.566;17.893;0.000;102.271;0.879;7.930;11.084;238.238;246.169;246.168;46.292;31.920;1.413;8.215;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
27;1;1;0.000000;0.000000;1.000000;2202.309788;2202.554480;2202.582060;780025;155666;148911;140520;140520;3513;2248320;100.000;81.526;539.609;618.850;19.957;95.661;18.015;0.000;0.000;1.196;27.579;4.336;244.692;272.272;272.271;73.859;41.252;7.918;8.197;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
28;1;1;0.000000;0.000000;1.000000;2202.343232;2202.582257;2202.595864;780373;156450;150058;141820;141820;3546;2269120;100.000;166.767;544.601;624.587;20.048;95.914;18.173;0.000;0.000;12.602;13.607;92.615;239.025;252.632;252.631;54.330;27.776;5.557;8.032;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
29;1;1;0.000000;0.000000;1.000000;2202.375977;2202.616937;2202.624384;781651;158178;151821;143812;143812;3596;2300992;100.000;309.055;552.251;633.364;20.236;95.981;18.398;0.000;128.686;1.281;7.446;17.209;240.961;248.407;248.406;49.517;34.681;1.348;7.614;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
30;1;1;0.087266;0.000000;1.000000;2202.410110;2202.676233;2202.686856;781375;158959;152458;144756;144756;3619;2316096;100.000;218.045;555.876;637.508;20.343;95.910;18.526;0.000;0.000;9.497;10.624;89.392;266.123;276.746;276.745;78.656;59.295;25.962;8.761;1;47.119;47.119;208.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
31;1;1;0.087266;0.000000;1.000000;2202.443179;2202.714676;2202.721577;784392;176776;155937;143948;143948;3599;2303168;100.000;333.820;552.773;633.954;22.537;88.212;18.352;0.000;0.000;1.227;6.901;17.782;271.497;278.398;278.396;80.043;38.443;5.110;8.532;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
32;1;1;0.087266;0.000000;1.000000;2202.476312;2202.724773;2202.731618;782671;167802;154013;141972;141972;3550;2271552;100.000;331.899;545.185;625.260;21.440;91.783;18.139;0.000;115.897;1.201;6.845;17.542;248.461;255.306;255.305;56.751;10.097;23.236;9.451;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
33;1;1;0.087266;0.000000;1.000000;2202.510459;2202.779836;2202.782186;776999;162473;151153;139814;139814;3496;2237024;100.000;952.269;536.898;615.756;20.910;93.033;17.994;0.000;0.000;1.260;2.350;53.630;269.376;271.726;271.726;73.986;55.063;21.730;10.219;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
34;1;1;0.087266;0.000000;1.000000;2202.543125;2202.794871;2202.806118;778650;157983;147475;137648;137648;3442;2202368;100.000;195.839;528.581;606.220;20.289;93.349;17.678;0.000;0.000;5.179;11.247;46.049;251.746;262.993;262.992;64.585;15.036;18.298;10.724;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
35;1;1;0.087266;0.000000;1.000000;2202.577802;2202.823690;2202.826382;778007;156457;146475;137154;137154;3429;2194464;100.000;815.548;526.684;604.030;20.110;93.620;17.629;0.000;110.236;1.515;2.692;56.290;245.888;248.580;248.579;51.515;28.819;4.514;10.336;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
36;1;1;0.087266;0.000000;1.000000;2202.612019;2202.881354;2202.892622;776483;155937;147008;138046;138046;3452;2208736;100.000;196.027;530.109;607.974;20.082;94.274;17.778;0.000;0.000;9.798;11.269;86.952;269.335;280.603;280.603;84.422;57.663;24.330;11.210;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
37;1;1;0.087266;0.000000;1.000000;2202.643275;2202.893372;2202.921589;781287;157460;149487;139346;139346;3484;2229536;100.000;79.021;535.101;613.688;20.154;94.936;17.835;0.000;86.930;8.798;28.217;31.180;250.097;278.314;278.312;80.055;12.019;21.315;11.842;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
38;1;1;0.087266;0.000000;1.000000;2202.678730;2202.943614;2202.952765;780329;157637;150141;141098;141098;3528;2257568;100.000;246.746;541.829;621.408;20.201;95.245;18.082;0.000;0.000;7.255;9.151;79.275;264.883;274.035;274.033;77.898;50.241;16.908;12.158;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
39;1;1;0.087266;0.000000;1.000000;2202.711395;2202.981241;2203.001454;780785;158178;150818;142238;142238;3556;2275808;100.000;112.603;546.206;626.417;20.259;95.347;18.217;0.000;106.131;5.453;20.212;26.981;269.847;290.059;290.058;93.254;37.628;4.295;11.667;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
40;1;1;0.087266;0.000000;1.000000;2202.743250;2203.020412;2203.031950;785430;159340;152098;143844;143844;3597;2301504;100.000;199.490;552.373;633.509;20.287;95.455;18.314;0.000;0.000;7.889;11.538;68.375;277.162;288.700;288.699;90.416;39.170;5.837;11.303;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
41;1;1;0.087266;0.000000;1.000000;2202.778508;2203.047458;2203.050404;789479;161458;154259;146416;146416;3661;2342656;100.000;795.321;562.250;644.830;20.451;95.541;18.546;0.000;0.000;1.551;2.946;52.629;268.950;271.896;271.895;75.537;27.046;6.288;10.989;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
42;1;1;0.087266;0.000000;1.000000;2202.811117;2203.090092;2203.102738;789348;163190;156459;148106;148106;3703;2369696;100.000;187.418;568.740;652.267;20.674;95.875;18.763;0.000;0.000;9.775;12.645;77.302;278.975;291.620;291.619;94.537;42.635;9.302;10.884;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
43;1;1;0.087266;0.000000;1.000000;2202.844364;2203.102888;2203.124400;792714;164183;157597;149298;149298;3733;2388768;100.000;111.050;573.317;657.521;20.712;95.989;18.834;0.000;70.501;4.420;21.512;20.546;258.524;280.036;280.035;82.866;12.795;20.538;11.487;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
44;1;1;0.087266;0.000000;1.000000;2202.878236;2203.140529;2203.143554;790865;165393;158411;150365;150365;3760;2405840;100.000;795.329;577.414;662.227;20.913;95.779;19.013;0.000;136.530;1.552;3.026;51.285;262.292;265.318;265.317;68.687;37.641;4.307;11.038;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
45;1;1;0.087266;0.000000;1.000000;2202.909506;2203.194687;2203.198416;787976;166115;159428;151606;151606;3791;2425696;100.000;650.546;582.180;667.692;21.081;95.974;19.240;0.000;0.000;1.422;3.729;38.134;285.181;288.910;288.909;90.216;54.158;20.825;11.650;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
46;1;1;0.087266;0.000000;1.000000;2202.944994;2203.205017;2203.216958;789717;188890;165163;151650;151650;3792;2426400;100.000;203.224;582.348;667.884;23.919;87.439;19.203;0.000;0.000;1.456;11.940;12.193;260.023;271.964;271.963;75.424;10.330;23.003;12.360;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
47;1;1;0.087266;0.000000;1.000000;2202.977215;2203.252917;2203.266395;784950;179115;163191;150558;150558;3764;2408928;100.000;178.745;578.155;663.059;22.819;91.110;19.181;0.000;98.974;5.721;13.478;42.444;275.702;289.180;289.179;91.529;47.900;14.566;12.497;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
48;1;1;0.087266;0.000000;1.000000;2203.008973;2203.304489;2203.317588;781130;174491;161518;148538;148538;3714;2376608;100.000;181.453;570.398;654.174;22.338;92.565;19.016;0.000;0.000;9.778;13.099;74.649;295.516;308.615;308.614;109.388;51.572;18.239;12.856;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
49;1;1;0.087266;0.000000;1.000000;2203.044297;2203.317774;2203.337250;780468;169683;158314;147276;147276;3682;2356416;100.000;120.992;565.552;648.606;21.741;93.300;18.870;0.000;0.000;11.955;19.477;61.383;273.477;292.954;292.953;95.717;13.285;20.049;13.306;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
50;1;1;0.087266;0.000000;1.000000;2203.076290;2203.346257;2203.355468;783376;166714;156688;146748;146748;3669;2347968;100.000;254.963;563.525;646.285;21.281;93.986;18.733;0.000;100.661;4.965;9.210;53.909;269.967;279.178;279.177;80.601;28.484;4.849;12.777;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
51;1;1;0.087266;0.000000;1.000000;2203.109064;2203.409859;2203.421665;787237;163927;154647;145970;145970;3650;2335520;100.000;197.842;560.537;642.869;20.823;94.339;18.542;0.000;0.000;3.592;11.806;30.427;300.795;312.600;312.600;113.464;63.601;30.268;13.870;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
52;0;1;0.087266;0.000000;1.000000;2203.142624;2203.421846;2203.441616;787734;163921;154970;147302;143382;3585;2294112;97.339;116.043;550.599;631.464;20.809;94.539;18.699;0.000;0.000;12.057;19.770;60.986;279.222;298.992;298.992;100.082;11.987;21.346;14.338;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
53;1;1;0.087266;0.000000;1.000000;2203.176389;2203.455686;2203.460911;787059;163880;155377;148046;148046;3702;2368736;100.000;453.368;568.509;652.014;20.822;94.811;18.810;0.000;125.167;1.330;5.225;25.449;279.296;284.522;284.521;86.044;33.840;0.507;13.473;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
54;1;1;0.087266;0.000000;1.000000;2203.209111;2203.509400;2203.512005;786051;163752;156015;148712;148712;3718;2379392;100.000;913.866;571.067;654.932;20.832;95.275;18.919;0.000;0.000;1.399;2.604;53.726;300.289;302.894;302.893;103.804;53.715;20.381;13.905;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
55;1;1;0.087266;0.000000;1.000000;2203.243117;2203.526043;2203.528428;796213;163350;156198;148706;148706;3718;2379296;100.000;997.565;571.044;654.909;20.516;95.622;18.677;0.000;0.000;1.300;2.386;54.471;282.926;285.312;285.311;86.895;16.642;16.691;14.079;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
56;1;1;0.087266;0.000000;1.000000;2203.276535;2203.555146;2203.559650;790191;162711;155789;148654;148654;3717;2378464;100.000;528.189;570.844;654.687;20.591;95.746;18.812;0.000;136.240;3.345;4.504;74.262;278.611;283.116;283.115;84.783;29.103;4.230;13.464;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
57;1;1;0.087266;0.000000;1.000000;2203.308736;2203.619726;2203.623661;798808;162756;155654;148762;148762;3720;2380192;100.000;605.014;571.259;655.169;20.375;95.636;18.623;0.000;0.000;1.601;3.935;40.686;310.990;314.926;314.925;115.461;64.580;31.247;14.575;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
58;1;1;0.087266;0.000000;1.000000;2203.342778;2203.633854;2203.639021;797924;163186;156181;149280;149280;3732;2388480;100.000;462.326;573.248;657.429;20.451;95.707;18.709;0.000;0.000;4.286;5.167;82.950;291.076;296.244;296.243;97.488;14.128;19.205;14.864;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
