frame_id;selected;tx_complete;current_skip;last_control_frame;temporal_control_ms;camera_send_timestamp;tx_start_timestamp;inter_departure_ms;tx_points;tx_packets;payload_bytes;reference_size_bytes;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;disk_io_ms;serialization_ms;tx_duration_ms;active_tx_ms;active_process_ms;total_residency_ms;node_efficiency_pct;reference_efficiency_pct;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0;0.000;2431.801346;2431.803694;0.000;784142;19604;12546272;12546272;1262.781;1262.781;3011.115;3396.912;3011.115;2.959;2.349;9.935;3.798;15.243;15.243;99.999;84.592;6903;0;6903;220656;0
2;1;1;1;0;0.000;2431.833824;2431.836089;32.394;783406;19586;12534496;12534496;1002.811;1002.811;3008.289;3393.732;3008.289;2.112;2.265;12.499;4.860;16.876;16.877;99.999;86.579;7011;0;7011;223692;0
3;1;1;1;0;0.000;2431.867851;2431.870028;33.939;780200;19505;12483200;12483200;986.136;986.136;2995.978;3379.826;2995.978;2.805;2.178;12.659;5.138;17.642;17.642;99.999;87.655;6212;0;6212;198499;0
4;1;1;1;0;0.000;2431.901236;2431.903929;33.901;778467;19462;12455472;12455472;937.609;937.609;2989.323;3372.325;2989.323;2.857;2.693;13.284;5.556;18.835;18.835;99.999;85.701;4622;0;4622;147202;0
5;1;1;1;0;0.000;2431.936084;2431.938721;34.791;776427;19411;12422832;12422832;1065.647;1065.647;2981.489;3363.488;2981.489;4.370;2.637;11.658;4.764;18.665;18.665;99.998;85.872;5022;0;5022;160418;0
6;1;1;1;0;0.000;2431.968612;2431.970858;32.137;774893;19373;12398288;12398288;1187.611;1187.611;2975.599;3356.850;2975.599;3.566;2.246;10.440;4.338;16.252;16.252;99.999;86.181;6282;0;6282;200663;0
7;1;1;1;0;0.000;2432.001769;2432.004654;33.796;775949;19399;12415184;12415184;1132.694;1132.694;2979.654;3361.416;2979.654;3.390;2.884;10.961;4.792;17.235;17.236;99.996;83.261;5876;0;5876;187532;0
8;1;1;1;0;0.000;2432.036520;2432.039081;34.427;775463;19387;12407408;12407408;1089.091;1089.091;2977.788;3359.314;2977.788;4.807;2.560;11.392;4.688;18.759;18.760;99.998;86.351;4513;0;4513;144341;0
9;1;1;1;0;0.000;2432.069281;2432.072003;32.922;775698;19393;12411168;12411168;993.141;993.141;2978.690;3360.335;2978.690;4.235;2.722;12.497;5.055;19.454;19.454;99.999;86.009;5322;0;5322;169219;0
10;1;1;1;0;0.000;2432.104279;2432.107191;35.188;778020;19451;12448320;12448320;1157.858;1157.858;2987.606;3370.392;2987.606;5.901;2.912;10.751;4.536;19.564;19.564;99.999;85.116;3626;0;3626;115987;0
