frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;0.000000;0.000000;1.000000;2431.801346;2431.868235;2432.003032;784142;141940;146318;108;3658;141940;154468;100.000;3.397;3.695;561.874;644.386;37.072;178911;159140;146318;0.216;0.126;0.077;2.987;1.868;0.188;33.822;31.877;134.747;134.797;132.915;25.091;23.983;1.399;0.191;0.978;66.889;201.686;134.797;0.000;0.000;0.000;0.000;0.050;0.000;55;28.967;129.876;4;0;0;0;0;0;0;0
2;1;1;1;0.000000;0.000000;1.000000;2431.833824;2431.920641;2432.043775;783406;28952;144182;22;3605;28952;31504;100.000;1150.394;1248.003;553.671;634.988;7.561;169393;156499;144182;0.212;0.125;0.078;2.345;2.471;0.747;45.591;43.042;122.332;123.134;120.645;37.025;35.677;1.594;0.252;0.084;86.817;209.951;142.207;52.406;19.073;1.192;0.000;0.803;0.001;29;40.775;117.496;1;0;0;0;0;0;0;0
3;1;1;1;0.000000;0.000000;1.000000;2431.867851;2431.945796;2432.082245;780200;22748;141754;18;3544;22748;24836;100.000;0.785;0.854;544.348;624.288;5.961;164369;153953;141754;0.209;0.126;0.077;2.518;2.310;0.709;43.282;40.895;136.418;136.449;134.120;31.720;30.492;1.727;0.214;0.165;77.946;214.395;147.344;25.156;8.178;1.629;0.000;0.031;0.000;9;38.454;131.569;3;0;0;0;0;0;0;0
4;1;1;1;0.000000;0.000000;1.000000;2431.901236;2431.974913;2432.109962;778467;22560;139430;18;3486;22560;24648;100.000;0.573;0.624;535.424;614.055;5.916;160176;150044;139430;0.249;0.124;0.076;2.912;2.475;0.583;32.536;29.985;135.023;135.048;132.551;24.092;22.622;2.184;0.184;0.095;73.677;208.725;141.727;29.117;4.216;1.790;0.000;0.025;0.001;9;27.149;129.612;4;0;0;0;0;0;0;0
5;1;1;1;0.000000;0.000000;1.000000;2431.936084;2432.014502;2432.151547;776427;22184;137802;17;3446;22184;24156;100.000;0.611;0.662;529.172;606.901;5.797;157416;147596;137802;0.197;0.117;0.071;2.407;2.373;0.610;46.969;44.525;136.996;137.045;134.650;34.273;33.067;1.676;0.227;0.120;78.418;215.464;149.979;39.588;6.255;2.069;0.000;0.049;0.000;16;42.189;132.192;2;0;0;0;0;0;0;0
6;1;1;1;0.000000;0.000000;1.000000;2431.968612;2432.051007;2432.194226;774893;24628;137230;19;3431;24628;26832;100.000;0.840;0.912;526.976;604.367;6.440;155704;146684;137230;0.201;0.115;0.071;2.078;2.295;0.627;47.458;45.093;143.190;143.219;140.905;33.137;32.002;1.410;0.183;0.098;82.395;225.614;159.325;36.505;3.172;2.138;0.000;0.030;0.000;12;43.086;138.796;4;0;0;0;0;0;0;0
7;1;1;1;0.000000;0.000000;1.000000;2432.001769;2432.080452;2432.220802;775949;24816;137590;19;3440;24816;27020;100.000;0.605;0.656;528.358;605.952;6.485;155769;147285;137590;0.195;0.116;0.070;2.367;2.223;0.618;30.939;28.646;140.286;140.350;138.102;22.044;20.743;1.615;0.260;0.111;78.683;219.033;152.567;29.445;3.888;2.248;0.000;0.064;0.001;19;26.349;135.669;2;0;0;0;0;0;0;0
8;1;1;1;0.000000;0.000000;1.000000;2432.036520;2432.121659;2432.260114;775463;26320;137746;20;3444;26320;28640;100.000;682.740;740.446;528.957;606.641;6.874;154945;147291;137746;0.197;0.117;0.070;2.269;1.997;0.525;43.906;41.839;138.435;138.455;136.441;31.711;30.665;1.556;0.219;0.111;85.138;223.594;158.546;41.206;7.873;2.599;0.000;0.020;0.001;13;39.640;134.150;2;0;0;0;0;0;0;0
9;1;1;1;0.000000;0.000000;1.000000;2432.069281;2432.156760;2432.294487;775698;26132;138024;20;3451;26132;28452;100.000;0.936;1.016;530.025;607.867;6.828;154624;147515;138024;0.232;0.111;0.066;2.091;1.487;0.399;38.627;37.075;137.668;137.727;136.226;28.046;27.216;1.421;0.181;0.080;87.479;225.205;159.585;35.102;1.768;2.547;0.000;0.059;0.001;19;35.050;134.064;2;0;0;0;0;0;0;0
10;1;1;1;0.000000;0.000000;1.000000;2432.104279;2432.188662;2432.322385;778020;25380;138278;20;3457;25380;27700;100.000;0.726;0.790;531.000;608.977;6.648;153992;146840;138278;0.224;0.109;0.067;2.629;2.067;0.512;31.465;29.331;133.663;133.722;131.635;23.530;22.282;1.842;0.244;0.144;84.383;218.105;154.150;31.902;1.431;2.478;0.000;0.059;0.001;17;26.769;128.943;4;0;0;0;0;0;0;0
