frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
1;1;1;1;IDLE;0.000;0.000;1.000;2431.801346;2431.803806;2431.841935;2431.909918;784142;784142;784142;19604;108;12546272;12546312;100.000;756.392;756.392;34.087;37.435;3011.115;11.206;0.000;0.000;13.449;8.022;0.007;32.677;32.677;89.525;106.112;38.129;30.795;85.700;1.594;0.916;0.500;1.428;9.011;2.460;108.572;106.112;0.000;0.000;0.000;0.000;0.011;0.059;13.472;0.404;0;1;34.204;34.206;nan;nan;nan;141940;1;0;0;0;0;0;0
2;1;1;1;IDLE;0.000;0.000;1.000;2431.833824;2431.836686;2431.888748;2431.909987;783406;783406;783406;19586;22;12534496;12534536;100.000;665.938;665.938;6.970;7.635;3008.289;2.750;0.000;0.000;4.278;28.902;0.001;35.929;35.929;54.479;73.301;52.062;49.016;69.013;1.454;0.905;0.505;1.388;0.026;2.862;76.163;72.848;32.880;0.453;0.028;0.453;0.008;0.051;11.176;0.335;0;2;50.064;50.067;nan;nan;nan;28952;1;0;0;0;0;0;0
3;1;1;1;IDLE;0.000;0.000;1.000;2431.867851;2431.870597;2431.925802;2431.974868;780200;780200;780200;19505;18;12483200;12483240;100.000;585.575;585.575;5.481;6.021;2995.978;3.003;0.000;0.000;6.271;26.743;0.002;36.017;36.017;82.953;104.271;55.205;34.541;65.242;3.387;0.918;0.529;1.394;0.043;2.746;107.018;104.396;33.911;0.578;0.063;0.578;0.004;0.868;9.952;0.299;0;2;46.681;46.683;nan;nan;nan;22748;1;0;0;0;0;0;0
4;1;1;1;IDLE;0.000;0.000;1.000;2431.901236;2431.904743;2431.953406;2432.014405;778467;778467;778467;19462;18;12455472;12455512;100.000;620.584;620.584;5.436;5.976;2989.323;3.148;0.000;0.000;5.001;23.279;0.002;31.428;31.428;89.592;109.662;48.663;28.659;64.584;1.832;0.929;0.532;1.676;0.032;3.507;113.169;110.599;34.146;0.813;0.110;0.813;0.002;0.309;8.722;0.262;0;2;44.738;44.740;nan;nan;nan;22560;1;0;0;0;0;0;0
5;1;1;1;IDLE;0.000;0.000;1.000;2431.936084;2431.939395;2431.993491;2432.050961;776427;776427;776427;19411;17;12422832;12422872;100.000;604.589;604.589;5.345;5.855;2981.489;2.996;0.000;0.000;5.221;28.278;0.001;36.495;36.495;91.019;111.567;54.096;32.711;67.463;2.339;0.907;0.522;1.423;0.030;3.311;114.878;113.822;34.652;1.319;0.185;1.319;0.002;0.046;7.853;0.236;0;2;49.188;49.190;nan;nan;nan;22184;1;0;0;0;0;0;0
6;1;1;1;IDLE;0.000;0.000;1.000;2431.968612;2431.971434;2432.029439;2432.080302;774893;774893;774893;19373;19;12398288;12398328;100.000;699.607;699.607;5.932;6.504;2975.599;2.733;0.000;0.000;5.782;34.158;0.001;42.674;42.674;91.146;108.868;58.005;39.198;73.569;2.660;0.896;0.508;1.684;0.034;2.822;111.690;109.830;32.039;1.294;0.254;1.294;0.003;0.339;7.340;0.220;0;2;55.677;55.679;nan;nan;nan;24628;1;0;0;0;0;0;0
7;1;1;1;IDLE;0.000;0.000;1.000;2432.001769;2432.005256;2432.057630;2432.121610;775949;775949;775949;19399;19;12415184;12415224;100.000;722.948;722.948;5.977;6.549;2979.654;2.686;0.000;0.000;5.892;28.190;0.001;36.767;36.767;99.181;116.355;52.374;31.599;70.201;2.898;0.901;0.509;1.526;0.059;3.487;119.841;117.805;33.822;0.489;0.269;0.489;0.003;1.116;6.980;0.209;0;2;50.857;50.859;nan;nan;nan;24816;1;0;0;0;0;0;0
8;1;1;1;IDLE;0.000;0.000;1.000;2432.036520;2432.039731;2432.098895;2432.121645;775463;775463;775463;19387;20;12407408;12407448;100.000;689.245;689.245;6.338;6.941;2977.788;2.860;0.000;0.000;6.923;33.608;0.000;43.392;43.392;63.912;81.914;59.164;52.973;73.342;3.617;0.899;0.510;1.855;0.042;3.211;85.125;84.506;34.476;1.142;0.324;1.142;0.003;0.626;6.968;0.209;0;2;56.321;56.322;nan;nan;nan;26320;1;0;0;0;0;0;0
9;1;1;1;IDLE;0.000;0.000;1.000;2432.069281;2432.072702;2432.136012;2432.184704;775698;775698;775698;19393;20;12411168;12411208;100.000;637.828;637.828;6.293;6.896;2978.690;2.893;0.000;0.000;5.623;37.115;0.002;45.631;45.631;92.543;112.002;63.310;40.742;72.076;2.712;0.888;0.511;1.479;0.033;3.421;115.423;114.232;32.971;0.363;0.326;0.363;0.003;1.108;6.634;0.199;0;2;57.803;57.804;nan;nan;nan;26132;1;0;0;0;0;0;0
10;1;1;1;IDLE;0.000;0.000;1.000;2432.104279;2432.108073;2432.163547;2432.223722;778020;778020;778020;19451;20;12448320;12448360;100.000;773.730;773.730;6.112;6.715;2987.606;2.866;0.000;0.000;4.491;27.533;0.001;34.890;34.890;99.560;115.649;55.474;30.169;62.896;1.736;0.836;0.496;1.396;0.028;3.794;119.443;119.916;35.371;2.038;0.433;2.038;0.002;7.358;6.099;0.183;0;2;48.676;48.687;nan;nan;nan;25380;1;0;0;0;0;0;0
11;1;1;1;IDLE;0.000;0.000;1.000;2432.135996;2432.142135;2432.202619;2432.261575;778554;778554;778554;19464;19;12456864;12456904;100.000;639.971;639.971;5.751;6.323;2989.657;3.038;0.000;0.000;5.652;34.934;0.001;43.624;43.624;99.975;119.440;60.484;36.524;72.125;1.956;1.206;0.488;1.969;0.033;6.140;125.580;124.436;34.062;0.729;0.452;0.729;0.011;0.422;5.994;0.180;0;2;56.033;56.034;nan;nan;nan;23876;1;0;0;0;0;0;0
12;1;1;1;IDLE;0.000;0.000;1.000;2432.169534;2432.172601;2432.238742;2432.290894;779986;779986;779986;19500;20;12479776;12479816;100.000;628.192;628.192;6.157;6.760;2995.156;3.093;0.000;0.000;5.004;36.121;0.002;44.218;44.218;98.427;118.293;66.141;37.380;66.854;2.250;0.836;0.499;1.394;0.025;3.067;121.360;120.421;30.466;2.868;0.603;2.868;0.003;5.145;5.748;0.172;0;2;58.951;58.953;nan;nan;nan;25568;1;0;0;0;0;0;0
13;1;1;1;IDLE;0.000;0.000;1.000;2432.203184;2432.209589;2432.269894;2432.333637;780926;780926;780926;19524;20;12494816;12494856;100.000;646.648;646.648;6.293;6.896;2998.765;3.131;0.000;0.000;5.146;31.150;0.002;39.427;39.427;104.726;124.048;60.306;31.784;65.379;1.775;1.129;0.487;1.722;0.032;6.404;130.453;129.831;36.988;3.654;0.793;3.654;0.003;4.683;5.602;0.168;0;2;52.145;52.146;nan;nan;nan;26132;1;0;0;0;0;0;0
14;1;1;1;IDLE;0.000;0.000;1.000;2432.235363;2432.240415;2432.309402;2432.369170;782770;782770;782770;19570;21;12524320;12524360;100.000;564.994;564.994;6.383;7.017;3005.846;3.213;0.000;0.000;4.956;39.506;0.003;47.675;47.675;106.588;128.755;68.987;37.028;69.107;1.909;0.844;0.499;1.673;0.031;5.053;133.808;132.031;30.827;2.507;0.900;2.507;0.003;2.354;5.444;0.163;0;2;63.737;63.739;nan;nan;nan;26508;1;0;0;0;0;0;0
15;1;1;1;IDLE;0.000;0.000;1.000;2432.267632;2432.273142;2432.347570;2432.401207;784474;784474;784474;19612;21;12551584;12551624;100.000;587.129;587.129;6.518;7.152;3012.390;3.189;0.000;0.000;4.569;38.164;0.003;45.923;45.923;106.687;128.065;74.428;35.859;61.701;1.615;0.788;0.457;1.682;0.028;5.510;133.575;130.734;32.726;0.607;0.882;0.607;0.003;10.313;5.230;0.157;0;2;59.761;59.762;nan;nan;nan;27072;1;0;0;0;0;0;0
16;1;1;1;IDLE;0.000;0.000;1.000;2432.303116;2432.307395;2432.377982;2432.402314;785193;785193;785193;19630;100;12563088;12563128;100.000;577.724;577.724;31.605;34.704;3015.151;3.229;0.000;0.000;4.471;30.410;0.007;38.110;38.110;73.173;94.919;70.587;40.150;53.990;1.706;0.775;0.457;1.504;0.029;4.279;99.198;98.508;34.253;0.920;0.884;0.920;0.003;13.957;5.043;0.151;0;3;53.629;53.630;nan;nan;nan;131600;1;0;0;0;0;0;0
17;1;1;1;IDLE;0.000;0.000;1.000;2432.334274;2432.337145;2432.423004;2432.477433;782720;782720;782720;19568;22;12523520;12523560;100.000;514.355;514.355;6.879;7.545;3005.654;3.322;0.000;0.000;6.522;45.019;0.002;54.862;54.862;115.940;140.288;85.859;39.107;63.898;3.301;0.790;0.465;1.929;0.037;2.870;143.158;140.294;29.750;3.583;1.053;3.583;0.002;9.967;5.416;0.162;0;3;64.105;64.107;nan;nan;nan;28576;1;0;0;0;0;0;0
18;1;1;1;IDLE;0.000;0.000;1.000;2432.368487;2432.371498;2432.458192;2432.505778;781613;781613;781613;19541;18;12505808;12505848;100.000;514.124;514.124;5.616;6.156;3001.404;3.185;0.000;0.000;5.187;35.188;0.002;43.560;43.560;109.956;134.281;86.695;32.439;50.245;2.123;0.791;0.486;1.756;0.031;3.011;137.292;135.306;34.353;1.019;1.051;1.019;0.003;21.992;5.361;0.161;0;3;54.423;54.425;nan;nan;nan;23312;1;0;0;0;0;0;0
