frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2431.801346;2431.803734;2431.820372;784142;784142;784142;19604;19604;12546272;12546312;100.000;1014.488;1014.488;3011.115;3754.489;3011.115;16.626;1.554;10.466;5.875;2.175;16.637;0.000;16.637;62.907;100.000;2.389;16.637;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2431.833824;2431.836649;2431.855504;783406;783406;783406;19586;19586;12534496;12534536;100.000;856.185;856.185;3008.289;3750.980;3008.289;18.844;2.262;11.215;5.938;2.126;35.132;16.277;18.855;59.480;53.668;2.825;18.436;32.915;0.419;0.026;0;0;0;0;0;0;0;0
3;1;1;1;2431.867851;2431.870568;2431.891883;780200;780200;780200;19505;19505;12483200;12483240;100.000;803.846;803.846;2995.978;3735.598;2995.978;21.305;2.653;12.851;6.771;2.411;36.379;15.064;21.314;60.290;58.590;2.718;21.482;33.919;0.586;0.061;0;0;0;0;0;0;0;0
4;1;1;1;2431.901236;2431.904692;2431.924804;778467;778467;778467;19462;19462;12455472;12455512;100.000;799.712;799.712;2989.323;3727.312;2989.323;20.100;3.085;11.854;5.507;2.230;32.921;12.809;20.112;58.941;61.091;3.456;21.069;34.124;0.790;0.107;0;0;0;0;0;0;0;0
5;1;1;1;2431.936084;2431.939347;2431.959920;776427;776427;776427;19411;19411;12422832;12422872;100.000;895.401;895.401;2981.489;3717.545;2981.489;20.562;1.838;13.100;6.401;3.920;35.116;14.543;20.573;63.674;58.586;3.263;22.852;34.655;1.321;0.183;0;0;0;0;0;0;0;0
6;1;1;1;2431.968612;2431.971395;2431.989135;774893;774893;774893;19373;19373;12398288;12398328;100.000;953.291;953.291;2975.599;3710.213;2975.599;17.729;2.100;11.117;5.654;2.481;29.215;11.475;17.740;62.664;60.721;2.783;18.734;32.048;1.285;0.252;0;0;0;0;0;0;0;0
7;1;1;1;2432.001769;2432.005211;2432.022418;775949;775949;775949;19399;19399;12415184;12415224;100.000;949.424;949.424;2979.654;3715.254;2979.654;17.197;2.063;10.730;5.619;2.150;33.283;16.076;17.207;62.358;51.700;3.442;18.684;33.816;0.482;0.266;0;0;0;0;0;0;0;0
8;1;1;1;2432.036520;2432.039672;2432.057704;775463;775463;775463;19387;19387;12407408;12407448;100.000;906.582;906.582;2977.788;3712.933;2977.788;18.011;2.048;10.921;5.707;2.242;35.286;17.254;18.032;60.565;51.103;3.151;20.636;34.461;1.128;0.320;0;0;0;0;0;0;0;0
9;1;1;1;2432.069281;2432.072641;2432.092149;775698;775698;775698;19393;19393;12411168;12411208;100.000;845.755;845.755;2978.690;3714.063;2978.690;19.497;2.469;11.750;5.911;2.406;34.446;14.938;19.508;60.233;56.635;3.360;21.748;32.970;0.364;0.323;0;0;0;0;0;0;0;0
10;1;1;1;2432.104279;2432.108044;2432.124141;778020;778020;778020;19451;19451;12448320;12448360;100.000;1021.504;1021.504;2987.606;3725.179;2987.606;16.087;2.420;9.719;4.607;1.913;31.992;15.894;16.097;60.374;50.318;3.764;20.406;35.402;2.069;0.432;0;0;0;0;0;0;0;0
11;1;1;1;2432.135996;2432.142053;2432.161587;778554;778554;778554;19464;19464;12456864;12456904;100.000;823.097;823.097;2989.657;3727.722;2989.657;19.520;2.435;11.511;5.762;2.288;37.446;17.912;19.534;58.929;52.167;6.057;24.519;34.009;0.676;0.447;0;0;0;0;0;0;0;0
12;1;1;1;2432.169534;2432.172548;2432.192452;779986;779986;779986;19500;19500;12479776;12479816;100.000;828.970;828.970;2995.156;3734.586;2995.156;19.893;2.768;11.894;5.672;2.405;30.865;10.961;19.904;59.758;64.488;3.014;22.051;30.495;2.838;0.596;0;0;0;0;0;0;0;0
13;1;1;1;2432.203184;2432.209532;2432.228903;780926;780926;780926;19524;19524;12494816;12494856;100.000;820.905;820.905;2998.765;3739.106;2998.765;19.360;2.246;11.044;5.610;2.162;36.451;17.080;19.371;57.012;53.143;6.348;25.169;36.984;3.651;0.787;0;0;0;0;0;0;0;0
14;1;1;1;2432.235363;2432.240334;2432.262567;782770;782770;782770;19570;19570;12524320;12524360;100.000;702.003;702.003;3005.846;3747.931;3005.846;22.215;3.166;12.742;6.249;2.274;33.664;11.431;22.233;57.311;66.044;4.971;25.500;30.802;2.531;0.896;0;0;0;0;0;0;0;0
15;1;1;1;2432.267632;2432.273073;2432.294501;784474;784474;784474;19612;19612;12551584;12551624;100.000;761.947;761.947;3012.390;3756.067;3012.390;21.412;3.597;13.084;5.942;2.465;31.933;10.506;21.428;61.063;67.101;5.442;24.100;32.739;0.594;0.877;0;0;0;0;0;0;0;0
16;1;1;1;2432.303116;2432.307312;2432.329130;785193;785193;785193;19630;19630;12563088;12563128;100.000;687.509;687.509;3015.151;3759.511;3015.151;21.806;3.161;11.504;5.418;1.860;34.629;12.811;21.818;52.726;63.004;4.196;25.395;34.239;0.906;0.879;0;0;0;0;0;0;0;0
17;1;1;1;2432.334274;2432.337106;2432.361471;782720;782720;782720;19568;19568;12523520;12523560;100.000;641.582;641.582;3005.654;3747.663;3005.654;24.355;3.240;13.013;6.317;2.247;32.341;7.976;24.365;53.410;75.337;2.832;24.403;29.794;3.540;1.045;0;0;0;0;0;0;0;0
18;1;1;1;2432.368487;2432.371454;2432.395795;781613;781613;781613;19541;19541;12505808;12505848;100.000;639.357;639.357;3001.404;3742.389;3001.404;24.329;3.490;13.300;6.405;2.242;34.324;9.983;24.341;54.640;70.915;2.967;25.394;34.348;1.015;1.044;0;0;0;0;0;0;0;0
19;1;1;1;2432.400939;2432.404289;2432.427668;780006;780006;780006;19501;19501;12480096;12480136;100.000;752.935;752.935;2995.233;3734.701;2995.233;23.369;3.145;13.888;7.246;2.386;31.873;8.494;23.379;59.404;73.350;3.350;23.934;32.835;0.498;1.009;0;0;0;0;0;0;0;0
20;1;1;1;2432.434841;2432.437553;2432.456365;780302;780302;780302;19508;19508;12484832;12484872;100.000;900.059;900.059;2996.369;3736.103;2996.369;18.802;1.940;11.395;5.904;2.584;28.697;9.885;18.812;60.574;65.554;2.712;19.297;33.264;0.069;0.951;0;0;0;0;0;0;0;0
21;1;1;1;2432.468797;2432.472101;2432.494854;779066;779066;779066;19477;19477;12465056;12465096;100.000;772.610;772.610;2991.623;3730.181;2991.623;22.742;2.673;14.133;6.286;4.141;38.489;15.736;22.753;62.115;59.115;3.304;24.453;34.548;1.215;0.967;0;0;0;0;0;0;0;0
22;1;1;1;2432.502008;2432.505213;2432.525441;778280;778280;778280;19457;19457;12452480;12452520;100.000;810.042;810.042;2988.605;3726.405;2988.605;20.219;2.487;11.808;5.739;2.511;30.587;10.358;20.229;58.371;66.135;3.205;21.707;33.111;0.222;0.921;0;0;0;0;0;0;0;0
23;1;1;1;2432.535709;2432.539134;2432.558316;778907;778907;778907;19473;19473;12462512;12462552;100.000;914.698;914.698;2991.012;3729.419;2991.012;19.174;2.263;12.075;5.893;3.012;32.875;13.693;19.182;62.949;58.348;3.426;21.249;33.922;0.588;0.900;0;0;0;0;0;0;0;0
24;1;1;1;2432.569938;2432.573129;2432.594458;779289;779289;779289;19483;19483;12468624;12468664;100.000;857.914;857.914;2992.479;3731.265;2992.479;21.300;2.547;13.940;7.035;3.388;36.142;14.812;21.330;65.357;59.016;3.191;24.057;33.994;0.661;0.885;0;0;0;0;0;0;0;0
25;1;1;1;2432.602106;2432.605311;2432.626814;779739;779739;779739;19494;19494;12475824;12475864;100.000;745.117;745.117;2994.207;3733.410;2994.207;21.491;2.773;12.100;5.727;2.504;32.356;10.853;21.503;56.271;66.457;3.206;23.080;32.183;1.151;0.902;0;0;0;0;0;0;0;0
26;1;1;1;2432.636641;2432.640093;2432.657608;779364;779364;779364;19485;19485;12469824;12469864;100.000;953.259;953.259;2992.767;3731.629;2992.767;17.507;1.968;10.619;5.640;2.148;30.794;13.279;17.515;60.627;56.879;3.452;20.541;34.782;1.448;0.936;0;0;0;0;0;0;0;0
27;1;1;1;2432.670990;2432.674120;2432.695204;780025;780025;780025;19501;19501;12480400;12480440;100.000;865.667;865.667;2995.306;3734.774;2995.306;21.073;2.285;13.498;7.727;2.519;37.595;16.512;21.084;64.024;56.080;3.130;24.803;34.027;0.694;0.921;0;0;0;0;0;0;0;0
28;1;1;1;2432.701823;2432.705212;2432.726198;780373;780373;780373;19510;19510;12485968;12486008;100.000;778.352;778.352;2996.642;3736.452;2996.642;20.975;2.934;12.397;5.908;2.547;30.994;10.008;20.986;59.072;67.711;3.389;22.463;31.091;2.242;1.003;0;0;0;0;0;0;0;0
29;1;1;1;2432.737131;2432.740587;2432.757830;781651;781651;781651;19542;19542;12506416;12506456;100.000;977.928;977.928;3001.549;3742.572;3001.549;17.235;2.123;10.232;5.137;2.161;31.632;14.389;17.243;59.343;54.511;3.457;20.762;35.376;2.042;1.068;0;0;0;0;0;0;0;0
30;1;1;1;2432.770638;2432.773836;2432.794660;781375;781375;781375;19535;19535;12502000;12502040;100.000;853.121;853.121;3000.490;3741.247;3000.490;20.814;2.554;13.281;7.519;2.243;36.830;16.006;20.824;63.775;56.541;3.198;24.259;33.249;0.084;1.007;0;0;0;0;0;0;0;0
31;1;1;1;2432.801603;2432.804918;2432.825635;784392;784392;784392;19610;19610;12550272;12550312;100.000;796.032;796.032;3012.075;3755.676;3012.075;20.704;2.572;12.077;5.973;2.493;30.974;10.258;20.717;58.297;66.883;3.315;21.900;31.082;2.251;1.084;0;0;0;0;0;0;0;0
32;1;1;1;2432.836768;2432.840358;2432.856903;782671;782671;782671;19567;19567;12522736;12522776;100.000;1012.246;1012.246;3005.466;3747.437;3005.466;16.537;2.114;9.812;4.737;2.166;31.269;14.723;16.545;59.305;52.914;3.590;19.836;35.440;2.107;1.148;0;0;0;0;0;0;0;0
33;1;1;1;2432.870840;2432.874164;2432.895111;776999;776999;776999;19425;19425;12431984;12432024;100.000;859.577;859.577;2983.686;3720.272;2983.686;20.936;2.321;13.349;7.745;2.300;38.208;17.260;20.947;63.727;54.825;3.324;24.710;33.806;0.473;1.106;0;0;0;0;0;0;0;0
34;1;1;1;2432.901678;2432.905086;2432.925432;778650;778650;778650;19467;19467;12458400;12458440;100.000;800.907;800.907;2990.026;3728.205;2990.026;20.334;3.020;12.325;5.817;2.499;30.321;9.975;20.346;60.579;67.101;3.409;21.697;30.923;2.411;1.188;0;0;0;0;0;0;0;0
35;1;1;1;2432.937784;2432.941299;2432.958505;778007;778007;778007;19451;19451;12448112;12448152;100.000;981.549;981.549;2987.556;3725.129;2987.556;17.194;1.909;10.951;6.032;2.139;33.073;15.867;17.206;63.644;52.025;3.515;21.437;36.213;2.879;1.293;0;0;0;0;0;0;0;0
