frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2431.801346;2432.001178;2432.003041;784142;146318;146318;0;0;3658;3658;2341088;2341140;100.000;1258.143;1258.143;561.874;651.409;561.874;1.859;0.835;0.921;1.862;0.000;1.862;49.465;100.000;199.833;1.862;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2431.833824;2432.041314;2432.044870;783406;144182;144182;0;0;3605;3605;2306912;2306964;100.000;649.395;649.395;553.671;641.909;553.671;3.553;0.767;0.844;41.830;38.273;3.556;23.731;8.502;207.490;10.359;40.136;6.802;0.425;0;0;0;0;0;0;0;0
3;1;1;1;2431.867851;2432.080451;2432.083721;780200;141754;141754;0;0;3544;3544;2268064;2268116;100.000;694.472;694.472;544.348;631.092;544.348;3.267;0.696;0.775;38.851;35.581;3.270;23.707;8.417;212.600;15.876;39.137;5.804;0.761;0;0;0;0;0;0;0;0
4;1;1;1;2431.901236;2432.107503;2432.111137;778467;139430;139430;0;0;3486;3486;2230880;2230932;100.000;615.070;615.070;535.424;620.748;535.424;3.628;0.791;0.868;27.416;23.782;3.633;23.901;13.253;206.267;9.958;27.052;6.281;1.106;0;0;0;0;0;0;0;0
5;1;1;1;2431.936084;2432.149184;2432.152608;776427;137802;137802;0;0;3446;3446;2204832;2204884;100.000;644.915;644.915;529.172;613.518;529.172;3.420;0.735;0.812;41.471;38.048;3.424;23.711;8.255;213.101;18.096;41.681;8.348;1.559;0;0;0;0;0;0;0;0
6;1;1;1;2431.968612;2432.192390;2432.194236;774893;137230;137230;0;0;3431;3431;2195680;2195732;100.000;1190.540;1190.540;526.976;610.954;526.976;1.842;0.851;0.924;41.628;39.782;1.846;50.039;4.435;223.778;26.391;43.206;9.872;2.078;0;0;0;0;0;0;0;0
7;1;1;1;2432.001769;2432.218592;2432.221950;775949;137590;137590;0;0;3440;3440;2201440;2201492;100.000;656.325;656.325;528.358;612.557;528.358;3.354;0.735;0.808;27.714;24.356;3.358;24.062;12.115;216.823;20.772;26.202;7.131;2.394;0;0;0;0;0;0;0;0
8;1;1;1;2432.036520;2432.258478;2432.260121;775463;137746;137746;0;0;3444;3444;2203936;2203988;100.000;1343.613;1343.613;528.957;613.254;528.957;1.633;0.582;0.655;38.171;36.528;1.644;39.875;4.306;221.957;25.610;39.885;6.552;2.654;0;0;0;0;0;0;0;0
9;1;1;1;2432.069281;2432.293006;2432.294494;775698;138024;138024;0;0;3451;3451;2208384;2208436;100.000;1487.864;1487.864;530.025;614.493;530.025;1.486;0.564;0.638;34.373;32.885;1.488;42.840;4.330;223.725;26.649;34.528;1.195;2.563;0;0;0;0;0;0;0;0
10;1;1;1;2432.104279;2432.320332;2432.323423;778020;138278;138278;0;0;3457;3457;2212448;2212500;100.000;715.827;715.827;531.000;615.615;531.000;3.087;0.671;0.745;28.929;25.838;3.091;24.093;10.685;216.053;22.245;27.326;6.007;2.778;0;0;0;0;0;0;0;0
11;1;1;1;2432.135996;2432.365157;2432.367604;778554;139114;139114;0;0;3478;3478;2225824;2225876;100.000;913.388;913.388;534.210;619.339;534.210;2.443;0.968;1.044;44.180;41.734;2.446;42.685;5.537;229.162;33.092;44.825;11.492;3.323;0;0;0;0;0;0;0;0
12;1;1;1;2432.169534;2432.401290;2432.403447;779986;140496;140496;0;0;3513;3513;2247936;2247988;100.000;1044.233;1044.233;539.517;625.503;539.517;2.153;0.749;0.832;35.843;33.686;2.157;38.571;6.017;231.756;35.602;36.133;2.799;3.290;0;0;0;0;0;0;0;0
13;1;1;1;2432.203184;2432.431316;2432.434060;780926;142868;142868;0;0;3572;3572;2285888;2285940;100.000;835.458;835.458;548.626;636.056;548.626;2.740;1.039;1.120;30.614;27.870;2.744;40.823;8.963;228.132;32.882;30.027;3.307;3.291;0;0;0;0;0;0;0;0
14;1;1;1;2432.235363;2432.470578;2432.472719;782770;144928;144928;0;0;3624;3624;2318848;2318900;100.000;1084.571;1084.571;556.536;645.239;556.536;2.136;0.755;0.837;38.658;36.518;2.140;39.093;5.536;235.216;38.207;39.262;5.929;3.456;0;0;0;0;0;0;0;0
15;1;1;1;2432.267632;2432.504506;2432.507334;784474;146044;146044;0;0;3652;3652;2336704;2336756;100.000;826.836;826.836;560.821;650.210;560.821;2.823;0.795;0.873;34.615;31.787;2.828;30.886;8.169;236.874;39.489;33.927;0.594;3.277;0;0;0;0;0;0;0;0
16;1;1;1;2432.303116;2432.536121;2432.537943;785193;145822;145822;0;0;3646;3646;2333152;2333204;100.000;1284.042;1284.042;559.969;649.211;559.969;1.818;0.763;0.853;30.609;28.787;1.822;46.813;5.952;233.005;36.764;31.615;1.719;3.180;0;0;0;0;0;0;0;0
17;1;1;1;2432.334274;2432.571905;2432.574661;782720;144126;144126;0;0;3604;3604;2306016;2306068;100.000;838.343;838.343;553.456;641.670;553.456;2.751;0.783;0.860;36.718;33.963;2.756;31.214;7.505;237.631;40.149;35.785;2.451;3.134;0;0;0;0;0;0;0;0
18;1;1;1;2432.368487;2432.609207;2432.612538;781613;141930;141930;0;0;3549;3549;2270880;2270932;100.000;683.054;683.054;545.024;631.891;545.024;3.327;0.757;0.835;37.877;34.546;3.330;25.069;8.793;240.720;44.693;37.302;3.969;3.186;0;0;0;0;0;0;0;0
19;1;1;1;2432.400939;2432.637347;2432.639023;780006;139740;139740;0;0;3494;3494;2235840;2235892;100.000;1335.759;1335.759;536.614;622.135;536.614;1.671;0.807;0.893;26.485;24.810;1.675;53.290;6.326;236.408;37.844;28.140;5.193;3.312;0;0;0;0;0;0;0;0
20;1;1;1;2432.434841;2432.675189;2432.678712;780302;138346;138346;0;0;3459;3459;2213536;2213588;100.000;628.581;628.581;531.261;615.925;531.261;3.520;0.793;0.868;39.689;36.167;3.523;24.653;8.875;240.349;44.200;37.842;4.509;3.387;0;0;0;0;0;0;0;0
