frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2431.801346;2431.868213;2431.910040;784142;0;0;141940;141940;108;108;141940;142028;100.000;3.403;3.403;34.087;37.435;34.087;41.817;0.031;0.035;41.827;0.000;41.827;0.083;100.000;66.867;41.827;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2431.833824;2431.910037;2431.920630;783406;0;0;28952;28952;22;22;28952;29040;100.000;3317.073;3317.073;6.970;7.635;6.970;0.013;0.013;0.014;10.590;0.000;10.594;0.135;100.029;76.213;19.084;41.824;8.491;0.531;0;0;0;0;0;0;0;0
3;1;1;1;2431.867851;2431.945783;2431.974871;780200;0;0;22748;22748;18;18;22748;22836;100.000;0.785;0.785;5.481;6.021;5.481;29.085;0.007;0.009;54.241;25.153;29.088;0.030;53.627;77.933;39.992;35.746;2.413;0.648;0;0;0;0;0;0;0;0
4;1;1;1;2431.901236;2431.974905;2432.014409;778467;0;0;22560;22560;18;18;22560;22648;100.000;0.573;0.573;5.436;5.976;5.436;39.502;0.005;0.007;39.538;0.034;39.504;0.017;99.914;73.669;46.196;29.122;4.212;0.871;0;0;0;0;0;0;0;0
5;1;1;1;2431.936084;2432.014455;2432.050964;776427;0;0;22184;22184;17;17;22184;22272;100.000;0.610;0.610;5.345;5.855;5.345;36.472;0.007;0.008;36.555;0.046;36.509;0.021;99.874;78.371;49.418;39.550;6.217;1.205;0;0;0;0;0;0;0;0
6;1;1;1;2431.968612;2432.050998;2432.080309;774893;0;0;24628;24628;19;19;24628;24716;100.000;0.843;0.843;5.932;6.504;5.932;29.308;0.006;0.007;29.345;0.034;29.311;0.025;99.885;82.386;45.430;36.543;3.210;1.330;0;0;0;0;0;0;0;0
7;1;1;1;2432.001769;2432.080346;2432.121613;775949;0;0;24816;24816;19;19;24816;24904;100.000;0.604;0.604;5.977;6.549;5.977;41.265;0.007;0.008;41.304;0.037;41.267;0.018;99.909;78.577;53.401;29.349;3.985;1.496;0;0;0;0;0;0;0;0
8;1;1;1;2432.036520;2432.121649;2432.121657;775463;0;0;26320;26320;20;20;26320;26408;100.000;10200.773;10200.773;6.338;6.941;6.338;0.005;0.005;0.005;0.044;0.036;0.008;70.115;17.836;85.129;20.111;41.303;7.970;1.901;0;0;0;0;0;0;0;0
9;1;1;1;2432.069281;2432.156746;2432.184758;775698;0;0;26132;26132;20;20;26132;26220;100.000;0.937;0.937;6.293;6.896;6.293;28.010;0.008;0.010;63.101;35.088;28.013;0.035;44.393;87.464;49.879;35.096;1.763;1.892;0;0;0;0;0;0;0;0
10;1;1;1;2432.104279;2432.184756;2432.223734;778020;0;0;25380;25380;20;20;25380;25468;100.000;0.653;0.653;6.112;6.715;6.112;35.099;0.016;0.017;38.976;0.000;38.978;0.045;100.005;80.477;55.522;28.011;5.323;2.107;0;0;0;0;0;0;0;0
